Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
11000	-334.2055	-383.2476	49.04208	10	0.7745011	0.263554	0.0450454	0.0457139	0.0766945	0.0844372	0.0962284	0.0547105	0.000239442	0.0204864	0.01116	0.0270856	0.0176698	0.0398264	0.209145	0.0485328	0.0586398	0.144211	0.0150243	0.0334306	0.0249576	0.2069	0.0237411	0.0780139	0.591255	0.146	0.0610053	0.148195	0.0319095	0.0397687	0.0184465	0.0540796	0.0960435	0.0778954	0.0901224	0.396662	0.949631	2.56358	5	2.890045
12000	-345.7694	-387.0427	41.27326	2	0.8014217	0.0709178	0.0202681	0.0213313	0.161008	0.0116335	0.119365	0.135287	0.0172083	0.029149	0.053762	0.0109556	0.00515192	0.0442167	0.0800078	0.110349	0.0158803	0.0189773	0.016737	0.0502374	0.0338143	0.0290816	0.132499	0.00368188	0.012092	0.133256	0.0140458	0.201527	0.01375	0.0438622	0.473275	0.142959	0.0259128	0.0950182	0.0958612	0.407706	0.957348	2.53908	4	2.347218
13000	-324.3077	-382.8763	58.56866	10	2.515182	0.205535	0.0371289	0.0159175	0.0377705	0.00440291	0.305093	0.0736342	0.00346552	0.0265334	0.0027343	0.0251675	0.018338	0.0348072	0.176193	0.0297123	0.0046271	0.125246	0.0842329	0.16099	0.0231848	0.153737	0.0298548	0.146421	0.00408517	0.0134419	0.082596	0.0881478	0.0340749	0.0278804	0.229678	0.0511222	0.116912	0.0425009	0.347891	0.700579	1.0788	1.87273	5	2.415164
14000	-321.1721	-381.5562	60.38412	10	3.643351	0.123178	0.00962851	0.00152041	0.0770091	0.0571077	0.0952695	0.0135521	0.0101139	0.0737999	0.0107429	0.0228604	0.0396261	0.0176511	0.120993	0.0319098	0.0121539	0.0165779	0.0561291	0.123365	0.0137183	0.0986615	0.062913	0.121677	0.0376509	0.175961	0.0894549	0.143659	0.0209979	0.061797	0.114096	0.0117415	0.439126	0.0990168	0.433628	0.761897	1.08426	1.72021	5	2.403659
15000	-329.0735	-376.9008	47.82722	10	2.649558	0.247579	0.00826359	0.29057	0.0448207	0.0078455	0.117734	0.0530197	0.00126358	0.0287522	0.0415753	0.0336598	0.0989361	0.159014	0.102537	0.046892	0.0116716	0.0351088	0.00305718	0.188589	0.0503357	0.00799779	0.00710369	0.110966	0.0783985	0.0163644	0.0599204	0.10456	0.107893	0.0650209	0.108568	0.316483	0.422262	0.0237524	0.360193	0.710072	1.08014	1.8496	5	3.000516
16000	-348.0156	-387.9854	39.96987	2	1.907154	0.0815586	0.0238181	0.0285736	0.157076	0.0284264	0.0586286	0.0347749	0.0260046	0.0306226	0.000696672	0.0245425	0.0227458	0.00733448	0.116112	0.0978658	0.0374419	0.0100507	0.0080533	0.127046	0.00701472	0.0327791	0.10637	0.00560377	0.104419	0.127421	0.508972	0.111851	0.0354186	0.055704	0.0700008	0.0761779	0.0100082	0.0321813	0.281934	0.644763	1.06748	2.00582	4	2.205294
17000	-331.2018	-389.3336	58.13188	10	1.403511	0.187705	0.00315416	0.148226	0.0676856	0.0892109	0.0862405	0.0169722	0.0360406	0.0287008	0.00373001	0.0414502	0.0568824	0.174777	0.0406066	0.0197875	0.00388642	0.0183311	0.0302161	0.189032	0.0354784	0.0682438	0.00619741	0.085762	0.0484384	0.0226736	0.0950306	0.0934641	0.0372058	0.0653923	0.0170809	0.388643	0.116831	0.0326739	0.210025	0.571666	1.04421	2.1741	5	2.35575
18000	-332.586	-381.5685	48.98253	10	3.409643	0.30933	0.00103615	0.204659	0.0326434	0.0504137	0.2364	0.00123124	0.0225299	0.00351626	0.0232526	0.139184	0.0395726	0.0220215	0.196373	0.0848419	0.000187876	0.0342209	0.00791594	0.0201243	0.147752	0.0878567	0.227566	0.0955025	0.00454712	0.0723346	0.0316166	0.174208	0.00407689	0.107681	0.0346661	0.412396	0.0733693	0.0347968	0.418664	0.751952	1.08391	1.74548	5	2.937824
19000	-327.5781	-379.0519	51.47379	10	3.398014	0.138916	0.0653873	0.00577114	0.0896302	0.0379516	0.162225	0.0149508	0.0183755	0.0258189	0.0234249	0.00660219	0.0486237	0.0313446	0.108189	0.0341211	0.0165322	0.0430473	0.0768605	0.109352	0.0560738	0.0557383	0.0618221	0.0208325	0.245877	0.0112858	0.0380964	0.31133	0.104625	0.0651138	0.11982	0.0936338	0.0104612	0.0674496	0.417887	0.751428	1.08388	1.7468	5	2.319283
20000	-328.0411	-383.4466	55.40556	10	1.122152	0.117572	0.0520443	0.0665718	0.183528	0.047494	0.0770523	0.0118028	0.0483355	0.00653634	0.00765264	0.0130231	0.0112603	0.0739543	0.0616869	0.0509451	0.0101065	0.00932442	0.0403277	0.404705	0.0174257	0.022637	0.0764753	0.0226347	0.277879	0.00307476	0.00431402	0.147779	0.040277	0.0601845	0.0823699	0.0293636	0.157954	0.115948	0.160662	0.510622	1.01762	2.3111	5	2.35224
21000	-334.4208	-388.1522	53.73137	10	2.12438	0.264657	0.0146707	0.0927937	0.0360543	0.0782127	0.0810452	0.108184	0.0164632	0.0411732	0.0698606	0.00986873	0.0172472	0.0581714	0.0570634	0.0844634	0.0460534	0.0475576	0.0267635	0.271994	0.0482777	0.0839187	0.0991702	0.020917	0.00584703	0.0922092	0.131158	0.138352	0.01088	0.148865	0.0131881	0.0430396	0.0751947	0.127525	0.307683	0.66762	1.07281	1.95189	5	2.460839
22000	-329.8621	-384.5173	54.65527	10	1.216016	0.154885	0.0205386	0.108445	0.125931	0.0015012	0.141055	0.0864343	0.0463785	0.0689598	0.0227208	0.0521588	0.0287031	0.0218108	0.0589164	0.13758	0.0350795	0.01013	0.00402731	0.178987	0.000317154	0.116281	0.0397063	0.125937	0.0730316	0.0405646	0.441703	0.115565	0.227206	0.0778209	0.0300421	0.035193	0.110335	0.161622	0.177943	0.533276	1.02825	2.26053	5	2.899566
23000	-333.9481	-388.0386	54.09046	10	1.08903	0.183461	0.037559	0.064995	0.00787099	0.0319762	0.12432	0.0629589	0.0487444	0.0309736	0.0241316	0.0239626	0.00215032	0.0777324	0.135701	0.0935368	0.00587038	0.0291784	0.00905359	0.00197135	0.15375	0.00234368	0.0216896	0.0696739	0.069829	0.0259854	0.308639	0.0220277	0.170155	0.127503	0.199544	0.162364	0.0153855	0.0936381	0.154368	0.501968	1.01332	2.33035	5	2.438676
24000	-314.3996	-377.9595	63.5599	10	3.322707	0.192285	0.0427508	0.0417203	0.0392746	0.0445811	0.0832667	0.0627505	0.00364996	0.0344854	0.00610462	0.0157603	0.042293	0.0236016	0.145863	0.0277216	0.00808481	0.0938773	0.00276631	0.06928	0.0252059	0.0378628	0.051892	0.0105636	0.030489	0.0161983	0.0488983	0.0366103	0.0132203	0.321754	0.241827	0.0914845	0.132113	0.155729	0.412783	0.747963	1.0837	1.75555	5	2.193965
25000	-319.3371	-380.0498	60.71263	10	1.652049	0.242792	0.0333226	0.0310928	0.000539555	0.0782879	0.0996442	0.026012	0.0033624	0.0402701	0.0249741	0.00893467	0.121924	0.00228685	0.0704184	0.0532334	0.0378652	0.115353	0.022928	0.167044	0.0450207	0.0141658	0.0407419	0.278362	0.0483933	0.090875	0.00700447	0.0278495	0.0119971	0.0389195	0.176561	0.0649807	0.0320507	0.00226828	0.247884	0.612053	1.05823	2.08183	5	2.059476
26000	-345.7156	-400.5927	54.87708	10	1.428932	0.15856	0.00475117	0.158085	0.0350951	0.0295525	0.0439136	0.116731	0.0175346	0.0241363	0.0304627	0.0327048	0.0429701	0.0393547	0.105396	0.030612	0.0114614	0.0225814	0.0551354	0.0539786	0.0136363	0.0681971	0.0799938	0.127144	0.0184375	0.00379655	0.0381855	0.0162223	0.0356695	0.0509542	0.0761593	0.210129	0.474948	0.0827463	0.214132	0.576283	1.04596	2.16362	5	2.309235
27000	-327.1818	-381.5696	54.38783	10	0.8533183	0.131637	0.0378457	0.0916502	0.175804	0.0575957	0.0694627	0.150319	0.00733468	0.0120238	0.0140225	0.0162852	0.0192689	0.0295309	0.0528348	0.0609059	0.00361233	0.0935153	0.0014917	0.0960428	0.0532507	0.247625	0.408123	0.0890397	0.0401747	0.0862781	0.00200976	0.111247	0.0205971	0.0557397	0.0628333	0.333973	0.040131	0.0172231	0.106843	0.427746	0.9707	2.49471	5	2.689428
28000	-327.0757	-378.5319	51.45624	10	1.124749	0.209021	0.00254709	0.0569476	0.137328	0.0311127	0.110261	0.0362697	0.0636189	0.0585341	0.015849	0.035399	0.0570504	0.012356	0.144253	0.0338371	0.0195007	0.00579539	0.0349579	0.0212933	0.0818666	0.0215272	0.106651	0.0295675	0.484459	0.0676071	0.00573031	0.107108	0.0032629	0.214241	0.00293893	0.179675	0.0284819	0.0798819	0.161151	0.511285	1.01794	2.30962	5	2.49893
