Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
16000	-83.8102	-137.7948	53.98458	10	0.2728933	0.0122607	0.0739908	0.00895601	0.0798939	0.0222994	0.0585213	0.109585	0.0715307	0.0420782	0.00197725	0.0129045	0.0194505	0.203626	0.271467	0.269547	0.0541972	0.158422	0.019004	0.152409	0.0099311	0.0202174	0.325517	0.0215793	0.0033545	0.0836518	0.547345	3.36565	5	2.019366
17000	-99.17655	-147.8609	48.68431	10	0.6476631	0.00256164	0.169143	0.0899096	0.25048	0.0645747	0.0303785	0.0788035	0.142494	0.057986	0.0163986	0.182248	0.00357737	0.271907	0.207029	0.0169017	0.0164853	0.0396072	0.181638	0.089596	0.00687871	0.440535	0.118493	0.226376	0.0630642	0.337753	0.903815	2.69537	5	2.704002
18000	-91.15373	-143.4927	52.33893	10	0.2872285	0.0143417	0.0653472	0.00382631	0.0652444	0.0683541	0.109933	0.310807	0.0583493	0.00878347	0.0212131	0.000667627	0.000405623	0.143857	0.040778	0.186538	0.0739092	0.0192901	0.118682	0.04759	0.342021	0.300844	0.0335564	0.192466	0.00431662	0.0946041	0.573718	3.32736	5	2.226805
19000	-98.18753	-147.3717	49.18413	10	0.5007404	0.0193642	0.00513349	0.10345	0.255339	0.134647	0.0634297	0.0886212	0.103967	0.0295581	0.0496118	0.190206	0.0450106	0.261183	0.0978322	0.00965615	0.224003	0.305318	0.0669935	0.0458736	0.31072	0.0648162	0.00538722	0.317915	0.0335251	0.252399	0.820806	2.89327	5	2.798036
20000	-95.78056	-151.7356	55.95509	10	0.8055247	0.0248377	0.0470658	0.170834	0.198305	0.223827	0.0525359	0.0292025	0.0850136	0.0026093	0.00492419	0.0827119	0.0206812	0.144051	0.0123892	0.378224	0.00583513	0.0954936	0.182824	0.328963	0.187328	0.030403	0.0700506	0.00686552	0.0967338	0.409349	0.958474	2.53544	5	2.384976
21000	-105.1234	-146.5465	41.42312	10	2.877798	0.0588523	0.00970121	0.117906	0.0673433	0.0487485	0.137767	0.13115	0.0600572	0.0166258	0.0141335	0.0146962	0.00299177	0.148138	0.175867	0.147499	0.0144145	0.538138	0.194313	0.0232067	0.170804	0.0451514	0.221835	0.000992398	0.379582	0.724529	1.08184	1.81405	5	2.360333
22000	-84.58881	-143.8745	59.2857	10	0.9353931	0.019575	0.00311258	0.0226748	0.0420319	0.0815061	0.0717885	0.0863881	0.0393772	0.0150301	0.0765585	0.0377932	0.0433352	0.280718	0.0336338	0.00914257	0.123669	0.00434001	0.432414	0.0704775	0.158494	0.0873093	0.0366924	0.217187	0.12389	0.456432	0.988412	2.43127	5	1.993249
23000	-93.61922	-145.0591	51.43988	10	0.1644765	0.00827499	0.0529401	0.0459752	0.19208	0.0256888	0.0519491	0.176153	0.00123259	0.0291376	0.0212815	0.101003	0.0341691	0.0341009	0.0159586	0.106117	0.0745768	0.0223119	0.225158	0.0375561	0.268558	0.201675	0.624295	0.025344	0.000119471	0.0161133	0.284934	3.69883	5	2.375535
24000	-91.03753	-142.5647	51.52712	10	0.967062	0.0385931	0.0196692	0.00821151	0.0953533	0.0347852	0.00778235	0.0671882	0.114797	0.0577741	0.0137449	0.0352825	0.00133438	0.121871	0.0546545	0.260951	0.300469	0.289509	0.0424946	0.43466	0.0489763	0.20575	0.00838697	0.169247	0.130336	0.466623	0.99432	2.40872	5	2.431485
25000	-93.49687	-140.0348	46.53791	10	0.8161368	0.087611	0.0720802	0.035261	0.0509618	0.0804884	0.0863348	0.228766	0.16201	0.0848412	0.0209593	0.00935248	0.00879677	0.175882	0.0767828	0.329153	0.27606	0.36824	0.449309	0.00134477	0.109612	0.0477475	0.0486911	0.267856	0.0989876	0.413551	0.961328	2.52613	5	3.07814
