Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
12000	-441.7041	-501.1547	59.45057	10	0.8331843	0.00206082	0.0034511	0.0249441	0.0126077	0.0912884	0.111322	0.198743	0.0684797	0.00435255	0.0362716	0.00077335	0.0411196	0.14823	0.104992	0.0935522	0.100127	0.0547824	0.0787201	0.0166206	0.117838	0.0951173	0.147531	0.122203	0.0870731	0.0324109	0.184313	0.140726	0.0795133	0.00767495	0.00958314	0.335494	0.102598	0.420159	0.965742	2.5115	5	2.551913
13000	-440.1753	-490.4373	50.26193	10	0.3346304	0.0333242	0.0124924	0.0640625	0.116904	0.0924823	0.05422	0.0583841	0.129693	0.048746	0.0141793	0.0277752	0.0655171	0.146643	0.028828	0.14277	0.299874	0.0700845	0.193912	0.00177266	0.640301	0.221602	0.122285	0.118593	0.064576	0.0643275	0.118982	0.117709	0.243809	0.0315407	0.0173188	0.0358174	0.00852023	0.131567	0.64963	3.21028	5	3.398526
14000	-444.4129	-497.7836	53.37071	10	1.786831	0.0023597	0.00883536	0.0676561	0.0608976	0.082617	0.0867449	0.0405638	0.034002	0.098105	0.0468565	0.0491238	0.0787212	0.144551	0.0448548	0.114732	0.111472	0.0730606	0.140283	0.120139	0.478216	0.102682	0.14904	0.272334	0.130447	0.0176956	0.0862912	0.0377414	0.291745	0.0944624	0.0300121	0.0545797	0.266429	0.630246	1.06361	2.03971	5	3.150821
15000	-446.9673	-489.7881	42.82082	10	0.6664736	0.0184564	0.0176601	0.0483145	0.150868	0.0562511	0.0555766	0.0702486	0.0840875	0.00239651	0.0673928	0.0324593	0.0269952	0.0834786	0.00262418	0.0822455	0.0841654	0.0374651	0.404507	0.595715	0.0979346	0.165364	0.500026	0.081011	0.0565713	0.0539591	0.165531	0.101196	0.183929	0.0109418	0.0241515	0.0489435	0.0670465	0.347272	0.911782	2.6739	5	3.410467
16000	-447.7973	-499.0392	51.24189	10	0.5900504	0.014461	0.0273178	0.0323181	0.00448156	0.0211772	0.0788666	0.103065	0.0984152	0.0607216	0.0574832	0.0554843	0.00519484	0.060361	0.114553	0.26345	0.182016	0.0636009	0.0996959	0.161788	0.00277077	0.0406093	0.0543105	0.0424319	0.0182023	0.466912	0.126408	0.350038	0.551589	0.0381106	0.0184294	0.0115096	0.0510626	0.306696	0.876157	2.76608	5	3.225773
17000	-459.2414	-500.7653	41.52397	10	1.943329	0.0111631	0.0312698	0.0479483	0.394578	0.154148	0.198369	0.00917012	0.0909135	0.0387257	0.0461397	0.0344432	0.0855906	0.150659	0.064747	0.159614	0.0372957	0.166246	0.00652057	0.124188	0.127347	0.197457	0.45459	0.135693	0.127919	0.0157546	0.0755968	0.168227	0.469903	0.0295383	0.292826	0.0865267	0.286415	0.648849	1.0685	1.99623	5	4.033105
18000	-460.4069	-498.8009	38.39391	10	0.530194	0.0268922	0.0486032	0.0745347	0.191029	0.0454659	0.0727534	0.0137137	0.0692644	0.0236491	0.068642	0.0199628	0.0456579	0.197703	0.0373076	0.150034	0.126493	0.0627331	0.102336	0.38498	0.0222961	0.0528611	0.496091	0.0692277	0.0353682	0.501209	0.00578778	0.206415	0.0501296	0.0482315	0.0861811	0.0474806	0.0391114	0.271171	0.841053	2.84866	5	3.383033
19000	-433.374	-480.1025	46.72849	10	0.4918978	0.0151385	0.00882976	0.0124087	0.0481168	0.02595	0.0524638	0.0585043	0.0373313	0.0475323	0.0358105	0.0127509	0.0238937	0.152898	0.00160198	0.169018	0.21839	0.0226905	0.218594	0.176256	0.0955108	0.122021	0.31862	0.376624	0.421872	0.101669	0.0102813	0.277297	0.104105	0.028593	0.279691	0.0691368	0.031896	0.246594	0.814282	2.90723	5	3.5436
20000	-454.8368	-492.9109	38.07412	10	1.891639	0.00781444	0.0012307	0.0744196	0.340908	0.00612169	0.0399767	0.156752	0.103795	0.0450978	0.0468902	0.00285276	0.00464249	0.12971	0.0307704	0.13621	0.0518542	0.147576	0.0440468	0.190084	0.279504	0.0107618	0.312851	0.232261	0.377045	0.0570159	0.023997	0.00819477	0.258343	0.0400803	0.0820252	0.215327	0.279987	0.642973	1.06703	2.01001	5	3.458158
21000	-450.9135	-496.3603	45.44685	10	4.020221	0.0342202	0.067643	0.0179813	0.21495	0.103315	0.101246	0.243444	0.183265	0.104636	0.025623	0.0321946	0.0200479	0.131339	0.0582723	0.0938142	0.0997598	0.0350864	0.0341805	0.0283905	0.15485	0.151408	0.284736	0.103254	0.233062	0.281012	0.0315691	0.0040853	0.147938	0.00225783	0.573945	0.0955933	0.45547	0.775905	1.0844	1.68423	5	3.69312
