Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
13000	-387.582	-465.5826	78.00063	10	0.8366578	0.0368418	0.0146549	0.0221586	0.0577059	0.0999059	0.0382301	0.0112841	0.0457803	0.0106302	0.110272	0.0298936	0.00901974	0.0380974	0.0943891	0.112146	0.0644913	0.0424897	0.0173835	0.00756565	0.138119	0.123298	0.317145	0.122534	0.067094	0.229194	0.0733564	0.240274	0.345675	0.208606	0.103332	0.421484	0.966617	2.50857	5	2.728236
14000	-373.3254	-454.724	81.3986	10	2.347342	0.105184	0.0166415	0.000548963	0.0329483	0.0762596	0.0295219	0.0037783	0.0220732	0.0552098	0.00172048	0.0508019	0.0179741	0.0711739	0.019515	0.100639	0.0810196	0.0499515	0.129957	0.190976	0.428268	0.00126562	0.0101579	0.0055404	0.0167208	0.340516	0.0142143	0.604107	0.0925362	0.463584	0.331488	0.687505	1.07667	1.90434	5	3.032806
15000	-376.4079	-466.9496	90.54169	10	1.740096	0.071256	0.014723	0.0182721	0.0469866	0.0277436	0.00778343	0.0059398	0.0332807	0.117748	0.0376688	0.000891587	0.0259273	0.0378861	0.100598	0.116096	0.0481681	0.189799	0.0182781	0.00101542	0.0219066	0.105062	0.0162563	0.0495138	0.262355	0.289507	0.0446336	0.156427	0.2195	0.238891	0.260145	0.624187	1.06188	2.05379	5	2.324114
16000	-369.529	-462.9299	93.40093	10	3.217584	0.116405	0.0353896	0.0147978	0.039521	0.0598384	0.0110029	0.010769	0.0383609	0.0192365	0.0248826	0.0439482	0.0479718	0.133125	0.0397131	0.0134473	0.0390686	0.00589806	0.101088	0.0981162	0.39013	0.131485	0.0622992	0.0144855	0.0819287	0.0232153	0.026546	0.16405	0.170604	0.233173	0.405424	0.742905	1.0834	1.76827	5	2.190497
17000	-373.0548	-464.6253	91.57054	10	1.562511	0.0265942	0.0185033	0.0209953	0.0274666	0.168059	0.0543547	0.0368255	0.000938599	0.0893061	0.00300322	0.0143466	0.0631865	0.356296	0.00423613	0.0171068	0.0567999	0.158616	0.0965933	0.0390765	0.19633	0.251642	0.046223	0.164137	0.0105088	0.262766	0.0327205	0.106919	0.0363898	0.332187	0.23482	0.598641	1.05389	2.11265	5	2.692127
18000	-380.8354	-465.219	84.38351	10	1.245685	0.00538217	0.0389849	0.00290771	0.0579264	0.113589	0.0141733	0.036993	0.0364587	0.102983	0.0543047	0.217434	0.0973661	0.100529	0.0490008	0.0577854	0.00797563	0.00923419	0.00586567	0.249973	0.40369	0.347493	0.355207	0.0805363	0.189302	0.00321195	0.0769387	0.152935	0.0358197	0.266814	0.183234	0.539915	1.0312	2.24565	5	3.170815
19000	-381.4814	-466.8839	85.40247	10	2.294379	0.0741292	0.0261787	0.00406253	0.0450429	0.0120707	0.0526138	0.0216778	0.038606	0.0791365	0.0111327	0.0122932	0.00130808	0.0207604	0.0905909	0.0301639	0.205595	0.230441	0.115792	0.00984304	0.166179	0.0618161	0.0967971	0.16892	0.0545072	0.0447187	0.0458443	0.159728	0.0549498	0.229873	0.326053	0.683063	1.07587	1.91501	5	2.164772
20000	-381.7656	-466.4612	84.69558	10	3.550932	0.045068	0.0207351	0.0608337	0.0110774	0.0993398	0.0557195	0.0279895	0.0946225	0.18702	0.0678915	0.03802	0.00979477	0.259066	0.234982	0.0554819	0.0527811	0.870326	0.155384	0.143871	0.0542791	0.00911856	0.0382695	0.432066	0.010158	0.116574	0.18113	0.169045	0.106048	0.00757244	0.427851	0.758092	1.08415	1.7299	5	3.614265
21000	-387.3338	-464.5737	77.23989	10	1.684676	0.0311182	0.0913887	0.00821989	0.0295628	0.0230755	0.014532	0.0727202	0.0405471	0.129091	0.0337411	0.0244453	0.0150409	0.0646506	0.0505939	0.319916	0.0692289	0.0647921	0.835152	0.0611553	0.0111815	0.0250455	0.0392611	0.0708529	0.110932	0.208652	0.0596232	0.29929	0.929556	0.215569	0.252494	0.616664	1.05965	2.07119	5	3.948935
22000	-377.6378	-465.4573	87.81949	10	1.780669	0.0738973	0.0100619	0.0434909	0.0061516	0.331404	0.0347229	0.0404316	0.0409369	0.0438981	0.0531309	0.103721	0.0173776	0.2286	0.0554609	0.149516	0.0693945	0.214623	0.109333	0.642366	0.0539008	0.00578806	0.166589	0.149418	0.0217289	0.155796	0.0751279	0.0377621	0.302634	0.0443011	0.265609	0.629461	1.06339	2.04154	5	3.281564
23000	-386.9639	-468.8832	81.91928	10	0.9554885	0.111211	0.00562521	0.0170325	0.0156783	0.0190615	0.0369185	0.090468	0.0277895	0.00489223	0.0758701	0.0569116	0.119931	0.116381	0.00249291	0.0798386	0.0515666	0.0842371	0.0429576	0.506315	0.521769	0.155665	0.0579442	0.0523836	0.18679	0.00722458	0.217213	0.00943891	0.34438	0.0739723	0.127989	0.462951	0.992214	2.41684	5	3.091958
24000	-375.0883	-456.5544	81.46611	10	0.9711617	0.0579866	0.0180408	0.00672825	0.0230926	0.018425	0.0301967	0.0542285	0.00978635	0.0567499	0.0163084	0.0332235	0.0182757	0.117882	0.0502206	0.135842	0.0798595	0.306704	0.0414847	0.326269	0.0715389	0.000447957	0.011468	0.143261	0.209449	0.00420789	0.0485267	0.0977115	0.458282	0.515949	0.131165	0.467909	0.995052	2.40587	5	2.962146
