Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
747000	-1120.912	-1186.625	65.71397	2	2.050224	0.019704	0.0163288	0.0594298	0.00823666	0.00836033	0.0082513	0.0387828	0.000583904	0.0182289	0.00369731	0.00228057	0.0050793	0.0393318	0.000367438	0.0136663	0.0111796	0.00874324	0.0159326	0.0111365	0.126928	0.0175094	0.00740441	0.00720516	0.0153281	0.0404891	0.0409161	0.00614347	0.0129302	0.0478016	0.00354435	0.0114292	0.0286738	0.00169379	0.0320905	0.00649977	0.00789162	0.0986728	0.00161401	0.000219725	0.00351593	0.013999	0.0427593	0.0241894	0.00189062	0.00134834	0.0346207	0.00766236	0.0171428	0.000681772	0.00527541	0.0108415	0.000480838	0.0188805	0.00783606	0.0294223	0.111772	0.0978738	0.112488	0.0239982	0.00108472	0.158344	0.0237548	0.114966	0.00978675	0.0121895	0.0280712	0.0153196	0.0278997	0.286941	0.000573084	0.0432945	0.00667052	0.0242311	0.0978968	0.0746038	0.0276036	0.0161339	0.000523632	0.00417783	0.0217784	0.021843	0.0867812	0.00726868	0.105198	0.00243646	0.00613959	0.158449	0.0484966	0.0220095	0.0258338	0.00582571	0.0613716	0.0409677	0.0280813	0.0162614	0.0575122	0.0956941	0.196263	0.00117937	0.0111975	0.0146882	0.119869	0.0530181	0.299197	0.66025	1.0712	1.96936	4	3.553215
748000	-1135.738	-1192.673	56.93499	2	1.622728	0.0807003	0.0218011	0.0381225	0.00363701	0.0152055	0.000477401	0.0420914	0.0575767	0.000924805	0.0379982	0.00749752	0.00480646	0.0191347	0.0381559	0.0220834	0.013894	0.0345162	0.0172811	0.00731694	0.179434	0.0094928	0.0237228	0.00465574	0.0303693	0.0358589	0.0959467	0.00171199	0.000201528	0.0194337	0.0398286	0.0255297	0.0366264	0.00677089	0.0173717	0.0142631	0.0250443	0.105296	0.00264047	0.0354987	0.00813591	0.00392762	0.0166373	0.0188816	0.00241256	0.028933	0.00121032	0.00433401	0.0215805	0.00284066	0.00712471	0.00561734	0.00165609	0.0509991	0.0101138	0.056398	0.187266	0.0203319	0.0759153	0.0168358	0.0126597	0.00378947	0.0147945	0.151461	0.0186976	0.0351792	0.0285257	0.00726188	0.0294187	0.454162	0.0416804	0.117908	0.0616816	0.026485	0.0554259	0.0994416	0.00560198	0.00984518	0.0319708	0.0802873	0.249894	0.116878	0.160392	0.00815631	0.124302	0.0461777	0.00411943	0.104861	0.00784902	0.0772212	0.000872447	0.00966799	0.0081988	0.0414856	0.019152	0.0440091	0.12924	0.13562	0.126387	0.0921433	0.0660865	0.0434294	0.0692684	0.0266102	0.243674	0.607787	1.05688	2.09166	4	4.712371
749000	-1123.778	-1190.892	67.11363	2	2.944385	0.0509172	0.0220564	0.0118402	0.00207642	0.0104519	0.00834117	0.0515289	0.0228954	0.00923117	0.0369446	0.00731615	0.00285745	0.0610397	0.0113874	0.00307869	0.00750551	0.00981217	0.00516021	0.0253391	0.157369	0.0120498	0.00159228	0.00263074	0.00370302	0.0828119	0.0392771	0.00400993	0.0285604	0.0526656	0.000376914	0.00617779	0.0151209	0.0358451	0.0131961	0.00270087	0.0123532	0.0551012	0.0164305	0.0357102	0.0311156	0.0114561	0.000229189	0.0380444	0.0112649	0.000223831	0.0125681	0.0280994	0.0236066	0.00641372	0.0168256	0.00717629	0.0039032	0.00326039	0.015402	0.0205864	0.0265058	0.0120123	0.132891	0.00289604	0.000229732	0.0133661	0.0260951	0.12011	0.0318641	0.052638	0.0161359	0.00229832	0.0161082	0.370119	0.0041071	0.060209	0.0504944	0.00564817	0.0127141	0.0530657	0.00394141	0.0188815	0.0901589	0.0231558	0.104284	0.0332915	0.123259	0.00241729	0.0539856	0.00584599	0.0548529	0.0405137	0.0215772	0.0322965	0.11456	0.00309074	0.00995445	0.00311764	0.0518001	0.0701376	0.135745	0.105534	0.0869298	0.000522467	0.00578869	0.0357437	0.0836495	0.0197289	0.384913	0.728401	1.08223	1.80446	4	3.511909
750000	-1157.024	-1211.682	54.6575	2	3.312858	0.0114446	0.0213368	0.0251357	0.0184174	0.00188997	0.00493081	0.0225551	0.0431896	0.00595019	0.0517891	0.0244172	0.00374279	0.0252989	0.0244761	0.0164277	0.011098	0.00113157	0.0327023	0.0264347	0.166068	0.0090175	0.0363448	0.0422543	0.0015948	0.0742875	0.0347148	0.0142025	0.0271348	0.0712554	0.0120955	0.0100455	0.0320321	0.0295286	0.0220931	0.00113226	0.00907255	0.0721332	0.0202759	0.0337769	0.00449451	0.0157349	0.000939543	0.0315721	0.00186734	0.0927543	0.0355162	0.0127171	0.0333415	0.0194184	0.00204275	0.00011487	0.0166904	0.0270988	0.00990643	0.0225491	0.0678901	0.0117486	0.145859	0.0117702	0.0578628	0.0176202	0.0363436	0.0906353	0.039084	0.0380095	0.0121176	0.0367768	0.0135118	0.219705	0.0218782	0.122299	0.1061	0.0271137	0.000682951	0.0185697	0.0282244	0.000908303	0.05246	0.0747034	0.010652	0.00756007	0.216525	0.256124	0.111718	0.0189253	0.00487678	0.0955841	0.0365511	0.0271927	0.0669815	0.001234	0.0131752	0.060442	0.0814078	0.0734794	0.00684599	0.195543	0.204592	0.0177489	0.00285872	0.0256153	0.123647	0.163275	0.412105	0.7475	1.08368	1.75672	4	4.492616
751000	-1161.572	-1215.515	53.94302	2	3.325436	0.111285	0.00638063	0.0157034	0.0462731	0.00208543	5.85895e-05	0.0351958	0.0840452	0.0111935	0.0450382	0.00874953	0.00672505	0.050975	0.00332673	0.00456432	0.002465	0.0200061	0.0556168	0.031855	0.27863	0.0106807	0.024078	0.00411457	0.0693759	0.0801575	0.0475142	0.0547784	0.00216496	0.0306944	0.00550924	0.016301	0.011065	0.0377189	0.0441652	0.00871451	0.028604	0.0630564	0.0499368	0.0238327	0.000173291	0.0109294	0.0269962	0.0126778	0.0205193	0.000640461	0.0361388	0.0152487	0.0118587	0.0160055	0.0112532	0.0135331	0.00115616	0.0271669	0.0899696	0.0164567	0.137229	0.0817776	0.0193651	0.0145651	0.0704158	0.0126301	0.00548672	0.00233502	0.0674119	0.0364031	0.00939189	0.00777575	0.00865462	0.319675	0.0240496	0.123324	0.041123	0.0269371	0.00701115	0.0156906	0.00901233	0.110784	0.0366802	0.0320291	0.131641	0.0690486	0.333741	0.0325028	0.0966118	0.0161148	0.0100546	0.121777	0.030359	0.000512734	0.0207883	0.0167827	0.0136726	0.0710344	0.0115808	0.0584521	0.0863361	0.00880557	0.0979801	0.0159064	0.0088555	0.0233051	0.210094	0.050092	0.41297	0.748091	1.08371	1.75523	4	4.499164
752000	-1160.367	-1214.504	54.13723	2	2.506294	0.0970289	0.0406929	0.0105125	0.00138359	0.0187142	0.00196072	0.0274283	0.0231236	0.00489493	0.0290525	0.0157654	0.0331821	0.0233878	0.0435669	0.00251176	0.00244813	0.00300523	0.00379306	0.0389285	0.183179	0.0294657	0.0112105	0.0061147	0.0150041	0.0236465	0.0778624	0.0265772	0.024531	0.0239728	0.012522	0.0141095	0.0338001	0.0121583	0.016297	0.0337914	0.0966056	0.175475	0.00708965	0.000986201	0.0157222	0.00417335	0.0266764	0.0175583	0.00271648	0.0259467	0.0342423	0.0003681	0.0155234	0.0680502	0.00424511	0.017884	0.0157121	0.0427726	0.00294832	0.0644503	0.382612	0.0664414	0.00547981	0.0181224	0.227736	0.0147696	0.00327634	0.0225969	0.0315973	0.0532725	0.000884861	0.0835994	0.00454613	0.524331	0.0146002	0.10544	0.0222164	0.0487432	0.0479006	0.0329029	0.000380036	0.00596214	0.0155656	0.00250173	0.163904	0.054948	0.238451	0.0890275	0.111007	0.0311453	0.0090796	0.0871835	0.035335	0.100469	0.00663159	0.0150483	0.160575	0.00991756	0.0137938	0.0290097	0.120982	0.195301	0.112108	0.00428097	0.00167449	0.0159647	0.0383131	0.0154274	0.347053	0.699922	1.0787	1.87433	4	4.999823
753000	-1127.448	-1185.999	58.55106	2	1.537811	0.0143674	0.018277	0.0314091	0.00579363	0.0153089	0.000955971	0.0168866	0.0372406	0.0161518	0.0350229	0.0016154	0.0117556	0.041613	0.00622552	0.047695	0.0193869	0.0257131	0.0467846	0.0326678	0.240093	0.0471929	0.0147926	0.00603453	0.0144945	0.0358475	0.075525	0.00131709	0.000648089	0.0341793	0.00229583	0.00580437	0.0344771	0.00135371	0.0131744	0.00545108	0.00158446	0.0968732	0.00832214	0.00761769	0.000880034	0.00134931	0.0126192	0.00454715	0.00317815	0.0505938	0.0154817	0.000709974	0.00575148	0.0240659	0.0144544	0.00727701	0.0115335	0.0346698	0.128752	0.00260911	0.118115	0.0563658	0.00867563	0.0627358	0.0692752	0.00140464	0.0120564	0.00412539	0.064587	0.00944541	0.0516948	0.0156399	0.0395021	0.243909	0.0458222	0.0398086	0.0657915	0.020532	0.0191355	0.0278839	0.0386658	0.0198369	0.00938387	0.00975528	0.246389	0.0202194	0.241553	0.183911	0.0882029	0.0136545	0.0124212	0.0195816	0.00830848	0.027545	0.00238114	0.120655	0.0658253	0.04996	0.0661818	0.064195	0.187917	0.127066	0.248808	0.0423811	0.0170939	0.0341582	0.0907825	0.0169251	0.231105	0.594731	1.05257	2.1216	4	4.440684
754000	-1144.177	-1199.629	55.4519	2	3.082344	0.0423449	0.112963	0.0180874	0.00130941	0.0191713	0.00936221	0.0323053	0.0175648	0.000460443	0.0232833	0.00328901	0.0124258	0.073529	0.0133767	0.0254593	0.00120617	0.0250054	0.00957736	0.00430701	0.269692	0.0309885	0.0687073	0.0106423	0.033358	0.0908169	0.0295896	0.00201056	0.00868021	0.0106947	8.34822e-05	0.0311822	0.0177372	0.000149045	0.0177739	0.00550963	0.0444744	0.131546	0.0759661	0.0124495	0.00225293	0.0153631	0.000916593	0.00294234	0.0240065	0.0064579	0.0122706	0.0319828	0.00754253	0.0137136	0.00289641	0.00566901	0.00969887	0.0187831	0.00413394	0.0238761	0.085421	0.116494	0.0481657	0.0211353	0.0139954	0.0277198	0.0136128	0.000118679	0.00533916	0.0334884	0.0147976	0.0274599	0.0684516	0.255927	0.0207573	0.0441926	0.117741	0.0174875	0.0494637	0.0496545	0.00454251	0.100946	0.020687	0.0224552	0.100452	0.0987507	0.181461	0.219328	0.000761654	0.0569251	0.00804875	0.00174936	0.0365052	0.00623673	0.152735	0.240297	0.0376713	0.0677349	0.00792321	0.00959766	0.11195	0.10765	0.227001	0.0379658	0.139209	0.0289763	0.0371977	0.00609927	0.395534	0.735988	1.08289	1.78559	4	4.621867
755000	-1157.549	-1211.529	53.97991	2	1.790377	0.0402798	0.115277	0.0395428	0.0308011	0.00477636	0.0085549	0.0290832	0.0444785	0.00646252	0.0469587	0.0314526	0.0199113	0.106312	0.00066104	0.00760265	0.0053534	0.00384453	0.0190034	0.0378104	0.185514	0.0259762	0.0462376	0.00310285	0.0508767	0.0407399	0.112933	0.0215423	0.00479784	0.0237427	0.0223973	0.0196136	0.0135245	0.00204802	0.0171694	0.00136541	0.0650581	0.0439577	0.0167991	0.0166334	0.00349479	0.00872502	0.0170115	0.048059	0.00825901	0.0405197	0.0293355	0.00307359	0.0252567	0.00689983	0.031195	0.0317867	0.0343322	0.0037461	0.00379952	0.0896184	0.11981	0.00415966	0.00352466	0.0133069	0.020854	0.026281	0.101505	0.033499	0.0396545	0.0383195	0.242827	0.0261879	0.00330352	0.274552	0.124412	0.115601	0.140978	0.00650625	0.0183761	0.0514217	0.00117432	0.0288707	0.00853904	0.0511735	0.011612	0.0248157	0.0634953	0.213238	0.00892016	0.0377686	0.0540208	0.0075344	0.00440838	0.0791522	0.237125	0.265055	0.0145148	0.0229576	0.0580788	0.0255885	0.256985	0.122228	0.190897	0.00174361	0.160591	0.0122925	0.0792367	0.00202902	0.2669	0.630695	1.06374	2.03867	4	5.166435
756000	-1145.64	-1196.574	50.93416	2	1.655567	0.0262096	0.0603597	0.055315	0.017165	0.0261194	0.010997	0.0141862	0.0175464	0.00162734	0.0307224	0.0213294	0.0070862	0.0509146	0.0136518	0.00392944	0.00181518	0.00128529	0.00966669	0.0420307	0.116536	0.0121376	0.00301183	0.00972561	0.0312698	0.0535591	0.0590884	0.0453621	0.00439798	0.0179641	0.00894124	0.0276092	0.0217205	0.0175725	0.00364386	0.00635397	0.0276718	0.0189491	0.00454716	0.108348	0.0163549	0.0147436	0.010907	0.0276559	0.0298107	0.00709001	0.0089779	0.00378923	0.0098624	0.0134822	0.00399665	0.00649066	0.000174923	0.0100513	0.0320527	0.017038	0.299997	0.0262718	0.0134928	0.0138608	0.00638403	0.0475209	0.340799	0.00151478	0.172467	0.0341422	0.270826	0.000119053	0.0392085	0.280198	0.0867547	0.0990446	0.0884953	0.0246806	0.0129919	0.0221576	0.00156716	0.135687	0.00389484	0.0268518	0.170359	0.050717	0.00678874	0.0499038	0.0253404	0.00480004	0.0270238	0.00680122	0.0029089	0.0220037	0.152666	0.209259	0.0912246	0.0278588	0.143203	0.0447066	0.145745	0.0595177	0.177732	0.003627	0.0202787	0.0269177	0.194058	0.0337043	0.248385	0.612557	1.05839	2.08067	4	4.968919
757000	-1133.144	-1187.487	54.34286	2	2.319789	0.0180311	0.00557342	0.0187004	0.00321494	0.00658388	0.015964	0.0276157	0.0660572	0.0295716	0.0160707	0.00448952	0.0214956	0.0484214	0.00329294	0.0371351	0.0284019	0.0132403	0.000772737	0.0512309	0.246766	0.0259527	0.01813	0.000990596	0.00643671	0.0585348	0.0453456	0.0121362	0.000953679	0.026118	0.00935809	0.00802679	0.0187442	0.0250825	0.0241685	0.021329	0.0146205	0.0738718	0.0282083	0.00569182	0.0147058	0.00386087	0.000747908	0.0246046	0.00206629	0.0139782	0.0225459	0.00428115	0.00471922	0.00270877	0.0140442	0.000207766	0.00329595	0.0449449	0.00969274	0.142397	0.0479122	0.0279797	0.0116592	0.0277079	0.0241586	0.0212635	0.264318	0.00524069	0.05923	0.0710475	0.148634	0.00624418	0.0367604	0.42499	0.017418	0.0611244	0.0379578	0.00522139	0.0274209	0.0276784	0.0118356	0.184544	0.0296092	0.0129775	0.0225599	0.0158987	0.0302261	0.0124267	0.0584829	0.0357585	0.00646667	0.0241237	0.0542644	0.134815	0.217301	0.152603	0.013947	0.0467593	0.0252527	0.0365114	0.212972	0.176896	0.102616	0.0328471	0.234981	0.00742685	0.172626	0.0320312	0.328677	0.685215	1.07626	1.90985	4	4.847856
758000	-1168.099	-1212.822	44.7229	2	1.051086	0.0693424	0.0990561	0.0178427	0.00914065	0.0261992	0.0028469	0.0135353	0.0626637	0.0274295	0.0188192	0.00122636	0.0714307	0.0241158	0.018278	0.0144396	0.0180585	0.0175033	0.0120525	0.0578459	0.203767	0.0531276	0.0250953	0.00477687	0.0213463	0.0847901	0.117106	0.00518121	0.0186084	0.0352797	0.00849896	0.0150405	0.0275362	0.0629409	0.0168867	0.0314254	0.0487047	0.0604057	0.0125841	0.0539303	0.00199874	0.0131052	0.0140754	0.033622	0.0336299	0.00828276	0.0167766	0.000169874	0.0569233	0.00857379	0.0199451	0.0025953	0.00955977	0.025563	0.00461131	0.00940078	0.164214	0.00567254	0.00930865	0.00980292	0.0183398	0.0524775	0.406951	0.00988203	0.00744885	0.00480185	0.302268	0.00401988	0.040672	0.329289	0.0443525	0.242406	0.078127	0.0108606	0.00139441	0.0483579	0.0762943	0.0834611	0.0449453	0.0259289	0.119472	0.18851	0.128452	0.00216749	0.0447079	0.00693481	0.0236464	0.221562	0.0381528	0.0401818	0.140898	0.00672343	0.0584588	0.0209253	0.0236096	0.0494893	0.0481535	0.125771	0.146908	0.049633	0.279863	0.0425094	0.256102	0.111733	0.147033	0.491586	1.00797	2.35341	4	5.943532
759000	-1130.673	-1190.488	59.81526	2	2.988202	0.0432304	6.18279e-05	0.0192607	0.0122718	0.0209574	0.000578302	0.0405331	0.107042	0.0514878	0.0211622	0.0129252	0.0130206	0.0625908	0.002835	0.00697607	0.00217439	0.0122111	0.0159039	0.0176189	0.258422	0.0118936	0.00738299	0.0112921	0.0221977	0.0570905	0.0414946	0.0269784	0.0026332	0.0580723	0.0189091	0.0230479	0.0553945	0.000288188	0.00149438	0.008212	0.00663609	0.12145	0.000605375	0.0201972	0.00113756	0.0134184	0.0017366	0.031437	0.0151908	0.00563991	0.00281099	0.0299351	0.0168517	0.0060967	0.0235055	0.0106297	0.00255952	0.00763797	0.00830361	0.0858746	0.181308	0.0045941	0.00997724	0.00647979	0.00705664	0.0133978	0.0106999	0.102899	0.0618828	0.0233172	0.25404	0.000542552	0.023566	0.326186	0.00148222	0.147764	0.0373289	0.0194447	0.00504943	0.0500943	0.00941367	0.0730777	0.0126071	0.011191	0.101483	0.133937	0.00423305	0.0219343	0.0142457	0.0250076	0.0801678	0.105796	0.00994777	0.0521161	0.125063	0.0109549	0.035334	0.0401765	0.0343801	0.00217674	0.0234916	0.0408716	0.0960811	0.0646008	0.145481	0.00283886	0.108186	0.0108648	0.388347	0.730873	1.08246	1.79832	4	4.162068
760000	-1131.148	-1189.309	58.16041	2	2.918003	0.0190458	0.00603933	0.0448001	0.00427666	0.0390086	0.0120911	0.0260396	0.0114569	0.00593514	0.0285126	0.00119745	0.0130598	0.0537327	0.00367042	0.0431177	0.00784914	0.00688061	0.00515742	0.0206974	0.266843	0.0246557	0.032856	0.0121683	0.00163778	0.0310118	0.0629733	0.00557793	0.00539634	0.0205602	0.00290111	0.0496135	0.0148036	0.0152948	0.0399014	0.00880027	0.0801971	0.0866637	0.00165916	0.0208019	0.0167018	0.000166797	0.00208418	0.0131128	0.00683383	0.0112618	0.0146104	0.0118978	0.00382704	0.000729399	0.00861225	0.0131407	0.0193135	0.00792794	0.00649884	0.0639119	0.0115258	0.00242897	0.0042342	0.0216219	0.00561037	0.027726	0.0114976	0.191285	0.00902058	0.00117728	0.127569	0.0157314	0.0368761	0.373677	0.038833	0.0860654	0.0516529	0.0434641	0.0190043	0.0463942	0.0872635	0.0131411	0.0677459	0.000416528	0.185179	0.215309	0.00758262	0.0673511	0.0149789	0.0875874	0.0336023	0.114078	0.0241021	0.00365231	0.13162	0.00716897	0.0843974	0.010044	0.019209	0.0811873	0.138819	0.0107696	0.154651	0.0140928	0.0208426	0.00419945	0.113398	0.078415	0.382817	0.726885	1.08208	1.80822	4	4.253714
761000	-1136.538	-1192.379	55.84065	2	3.032743	0.0164853	0.00241573	0.0111649	0.00669134	0.0207073	0.00253598	0.0149324	0.0776246	0.00157775	0.0653826	0.00194005	0.0329517	0.0155419	0.00105563	0.0602714	0.000112138	0.0321801	0.0132388	0.0137096	0.139086	0.0100726	0.00196675	0.0114161	0.00977485	0.02863	0.0474599	0.00302117	0.0186305	0.0440644	0.000492865	0.0099745	0.0144729	0.0136303	0.0133065	0.00867622	0.0205248	0.117438	0.00336626	0.0721484	0.00749963	0.00456495	0.0127359	0.00203227	0.0131771	0.0173991	0.0208801	0.00243889	0.00533612	0.012691	0.0214558	0.0153368	0.0258651	0.00558552	0.0995642	0.00523933	0.108057	0.00342664	0.0147607	0.0319884	0.181661	0.0104682	0.00896262	0.000233502	0.00330618	0.00996323	0.185128	0.0698269	0.0060016	0.493754	0.0503429	0.108837	0.0232148	0.0252268	0.0487829	0.032047	0.0253849	0.00505575	0.00657242	0.132521	0.276033	0.076215	0.0721894	0.00503967	0.0181904	0.0223177	0.0160255	0.135196	0.0149801	0.0742123	0.109769	0.027233	0.0322683	0.00686302	0.0274608	0.00654872	0.176735	0.0174329	0.114527	0.0232028	0.00441207	0.00717883	0.148769	0.0285108	0.391779	0.733325	1.08267	1.79222	4	4.277306
762000	-1149.97	-1203.014	53.04398	2	4.744167	0.295776	0.118855	0.00812857	0.00506367	0.00765718	0.0156288	0.0373952	0.0145101	0.0326305	0.0232588	9.84131e-05	0.02347	0.0703726	0.0686003	0.0186326	0.0157694	0.0121102	0.0166606	0.0193767	0.187669	0.00314326	0.0188829	0.0329129	0.0500196	0.0905258	0.0395619	0.00502282	0.00714825	0.0142272	0.0206085	0.0199897	0.0168909	0.0233167	0.00390626	0.0361739	0.00931223	0.161521	0.0185503	0.00133446	0.0568277	0.00298057	0.00213987	0.0207363	0.0230916	0.0151397	0.0347713	0.0114598	0.0356364	0.0358679	0.0106828	0.000705586	0.016168	0.00746249	0.0052827	0.0155553	0.131031	0.157521	0.00306372	0.0591016	0.0162385	0.0327553	0.0137635	0.00788457	0.00414576	0.0125421	0.175124	0.00670768	0.000226809	0.252673	0.0541459	0.0910328	0.0459772	0.0695861	0.0550271	0.0234165	0.0413571	0.00430687	0.0168559	0.00219355	0.0738203	0.346943	0.0384528	0.0142612	0.0298976	0.00616609	0.0495423	0.151787	0.00601546	0.0090937	0.101758	0.0136232	0.0284716	0.0137603	0.0270808	0.0114079	0.107702	0.0285541	0.0855369	0.0269192	0.0433365	0.0434138	0.137741	0.0088596	0.491092	0.797561	1.08372	1.62763	4	4.540041
763000	-1151.995	-1201.656	49.66113	2	2.312388	0.00968016	0.0142453	0.0451991	0.00529309	0.0575531	0.00592722	0.0483523	0.0182845	0.00484672	0.045559	0.0314813	0.00531578	0.0390127	0.0198996	0.0476833	0.015364	0.033474	0.00710344	0.0370269	0.266698	0.0194992	0.000377952	0.00276114	0.0252353	0.0477619	0.0725496	0.00246815	0.0084944	0.0797916	0.0117574	0.0221565	0.01877	0.0308858	0.0245468	0.00434733	0.0530888	0.074765	0.0363586	0.0123978	0.00329635	0.0173533	0.00522346	0.010978	0.0107609	0.0152932	0.0155232	0.00898645	0.0274552	0.00886696	0.00569602	0.0145361	0.0282235	0.00626963	0.017095	0.0626002	0.0893993	0.00656922	0.0202307	0.0487592	0.00434199	0.240558	0.0168678	0.0620654	0.00628409	0.0214508	0.0711254	0.0542226	0.0229222	0.435382	0.0894871	0.111319	0.00724425	0.0671056	0.0501106	0.0382319	0.0346444	0.0234336	0.0297582	0.191699	0.0355752	0.273261	0.0209987	0.0205103	0.00174374	0.0202601	0.0684063	0.135146	0.0196728	0.0169989	0.264045	0.011315	0.0335579	0.0723132	0.0167348	0.0164106	0.0670304	0.0533609	0.220577	0.0988712	0.233465	0.016467	0.131683	0.0447629	0.327916	0.684592	1.07615	1.91134	4	5.20055
764000	-1156.743	-1211.718	54.97455	2	1.771894	0.051382	0.0230309	0.0177974	0.0171447	0.00964023	0.0446002	0.0294145	0.0430535	0.00352552	0.0406861	0.0334014	0.0272725	0.0234103	0.0108197	0.0169668	0.0112013	0.00386285	0.00513779	0.0344223	0.129937	0.00164525	0.0471487	0.00206108	0.042406	0.0724266	0.114025	0.00218526	0.000491819	0.0215733	0.0526072	0.0230058	0.042995	0.0136733	0.0136509	0.00127342	0.0205067	0.0969369	0.00112797	0.0365525	0.0212793	0.0101447	0.00207883	0.0125627	0.000824381	0.0040472	0.00341149	0.0229426	0.00967345	0.0715885	0.0014827	0.031296	0.0104274	0.0138865	0.0213866	0.0376872	0.0594897	0.024887	0.0196751	0.0183785	0.0533877	0.190754	0.00621977	0.00116184	0.214214	0.00126254	0.0903103	0.0231152	0.0900467	0.341768	0.0880183	0.0356623	0.000301696	0.110941	0.0348135	0.0271255	0.0138271	0.0305998	0.0373333	0.013436	0.116119	0.214484	0.00450841	0.111644	0.00248365	0.00757297	0.0258516	0.213591	0.00413254	0.0209633	0.128774	0.0126238	0.0209108	0.0766236	0.0939149	0.037355	0.198291	0.0102173	0.1391	0.0220444	0.0134411	0.0134498	0.315139	0.0352402	0.264437	0.628336	1.06307	2.04415	4	4.822923
765000	-1164.523	-1217.764	53.24141	2	1.422531	0.0334693	0.0265864	0.0317419	0.00324675	0.0172139	0.00894157	0.0469647	0.00170457	0.0141233	0.0174574	0.0026476	0.0385688	0.00504001	0.0185754	0.00564725	0.0125632	0.0151343	0.0645975	0.0335653	0.195249	0.00846351	0.0114629	0.00209545	0.0314229	0.0295653	0.15483	0.0025797	0.00318542	0.0508664	0.00684458	0.0420302	0.0404119	0.0191798	0.0304765	0.0032695	0.131437	0.19023	0.0254192	0.00631777	0.0175326	0.0287163	0.0122308	0.023358	0.000562427	0.0173147	0.00384298	0.0156204	0.0246424	0.013642	0.0132115	0.0078737	0.00288793	0.0311784	0.0314962	0.265141	0.0924477	0.0142178	0.019326	0.00534463	0.00523657	0.298014	0.00582633	0.0202207	0.100721	0.0354184	0.254513	0.0191795	0.0708325	0.384727	0.0586698	0.0272942	0.00517092	0.0490123	0.0328779	0.0203537	0.0419518	0.0066158	0.0455907	0.0353126	0.00906637	0.078813	0.0114668	0.187183	0.0177696	0.0227116	0.00129574	0.122569	0.0290945	0.0335715	0.0470173	0.00825204	0.0328721	0.0681882	0.107235	0.0406683	0.15176	0.0536775	0.328593	0.0723476	0.0402423	0.034557	0.0267827	0.0093791	0.213103	0.575132	1.04553	2.16624	4	5.076366
766000	-1138.776	-1200.253	61.47702	2	3.512183	0.0139061	0.0155015	0.0682015	0.011894	0.00479579	0.00414182	0.0358071	0.042439	0.0313996	0.0209499	0.0135534	0.00530362	0.0162406	0.00245771	0.0618447	0.00166267	0.00723017	0.0129141	0.0445073	0.271135	0.021143	0.016165	0.0244558	0.00184795	0.0623447	0.036348	0.0357238	0.00792236	0.0128862	0.044871	0.0115131	0.0133035	0.0342049	0.0108003	0.0087995	0.0301834	0.0731231	0.0974463	0.0128848	0.00281335	0.0157544	0.0275098	0.032912	0.0219371	0.00547361	0.00504256	0.0192266	0.0146858	0.0144398	0.00880711	0.0142483	0.00747206	0.0589737	0.0190137	0.00458619	0.19247	0.0289776	0.0442371	0.00551252	0.137987	0.098839	0.0314463	0.0350739	0.074869	0.000288394	0.170886	0.0172519	0.0117601	0.19468	0.0278153	0.0774119	0.0267442	0.0321583	0.00389446	0.0432999	0.0607364	0.0207642	0.0352173	0.00455359	0.11279	0.0384348	0.0113653	0.0044119	0.000396092	0.00681028	0.0524921	0.156522	0.0163249	0.0676591	0.1085	0.0194361	8.37788e-05	0.0470732	0.0172064	0.0536953	0.187296	0.0439001	0.0677264	0.0134566	0.00287351	0.0209304	0.186609	0.0882258	0.425376	0.756449	1.08409	1.73408	4	4.215842
