Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
13000	-382.2569	-468.1571	85.90013	10	0.8141371	0.00634994	0.0475018	0.00107292	0.0287872	0.136832	0.0322152	0.100668	0.0212211	0.217461	0.0894034	0.013766	0.0522265	0.120558	0.0308656	0.110825	0.148577	0.234593	0.619206	0.00844887	0.000647866	0.0612808	0.0517213	0.149451	0.045118	0.0261321	0.185956	0.000536625	0.411821	0.0233947	0.0985633	0.412764	0.960796	2.52788	5	2.976639
14000	-381.0837	-460.8103	79.72665	10	1.674317	0.0618867	0.0631537	0.018937	0.017392	0.0463218	0.0446598	0.0853576	0.0341436	0.0216652	0.0263865	0.0561015	0.000446438	0.0936235	0.112921	0.00568836	0.110067	0.0213569	0.101412	0.572753	0.442383	0.13068	0.147292	0.317022	0.0796423	0.198942	0.0456069	0.107915	0.0236361	0.0447493	0.251039	0.615215	1.05921	2.07454	5	3.032142
15000	-365.9262	-465.446	99.51983	10	0.7255375	0.0200202	0.0503941	0.0130166	0.0108265	0.114639	0.0573926	0.0137507	0.025406	0.100224	0.0287815	0.0205616	0.0409952	0.142791	0.064214	0.0154107	0.161951	0.0563358	0.34078	0.013383	0.0816963	0.0524989	0.175951	0.00579908	0.00473142	0.0671491	0.118048	0.157155	0.290439	0.00844738	0.0796493	0.375334	0.933976	2.61104	5	2.252788
16000	-377.3729	-463.5327	86.15988	10	1.135223	0.0825196	0.0148985	0.0257873	0.0303369	0.111463	0.00658868	0.0259114	0.0327819	0.0957641	0.0872011	0.0348243	0.0546671	0.172625	0.0416066	0.136874	0.164369	0.0226792	0.0818977	0.368959	0.218229	0.0274015	0.121228	0.26957	0.256278	0.000154351	0.0653823	0.23465	0.0274818	0.183751	0.163118	0.513937	1.01923	2.30371	5	2.995878
17000	-380.0673	-469.0431	88.97583	10	0.9535335	0.0586259	0.0601599	0.00197506	0.00132134	0.285871	0.0691402	0.0813854	0.048219	0.0319611	0.0160759	0.0802302	0.070278	0.076282	0.0199455	0.0275839	0.178059	0.106487	0.00128566	0.544944	0.00969535	0.00517998	0.397864	0.265977	0.142856	0.0413581	0.0400988	0.00802293	0.0957275	0.0186874	0.127592	0.462325	0.991853	2.41823	5	2.785298
18000	-360.3068	-458.3635	98.05672	10	0.6408305	0.0520037	0.0374318	0.0154929	0.0422208	0.0616756	0.0192115	0.0131585	0.0267966	0.0655086	0.0548262	0.0449693	0.0579519	0.0683391	0.0704374	0.0274112	0.0255599	0.0146779	0.00470723	0.280231	0.175223	0.0124125	0.277619	0.0712166	0.0719765	0.186515	0.01101	0.257188	0.114332	0.000318926	0.0616239	0.334222	0.900801	2.70335	5	2.160422
19000	-376.7445	-463.8798	87.13529	10	3.628023	0.0169376	0.0363596	1.10118e-05	0.0484035	0.0778343	0.0384817	0.0523889	0.000202817	0.0142513	0.0198505	0.0672236	0.0257253	0.0672061	0.0291523	0.00624841	0.0441053	0.0538096	0.387584	0.659769	0.0397284	0.0978781	0.0212061	0.0548225	0.0389227	0.234697	0.0138401	0.177685	0.0939765	0.13993	0.432682	0.761277	1.08425	1.72179	5	2.558232
20000	-408.7962	-465.4101	56.61384	1	0.4098155	0.0463377	0.0140536	0.003339	0.00268866	0.0790417	0.0525929	0.033289	0.0159776	0.0258127	0.00890847	0.0167454	0.00664777	0.0534232	0.0722913	0.0482329	0.00372903	0.0134788	0.00364286	0.156004	0.00944631	0.0719309	0.0220619	0.0169297	0.146433	0.300985	0.027699	0.34439	0.240195	0.0924873	0.0181556	0.18905	0.741687	3.05111	3	1.928795
21000	-415.6958	-468.5742	52.87837	2	4.516944	0.0668743	0.033592	0.0277992	0.0462567	0.111134	0.0463429	0.012576	0.0116931	0.0644988	0.00166462	0.0582097	0.0147697	0.00389027	0.0434536	0.115009	0.0629762	0.0152694	0.0317053	0.366911	0.480408	0.016791	0.0523243	0.348029	0.00811544	0.0645181	0.462906	0.0584881	0.110551	0.043591	0.480687	0.791381	1.08402	1.64391	4	2.780346
22000	-411.8688	-460.509	48.64023	2	1.656219	0.0455599	0.0352956	0.047907	0.0256734	0.0519949	0.0265043	0.0271025	0.0221501	0.124871	0.0251081	0.0363384	0.0929067	0.144537	0.0175433	0.125497	0.35517	0.154697	0.152035	0.00109706	0.0720877	0.271118	0.0198322	0.0202996	0.458557	0.271945	0.12305	0.330792	0.267539	0.0431791	0.248478	0.61265	1.05842	2.08046	4	3.390387
23000	-436.9462	-472.4199	35.47373	1	3.064589	0.076759	0.0332357	0.0583452	0.0153286	0.00853284	0.0406406	0.128881	0.00776996	0.438824	0.0807667	0.00750893	0.135936	0.172819	0.00210392	0.0247845	0.223262	0.128449	0.00562794	0.107344	0.50867	0.071805	0.00425473	0.307592	0.0348702	0.272884	0.0861896	0.290024	0.364121	0.139997	0.394198	0.735042	1.08282	1.78794	3	3.777328
24000	-421.0226	-462.1163	41.0937	2	2.314627	0.0563537	0.0483634	0.0244146	0.0627101	0.432471	0.00778691	0.057037	0.0522859	0.0522371	0.00448288	0.0246801	0.0039567	0.089043	0.0131711	0.230235	0.0710627	0.196699	0.00242457	0.30617	0.00768914	0.0759755	0.450096	0.277603	0.0741531	0.0297021	0.258956	0.71991	0.0579004	0.0246031	0.328146	0.68478	1.07618	1.91089	4	3.712174
25000	-420.7733	-468.4982	47.72486	2	3.240479	0.0545496	0.022066	0.0415651	0.0221175	0.00387518	0.054394	0.0451229	0.028983	0.173836	0.042358	0.0213702	0.0819958	0.178727	0.00330472	0.0787501	0.0472189	0.119332	0.238024	0.0151762	0.0330786	0.00121845	0.231093	0.437281	0.0380355	0.100807	0.0491142	0.208903	0.102088	0.661457	0.407051	0.74403	1.08347	1.76545	4	3.135842
26000	-400.9255	-460.964	60.0385	2	3.056755	0.0436086	0.054834	0.00332031	0.0305624	0.0408494	0.0691969	0.0674267	0.0284283	0.0617882	0.0234548	0.00549464	0.0442182	0.0331774	0.0181476	0.0566498	0.101161	0.246632	0.37955	0.0357012	0.034552	0.200804	0.170336	0.0326214	0.0215271	0.0438296	0.0221501	0.00957112	0.330549	0.00903563	0.393605	0.734623	1.08278	1.78899	4	2.219177
27000	-411.2383	-460.8592	49.62092	2	1.094512	0.0632949	0.0230804	0.0483317	0.00318007	0.0585477	0.0605769	0.00307363	0.0330164	0.0181232	0.00129816	0.0673129	0.0525772	0.175489	0.0642934	0.15132	0.01266	0.148653	0.176762	0.0114345	0.0403834	0.15226	0.151072	0.118622	0.0628603	0.191955	0.447666	0.00323965	0.052399	0.042819	0.155416	0.503426	1.01405	2.32711	4	2.436301
28000	-399.3556	-464.5316	65.176	2	0.5552659	0.0484491	0.00394299	0.0279465	0.0218535	0.135696	0.0282755	0.0252128	0.033229	0.0385579	0.0375229	0.0207754	0.0102956	0.0957085	0.0943871	0.0924757	0.0941981	0.200049	0.00434148	0.0070699	0.00874127	0.0132467	0.139981	0.0879018	0.105523	0.0217271	0.172945	0.043125	0.010619	0.435174	0.0440334	0.286472	0.85666	2.81283	4	2.05897
29000	-398.014	-454.9667	56.95273	2	0.9330216	0.0592479	0.00347434	0.0099906	0.0604758	0.0518171	0.0470117	0.0404117	0.0251431	0.0192828	0.00245878	0.00173336	0.00444507	0.0573074	0.00573622	0.103539	0.132575	0.0165492	0.227552	0.512547	0.185223	0.0347149	0.0340633	0.0722235	0.00729095	0.0203037	0.138348	0.00757313	0.25086	0.716539	0.123404	0.455651	0.98795	2.433	4	2.848439
30000	-408.3606	-466.9618	58.60121	2	1.037202	0.0574729	0.0195132	0.00990112	0.017084	0.102764	0.00897724	0.0714683	0.0279694	0.00829218	0.0129396	0.0166404	0.028958	0.191082	0.0681522	0.120794	0.0546275	0.00624222	0.165963	0.408133	0.0317176	0.00684319	0.198836	0.0616359	0.0539508	0.0904847	0.00891944	0.0929099	0.422844	0.222507	0.144317	0.487655	1.0059	2.36213	4	2.587623
31000	-410.5614	-462.0793	51.51792	2	8.637206	0.101135	0.0318482	0.0038489	0.0229637	0.0412812	0.0341066	0.00526785	0.0264704	0.0595713	0.0454265	0.00462491	0.0134955	0.262452	0.019645	0.0373747	0.0537761	0.490302	0.0421524	0.158248	0.109436	0.0398769	0.187057	0.302373	0.103564	0.0350752	0.0467098	0.0636632	0.0420049	0.182967	0.606598	0.859122	1.07522	1.45906	4	2.566717
32000	-420.753	-462.5663	41.8133	1	1.473352	0.049069	0.0248194	0.0275438	0.0149272	0.0329177	0.0493103	0.153682	0.0247314	0.0732006	0.0181863	0.00473617	0.106538	0.0517607	0.0240858	0.192874	0.129783	0.158614	0.0402455	0.0193148	0.0459298	0.0241779	0.0488836	0.242578	0.0325433	0.206156	0.36153	0.469372	0.10245	0.572534	0.221176	0.58406	1.04882	2.14595	3	3.302495
33000	-402.9565	-464.9336	61.97706	2	1.076688	0.0587428	0.0239065	0.028858	0.0279929	0.0361149	0.0132835	0.00887887	0.0826892	0.0443404	0.0169027	0.00626224	0.0202913	0.084122	0.00946752	0.0811219	0.0742853	0.056916	0.0405934	0.129716	0.0934842	0.0931834	0.0257843	0.170676	0.062681	0.0178561	0.331919	0.00477937	0.383278	0.0106817	0.151996	0.498648	1.01163	2.33773	4	2.038809
34000	-413.7503	-468.6758	54.92545	2	3.311161	0.0494748	0.0223026	0.0193296	0.009439	0.0584502	0.102114	0.0219833	0.0385392	0.0245647	0.0228838	0.0355149	0.190884	0.0310538	0.264355	0.0217905	0.0469037	0.00674015	0.131217	0.0332701	0.236018	0.000460972	0.0586363	0.438095	0.00881468	0.0413078	0.303946	0.21399	0.143567	0.117772	0.411988	0.74742	1.08367	1.75692	4	2.69342
35000	-407.604	-459.0611	51.45709	2	1.493134	0.0689677	0.0702616	0.0346673	0.0463476	0.0334846	0.0588164	0.00387025	0.0476827	0.0304014	0.00561365	0.0525733	0.035663	0.235702	0.0343815	0.0614264	0.235338	0.00825119	0.0488275	0.197778	0.123623	0.377144	0.52735	0.243795	0.0209529	0.110202	0.0331631	0.254821	0.00828982	0.138322	0.22426	0.587409	1.05002	2.13831	4	3.147718
