Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-938.5093	-952.2724	13.76311	10	4.463653	0.0713031	0.00258755	0.0517181	0.0522805	0.0426578	0.148246	0.0687467	0.0403945	0.0604769	0.143264	0.0172166	0.0623614	0.0440414	0.0583287	0.048159	0.0273314	0.0800674	0.071564	0.0942442	0.0525059	0.028017	0.030709	0.0838449	0.0251266	0.00606254	0.021316	0.0207325	0.00103779	0.097597	0.00693836	0.00263206	0.0268528	0.00354607	0.15432	0.0480393	0.0113624	0.0257657	0.0403062	0.00671322	0.180963	0.0570543	0.138209	0.107743	0.00171524	0.00610817	0.106345	0.164059	0.0998277	0.0645571	0.0128675	0.0408248	0.0146411	0.0560593	0.00859625	0.00916149	0.222022	0.10625	0.0739325	0.0132664	0.20755	0.165289	0.13391	0.0574623	0.0659534	0.037562	0.0405159	0.00634807	0.030127	0.0174833	0.300443	0.617586	0.478151	0.789857	1.08409	1.64791	5	5.042849
11000	-937.9577	-958.8463	20.88866	10	3.301382	0.00542202	0.0527563	0.0338772	0.121313	0.0401919	0.0467288	0.0435772	0.0286656	0.0148437	0.086899	0.0220395	0.0431387	0.105015	0.114774	0.0146931	0.0712967	0.114795	0.0170447	0.105933	0.0540494	0.00151718	0.0296387	0.0284197	0.0133425	0.0121607	0.0138995	0.0292503	0.0112541	0.0111723	0.0571503	0.01956	0.0678151	0.0779348	0.0211681	0.146828	0.0228886	0.0840304	0.0362866	0.25524	0.153346	0.180227	0.0389854	0.00443616	0.0914311	0.176695	0.182777	0.0798111	0.032716	0.130698	0.0834648	0.085616	0.0274365	0.0224182	0.0673668	0.0130523	0.101658	0.00317643	0.0461634	0.0612248	0.054862	0.0570578	0.0138178	0.0315368	0.0556893	0.117805	0.00941598	0.0644878	0.229858	0.0946795	0.222864	0.539214	0.411312	0.746958	1.08365	1.75808	5	5.150597
12000	-928.965	-952.2722	23.30721	10	4.850909	0.0247445	0.159336	0.0677412	0.18477	0.0108061	0.0338615	0.00412695	0.0699884	0.0384967	0.132537	0.0705215	0.0392547	0.0233103	0.140112	0.0237637	0.0626109	0.0355564	0.070625	0.0446089	0.062319	0.0128101	0.00300101	0.0123207	0.0328087	0.00976186	0.0179455	0.00158508	0.00842556	0.0707255	0.0582175	0.0148685	0.0165475	0.0428411	0.0525968	0.0225668	0.0313117	0.0429928	0.0101265	0.288408	0.179919	0.213792	0.00445917	0.360642	0.0549973	0.0162315	0.160803	0.0658539	0.0913774	0.0523762	0.0730344	0.0413863	0.00189731	0.0381545	0.149078	0.0101322	0.290946	0.0322974	0.11382	0.0232178	0.00496528	0.0030969	0.00583803	0.0360556	0.0424766	0.0969679	0.0417809	0.183895	0.0218035	0.0701836	0.0649367	0.00673985	0.495765	0.800298	1.08355	1.62038	5	4.602108
13000	-925.8323	-950.9354	25.10316	10	4.28128	0.103121	0.0183165	0.0728102	0.0295324	0.0160041	0.0564679	0.0319978	0.053743	0.0179574	0.171077	0.0579259	0.0415914	0.0311303	0.0803414	0.0449336	0.0690415	0.0103132	0.0420909	0.100519	0.0174333	0.024737	0.0791226	0.0100143	0.0442207	0.00284441	0.0128702	0.00642489	0.0382712	0.0660395	0.0280159	0.00269084	0.0964713	0.0705025	0.0800995	0.0129614	0.0321545	0.0785028	0.0232967	0.179005	0.0906932	0.0927851	0.201936	0.0208746	0.0160195	0.0336174	0.186955	0.0568543	0.0788415	0.25524	0.278561	0.148016	0.0709545	0.00933932	0.0770977	0.0380198	0.305496	0.00258804	0.0079205	1.07048e-05	0.0130274	0.0239862	0.0300649	0.0406179	0.0696072	0.0344792	0.0148722	0.075355	0.0118502	0.108333	0.127369	0.0140243	0.469177	0.784407	1.08426	1.66215	5	4.489999
14000	-946.339	-965.8967	19.5577	10	3.577949	0.180472	0.068305	0.0557519	0.187039	0.0440458	0.0199269	0.020791	0.059646	0.00368005	0.130509	0.019963	0.0191927	0.0176301	0.0834716	0.00100583	0.00451595	0.0583979	0.0386872	0.113755	0.0134201	0.0296796	0.113075	0.00767813	0.00134533	0.00775744	0.00184932	0.0535394	0.0853303	0.0973383	0.0164669	0.00183243	0.0252949	0.0612002	0.0303557	0.0185301	0.0239083	0.0118039	0.0504244	0.0105187	0.185792	0.0752469	0.125139	0.154667	0.165787	0.0418876	0.275375	0.290269	0.000365556	0.0363106	0.0670497	0.0231604	0.0628175	0.0681271	0.00813725	0.269107	0.0170018	0.0812577	0.0674124	0.0909281	0.0148008	0.098941	0.218524	0.0322126	0.00513661	0.218602	0.00341883	0.145415	0.0290866	0.0834322	0.167699	0.228718	0.429559	0.759221	1.08419	1.72703	5	5.139961
15000	-918.8157	-948.9304	30.11474	10	2.377969	0.0653408	0.0929455	0.0971661	0.0289024	0.0324118	0.0672573	0.0677673	0.0354166	0.113862	0.14615	0.0414956	0.0348566	0.000686163	0.0349111	0.0135826	0.0374335	0.017854	0.0263719	0.0250084	0.0385359	0.00700153	0.0823355	0.0125186	0.0172252	0.0148069	0.00732716	0.00965941	0.0215705	0.011939	0.0169867	0.0205373	0.0188688	0.070718	0.0669455	0.0148431	0.0219478	0.159144	0.255347	0.0340696	0.225263	0.0421337	0.0233636	0.178585	0.0122772	0.0176331	0.0373027	0.116663	0.169306	0.0185959	0.151767	0.076814	0.0197434	0.192557	0.00233913	0.0793389	0.0294418	0.069725	0.0101379	0.00451736	0.144289	0.0416326	0.00157946	0.302958	0.0372397	0.0438693	0.0309423	0.0699985	0.224567	0.0232545	0.117712	0.0342875	0.334573	0.690001	1.0771	1.89833	5	4.431583
16000	-938.7585	-949.832	11.07354	10	3.603825	0.0582578	0.0441898	0.183912	0.0277159	0.0422088	0.0886356	0.0388852	0.0535783	0.0105621	0.130943	0.0437219	0.0228207	0.0114279	0.0407296	0.0136291	0.0180957	0.0940031	0.0152788	0.0576361	0.0869439	0.0136354	0.0395896	0.0386519	0.031881	0.0218783	0.00497297	0.00890385	0.016284	0.0352196	0.0602477	0.011993	0.0442172	0.107597	0.126654	0.238751	0.0696455	0.316213	0.193574	0.139655	0.335761	0.0466034	0.513425	0.00347369	0.094428	0.0291208	0.0506756	0.0184967	0.0498087	0.00921346	0.056579	0.0259867	0.170082	0.0162485	0.144397	0.189497	0.048986	0.0269778	0.155819	0.0482322	0.0582846	0.0446908	0.041297	0.127803	0.075151	0.0429116	0.247781	0.20479	0.0959256	0.0891044	0.0112215	0.139804	0.431179	0.760289	1.08422	1.72431	5	5.815316
17000	-935.4266	-948.655	13.22842	10	3.350496	0.0555497	0.112999	0.0173802	0.0518473	0.0471349	0.0774532	0.0165709	0.0711215	0.00491861	0.111442	0.0405026	0.0271256	0.0254786	0.134176	0.0123433	0.00684405	0.0748874	0.0739163	0.0987457	0.0738377	0.0182202	0.0835592	0.00283681	0.020781	0.0360612	0.00362994	0.0188485	0.0342675	0.0229347	0.0427723	0.0144409	0.0573423	0.0789432	0.0902565	0.0430644	0.0514284	0.0289565	0.0147332	0.146584	0.0919506	0.0699286	0.0332999	0.0131682	0.0544306	0.0437243	0.144287	0.0326852	0.11189	0.136094	0.19166	0.0396354	0.158713	0.0145111	0.00256786	0.0906638	0.0361927	0.0352734	0.196865	0.220912	0.427642	0.0310543	0.133922	0.102373	0.171852	0.0153716	0.0686473	0.0932481	0.034509	0.234248	0.0193885	0.196591	0.414682	0.749257	1.08377	1.75229	5	5.191235
18000	-930.6273	-945.954	15.32666	10	2.270782	0.100483	0.0610798	0.0529515	0.109228	0.0379869	0.0573268	0.0201612	0.0993563	0.0287862	0.155935	0.0192465	0.0380988	0.0096552	0.0476372	0.0933348	0.01441	0.050692	0.0417333	0.0246382	0.0596793	0.0036449	0.0579499	0.0297154	0.0218156	0.00855991	0.0222062	0.0237289	0.08483	0.0236763	0.0601939	0.0474942	0.0290939	0.174848	0.0357914	0.0602243	0.0951597	0.0464573	0.00339295	0.0849207	0.19246	0.284871	0.374516	0.0344529	0.0218113	0.127369	0.18255	0.0508805	0.0164016	0.0806103	0.0311516	0.0456164	0.0431007	0.034389	0.00806219	0.10572	0.00160921	0.00445677	0.0326076	0.0367782	0.457664	0.0870587	0.076516	0.0885112	0.177793	0.109825	0.00226894	0.306	0.0143868	0.112896	0.0525691	0.207326	0.323589	0.68103	1.07549	1.91989	5	5.438352
19000	-932.4729	-961.9763	29.50336	10	3.330106	0.0086184	0.139052	0.0118618	0.0194392	0.000340297	0.00345045	0.0554492	0.0809033	0.070412	0.0541049	0.0270719	0.0405578	0.0126997	0.0405659	0.0013016	0.103607	0.0553157	0.00492123	0.181358	0.0845614	0.0184037	0.0600389	0.00594985	0.000950935	0.0372442	0.0262411	0.0174487	0.0473001	0.0795574	0.0879173	0.052265	0.215466	0.0144699	0.00964415	0.00030416	0.0212646	0.143962	0.00990051	0.0813779	0.0470222	0.0516985	0.170873	0.0961011	0.0790155	0.0310306	0.246662	0.118617	0.00818225	0.0065009	0.0560032	0.0208121	0.138714	0.0471699	0.106932	0.019406	0.0211036	0.0067127	0.161452	0.0901377	0.180663	0.0268022	0.0119962	0.0105268	0.0113454	0.00136432	0.178971	0.0680354	0.0643817	0.226122	0.0316791	0.0403838	0.41329	0.748309	1.08372	1.75468	5	4.301715
