Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
21000	-34.03747	-88.12677	54.08931	10	0.1208794	0.0236736	0.0943886	0.00288365	0.192041	0.156144	0.0245008	0.0370382	0.0616312	0.0266045	0.0045222	0.0210302	0.102924	0.37036	0.0975014	0.00106578	5.75333e-06	0.00355621	0.153542	3.8429	5	1.21631
22000	-32.22984	-89.87847	57.64863	10	0.01133502	0.0321966	0.0260484	0.0357432	0.509507	0.172111	0.0910062	0.0120009	0.00970478	0.0490186	0.372499	0.0357871	0.0292619	0.0470111	0.00634473	0.138464	4.29954e-54	3.10432e-27	1.59664e-11	4	5	1.566704
23000	-60.63729	-99.89861	39.26133	10	0.4088994	0.0212493	0.00179001	0.392098	0.141423	0.0959308	0.0881435	0.0578582	0.00295129	0.0846434	0.149444	0.21464	0.181116	0.0798983	0.00203779	0.316988	0.018019	0.188372	0.740734	3.05288	5	1.830211
24000	-32.1083	-85.37449	53.26619	10	0.07979348	0.00694011	0.000759899	0.0588946	0.159193	0.0202674	0.0189425	0.025967	0.0511448	0.00383311	0.135453	0.236903	0.153178	0.048801	0.241657	0.124451	1.57834e-08	0.000186994	0.0453325	3.95448	5	1.286385
25000	-36.64497	-88.96843	52.32346	10	1.494461	0.0273376	0.118456	0.023808	0.361555	0.187536	0.0359845	0.0221415	0.0279504	0.0346574	0.0768711	0.0250505	0.00356888	0.278538	0.182306	0.0686653	0.224466	0.587632	1.05009	2.13781	5	1.474425
26000	-29.61979	-87.19386	57.57407	10	0.1001136	0.0591136	0.0245565	0.0267315	0.0495101	0.0529071	0.045301	0.018727	0.00637175	0.00675152	0.168188	0.0170476	0.210838	0.00209598	0.104897	0.0841407	5.34858e-07	0.00108658	0.0940585	3.90485	5	0.8771777
27000	-42.94792	-91.50237	48.55445	10	0.2480912	0.0283462	0.034992	0.112328	0.0955437	0.230377	0.0602767	0.00803646	0.0609197	0.128863	0.0729989	0.0166288	0.207569	0.0697668	0.0335637	0.412313	0.00202399	0.065315	0.497443	3.43522	5	1.572524
28000	-23.83543	-86.67623	62.8408	10	0.07879853	0.0319315	0.0678163	0.000964565	0.150748	0.0603698	0.00455028	0.00948076	0.0238154	0.0355055	0.104134	0.0363607	0.207732	0.0247672	0.016754	0.167165	1.26765e-08	0.000167597	0.0433178	3.95651	5	0.942095
29000	-36.53565	-89.74795	53.21231	10	0.07185944	0.00183469	0.0630546	0.0752711	0.115143	0.0827261	0.0866658	0.0422681	0.00328986	0.0373605	0.128475	0.0532513	0.022709	0.0608583	0.122747	0.25251	2.32108e-09	7.1757e-05	0.0304596	3.96947	5	1.148164
30000	-27.81776	-87.06953	59.25177	10	0.002012659	0.0239914	0.000907452	0.00106088	0.137745	0.00609958	0.0183017	0.00174234	0.0750275	0.0471167	0.0681825	0.0415287	0.140623	0.0912139	0.212176	0.229176	4.09714e-300	3.03286e-150	1.41193e-62	4	5	1.094893
31000	-37.72222	-87.57817	49.85595	10	3.787102	0.0119474	0.041171	0.00623219	0.104577	0.0203049	0.0256412	0.000613811	0.0130271	0.0064892	0.293104	0.142849	0.0787235	0.147221	0.161535	0.161076	0.44227	0.767509	1.08437	1.70585	5	1.214513
32000	-27.46789	-88.23344	60.76554	10	0.1564531	0.00686496	0.102453	0.0608172	0.076617	0.185767	0.101229	0.0188796	0.047682	0.0223966	0.132928	0.125102	0.158428	0.0422008	0.0310959	0.281585	7.76343e-05	0.0130046	0.261193	3.72572	5	1.394046
33000	-38.03096	-97.61794	59.58698	10	0.1281128	0.043437	0.00976739	0.0342749	0.327087	0.225455	0.102117	0.0152468	0.0455947	0.0389496	0.201417	0.144886	0.00827625	0.0887105	0.0988845	0.138347	1.09811e-05	0.00490904	0.175332	3.81975	5	1.522451
34000	-36.3356	-93.83787	57.50227	10	0.02921165	0.0261227	0.0272917	0.088882	0.179984	0.0556106	0.164239	0.00249802	0.0590526	0.0460545	0.117824	0.039827	0.337581	0.00239059	0.192828	0.042731	1.37035e-21	5.53347e-11	8.85548e-05	3.99991	5	1.382916
