Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
16000	-86.87776	-150.0834	63.20562	10	0.4911041	0.0214997	0.0901694	0.154866	0.0550472	0.0019475	0.102911	0.0639206	0.00566073	0.0280516	0.0241408	0.0818793	0.0284551	0.0854634	0.063718	0.118711	0.0805517	0.115488	0.267647	0.183081	0.0304119	0.0278998	0.00534637	0.0373118	0.031751	0.246069	0.813686	2.90849	5	1.674181
17000	-95.10732	-147.2563	52.14894	10	1.23113	0.0195954	0.0198086	0.048108	0.050695	0.0927265	0.126963	0.0846773	0.0305335	0.138369	0.00200424	0.0469708	0.0337565	0.0897792	0.282882	0.105138	0.0771672	0.42139	0.0481308	0.163455	0.112829	0.00388772	0.378991	0.274769	0.180649	0.536687	1.02978	2.25289	5	2.652627
18000	-97.27568	-144.2073	46.93165	10	0.8754912	0.0249899	0.0157975	0.00776239	0.074554	0.205426	0.290665	0.0542037	0.0150564	0.017873	0.0454328	0.0952366	0.0233041	0.100546	0.137387	0.138513	0.415124	0.138485	0.246664	0.0820385	0.0440177	0.0199768	0.0856207	0.0770966	0.111492	0.435841	0.975862	2.47681	5	2.355771
19000	-90.53477	-144.9588	54.42402	10	0.2903146	0.0292341	0.0307997	0.0497731	0.0328614	0.261215	0.0735307	0.151338	0.014363	0.0275986	0.0183045	0.086333	0.011874	0.111005	0.0433087	0.0638585	0.0308085	0.0966358	0.00843053	0.190561	0.111677	0.0262608	2.00113e-05	0.587761	0.0045426	0.0969848	0.579173	3.3193	5	2.057552
20000	-90.89753	-137.9668	47.0693	10	2.858587	0.00349971	0.029742	0.0272047	0.000227862	0.0249202	0.100709	0.238466	0.0714618	0.0324124	0.00394711	0.00279582	0.0192602	0.208336	0.214447	0.186492	0.119327	0.0188318	0.50464	0.287216	0.100706	0.118975	0.00198561	0.184343	0.378017	0.723385	1.08172	1.81688	5	2.499947
21000	-96.11799	-151.7113	55.59329	10	1.611595	0.0277344	0.0799877	0.0453431	0.120752	0.0910887	0.0317988	0.14214	0.102399	0.0508645	0.0463359	0.0457116	0.0172156	0.098849	0.665868	0.120604	0.0463167	0.233608	0.00987645	0.0398471	0.101468	0.103034	0.0216755	0.105686	0.242058	0.606136	1.05635	2.09545	5	2.348204
22000	-112.0783	-151.4551	39.37673	10	0.8894649	0.0238701	0.0254708	0.0903692	0.292901	0.104342	0.136292	0.342467	0.0891361	0.0726481	0.00269259	0.0489541	0.0271876	0.0521706	0.103276	0.525966	0.0577745	0.117146	0.0677189	0.0135159	0.0165875	0.468603	0.110177	0.113084	0.114406	0.440807	0.978964	2.46582	5	2.90235
23000	-99.41078	-150.8156	51.40486	10	0.2209912	0.0156256	0.0319927	0.016712	0.223505	0.231631	0.103627	0.165948	0.0394496	0.0217739	0.0127695	0.252035	0.00205812	0.0975563	0.0639677	0.0902037	0.345619	0.0363655	0.0543046	0.222586	0.00541364	0.0307002	0.0644588	0.103024	0.00102332	0.0466948	0.436199	3.51608	5	2.231329
24000	-113.4533	-144.4145	30.96122	2	0.2932134	0.00459582	0.0474944	0.00499385	0.095659	0.192057	0.13992	0.118657	0.181219	0.00860621	0.00961875	0.0918494	0.0162843	0.0874985	0.0668824	0.0120632	0.859719	0.281554	0.100302	0.170279	0.00797238	0.0191179	0.0687635	0.071087	0.00476096	0.0992269	0.584227	3.31178	4	2.656194
25000	-84.83084	-140.5172	55.68639	10	0.7537139	0.0194584	0.10222	0.00994783	0.0935024	0.134012	0.167281	0.205204	0.0211443	0.00365361	0.0091048	0.01728	0.000529283	0.190543	0.173886	0.250512	0.214312	0.0305005	0.0259928	0.0781201	0.0585844	0.266765	0.0204512	0.0647427	0.0856791	0.387809	0.943256	2.58326	5	2.157747
