Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-839.3018	-853.2412	13.93944	10	0.5085246	0.213491	0.0103908	0.0283699	0.0788532	0.134811	0.0693587	0.035236	0.0329416	0.0190978	0.0766064	0.0306078	0.175973	0.0587245	0.00649321	0.033422	0.0682847	0.0263232	0.0214131	0.00032898	0.0285064	0.0519566	0.000615648	0.0339289	0.0149505	0.402176	0.040338	0.0209805	0.0765915	0.0500802	0.0409666	0.0668662	0.166089	0.00336275	0.0133618	0.0312415	0.026331	0.130008	0.111072	0.0301517	0.227426	0.0792804	0.106045	0.0947808	0.475275	0.0976269	0.0349784	0.257445	0.826373	2.8812	5	3.540735
11000	-852.7139	-863.4612	10.74726	10	0.907528	0.395508	0.00992458	0.0146509	0.0511597	0.113028	0.0117771	0.0328932	0.075186	0.0163917	0.125022	0.0127691	0.301762	0.00468185	0.0852593	0.0117655	0.109793	0.0345005	0.0560332	0.0455726	0.0923955	0.0455223	0.0376453	0.16012	0.0690319	0.0951236	0.0236315	0.0299096	0.0201259	0.387918	0.00509933	0.0447508	0.0386227	0.00656866	0.0483147	0.0131911	0.370039	0.120035	0.0376695	0.00543214	0.412684	0.0421864	0.00413777	0.000350192	0.118617	0.0235583	0.118154	0.447077	0.982812	2.45196	5	3.76036
12000	-852.7386	-865.5179	12.77922	10	1.481075	0.251067	0.0092909	0.0284481	0.0212436	0.00727654	0.19653	0.0391434	0.0265734	0.0781793	0.0812433	0.000229862	0.0325284	0.0315245	0.0124924	0.00239412	0.331852	0.0229542	0.075195	0.104838	0.0472699	0.0540462	0.0106445	0.0192732	0.0276059	0.0486255	0.00269943	0.0575783	0.0570428	0.345297	0.177431	0.0412014	0.0956707	0.170169	0.0273008	0.00241512	0.0305113	0.0215564	0.0538509	0.125311	0.22585	0.362491	0.0212108	0.1449	0.00211606	0.0552245	0.222384	0.585376	1.04929	2.14295	5	3.580296
13000	-851.5697	-857.3743	5.804661	2	1.357698	0.347307	0.0265289	0.0219217	0.0502707	0.0905434	0.0457188	0.118481	0.110958	0.0269437	0.124792	0.394411	0.517182	0.0384566	0.0382977	0.017139	0.210599	0.024959	0.00729827	0.0456782	0.0500279	0.00115777	0.00873326	0.0228698	0.0158404	0.0930379	0.0163851	0.0706695	0.00219552	0.0958022	0.110327	0.00559607	0.167562	0.111039	0.00688843	0.100392	0.0195037	0.00409915	0.00830299	0.138912	0.00651946	0.593663	0.0964909	0.0211105	0.0747208	0.0292041	0.202479	0.563019	1.04084	2.19366	4	4.128538
14000	-855.4832	-860.012	4.52883	2	0.6940751	0.625942	0.0844683	0.048461	0.00833364	0.225996	0.110798	0.00888331	0.0445485	0.0564696	0.149619	0.00967787	0.233463	0.0381196	0.00067511	0.0343646	0.251631	0.0511446	0.0105786	0.0517436	0.0325816	0.0713396	0.0123376	0.0556198	0.0220546	0.0157982	0.0831188	0.0287937	0.050449	0.0923037	0.0558746	0.0661325	0.0564092	0.0424205	0.273356	0.063686	0.00891877	0.0789237	0.615314	0.0335387	0.155147	0.00665004	0.0499205	0.079417	0.122246	0.127543	0.0729232	0.360721	0.922653	2.6437	4	4.344811
15000	-852.4998	-860.3851	7.885387	10	0.4848606	0.22143	0.0238795	0.0109725	0.0851161	0.204122	0.105689	0.130045	0.029796	0.0680532	0.0386791	0.144274	0.0305024	0.0434336	0.00919587	0.0500283	0.12985	0.00965314	0.026436	0.0746168	0.0248112	0.0664147	0.051277	0.0594361	0.00547674	0.277778	0.0850567	0.0531697	0.0193691	0.000903961	0.0955773	0.271606	0.236928	0.139099	0.0253268	0.0773381	0.0138965	0.0417424	0.0307974	0.00212628	0.196244	0.0422845	0.00216665	0.0653888	0.901443	0.0283587	0.0306172	0.241918	0.808932	2.91853	5	4.249791
16000	-843.985	-852.936	8.951018	2	2.458517	0.522115	0.00534685	0.013765	0.00246693	0.139666	0.0763128	0.0951978	0.048296	0.0768421	0.0337336	0.0258916	0.0243765	0.0327101	0.0108428	0.0311586	0.115529	0.0521843	0.0623743	0.0272354	0.0182304	0.0384192	0.0358295	0.0580785	0.016837	0.032378	0.0566463	0.0262763	0.0545073	0.0209617	0.0861254	0.0686804	0.0451837	0.0802058	0.157219	0.00995779	0.256756	0.0671741	0.0269107	0.0721527	0.202343	0.155767	0.0294986	0.018762	0.635057	0.0211316	0.342488	0.696326	1.07814	1.88305	4	3.687133
17000	-855.8456	-858.8992	3.053586	2	1.821136	0.189424	0.0190948	0.0232107	0.0455003	0.16527	0.078106	0.0754828	0.100334	0.0223642	0.00884284	0.158369	0.0291084	0.0706281	0.0236495	0.000990447	0.139081	0.0586158	0.0688465	0.0196526	0.0201597	0.152105	0.028901	0.100117	0.0471605	1.09154	0.239615	0.15618	0.046588	0.0582344	0.00339309	0.00458872	0.180617	0.0838006	0.169301	0.00208682	0.0521796	0.152224	0.0677538	0.151687	0.0324119	0.0839634	0.0403162	0.0127846	0.0098946	0.00773831	0.270947	0.634538	1.06479	2.02972	4	4.291913
18000	-848.8216	-863.3957	14.57409	2	1.469064	0.264647	0.0143155	0.0211256	0.0316612	0.0444212	0.129019	0.0809918	0.0777749	0.0670183	0.00619268	0.0321927	0.126624	0.0757806	0.0560982	0.0230552	0.0907091	0.0731537	0.0336238	0.000447264	0.0179072	0.0477292	0.024613	0.0764883	0.0189119	0.536744	0.133581	0.0667783	0.0939464	0.00372779	0.0427015	0.00690683	0.146867	0.11805	0.242954	0.03656	0.0538178	0.0602243	0.0345729	0.161548	0.0130782	0.00882749	0.0538578	0.0142089	0.00199944	0.0167702	0.220504	0.583325	1.04855	2.14762	4	3.282223
19000	-846.5348	-856.6667	10.13184	10	0.5788137	0.375115	0.00306406	0.0101546	0.00737058	0.221539	0.0565249	0.152861	0.0829105	0.0159406	0.0223723	0.0546918	0.0915944	0.0613718	0.0218636	0.027152	0.0356257	0.0130587	0.0109374	0.17913	0.0275758	0.0635045	0.00971925	0.072876	0.0270836	0.17161	0.136408	0.0493634	0.0616473	0.0564085	0.0329566	0.0565311	0.0824787	0.0712137	0.195365	0.0220434	0.649212	0.29837	0.0157767	0.103122	0.161009	0.0117544	0.0188846	0.00771551	0.0131628	0.0128687	0.0487698	0.300288	0.870113	2.78083	5	3.871941
