Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-1349.5	-1419.144	69.64369	10	2.502192	0.0186145	0.0310773	0.00530225	0.00370495	0.0167832	0.00392405	0.00247958	0.000867805	0.00315147	0.00440714	0.000100096	0.00695709	0.00287689	0.00508308	0.010106	0.00429644	0.0308302	0.115024	0.000112085	0.000374395	0.000838928	0.0038959	0.0267272	0.0403285	0.00546775	0.00120538	0.00208286	0.000853085	8.35313e-05	0.000341599	0.0335542	0.040937	0.0486367	0.0183134	0.0412326	0.0544642	0.117667	0.0354481	0.0357653	0.195574	0.0641391	0.0334261	0.0254115	0.0495477	0.0200992	0.011484	0.0120523	0.0123941	0.0254571	0.0681158	0.0480851	0.276849	0.0785098	0.0381925	0.0239512	0.0509855	0.0258486	0.346664	0.699618	1.07865	1.87507	5	1.834038
11000	-1344.003	-1419.882	75.87902	10	4.1423	0.014214	0.025536	0.00712962	0.0400948	0.00113929	0.00812418	0.00694713	0.00314378	0.0148703	0.00394405	0.00115694	0.00218831	0.00292694	0.00252505	0.0164776	0.00436535	0.0156545	0.130751	0.00225549	0.00363959	0.0094052	0.000851649	0.0237925	0.039347	0.000242439	0.00142166	0.00803742	0.00700889	0.00169353	0.00209621	0.0780643	0.0669437	0.0272442	0.00540884	0.00309695	0.0710643	0.0776665	0.0359593	0.0505841	0.20808	0.0479308	0.0289972	0.0171027	0.072284	0.0247651	0.0275578	0.0397671	0.0129114	0.0222477	0.0968751	0.0262809	0.217887	0.113174	0.0098041	0.0277003	0.0943696	0.017236	0.462013	0.779991	1.08435	1.67364	5	1.921983
12000	-1362.735	-1433.063	70.32843	10	3.176409	0.000516314	0.000893719	0.0215826	0.00816104	0.00363085	0.00964954	0.00084801	0.00138685	0.00140055	0.0156436	0.0109173	0.00189796	0.00881777	0.00234136	0.0126566	0.0047442	0.00797225	0.18494	0.00143182	0.00181569	0.00670349	0.01456	0.0141246	0.0223659	0.00368659	0.00773853	0.0200769	0.00287908	0.00448881	0.00592067	0.0180363	0.0663358	0.0335795	0.0856668	0.0334219	0.0305372	0.0718613	0.0336875	0.0439611	0.156844	0.102138	0.0224574	0.0424115	0.0386103	0.0249045	0.0384565	0.000437926	0.00454169	0.0437359	0.0419172	0.0655808	0.128748	0.119023	0.0415515	0.0409259	0.064383	0.0537233	0.402465	0.74085	1.08326	1.77343	5	1.851272
13000	-1349.066	-1425.22	76.15305	10	4.454783	0.0131119	0.00142859	0.0828841	0.0180008	0.00488928	0.00254259	0.0097058	0.00102812	0.00777407	0.00565239	0.00661016	0.00232026	0.00114915	0.00284193	0.00699081	0.00202182	0.0061811	0.110521	0.002504	0.00286673	0.0146807	0.00182591	0.0731237	0.0539592	0.00163475	0.00511756	0.00650642	0.000995807	0.000857565	0.000353792	0.0531072	0.0468692	0.0550974	0.0231837	0.0132007	0.0719847	0.073994	0.0116048	0.0263369	0.113945	0.0979445	0.025122	0.0560378	0.0546631	0.0136241	0.0227367	0.000434091	0.0130432	0.0471778	0.0453003	0.039054	0.138739	0.0573519	0.0245479	0.0217375	0.0682639	0.0279386	0.477725	0.7896	1.0841	1.64858	5	1.69312
14000	-1330.952	-1407.655	76.70289	10	4.881004	0.000837076	0.0111526	0.012594	0.0269684	3.08351e-05	0.00118146	0.00220955	0.000639211	0.00731923	0.016198	0.00353015	0.000632275	0.000345797	0.00111705	0.00329302	0.00514787	0.00650582	0.0949126	0.00598261	0.00084041	0.00861929	0.0027246	0.0254549	0.0258193	0.000593275	0.0020238	0.00234032	0.0113125	0.00975201	0.00467995	0.0516334	0.0788724	0.0359248	0.0136394	0.0419541	0.0490105	0.0880746	0.0218402	0.0305134	0.128781	0.0924131	0.019345	0.015496	0.0342924	0.0263469	0.0398825	0.0179199	0.00770804	0.0411054	0.0696426	0.0302609	0.201125	0.153611	0.0233681	0.0377819	0.0528187	0.0188682	0.497059	0.801052	1.0835	1.61839	5	1.716986
15000	-1334.603	-1410.343	75.73913	10	3.878986	0.0106175	0.0166689	0.00346243	0.0159003	0.0100888	0.0040199	0.0162119	0.00734179	0.00873482	0.00667298	0.000580646	0.00355922	0.00874499	0.00508256	0.00102634	0.000418193	0.0166258	0.119509	0.00107313	0.00232379	0.00167066	0.0124398	0.0136809	0.0261628	0.00410724	0.00186818	0.0055905	0.00152962	0.000482386	0.000103916	0.0364054	0.0617086	0.0469934	0.0259229	0.0433192	0.0555	0.0697902	0.00967496	0.021481	0.151194	0.0482798	0.0377107	0.0219926	0.0657465	0.0183608	0.00771053	0.0135436	0.00492626	0.0223986	0.0722184	0.0354306	0.189408	0.0824456	0.0324376	0.0262217	0.063427	0.0332487	0.447588	0.770918	1.0844	1.69709	5	1.623795
16000	-1334.309	-1412.116	77.80725	10	3.331155	0.00808999	0.0134714	0.00215282	0.0238435	0.00330549	0.00297502	0.0010501	0.00138947	0.00163634	0.0121157	0.00280587	0.00111308	0.00050385	0.00845078	0.0201725	0.0063187	0.00849052	0.135571	0.00226991	0.00139601	0.00140555	0.00178761	0.0289553	0.0390267	0.000158547	0.00489506	0.00385966	0.00324542	0.00876201	0.000168838	0.0301171	0.0923407	0.0185391	0.00360172	0.0607051	0.0554997	0.0809	0.0293638	0.028665	0.159402	0.062286	0.0234302	0.0159083	0.045526	0.0175137	0.0415936	0.0105719	0.0118724	0.0296748	0.102247	0.044819	0.110484	0.0771514	0.0103319	0.044821	0.0925958	0.00229314	0.413362	0.748358	1.08373	1.75455	5	1.651642
17000	-1361.545	-1431.747	70.20226	10	5.058714	0.00382652	0.000809883	0.0418377	0.00297221	0.00264588	0.00337937	0.0044725	0.005275	0.00469395	0.024651	0.00370606	0.00126463	0.000794902	0.00435142	0.0294957	0.00477469	0.0236473	0.0935731	0.00136876	0.0179638	0.00608627	0.0052569	0.0241552	0.0150459	0.00284869	0.00716297	0.0187759	0.0116419	0.000790933	0.00659719	0.0922839	0.0645614	0.0311617	0.0152505	0.036626	0.0522537	0.101889	0.0307003	0.0185019	0.0928627	0.0811526	0.0459238	0.0116396	0.0584698	0.0339258	0.049332	0.0132381	0.00547353	0.0510992	0.0996667	0.0274461	0.241513	0.106794	0.00262935	0.0456107	0.0513453	0.00132994	0.504498	0.805354	1.0832	1.60695	5	1.836547
18000	-1350.415	-1420.902	70.48704	10	4.097496	0.00178555	0.00281074	0.00294579	0.0242029	0.00310751	0.00208216	0.00453411	0.00869699	0.00444928	0.00700687	0.0058209	0.00977739	0.00281748	0.00171368	0.0179335	0.000769246	0.00532552	0.156113	0.00830849	0.00807277	0.000143601	0.00582123	0.0120793	0.0232474	0.00144358	1.90211e-05	0.0045348	0.00145728	0.00805688	0.00196199	0.0401842	0.0513105	0.0640931	0.00491459	0.0119077	0.0600335	0.0690399	0.00792894	0.0252461	0.199438	0.0993651	0.0283663	0.0463327	0.0339333	0.0186338	0.00139452	0.0229555	0.00549909	0.0296157	0.055764	0.058577	0.167069	0.0703269	0.019281	0.0372665	0.0911108	0.0583972	0.459639	0.778514	1.08437	1.67747	5	1.715024
19000	-1343.317	-1418.527	75.21014	10	4.168491	0.0277467	0.00310994	0.0084955	0.0128406	0.00221063	0.00187589	0.00132838	0.00368863	0.00260892	0.0157011	0.00427553	0.0122193	0.000301115	0.0028281	0.00136794	0.010467	0.00200536	0.123995	0.000469478	0.00453514	0.00790377	0.0177924	0.0195385	0.0279897	0.00900579	0.0118131	0.002724	0.00100309	0.0020452	0.00131651	0.0313089	0.0640557	0.0237146	0.0514174	0.0137972	0.060069	0.0450426	0.0316731	0.0457208	0.12575	0.0408191	0.0382042	0.0298649	0.0719074	0.0179329	0.0188125	0.0086807	0.00794953	0.0234066	0.0575766	0.0348209	0.108816	0.112466	0.0189432	0.0266392	0.072704	0.0168023	0.463385	0.780841	1.08434	1.67143	5	1.542098
