Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
22000	-88.50753	-122.33	33.82247	10	0.5174191	0.0183324	0.0236444	0.00212677	0.0672433	0.0932773	0.0514184	0.206459	0.105727	0.0713749	0.0796193	0.0861488	0.03666	0.263135	0.832541	2.86766	5	0.8053721
23000	-98.91345	-122.9417	24.02821	10	0.6290898	0.0850962	0.0127164	0.0400156	0.0319722	0.192198	0.0210028	0.289195	0.25541	0.0114509	0.0960037	0.504371	0.0591579	0.328061	0.895464	2.71732	5	1.539432
24000	-87.92659	-120.4717	32.5451	10	0.09072279	0.0324082	0.000919211	0.0238834	0.0229609	0.0117418	0.0727812	0.28903	0.153884	0.00581814	0.102517	0.129477	1.27761e-07	0.000531515	0.0699316	3.92954	5	0.8454213
25000	-95.85025	-124.913	29.06273	10	0.117791	0.132149	0.004539	0.0016968	0.118054	0.094374	0.00384606	0.123346	0.00732916	0.0611213	0.215975	0.346391	4.26128e-06	0.00306157	0.144347	3.85259	5	1.108822
26000	-90.32154	-123.4396	33.11806	10	1.016288	0.0536823	0.0307931	0.0070123	0.0796343	0.136089	0.0242481	0.0321962	0.0795995	0.363342	0.0932911	0.179119	0.140192	0.481593	1.00265	2.37557	5	1.079007
27000	-95.46805	-121.9485	26.48049	10	0.517367	0.0660217	0.0284663	0.00173898	0.122509	0.0966633	0.0249677	0.122238	0.0435097	0.259925	0.0712988	0.195218	0.03665	0.263102	0.832505	2.86774	5	1.032556
28000	-100.8817	-124.5406	23.65891	10	0.9751242	0.0308939	0.0400979	0.0921682	0.0498396	0.0243542	0.13731	0.353969	0.19849	0.032924	0.12923	0.0620379	0.131964	0.469145	0.995753	2.40314	5	1.151314
29000	-94.71705	-123.7771	29.06002	10	0.6372613	0.107503	0.0371158	0.0561345	0.0881902	0.00766962	0.0582276	0.280593	0.205481	0.0271526	0.0112216	0.0860504	0.0608729	0.332361	0.8992	2.70757	5	0.9653389
30000	-96.86528	-122.2654	25.40009	10	1.471703	0.0273385	0.0318803	0.0203869	0.00877484	0.0148922	0.0118386	0.350665	0.0301953	0.187157	0.469182	0.1132	0.220918	0.583778	1.04872	2.14659	5	1.265511
31000	-99.43678	-123.7572	24.32044	10	0.189999	0.0220223	0.0130913	0.0493869	0.173639	0.0102216	0.153991	0.256157	0.0882672	0.0601829	0.0829747	0.380746	0.000369313	0.0282124	0.357056	3.61436	5	1.290681
32000	-92.77994	-121.3844	28.60449	10	0.03149147	0.022778	0.0090014	0.0370963	0.106325	0.06594	0.00631918	0.438145	0.0153469	0.0105071	0.331259	0.0258638	4.25344e-20	3.08224e-10	0.000180585	3.99982	5	1.068581
33000	-103.88	-125.4836	21.60365	2	0.1676136	0.0739896	0.00396618	0.102783	0.026565	0.0221613	0.0705351	0.0791183	0.490508	0.0771204	0.112927	0.0340802	0.000139821	0.0174233	0.294095	3.68834	4	1.093755
34000	-92.34215	-121.3257	28.98355	10	0.582062	0.14963	0.0175916	0.0442675	0.0317128	0.029343	0.0545046	0.422858	0.125691	0.0522016	0.0562732	0.35632	0.0494307	0.302153	0.871884	2.77653	5	1.340394
35000	-92.18497	-121.7854	29.60046	10	0.06612655	0.0175324	0.0128242	0.0365144	0.0526381	0.0397933	0.0338623	0.251379	0.0591869	0.206341	0.0250532	0.0509538	4.36253e-10	3.11241e-05	0.0215337	3.97844	5	0.7860786
