Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
17000	-199.1528	-228.6105	29.45766	10	0.8006828	0.0233053	0.0102941	0.00625496	0.155324	0.0489219	0.0149694	0.00490732	0.11217	0.00959553	0.024756	0.00123013	0.00580675	0.291271	0.112044	0.807678	0.191934	0.150927	0.011686	0.0508587	0.0413193	0.0873188	0.095704	0.407409	0.957144	2.53974	5	2.162572
18000	-183.3536	-222.1999	38.84635	10	0.7622064	0.0101208	0.00565951	0.015804	0.00336369	0.0608723	0.012844	0.0342913	0.0192428	0.0275183	0.00661041	0.0199045	0.00430131	0.0101246	0.0993632	0.148688	0.0342606	0.0768435	0.00846328	0.142952	0.35288	0.12113	0.0874953	0.391461	0.945906	2.57514	5	1.215238
19000	-179.047	-219.5063	40.45932	10	1.809869	0.0347568	0.00933197	0.0133757	0.143986	0.00347841	0.0387555	0.00018671	0.0197917	0.000936669	0.0375885	0.0138127	0.0101335	0.0228807	0.0454264	0.0961976	0.0620272	0.315831	0.0455283	0.0645445	0.0680201	0.0610387	0.269472	0.633142	1.06441	2.03297	5	1.107628
20000	-185.3807	-221.4392	36.05851	10	3.886853	0.0251277	0.00558995	0.017702	0.139086	0.0286878	0.0369943	0.0123408	0.0953191	0.0771445	0.00203846	0.00165201	0.0263124	0.0868928	0.135348	0.0453871	0.0588041	0.244719	0.0891532	0.138	0.12799	0.103893	0.448036	0.771203	1.0844	1.69636	5	1.498182
21000	-193.4255	-226.337	32.91144	10	3.512596	0.0271655	0.0237846	0.0306911	0.0699459	0.137901	0.0338132	0.0186305	0.0453204	0.0280237	0.00714348	0.00337855	0.0122882	0.16608	0.00263308	0.0853018	0.0304609	0.453589	0.157991	0.0195528	0.0269241	0.127251	0.425402	0.756466	1.0841	1.73404	5	1.507869
22000	-195.0522	-226.1397	31.08747	10	1.872687	0.00942775	0.0621466	0.0194711	0.0228942	0.118844	0.0890662	0.00988767	0.0571911	0.00109564	0.0268622	0.0127455	0.00369532	0.058211	0.0936838	0.0945702	0.0250709	0.471059	0.119152	0.05803	0.0330842	0.0445234	0.277589	0.640755	1.06645	2.01521	5	1.430712
23000	-184.5557	-221.6742	37.1185	10	1.539781	0.0188091	0.03139	0.0607104	0.0307508	0.0246638	0.0485891	0.00248431	0.0243364	0.0603601	0.0151886	0.00511944	0.0181812	0.213457	0.108307	0.32278	0.026856	0.154262	0.103385	0.0782269	0.0987156	0.0553792	0.231403	0.595047	1.05267	2.12088	5	1.501951
24000	-185.602	-222.1052	36.50325	10	2.456861	0.0189809	0.0360647	0.0185157	0.0497237	0.0405595	0.0734939	0.022582	0.0171736	0.0312516	0.0386324	0.00303919	0.0115463	0.0186791	0.108023	0.51689	0.019788	0.111905	0.00424381	0.157154	0.116924	0.0802224	0.342328	0.696199	1.07812	1.88335	5	1.495393
25000	-199.5514	-223.9765	24.4251	1	0.8269859	0.0477932	0.00587064	0.0117063	0.0251049	0.141599	0.0434287	0.0268237	0.0343556	0.00639003	0.0312099	0.0044137	0.00210875	0.151284	0.0667972	0.0870954	0.0611267	0.0188673	0.363247	0.058416	0.107445	0.0826167	0.101287	0.417776	0.964161	2.51678	3	1.377699
26000	-194.5053	-220.4894	25.98408	10	2.876301	0.0269739	0.00510992	0.0347062	0.00244453	0.159252	0.0274108	0.00932536	0.0571019	0.000563542	0.0298456	0.000821735	0.00600083	0.0562074	0.0900848	0.130835	0.104201	0.00227006	0.193275	0.611538	0.120752	0.217523	0.37946	0.724441	1.08183	1.81427	5	1.886243
