Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
17000	-249.7925	-260.2235	10.43099	2	0.4747611	0.00615309	0.290484	0.180661	0.00219043	0.00316268	0.0284071	0.00384511	0.00143147	0.0537401	0.130312	0.0169448	0.0357316	0.138094	0.52978	0.0393448	0.0978878	0.0585356	0.0802016	0.144509	0.160578	0.20919	0.0288107	0.23512	0.800998	2.93507	4	2.211184
18000	-240.8989	-252.1076	11.20862	1	1.783936	0.0115278	0.234088	0.264969	0.138182	0.00877276	0.0279563	0.0633267	0.00458289	0.0354259	0.0142773	0.00582096	0.0219777	0.0331508	0.199177	0.0912776	0.149491	0.0151433	0.372206	0.093299	0.0672294	0.0873916	0.266044	0.629878	1.06351	2.04057	3	1.939273
19000	-249.2018	-255.904	6.702197	2	1.106852	0.0312684	0.102194	0.232837	0.0324617	0.00819436	0.163458	0.00782581	0.00339341	0.00527143	0.0207934	0.0409094	0.161605	0.00745896	0.158291	0.14415	0.0913603	0.181245	0.302306	0.261902	0.218089	0.346837	0.157767	0.50667	1.01567	2.31989	4	2.521851
20000	-241.4993	-254.5609	13.06162	2	0.2301716	0.0201361	0.168268	0.314788	0.0431849	0.0182949	0.0608089	0.0153282	0.0313161	0.00376818	0.0246796	0.079021	0.0311844	0.255104	0.00555299	0.347864	0.0851754	0.234928	0.00663982	0.0906527	0.0020767	0.162501	0.00131275	0.0527925	0.457765	3.48813	4	2.001272
21000	-242.466	-256.459	13.993	10	1.800636	0.0652022	0.143707	0.106806	0.0751458	0.0136442	0.0879606	0.0512936	0.095863	0.00517216	0.0978432	0.0939999	0.0368385	0.249201	0.185709	0.251115	0.163316	0.128168	0.0812497	0.0506656	0.0761552	0.113522	0.268257	0.631988	1.06409	2.03566	5	2.172577
22000	-240.1506	-252.8447	12.69417	1	0.8873565	0.123877	0.0619657	0.0625098	0.0664769	0.0192433	0.00625037	0.0201835	0.0209219	0.0592211	0.0830443	0.0584119	0.0139412	0.0104973	0.130853	0.167947	0.0789969	0.0921013	0.187047	0.129023	0.0133313	0.474532	0.113967	0.440064	0.978503	2.46747	3	1.880377
23000	-245.1694	-253.1081	7.938668	2	1.256779	0.109154	0.0753355	0.27425	0.0534172	0.00891183	0.0892317	0.00619269	0.109429	0.0990304	0.014986	0.0934658	0.0126465	0.0157556	0.0954645	0.199211	0.111187	0.279975	0.605986	0.0666309	0.0284264	0.128501	0.185192	0.542338	1.03225	2.24022	4	2.477189
24000	-233.1647	-251.6138	18.44907	10	0.75192	0.0192576	0.0935231	0.276019	0.180493	0.00224162	0.0152756	0.0641578	0.0514983	0.0344984	0.0425975	0.0698174	0.0111621	0.0137578	0.0157365	0.110554	0.161084	0.0021122	0.1385	0.0339503	0.188621	0.198518	0.0852953	0.387032	0.942687	2.58499	5	1.723374
25000	-241.2103	-263.3109	22.10054	1000	0.2436603	0.108632	0.10312	0.317143	0.148574	0.0303264	0.134105	0.00785343	0.0353086	0.0243814	0.095692	0.0565704	0.133309	0.0888177	0.0472044	0.0641124	0.272032	0.211058	0.0542041	0.218108	0.0620469	0.0374559	0.00182935	0.0621513	0.487924	3.4481	6	2.250056
26000	-250.3976	-262.518	12.12039	2	0.7729502	0.0322841	0.124646	0.251767	0.081484	0.0305229	0.0143104	0.248967	0.0918295	0.0666662	0.0467089	0.0717144	0.0484755	0.34363	0.0752077	0.0894002	0.0372641	0.145555	0.0468636	0.0311522	0.182625	0.0793425	0.0897912	0.396011	0.949168	2.56503	4	2.140416
