Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-201.0612	-230.7585	29.69729	10	0.6088552	0.391671	0.178402	0.0804938	0.000838361	0.0305385	0.125886	0.0169902	0.00424297	0.0608995	0.015227	0.202934	0.118528	0.2338	0.126729	0.0279604	0.102885	0.180665	0.253231	0.0742814	0.149284	0.242707	0.0420048	0.219366	0.111149	0.153356	0.137969	0.00784993	0.0242521	0.049873	0.138585	0.154904	0.034011	0.0378441	0.349681	0.00996694	0.0365137	0.0139157	0.0542028	0.0458839	0.0886589	0.0170866	0.133888	0.120285	0.00874954	0.153511	0.0549394	0.317159	0.88577	2.74213	5	4.761703
11000	-195.1891	-225.5018	30.31273	10	0.6480267	0.0364533	0.00916459	0.040889	0.00285366	0.0587173	0.335347	0.225005	0.0170409	0.0271852	0.0432075	0.354288	0.0795057	0.138793	0.123117	0.0680758	0.074275	0.131968	0.114501	0.0280687	0.0848831	0.134777	0.157605	0.101345	0.0757511	0.0610417	0.0573231	0.205792	0.0178394	0.153061	0.223885	0.0670352	0.0593348	0.16349	0.0382523	0.0512459	0.00220457	0.0187148	0.0650065	0.0441698	0.0744088	0.197255	0.0736438	0.106207	0.0403194	0.0513911	0.063141	0.33794	0.903974	2.69495	5	4.234437
12000	-203.0796	-224.5522	21.47255	10	0.4733614	0.344481	0.049353	0.000738179	0.0152353	0.207115	0.187935	0.0220279	0.175102	0.013874	0.208939	0.180094	0.00763421	0.263044	0.0306824	0.15668	0.113775	0.0381893	0.159376	0.0232881	0.0274551	0.222158	0.135744	0.0752514	0.095801	0.0448508	0.0757166	0.160111	0.460515	0.245728	0.00553939	0.0349992	0.00460528	0.121385	0.15367	0.176381	0.195574	0.10274	0.00446912	0.194831	0.0642832	0.0982479	1.40318e-05	0.182487	0.0405764	0.0342669	0.0285631	0.23417	0.799874	2.93739	5	5.154965
13000	-191.5466	-223.6753	32.1287	10	0.5394079	0.259439	0.101489	0.000427732	0.109289	0.0205284	0.0412643	0.100023	0.00208402	0.0746683	0.049593	0.174753	0.0579047	0.126307	0.121884	0.0035084	0.00608024	0.374549	0.324377	0.0442891	0.0491377	0.0449981	0.0118961	0.215385	0.0327023	0.181534	0.15385	0.0352949	0.198361	0.0191812	0.0463877	0.0261969	0.129427	0.100601	0.0921879	0.143652	0.0479347	0.0833878	0.137848	0.066081	0.0159721	0.21332	0.0309322	0.0346819	0.272476	0.150137	0.0409041	0.276866	0.846952	2.83528	5	4.526021
14000	-198.617	-225.1668	26.5498	10	0.1762616	0.274964	0.0224441	0.00692113	0.0218007	0.260772	0.32006	0.0303628	0.0360283	0.031356	0.00122877	0.0807393	0.0968459	0.10507	0.14617	0.00568939	0.0241298	0.15181	0.0793152	0.266707	0.0376173	0.209146	0.111521	0.0239704	0.387561	0.11173	0.0833481	0.095445	0.380019	0.273709	0.0344213	0.00453774	0.0120269	0.195115	0.0208436	0.210892	0.0516908	0.0564896	0.151383	0.0601277	0.200323	0.0423719	0.130058	0.0254409	0.0830722	0.127895	0.00020954	0.0213	0.318944	3.65955	5	5.083171
15000	-187.4244	-225.2319	37.80748	10	0.2256887	0.259486	0.155917	0.023619	0.00284518	0.0277503	0.0843332	0.0571918	0.0188855	0.147533	0.0398328	0.129316	0.00675817	0.123631	0.0881279	0.17175	0.231641	0.011585	0.0205804	0.0706199	0.0430701	0.0230622	0.116142	0.10558	0.247647	0.0807533	0.0547078	0.22664	0.169425	0.00364368	0.298525	0.00178612	0.130219	0.0511719	0.0439914	0.0118313	0.126196	0.0416254	0.108612	0.0167533	0.00728341	0.113482	0.0296575	0.0897316	0.140996	0.128583	0.00116537	0.0497848	0.44734	3.50171	5	4.08252
16000	-193.8126	-222.2764	28.46379	10	1.475421	0.0625323	0.186214	0.0260879	0.0469333	0.0894905	0.0406281	0.00431041	0.0490144	0.0234067	0.0695243	0.165424	0.0105283	0.184597	0.0160642	0.0719455	0.0107247	0.170613	0.188202	0.0240285	0.179136	0.00672075	0.00912145	0.0990102	0.216339	0.06563	0.205745	0.117333	0.262751	0.101581	0.0196159	0.0049252	0.0386438	0.017728	0.124899	0.130429	0.0365264	0.0219263	0.077747	0.0258199	0.00573072	0.0350152	0.166006	0.135263	0.221875	0.0904452	0.221501	0.584413	1.04895	2.14514	5	3.856232
17000	-189.4757	-219.737	30.26128	10	0.4201585	0.195295	0.0779967	0.0250976	0.0678104	0.0904674	0.253009	0.00543979	0.0143341	0.00500585	0.127308	0.25957	0.0126757	0.159363	0.169738	0.0783121	0.174276	0.015844	0.281542	0.082055	0.00365915	0.0135863	0.185585	0.0298997	0.0383656	0.0928293	0.131045	0.0836914	0.0236393	0.0139667	0.12675	0.218708	0.0355015	0.0828492	0.0371529	0.110027	0.114147	0.258223	0.018275	0.0666069	0.247112	0.0476464	0.0512362	0.137387	0.00768775	0.0525748	0.0197268	0.196647	0.752204	3.03142	5	4.323293
18000	-194.8664	-219.9775	25.11107	10	0.205074	0.0754354	0.10802	0.00463462	0.100024	0.0395439	0.391657	0.0841335	0.129152	0.0870813	0.0279611	0.147238	0.0880768	0.138597	0.130594	0.123431	0.0190933	0.13722	0.19103	0.0204225	0.052493	0.350926	0.127545	0.0766027	0.165263	0.0894776	0.0734495	0.109689	0.0864423	0.013104	0.0593766	0.0233954	0.0555476	0.0851285	0.050298	0.0710596	0.109077	0.0497352	0.257845	0.155617	0.0357192	0.0454216	0.26962	0.00672183	0.0781365	0.0548087	0.000630152	0.036753	0.39677	3.56585	5	4.595845
19000	-220.6699	-223.9555	3.285628	2	1.541743	0.612663	0.148666	0.0251414	0.0616766	0.137934	0.294852	0.0447805	0.107285	0.139152	0.275128	0.350732	0.0104245	0.197533	0.0618866	0.0975197	0.031992	0.076482	0.17822	0.0844458	0.0608124	0.0195437	0.189164	0.0205596	0.163872	0.209887	0.114271	0.0551018	0.128255	0.0933959	0.17964	0.0894662	0.00492652	0.0147738	0.089866	0.106235	0.166396	0.112742	0.0571811	0.00881015	0.206089	0.0534516	0.139898	0.0240455	0.272835	0.0494775	0.231699	0.59536	1.05278	2.12016	4	5.567213
