Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
17000	-248.8984	-260.4331	11.53474	2	1.194651	0.052394	0.159308	0.0583719	0.169882	0.0437033	0.0124343	0.0692105	0.190613	0.0391239	0.0722183	0.102785	0.0888367	0.0138488	0.082917	0.198632	0.196021	0.0740966	0.192558	0.152371	0.0109506	0.0767899	0.174082	0.528347	1.02602	2.27155	4	2.057065
18000	-243.3555	-253.8896	10.5341	2	0.5306771	0.0598416	0.177291	0.153603	0.0783776	0.00993219	0.0266994	0.0913666	0.0913486	0.0518916	0.0581867	0.00574398	0.0365739	0.166893	0.0689658	0.137853	0.491597	0.162525	0.173226	0.00503434	0.0244603	0.167817	0.0392049	0.271472	0.841367	2.84796	4	2.239227
19000	-244.7433	-258.1917	13.4484	10	1.233553	0.107903	0.0139126	0.127731	0.117828	0.00568092	0.00398503	0.00082142	0.0871907	0.00133003	0.12369	0.0947045	0.0770757	0.0752511	0.0256923	0.228012	0.621932	0.062007	0.0434783	0.000566346	0.153112	0.183435	0.181081	0.537229	1.03002	2.25167	5	2.155339
20000	-248.918	-259.1538	10.23577	10	2.039593	0.082412	0.188711	0.134508	0.0432939	0.0685289	0.156766	0.0058719	0.12231	0.0589598	0.132778	0.0100912	0.138001	0.195214	0.185849	0.109921	0.00500545	0.0296119	0.23573	0.224823	0.0812808	0.167644	0.297956	0.659159	1.07095	1.97194	5	2.377312
21000	-237.8059	-261.5149	23.70906	1000	0.3031763	0.0248874	0.241935	0.128617	0.185912	0.0880925	0.00957841	0.187232	0.0318549	0.0944156	0.053609	0.108136	0.00307976	0.183112	0.0603634	0.0115579	0.334379	0.0531633	0.0974354	0.237286	0.0648637	0.0346418	0.0055565	0.106968	0.601099	3.28638	6	2.234153
22000	-246.5785	-256.5649	9.986387	2	0.7480123	0.298913	0.334897	0.0883491	0.139331	0.0216163	0.0686478	0.0862559	0.0476354	0.00832057	0.107991	0.151069	0.0472044	0.0432486	0.0407524	0.0983545	0.29033	0.0307144	0.147126	0.0527641	0.103264	0.0749794	0.0844592	0.38533	0.941439	2.58877	4	2.281764
23000	-238.0555	-252.7268	14.6713	2	0.4500158	0.0179599	0.203451	0.0758604	0.126802	0.0966081	0.00881807	0.0738972	0.0763312	0.00603223	0.0172197	0.0290328	0.0139275	0.218775	0.306315	0.0603776	0.112259	0.00369036	0.0753546	0.239149	0.0376996	0.0739979	0.0245413	0.218038	0.780192	2.97723	4	1.873558
24000	-239.0275	-257.0892	18.0617	10	0.4860742	0.110483	0.0443259	0.121768	0.026597	0.0279339	0.0947957	0.0830731	0.129365	0.00411525	0.00122164	0.0864017	0.0372444	0.145404	0.0482659	0.158978	0.0229018	0.0747378	0.171164	0.00182703	0.279076	0.177775	0.0308366	0.242728	0.809865	2.91657	5	1.847454
25000	-242.5229	-260.6019	18.07899	10	0.6518558	0.0573862	0.0770248	0.126755	0.00829577	0.0106385	0.125543	0.105839	0.0415868	0.00203103	0.0281677	0.100502	0.0143517	0.0949941	0.122667	0.0155327	0.226733	0.101001	0.298303	0.0248918	0.101454	0.0878195	0.0639498	0.3399	0.905632	2.69052	5	1.771516
26000	-236.5908	-263.1988	26.60797	1000	3.30212	0.0289675	0.108328	0.0577753	0.071722	0.039785	0.0861774	0.0242043	0.0269422	0.0404887	0.0462323	0.0714566	0.185319	0.157599	0.10349	0.107901	0.222077	0.0402993	0.145911	0.0870144	0.0487846	0.0814447	0.411363	0.746993	1.08365	1.75799	6	1.78192
