Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-3271.479	-3312.891	41.41171	2	1.235268	0.141451	0.0743661	0.0254962	0.131435	0.0254702	0.468849	0.0135347	0.00174527	0.170313	0.0497018	0.00103949	0.0437829	0.0356678	0.0554481	0.0657682	0.0340254	0.0729121	0.05438	0.0298833	0.0191186	0.0699397	0.0168932	0.10043	0.026448	0.0153233	0.0286227	0.04579	0.0134077	0.0551246	0.0664244	0.0476368	0.0131805	0.0103931	0.0722125	0.0326477	0.0115594	0.0244043	0.104907	0.00932303	0.0315163	0.10817	0.0595967	0.0729184	0.1719	0.0616069	0.0559835	0.115619	0.0324057	0.0494676	0.162645	0.0271677	0.357766	0.0876999	0.0370111	0.0906004	0.0329543	0.0811607	0.203387	0.134099	0.375657	0.0727559	0.0579193	0.14739	0.00493325	0.164918	0.0211019	0.151915	0.168514	0.00974214	0.028251	0.0153997	0.263682	0.00631473	0.0497826	0.0930303	0.160355	0.0290167	0.0166096	0.143711	0.181386	0.537611	1.03019	2.25082	4	6.23373
11000	-3288.944	-3314.105	25.16184	2	1.612769	0.13279	0.0774264	0.0578775	0.026564	0.0737874	0.37626	0.00794815	0.0298429	0.113719	0.0461367	0.0299105	0.00812136	0.0901949	0.0769792	0.224961	0.280428	0.0163854	0.0253749	0.0371983	0.0254696	0.0835249	0.0100698	0.0954074	0.0244358	0.0364546	0.00923548	0.0619459	0.0146082	0.201467	0.0278998	0.0373451	0.00742029	0.0242062	0.0486202	0.0532185	0.00816182	0.0586003	0.0994726	0.0204781	0.0222428	0.100339	0.11302	0.0728559	0.274874	0.0445268	0.176636	0.437993	0.0814264	0.0292793	0.218615	0.0179737	0.390387	0.103672	0.0387394	0.00777211	0.0443361	0.135035	0.0126322	0.213058	0.0626512	0.0396667	0.0455597	0.165652	0.0226529	0.0937787	0.0496672	0.611899	0.0130338	0.021255	0.0606187	0.01641	0.671311	0.022935	0.0545686	0.0175585	0.245047	0.00814088	0.015298	0.146363	0.242229	0.606311	1.05641	2.09505	4	7.599426
12000	-3282.048	-3318.602	36.55446	2	1.186164	0.0728612	0.0484032	0.0174725	0.0918262	0.0625309	0.473327	0.018597	0.000238624	0.187085	0.0524092	0.0111142	0.0435597	0.00702472	0.114428	0.0682238	0.183209	0.0589685	0.0251881	0.0780199	0.0402355	0.00123666	0.0196607	0.118562	0.0799293	0.0480661	0.0128293	0.0239578	0.0143079	0.082606	0.0467436	0.0255551	0.0115374	0.0313897	0.0421717	0.0512691	0.0274944	0.0442556	0.122003	0.0371975	0.0220204	0.118205	0.250265	0.146935	0.275993	0.0192236	0.26932	0.129736	0.190928	0.0360606	0.030169	0.0224528	0.0744138	0.0716903	0.00150753	0.184729	0.000162188	0.0741706	0.0493292	0.13903	0.0472268	0.0628006	0.0110264	0.180425	0.0779517	0.109128	0.0520169	0.29747	0.00427889	0.00637625	0.00372443	0.0873014	0.0983192	0.0640571	0.0502685	0.220442	0.201981	0.0204302	0.0427569	0.126044	0.172537	0.526353	1.0251	2.27601	4	6.365861
13000	-3266.19	-3307.598	41.40767	2	1.465436	0.12781	0.00814515	0.0135663	0.0904854	0.0226241	0.357294	0.00935684	0.0122019	0.131742	0.0746711	0.0859167	0.0726784	0.0138971	0.0866921	0.0435504	0.146633	0.0350283	0.0154318	0.0104853	0.00791146	0.0537743	0.015625	0.055814	0.0135882	0.0373866	0.00105315	0.0486434	0.0093647	0.293016	0.0191773	0.00769414	0.0241342	0.00606356	0.0554818	0.073541	0.00857213	0.0220595	0.141467	0.0099687	0.0248704	0.0619864	0.0397563	0.0865998	0.248064	0.0366496	0.261773	0.067861	0.0472863	0.0340161	0.228228	0.0123563	0.167931	0.132685	0.00985367	0.00281165	0.00126192	0.166062	0.191963	0.021356	0.171963	0.0299827	0.218153	0.151767	0.024485	0.0962291	0.112724	0.221516	0.0015357	0.0223491	0.00968936	0.00799347	0.256503	0.0203391	0.0802535	0.223814	0.215286	0.0124419	0.0191783	0.15323	0.219933	0.5827	1.04833	2.14904	4	6.155351
14000	-3289.411	-3321.322	31.9115	2	2.138709	0.151347	0.055736	0.040325	0.122518	0.0751608	0.670725	0.00492073	0.0154114	0.112151	0.0712341	0.023044	0.0227299	0.0269132	0.0369686	0.0134133	0.0398415	0.0512649	0.00492689	0.0285156	0.00134258	0.0265191	0.0246875	0.107558	0.00502947	0.0520781	0.000311727	0.0199834	0.000565053	0.128857	0.0419972	0.0244341	0.0407103	0.0154863	0.00613349	0.0305819	0.00160685	0.0445479	0.105591	0.0043175	0.0596351	0.121858	0.112381	0.0196734	0.221233	0.0771705	0.265422	0.033768	0.0253549	0.0455275	0.0526864	0.0138565	0.139165	0.181	0.0343591	0.0423895	0.0493378	0.101894	0.185846	0.14797	0.0636127	0.0352249	0.153762	0.106263	0.241235	0.17103	0.0980338	0.409985	0.178434	0.0760912	0.0655413	0.00584785	0.270825	0.110032	0.0766564	0.0102351	0.187327	0.0459746	0.0138442	0.179941	0.309289	0.668997	1.0731	1.94861	4	6.679909
15000	-3272.692	-3304.58	31.88767	2	1.17121	0.163325	0.047662	0.0304738	0.0664521	0.0400188	0.538361	0.00977304	0.0302981	0.151884	0.0344564	0.0394136	0.0179903	0.0501613	0.00602393	0.0877829	0.107685	0.0274568	0.0236193	0.0373598	0.00158974	0.0779377	0.00263166	0.0970774	0.0246738	0.0315343	0.0085629	0.00600839	0.000200617	0.0509014	0.0865531	0.00875709	0.0139702	0.0204535	0.027273	0.0195518	0.0318664	0.025097	0.149963	0.0206072	0.0830803	0.113077	0.0131831	0.110138	0.247841	0.022427	0.269064	0.0423742	0.0907751	0.00444061	0.226818	0.0118333	0.0553354	0.390278	0.0187024	0.0483064	0.322802	0.0614226	0.0618617	0.163572	0.128601	0.0429165	0.203238	0.104906	0.100668	0.128798	0.191362	0.201387	0.0717048	0.0239942	0.0240569	0.00657541	0.232664	0.0355808	0.0522832	0.227393	0.173067	0.0122506	0.0366441	0.12226	0.169797	0.522789	1.02344	2.28397	4	6.693092
16000	-3275.862	-3309.141	33.27845	2	2.100336	0.179842	0.00288486	0.00358202	0.105954	0.059483	0.460186	0.00852986	0.0129377	0.0979178	0.0561309	0.037028	0.0211228	0.0807701	0.0492423	0.0498627	0.219125	0.0178899	0.00038892	0.00142103	0.0668529	0.0625239	0.0186925	0.104534	0.0157279	0.0562552	0.0107019	0.043306	0.0216183	0.176479	0.055742	0.0226316	0.0134465	0.0475176	0.0358618	0.00848756	0.0172643	0.00571042	0.110146	0.00153828	0.0334815	0.0914308	0.0107577	0.136386	0.444904	0.00402615	0.362056	0.0694663	0.0827751	0.0146725	0.405624	0.0373264	0.21182	0.129101	0.0206672	0.0389722	0.0933267	0.0951156	0.143066	0.177331	0.143954	0.148517	0.0714672	0.149308	0.021462	0.0623669	0.0581512	0.0580277	0.0373037	0.0227829	0.0387444	0.0449864	0.289946	0.0456453	0.0280787	0.0196301	0.0830691	0.00733549	0.0397494	0.189966	0.304965	0.665276	1.07231	1.95745	4	6.522135
17000	-3273.993	-3314.78	40.78667	2	1.674384	0.1491	0.0155074	0.0509327	0.145929	0.169731	0.382527	0.000696619	0.0126846	0.149209	0.0181578	0.0446401	0.0458867	0.00469598	0.0216614	0.00316898	0.0481167	0.0126915	0.0274584	0.0206919	0.0267159	0.110269	0.0110847	0.0828576	0.0116704	0.031002	0.00654334	0.0268603	0.00249256	0.222137	0.0620119	0.0369437	0.0166889	0.0178179	0.0245168	0.113583	0.0164259	0.0381633	0.101103	0.0365901	0.0382574	0.099581	0.00461793	0.118418	0.0145201	0.194881	0.219934	0.031125	0.0022548	0.0198197	0.11538	0.0325249	0.018861	0.160785	0.0335669	0.0554266	0.0842545	0.0683479	0.233118	0.0346808	0.0390879	0.0551264	0.0283459	0.160541	0.0301895	0.248482	0.0827993	0.0468016	0.00964923	0.0179519	0.00817317	0.0334127	0.263437	0.0492413	0.0185723	0.477274	0.222922	0.019006	0.0277174	0.165302	0.251048	0.615224	1.05921	2.07452	4	5.903351
18000	-3267.691	-3305.748	38.05738	2	1.095965	0.136048	0.0325393	0.0103374	0.112087	0.140022	0.449467	0.005652	0.0260022	0.105242	0.104777	0.0167741	0.00988304	0.034162	0.035144	0.0349482	0.142402	0.0739932	0.00471537	0.0326825	0.0106923	0.0667781	0.0108899	0.0617242	0.023291	0.0314872	4.22643e-05	0.035631	0.00558386	0.122284	0.0419262	0.0172162	0.00418766	0.00944748	0.0328092	0.0221205	0.0131404	0.025652	0.117181	0.0114072	0.0501553	0.0780463	0.00130498	0.0604761	0.0198001	0.250906	0.136735	0.0427053	0.013379	0.0478378	0.456688	0.0329583	0.193462	0.320133	0.0683954	0.0493135	0.038491	0.0788577	0.269563	0.0539671	0.0762682	0.11567	0.0543092	0.140727	0.0657324	0.0580366	0.0170844	0.0537972	0.264076	0.039916	0.0192906	0.093124	0.241155	0.0178561	0.0279076	0.124344	0.120409	0.0141556	0.00923411	0.158733	0.155694	0.503811	1.01424	2.32625	4	6.145373
19000	-3271.225	-3313.276	42.05091	2	1.70079	0.131488	0.0117161	0.00689757	0.0950372	0.119389	0.353297	0.0170091	0.0200458	0.102574	0.045614	0.0130947	0.042834	0.0252584	0.0190907	0.0362943	0.133123	0.00305552	0.00507354	0.0141028	0.0320164	0.0600839	0.00873149	0.0698446	0.0251763	0.0368772	0.00876111	0.0720887	0.0356964	0.137581	0.0538942	0.0744259	0.0140411	0.0508072	0.0203002	0.0273097	0.0101225	0.0087646	0.0827154	0.0242744	0.0111616	0.133695	0.0291976	0.009844	0.206221	0.0741483	0.0800991	0.0379737	0.0513137	0.0530789	0.248479	0.0256194	0.230065	0.179107	0.0588734	0.0133556	0.0409965	0.161574	0.191115	0.315941	0.0692892	0.00204038	0.128148	0.0769445	0.141274	0.125359	0.00690629	0.164425	0.182718	0.00734372	0.0263991	0.0144794	0.277791	0.040433	0.00751443	0.0288109	0.236877	0.0576423	0.033931	0.149365	0.254741	0.61889	1.06032	2.06605	4	5.97806
