Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
19000	-122.2478	-135.519	13.2712	10	0.3755488	0.581211	0.0886966	0.210347	0.00903615	0.0299046	0.00985504	0.00132451	0.0255569	0.128099	0.0208126	0.0165933	0.498107	0.0252902	0.00505543	0.00912983	0.273334	0.0133956	0.0133507	0.163268	0.703405	3.11998	5	1.945749
20000	-126.0715	-140.5838	14.51232	10	4.004729	0.174966	0.0173028	0.0901762	0.00910831	0.0157278	0.0166323	0.00742889	0.0756677	0.179382	0.0324574	0.0124859	0.0517107	0.0447671	0.120163	0.0447769	0.120238	0.33133	0.454622	0.775372	1.0844	1.68561	5	1.344321
21000	-114.3255	-139.5121	25.18662	1000	0.8804349	0.268794	0.0528768	0.000313249	0.00925885	0.133619	0.0498658	0.0171957	0.0479614	0.157002	0.0703458	0.235578	0.0320558	0.505912	0.0299774	0.00511151	0.0560892	0.227201	0.112525	0.437609	0.976972	2.47289	6	1.899158
22000	-131.8888	-142.6203	10.73147	10	0.8027168	0.163501	0.056004	0.07172	0.0318299	0.0380218	0.000448282	0.0716128	0.0746961	0.253345	0.0852835	0.0579607	0.251732	0.593586	0.0382347	0.0293829	0.19247	0.0689699	0.0961367	0.408226	0.957705	2.53793	5	2.078798
23000	-140.8084	-139.0544	-1.754017	2	1.714081	0.457972	0.160592	0.449217	0.0416105	0.0314623	0.00728326	0.0535482	0.0406588	0.271838	0.0990838	0.00668276	0.16372	0.0473953	0.258716	0.608602	0.244862	0.0978082	0.256581	0.620702	1.06086	2.06186	4	3.041053
24000	-123.465	-140.335	16.87004	10	1.661154	0.162058	0.0100765	0.167235	0.026309	0.00821613	0.0340049	0.00334029	0.220051	0.0904329	0.031137	0.202195	0.120665	0.00511662	0.0850961	0.245588	0.0404817	0.0460957	0.249179	0.613354	1.05863	2.07883	5	1.498098
25000	-116.8827	-138.7621	21.8794	1000	3.927807	0.406257	0.0262921	0.053618	0.0455756	0.0583928	0.0249751	0.0155993	0.0511562	0.145368	0.0592203	0.0553823	0.0610281	0.0231106	0.251484	0.0546791	0.303496	0.296051	0.450352	0.772675	1.08441	1.69257	6	1.931686
26000	-133.3799	-140.6256	7.245611	1	1.275455	0.00766689	0.0630925	0.181642	0.00424216	0.0965165	0.0946502	0.0352332	0.259984	0.165811	0.0125666	0.00348651	0.483445	0.177765	0.0241017	0.000123479	0.359233	0.0499549	0.188461	0.546348	1.03398	2.23121	3	2.019514
27000	-122.0074	-146.5762	24.56879	1000	1.304411	0.474393	0.035982	0.0394761	0.0301469	0.205648	0.0312942	5.00393e-05	0.0651496	0.164204	0.0921639	0.00423683	0.00714793	0.0675409	0.0461353	0.211362	0.136997	0.301493	0.193467	0.552395	1.03652	2.21761	6	1.91342
28000	-138.4375	-144.9663	6.528796	2	1.467053	0.410331	0.0694283	0.160644	0.106966	0.0137053	0.0130673	0.000317821	0.0220169	0.0269204	0.144347	0.0988617	0.0664706	0.137989	0.403048	0.107064	0.222799	0.0244123	0.220188	0.582979	1.04843	2.14841	4	2.028388
