Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
17000	-738.3057	-769.1592	30.85355	10	0.1657037	0.190221	0.0706622	0.0676579	0.0742005	0.0554799	0.172164	0.0230075	0.00433206	0.0101569	0.0230445	0.0201619	0.00827405	0.60195	0.00659815	0.0206897	0.167344	0.328766	0.006425	0.0120681	0.167978	0.0757244	0.000127143	0.0166195	0.288526	3.69473	5	2.106905
18000	-742.3025	-766.4082	24.10567	10	0.9265409	0.335722	0.000994825	0.0812892	0.0166106	0.124971	0.349196	0.0384796	0.00107311	0.00190393	0.0448669	0.049918	0.0280204	0.271034	0.0181961	0.0066722	0.344518	0.309833	0.0586981	0.0061345	0.578899	0.000579683	0.122074	0.453501	0.986675	2.43775	5	2.66761
19000	-733.4525	-767.2386	33.78606	10	0.2603576	0.186982	0.0144982	0.020786	0.120411	0.0477779	0.205603	0.0236665	0.0078459	0.00899635	0.0160356	0.0399202	0.00964983	0.272777	0.0178336	0.0286935	0.248158	0.263431	0.000720659	0.0806351	0.238734	0.0194238	0.00263003	0.0742653	0.522825	3.40028	5	1.872579
20000	-736.7781	-762.4452	25.66709	10	0.4541176	0.250973	0.025486	0.0443382	0.0127992	0.164468	0.033081	0.028783	0.00445752	0.00285965	0.045937	0.021345	0.0391289	0.450023	0.0615911	0.0126937	0.235895	0.813339	0.00928645	0.241597	0.441265	0.0187183	0.0252326	0.220911	0.783782	2.97007	5	2.958065
21000	-736.4962	-767.0093	30.51315	10	0.4955521	0.182291	0.0641307	0.0152459	0.107818	0.0566089	0.10269	0.0184695	0.000433871	0.00599903	0.0321753	0.0259458	0.0157437	0.0437178	0.0159195	0.0301301	0.257849	0.135713	0.159306	0.612634	0.346264	0.00660491	0.0325663	0.249002	0.817005	2.90143	5	2.235689
22000	-758.3675	-773.2822	14.9147	2	0.4275965	0.259446	0.101018	0.0482024	0.0707608	0.0500155	0.0574246	0.0620166	0.00504955	0.00251686	0.025671	0.0112822	0.0464934	0.171732	0.0562343	0.00959224	0.211408	0.882652	0.00577624	0.553821	0.102545	0.0310998	0.0208886	0.202053	0.759496	3.01756	4	2.764757
23000	-751.4422	-770.4542	19.01201	10	0.5261238	0.309832	0.0305895	0.0141782	0.267632	0.0524532	0.0440317	0.0610977	0.0110626	0.00565646	0.0122104	0.0367054	0.0159654	0.00643854	0.0151979	0.0566669	0.569783	0.718884	0.297937	0.345942	0.00237985	0.190486	0.0383259	0.268628	0.838384	2.85466	5	3.06513
24000	-742.8656	-768.6624	25.79686	10	0.2380336	0.105991	0.127146	0.046209	0.157698	0.0274094	0.157124	0.0368926	0.0066624	0.00149326	0.0268158	0.0393082	0.0267762	0.0152375	0.00437324	0.000195688	0.352314	0.314566	0.032432	0.629888	0.0123985	0.313038	0.00160019	0.0581946	0.475562	3.46464	5	2.43397
25000	-740.2432	-772.1841	31.94087	10	0.6988717	0.247109	0.130961	0.0414317	0.0565231	0.0433626	0.201167	0.021183	0.00382144	6.74413e-05	0.0350751	0.0808511	0.0104445	0.0428484	0.0141385	0.023447	0.155972	0.333092	0.0918875	0.304674	0.00724615	0.291406	0.0739473	0.362997	0.92445	2.63861	5	2.136709
26000	-739.4611	-767.1021	27.64098	10	0.3632858	0.307215	0.0639688	0.0201996	0.0242433	0.0522148	0.153452	0.0428878	0.00994919	0.000474422	0.0353083	0.0310436	0.0058127	0.018512	0.0757878	0.0221626	0.2913	0.435821	0.0211799	0.534735	0.0625061	0.492617	0.0117935	0.153848	0.688286	3.14607	5	2.701391
27000	-741.1312	-770.0691	28.93787	10	0.3330529	0.180622	0.0458847	0.0015955	0.00798905	0.0682908	0.162609	0.0389563	0.00873548	0.00232382	0.0177356	0.0207037	0.04311	0.0996834	0.0423987	0.0181361	0.463287	0.0894549	0.00648873	0.406994	0.00896933	0.529516	0.00835554	0.130333	0.647356	3.21396	5	2.263485
28000	-746.74	-770.775	24.03501	10	0.4460413	0.268638	0.0198108	0.0717997	0.361743	0.0438433	0.0968499	0.0208354	0.00397469	0.00617079	0.0426136	0.0586522	0.0146642	0.133288	0.0665947	0.0368627	0.465854	0.35838	0.0307298	0.0177097	0.0162196	0.807579	0.023878	0.215239	0.776657	2.98423	5	2.942814
29000	-736.9309	-769.4133	32.4824	10	0.2512745	0.278969	0.0109259	0.00321024	0.1638	0.00746665	0.181745	0.019269	0.00320974	1.37107e-05	0.0355788	0.0193689	0.0101653	0.0101436	0.363107	0.0200777	0.15533	0.0116816	0.00755008	0.00898051	0.0013149	0.268319	0.00217169	0.0676119	0.504166	3.42605	5	1.580226
