Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-3275.208	-3312.487	37.27863	2	0.7949637	0.158328	0.0860856	0.0186795	0.097309	0.0122159	0.436661	0.0349463	0.000326609	0.0971097	0.00299727	0.0627516	0.0191239	0.00694624	0.0621694	0.0681288	0.0267	0.0314059	0.000717194	0.0192605	0.0130493	0.0298781	0.0157202	0.114812	0.0194393	0.0183433	0.00455875	0.0139583	0.0393537	0.283829	0.0584433	0.046074	0.0195813	0.0171895	0.00107524	0.042518	0.00979254	0.0406728	0.104696	0.0212645	0.0317761	0.102313	0.0260275	0.0177386	0.0582888	0.483156	0.0685136	0.0855824	0.000412113	0.0247172	0.289625	0.410377	0.289229	0.0978169	0.0662189	0.0121581	0.117423	0.177996	0.10501	0.0182024	0.100203	0.0898047	0.0896203	0.0536278	0.0601248	0.0379849	0.43409	0.172386	0.0459677	0.0166255	0.0169932	0.0265481	0.353773	0.0305716	0.0280138	0.131346	0.0180682	0.00956281	0.0808909	0.0151094	0.0944866	0.405098	0.95555	2.54487	4	6.450006
11000	-3272.924	-3306.5	33.57597	2	1.703403	0.111869	0.0554022	0.0363714	0.0338219	0.011533	0.407408	0.000731955	0.0172628	0.0672053	0.0957718	0.0273523	0.0249118	0.014811	0.0296294	0.0308924	0.118454	0.00372639	0.00983277	0.0822369	0.0389276	0.032981	0.0032228	0.0765294	0.023516	0.0296702	0.0181649	0.0184161	0.0282787	0.0860212	0.0266932	0.00471118	0.0261331	0.0103576	0.0316731	0.111354	0.00365071	0.0189664	0.0712354	0.0271576	0.0322271	0.106977	0.0106085	0.040715	0.0873432	0.163704	0.0506567	0.054233	0.106116	0.00781743	0.301538	0.22255	0.0428062	0.0936155	0.00459578	0.0379567	0.207308	0.0668723	0.131559	0.00415418	0.0529676	0.415617	0.276624	0.0596746	0.0929201	0.132746	0.323523	0.168498	0.0940093	0.0435703	0.0167772	0.0243175	0.177514	0.0612623	0.0493145	0.138888	0.0455819	0.00323138	0.144714	0.0260748	0.255104	0.619248	1.06043	2.06522	4	5.988064
12000	-3258.903	-3302.864	43.96126	2	1.327829	0.112839	0.0114763	0.0255904	0.0404201	0.0976216	0.3652	0.00293439	0.00160035	0.109854	0.0230525	0.0413266	0.00293491	0.0445715	0.00603994	0.0219504	0.0640347	0.0337974	0.00583288	0.0467128	0.0134696	0.0712813	0.0176909	0.0623198	0.0302317	0.0285398	0.00400394	0.0293663	0.0209508	0.0185534	0.0355946	0.031174	0.00763229	0.0111871	0.0209269	0.0189244	0.00335369	0.0123946	0.1111	0.0109891	0.0250186	0.089742	0.0910508	0.0124217	0.0124102	0.0878331	0.0300569	0.0220455	0.139622	0.0211263	0.0713548	0.29721	0.245322	0.0787181	0.0297809	0.0313191	0.180497	0.0900348	0.138095	0.0193539	0.0283911	0.139796	0.364248	0.101941	0.0456928	0.0112846	0.231858	0.048481	0.0731464	0.0298407	0.0277476	0.040971	0.192633	0.0283136	0.0494751	0.084104	0.0571988	0.034817	0.309393	0.0636347	0.197459	0.557142	1.03848	2.20692	4	5.293455
13000	-3279.775	-3312.657	32.88215	2	1.264806	0.141425	0.042936	0.00850133	0.120899	0.015069	0.677076	0.0562919	0.0498727	0.0676692	0.0504037	0.00423976	0.0046715	0.0426287	0.04339	0.0751981	0.00182457	0.0773485	0.00438167	0.0535451	0.0147619	0.0842253	0.00861148	0.113919	0.0616363	0.0476728	0.00533146	0.0203509	0.0278319	0.126015	0.0274319	0.000132698	0.0132232	0.00947173	0.00482316	0.111796	0.00455811	0.0292165	0.0783286	0.0302055	0.0510815	0.109839	0.0852541	0.0333772	0.214887	0.100417	0.0266842	0.0368988	0.169808	0.0861016	0.0503467	0.189912	0.0512123	0.148158	0.0544055	0.0161475	0.34138	0.13463	0.202375	0.0207427	0.278357	0.0550813	0.173051	0.084977	0.123126	0.123466	0.461725	0.14087	0.0304466	0.0372524	0.0194221	0.0712326	0.0153155	0.00873044	0.0622132	0.104207	0.0557616	0.0339244	0.380286	0.00453549	0.186601	0.544072	1.033	2.23632	4	6.744556
14000	-3309.854	-3325.432	15.57859	1	1.127717	0.158014	0.00116261	0.0550474	0.0907025	0.0486847	0.423342	0.0423368	0.0327285	0.190183	0.0824606	0.055324	0.0148741	0.0317143	0.0454959	0.0492393	0.0831293	0.0415213	0.0219838	0.0428653	0.0454812	0.0353769	0.0182639	0.0888961	0.0334884	0.0336129	0.00321487	0.0491382	0.0663135	0.235728	0.0223885	0.0464479	0.0112782	0.00905335	0.0249227	0.0351792	0.0235707	0.0661462	0.0978297	0.0240507	0.0695367	0.131979	0.0126567	0.182509	0.128891	0.432425	0.0478676	0.0179858	0.3664	0.0196602	0.0623531	0.459809	0.520691	0.111193	0.012421	0.0357334	0.239543	0.111057	0.1507	0.00111652	0.0652511	0.514746	0.0489975	0.173001	0.181731	0.0500583	0.602186	0.0281313	0.0186107	0.012521	0.0212108	0.0311375	0.0510458	0.037531	0.0110668	0.112413	0.043189	0.0405416	0.0208479	0.0920489	0.161709	0.51204	1.01831	2.30794	3	7.751983
15000	-3258.136	-3300.971	42.8341	2	1.486304	0.14051	0.0624995	0.0465805	0.0112008	0.021199	0.240427	0.00878049	0.00843435	0.0860919	0.0228733	0.0616108	0.0121382	0.000585697	0.0217045	0.00738513	0.123016	0.0152844	0.00487348	0.0505148	0.0134361	0.0752493	0.00761845	0.121135	0.0122852	0.0371431	0.00757492	0.0230799	0.0169319	0.0816588	0.0379749	0.00235446	0.0020533	0.0174987	0.0415638	0.061005	0.00967108	0.00542197	0.0905875	0.0105036	0.0388694	0.115899	0.0262201	0.0272231	0.0287322	0.423944	0.481211	0.020999	0.214323	0.302712	0.0683509	0.297646	0.287549	0.0780517	0.00735255	0.0210992	0.127443	0.0729023	0.157503	0.0144421	0.0124591	0.193139	0.0264087	0.119174	0.0589087	0.127869	0.127604	0.130984	0.00566225	0.0504584	0.0272049	0.0123502	0.107569	0.0585254	0.0368017	0.103666	0.0709318	0.059415	0.0714161	0.0457372	0.223199	0.586261	1.04961	2.14093	4	5.87921
16000	-3279.3	-3312.506	33.20671	2	1.363881	0.173071	0.0154668	0.0541333	0.0848148	0.0775895	0.390197	0.00260491	0.00126176	0.164047	0.088012	0.0167885	0.000231828	0.0401773	0.0394704	0.0534845	0.059371	0.0173709	0.0130153	0.0297243	0.000303367	0.0806472	0.0387199	0.153733	0.0428037	0.0412272	0.0115884	0.0514528	0.00077774	0.0500849	0.0413757	0.0363659	0.00432226	0.00772201	0.0249213	0.0326193	0.0156281	0.0577915	0.120418	0.0472316	0.0415755	0.112034	0.0251938	0.0214597	0.00116831	0.0641428	0.0922229	0.00410324	0.359278	0.198595	0.0574683	0.218112	0.297214	0.109417	0.0202056	0.0761845	0.224177	0.135549	0.151887	0.0201966	0.0977335	0.226624	0.00086221	0.0610353	0.303761	0.0311884	0.299573	0.0706243	0.0413955	0.0136591	0.0415793	0.0111593	0.205161	0.0216097	0.0448432	0.235485	0.0682789	0.00134923	0.259932	0.0141848	0.203509	0.564211	1.04132	2.19096	4	6.460789
17000	-3274.542	-3308.511	33.96832	2	1.797947	0.160712	0.00498557	0.0208274	0.0253633	0.0249318	0.418236	0.047428	0.00123384	0.172779	0.0331612	0.041904	9.81581e-05	0.00899942	0.0819817	0.0143275	0.0298838	0.0125116	0.00405245	0.0277492	0.00557877	0.054251	0.0107396	0.0989747	0.022567	0.0121148	0.0384129	0.0637988	0.0682141	0.254201	0.0469653	0.0293837	0.013097	0.02595	0.0230945	0.0461895	0.00906707	0.0763764	0.0884408	0.0316197	0.0288965	0.0867322	0.032035	0.0519613	0.0609539	0.175604	0.0596326	0.0108697	0.0573617	0.217224	0.198708	0.349912	0.163705	0.0960985	0.0494979	0.00309067	0.136499	0.0309288	0.124965	0.00605199	0.258447	0.308109	0.0285888	0.00559855	0.0184458	0.22999	0.185226	0.311332	0.030396	0.0221247	0.0128288	0.0593352	0.00230514	0.0455039	0.100647	0.122171	0.0815795	0.00924776	0.156511	0.116433	0.267902	0.631651	1.064	2.03645	4	6.19575
18000	-3262.457	-3302.457	40.00072	2	0.9863737	0.1879	0.0219097	0.0328716	0.078861	0.0233367	0.372456	0.0177401	0.0125142	0.096933	0.0510101	0.0505897	0.00855797	0.0148075	0.0929018	0.0737566	0.212955	0.00488034	0.0570751	0.0199463	0.0330338	0.0541242	0.0153979	0.0964822	0.0410311	0.0258422	0.0116708	0.00913829	0.0124071	0.107635	0.0143982	0.0182814	0.024753	0.0102367	0.0184539	0.0440075	0.0174863	0.00699032	0.079944	0.0117937	0.0220896	0.103164	0.0569817	0.0868379	0.0456872	0.282773	0.0725592	0.0212431	0.0964154	0.0394537	0.365318	0.150416	0.0464304	0.1217	0.0173346	0.0843374	0.246849	0.138358	0.126054	0.021933	0.0217394	0.318488	0.185689	0.252894	0.182411	0.170322	0.166109	0.173272	0.02134	0.0518567	0.0332907	0.0135022	0.0444924	0.0676828	0.0287637	0.179775	0.0803583	0.0219743	0.0118072	0.0127566	0.134227	0.472617	0.997705	2.39545	4	6.268569
19000	-3280.926	-3314.571	33.64472	2	2.020792	0.12959	0.0589605	0.0145653	0.0666697	0.0201206	0.412593	0.0203122	0.0264781	0.151057	0.0634023	0.000850818	0.00383237	0.00204703	0.0334083	0.0985129	0.0477813	0.0529091	0.0278863	0.0098669	0.0642471	0.0727231	0.0279954	0.0617067	0.0381023	0.0353625	0.0217699	0.0509199	0.000785728	0.249006	0.0608126	0.0283272	0.000902763	0.0330481	0.0167523	0.0539507	0.0162367	0.0121017	0.114052	0.0382444	0.0345503	0.141812	0.108558	0.0344329	0.0296098	0.217025	0.028811	0.0276123	0.146172	0.0299287	0.208656	0.318865	0.0654431	0.0616233	0.000666832	0.128858	0.363942	0.103573	0.246182	0.0437646	0.166796	0.445116	0.240441	0.116482	0.130578	0.0414972	0.122614	0.00664056	0.0062884	0.0105222	0.0150042	0.0305977	0.0156779	0.0568313	0.0972869	0.134274	0.0523896	0.0432148	0.228525	0.00288083	0.295744	0.657207	1.0705	1.97655	4	6.541635
