Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
14000	-328.8887	-386.3898	57.50108	10	0.01909103	0.154349	0.0182921	0.00603782	0.0596552	0.026803	0.00769493	0.00675404	0.0825341	0.595993	0.000471541	0.130618	0.0267286	0.0461188	0.00846968	0.0462703	0.108439	0.0307114	0.0841249	0.0506542	0.0272755	0.0819937	0.171507	0.0663339	0.180233	0.0220059	1.62776e-32	1.90878e-16	4.79309e-07	4	5	2.040068
15000	-334.6354	-389.805	55.16959	10	0.04506825	0.488428	0.0563986	0.0233955	0.0349085	0.0372983	0.0189842	0.0391418	0.00259292	0.244471	0.102879	0.0739858	0.0146201	0.000519326	0.0269929	0.0318951	0.0290814	0.081485	0.405008	0.00541072	0.316802	0.0609264	0.107494	0.164827	0.0427085	0.0890608	2.43825e-14	2.33095e-07	0.00282495	3.99717	5	2.499315
16000	-321.5063	-388.3491	66.84273	10	0.09115458	0.0124319	0.065276	0.0199623	0.0874442	0.109966	0.0181697	0.0406365	0.001425	0.198194	0.128878	0.0915902	0.0530621	0.0303541	0.00449307	0.0412902	0.0935453	0.0516453	0.0866104	0.0580484	0.135866	0.0765346	0.0475782	0.0375154	0.00984727	0.00671976	1.37342e-07	0.000551063	0.0709871	3.92846	5	1.507083
17000	-325.1819	-383.2207	58.03889	10	0.009244132	0.151506	0.00657483	0.0305792	0.057067	0.0292847	0.00253946	0.0709801	0.0265869	0.511152	0.07336	0.288207	0.0059657	0.0242623	0.0114069	0.184486	0.000994657	0.217679	0.0888145	0.044686	0.0272617	0.0961781	0.171996	0.031398	0.0486578	0.035335	4.16607e-66	3.05631e-33	5.13176e-14	4	5	2.23696
18000	-308.6268	-375.0699	66.44314	10	0.05051198	0.0352977	0.0637904	0.0246082	0.0443651	0.0494556	0.00734587	0.0090218	0.000548674	0.141072	0.202095	0.141399	0.00297107	0.00747521	0.00875013	0.0686263	0.0658252	0.166524	0.119127	0.0203255	0.0662618	0.00326497	0.033671	0.0179984	0.0153854	0.10426	6.70469e-13	1.22176e-06	0.00561729	3.99438	5	1.419467
19000	-336.2762	-384.137	47.86074	10	0.04075608	0.266738	0.0215452	0.0314588	0.0383778	0.095299	0.0338233	0.0208745	0.032563	0.237554	0.0559572	0.142844	0.0146538	0.0331155	0.00767981	0.206635	0.141184	0.0925982	0.0512676	0.142513	0.0453724	0.12552	0.23933	0.0214621	0.222248	0.000737134	9.41829e-16	4.58289e-08	0.00143859	3.99856	5	2.321353
20000	-334.854	-385.2781	50.42415	10	0.08791729	0.126172	0.0550861	0.00382225	0.0162425	0.0318093	0.00626007	0.0275575	0.0600091	0.335851	0.111227	0.190879	0.135019	0.00671896	0.0215198	0.00758098	0.000193368	0.0933904	0.00162923	0.0926406	0.00882502	0.0280446	0.290912	0.108725	0.098861	0.057183	7.84926e-08	0.000416714	0.0632174	3.93637	5	1.916159
21000	-326.76	-389.2619	62.50187	10	0.01603001	0.0490496	0.040768	0.0521039	0.0342792	0.041745	0.0108324	0.0217225	0.0245989	0.0988908	0.142318	0.0522787	0.014018	0.0028587	0.0316148	0.160759	0.0737148	0.0502987	0.0434377	0.0326192	0.0161466	0.0610416	0.0880452	0.00859683	0.323484	0.0967419	1.5481e-38	1.86198e-19	2.69876e-08	4	5	1.571964
22000	-332.9663	-389.6321	56.6658	10	0.2651103	0.0759283	0.0918047	0.0335392	0.0638564	0.0351533	0.00307913	0.109591	0.0991407	0.104758	0.392493	0.0513912	0.010312	0.0194922	0.032331	0.0556294	0.132531	0.0333893	0.285632	0.157229	0.151818	0.0463749	0.0223631	0.0733318	0.0289797	0.172197	0.00289202	0.077799	0.532287	3.38702	5	2.282344
23000	-310.8284	-380.7954	69.967	10	0.07541027	0.147373	0.0388523	0.011841	0.000241948	0.0432431	0.00986644	0.0287706	0.0881493	0.109871	0.0354496	0.168369	0.00118497	0.0313973	0.00633093	0.260305	0.0386218	0.0121792	0.0165687	0.069077	0.0745349	0.0828004	0.0391039	0.0943991	0.00409843	0.0382413	5.75367e-09	0.000112944	0.0367714	3.96312	5	1.450871
