Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
595000	-888.6052	-900.372	11.76673	2	1.526605	0.0102487	0.0206511	0.0031478	0.0640196	0.075478	0.17215	0.0354514	0.00627504	0.0415591	0.0041128	0.000372732	0.00246751	0.00947141	0.0296095	0.104453	0.0385895	0.00356043	0.00181496	0.0512359	0.0215105	0.0178294	0.00686864	0.0101894	0.00817697	0.000432768	0.00130776	0.0383658	0.0930902	0.0023716	0.00626394	0.0104829	0.0142526	0.00930065	0.029683	0.0119175	0.00274726	0.182585	0.0786458	0.0562689	0.156427	0.0858592	0.00226521	0.0314406	0.0157702	0.0310188	0.0314629	0.0270521	0.290801	0.0713587	0.13696	0.056964	0.146606	0.0846868	0.0756477	0.09383	0.16792	0.322409	0.109491	0.00918682	0.0089547	0.103379	0.113746	0.0164758	0.00933364	0.0132569	0.0972673	0.0177621	0.0325945	0.103138	0.138642	0.0537544	0.104381	0.0200648	0.0596967	0.219251	0.31631	0.00166569	0.00384624	0.140335	0.107194	0.00756413	0.0693715	0.0809615	0.00253446	0.0339425	0.079089	0.0211231	0.229403	0.592926	1.05195	2.12572	4	5.19975
596000	-914.741	-908.9636	-5.777417	1	2.38864	0.0371468	0.178935	0.217437	0.0141108	0.140844	0.361647	0.149336	0.0231695	0.0284328	0.00399572	0.0164419	0.0154418	0.0306043	0.00841836	0.0533074	0.059186	0.0334216	0.0031641	0.0993565	0.0410753	0.0842946	7.39952e-05	0.00294853	0.0292156	0.00416812	0.00126023	0.128788	0.110321	0.00533816	0.0115202	0.0358581	0.00561084	0.00106108	0.151703	0.0144984	0.00982927	0.218111	0.0162738	0.02629	0.0358532	0.0850394	0.0242108	0.034347	0.034418	0.00161117	0.0758557	0.0471043	0.0787238	0.04287	0.181343	0.0717945	0.300111	0.105859	0.0540858	0.0987999	0.104537	0.235299	0.110697	0.0171465	0.0842341	0.132306	0.402523	0.0270147	0.00570761	0.0327984	0.0247548	0.240175	0.028419	0.0414775	0.0114068	0.189971	0.025929	0.0154327	0.053512	0.0490107	0.220204	0.0320275	0.0297391	0.131773	0.0515552	0.399708	0.0722624	0.0224725	0.0338943	0.166098	0.0161912	0.0774487	0.335638	0.690859	1.07725	1.89626	3	6.730388
597000	-916.91	-915.7374	-1.172567	2	1.024141	0.0115581	0.00179392	0.0508046	0.0326496	0.0637908	0.314346	0.0154259	0.000109811	0.0528103	0.0217699	0.0225787	0.00532442	0.215948	0.0708203	0.0914731	0.0153288	0.0552841	0.0128668	0.0550305	0.00924591	0.0349807	0.0020867	0.00516614	0.00798478	0.00291023	0.0795118	0.084038	0.00669496	0.129148	0.0353799	0.00515559	0.0227429	0.0254173	0.0273111	0.0527618	0.0179582	0.128589	0.0147764	0.00492424	0.0528841	0.0645772	0.050753	0.000982193	0.0216228	0.00637007	0.0808369	0.0356061	0.0430738	0.0478978	0.197403	0.00603692	0.105857	0.000882495	0.141827	0.0203332	0.121762	0.309374	0.0723509	0.0276399	0.0104144	0.138613	0.0761538	0.0228777	0.115076	0.0607845	0.108658	0.0765099	0.0784652	0.272108	0.136614	0.208503	0.0634169	0.115677	0.0976327	0.0175746	0.148212	0.59105	0.0630282	0.0389569	0.0732189	0.0779735	0.0590622	0.392622	0.280301	0.0700105	0.016878	0.0528386	0.141745	0.48389	1.00389	2.37048	4	6.677799
598000	-914.2549	-906.1384	-8.116513	2	0.8656731	0.0222647	0.0698115	0.00335942	0.104902	0.170953	0.187385	0.0113857	0.0113083	0.0615443	0.0285498	0.00644693	0.0316591	0.022296	0.000617141	0.245263	0.0146388	0.106693	0.0174573	0.0457332	0.031403	0.0870781	0.0246911	0.00787549	0.000677417	0.00296853	0.0233152	0.0636781	0.00640269	0.0315223	0.0322972	0.0134465	0.024281	0.030979	0.0213821	0.005674	0.0030038	0.284117	0.136302	0.0303706	0.134807	0.0624224	0.0444602	0.0936243	0.0350345	0.000929174	0.00447485	0.0847293	0.1064	0.434886	0.0278621	0.00228429	0.39019	0.213723	0.285759	0.184539	0.0809854	0.0537073	0.13599	0.0631046	0.154126	0.068267	0.0358183	0.206073	0.0103001	0.0220181	0.0925832	0.0241788	0.00678546	0.0201872	0.104878	0.26582	0.0848574	0.108273	0.171737	0.298538	0.0293964	0.0925285	0.0402325	0.308332	0.183347	0.123072	0.0247202	0.060313	0.0154082	0.0275061	0.084593	0.0130885	0.109437	0.43229	0.973614	2.48466	4	7.140626
599000	-880.1485	-894.0704	13.92184	2	1.240663	0.00657658	0.07682	0.129705	0.0727726	0.0146725	0.362591	0.0422862	0.00406255	0.0278007	0.0170308	0.00601929	0.00141262	0.0398077	0.00912219	0.0759201	0.00919276	0.0799951	0.0306546	0.0544679	0.0305506	0.0149306	0.0141001	0.00629899	0.00738653	0.00560303	0.00636522	0.09258	0.0275167	0.0177934	0.0314282	0.030584	0.029718	0.00737166	0.0578672	0.0288941	0.019285	0.122151	0.0315316	0.0573274	0.0774871	0.0183031	0.0146887	0.0274731	0.000388717	0.0179217	0.113205	0.0985208	0.01669	0.0312648	0.0333391	0.181201	0.0395728	0.0243945	0.135129	0.0350523	0.164732	0.079943	0.0872134	0.0135066	0.0327762	0.292896	0.173505	0.0392328	0.0104744	0.0866849	0.0841141	0.122683	0.106393	0.00350929	0.0740593	0.00187026	0.0680193	0.0104698	0.184937	0.157866	0.0793341	0.0303215	0.041553	0.216346	0.0171222	0.184266	0.0269663	0.0090271	0.144511	0.00872904	0.0443772	0.0670783	0.182345	0.538808	1.03071	2.24813	4	5.229342
600000	-917.7377	-921.2758	3.538027	2	1.065368	0.0113241	0.0441047	0.0147777	0.00676687	0.132437	0.171444	0.0507161	0.0208487	0.0823141	0.0146201	0.00645758	0.0233612	0.0949376	0.0152467	0.0715302	0.0541387	0.0111803	0.0101259	0.0568448	0.0340365	0.0842881	0.0238526	0.0506558	0.0463478	0.0525217	0.0145276	0.122009	0.0661072	0.000183935	0.113883	0.014595	0.0514106	0.0188559	0.0143541	0.0389142	0.0308566	0.0885536	0.0323612	0.03058	0.329197	0.0815161	0.0265672	0.0911353	0.0526952	0.0685318	0.115506	0.0120289	0.0168726	0.02166	0.135831	0.0850294	0.167487	0.0458977	0.166165	0.124019	0.0378259	0.0252959	0.0210368	0.00884935	0.00502886	0.0625379	0.0446224	0.110656	0.0198745	0.225705	0.0491751	0.10643	0.0569807	0.252852	0.0948586	0.0369006	0.0311424	0.038226	0.209763	0.108	0.318712	0.0780904	0.0415691	0.180492	0.0753092	0.0346208	0.0886243	0.0623941	0.125036	0.0303221	0.310097	0.0145716	0.149809	0.495555	1.01004	2.3446	4	6.267809
601000	-911.4594	-908.8976	-2.561772	2	1.975148	0.0485564	0.0945513	0.0447997	0.0522144	0.0985109	0.303879	0.132525	0.0548285	0.149612	0.0175368	0.0144715	0.0741804	0.0354949	0.0112738	0.181038	0.0377562	0.00367794	0.00967438	0.0373159	0.0169133	0.0900494	0.0220287	0.034965	0.00787432	0.00106268	0.00313472	0.0898292	0.0701794	0.167581	0.0257866	0.00110775	0.0205469	0.0301588	0.0208374	0.0322213	0.00381851	0.205956	0.136175	0.015148	0.113717	0.0590852	0.00858555	0.0398963	0.0237717	0.0207845	0.14836	0.152777	0.0424399	0.0459258	0.181081	0.224783	0.0756776	0.0130278	0.0269599	0.0793986	0.0390941	0.0532204	0.0627182	0.0268444	0.140889	0.133434	0.172914	0.1051	0.373642	0.0237795	0.213806	0.0694263	0.0622039	0.118425	0.0221599	0.0111841	0.0919315	0.0178378	0.175976	0.00172656	0.322026	0.0207246	0.0647778	0.0097014	0.122104	0.00465617	0.0519284	0.062203	0.0210754	0.11612	0.0927232	0.00448206	0.29029	0.652345	1.06936	1.98801	4	6.462376
602000	-895.4561	-898.3836	2.92744	2	1.014955	0.0358072	0.00373566	0.0159658	0.0585084	0.112814	0.10995	0.0487117	0.017746	0.00387193	0.0370738	0.00423952	0.0254536	0.0642716	0.0406571	0.127995	0.0189916	0.0602965	0.0606861	0.061789	0.0201522	0.0839957	0.013338	0.0158094	0.00764018	0.0058765	0.00278305	0.145158	0.118337	0.157498	0.0561946	0.0115477	0.0251123	0.00400706	0.00128574	0.0655158	0.0113725	0.362662	0.0544858	0.00592702	0.0318616	0.0376307	0.0250259	0.0622648	0.00858439	0.00079996	0.0209326	0.0185687	0.0932012	0.241823	0.129764	0.156152	0.047455	0.0391692	0.149855	0.154641	0.165993	0.000130005	0.0383257	0.0194622	0.00138921	0.0154964	0.0685793	0.0184351	0.106231	0.0933353	0.198566	0.166672	0.225149	0.0426298	0.252931	0.00555655	0.265484	0.0641108	0.139028	0.194469	0.047644	0.0671912	0.0504758	0.376547	0.0421661	0.0298424	0.0339246	0.0748951	0.0668907	0.0352959	0.00706332	0.068327	0.139928	0.481201	1.00243	2.37644	4	6.277227
603000	-907.4158	-906.923	-0.4928044	2	1.489678	0.0093022	0.00530867	0.0107776	0.0863421	0.0923754	0.203373	0.0557979	0.0474629	0.0744671	0.0104497	0.0470598	0.000157012	0.0351661	0.0237936	0.173177	0.0372281	0.0414973	0.00310024	0.107842	0.136659	0.0155835	0.0102833	0.00554901	0.0332424	0.0132584	0.00134064	0.0110826	0.178231	0.1316	0.042138	0.00827369	0.0478281	0.030549	0.0402111	0.0284502	0.0235236	0.128114	0.0610654	0.0536969	0.0657043	0.0761492	0.030195	0.030986	0.00708664	0.0340108	0.00213991	0.075793	0.112337	0.0565172	0.0414892	0.219939	0.162503	0.00640004	0.00769949	0.0808037	0.151998	0.0427395	0.0263763	0.0232604	0.238835	0.0451292	0.0790821	0.116973	0.00598781	0.0280273	0.0152549	0.0194528	0.099012	0.173463	0.108991	0.184243	0.0275511	0.00744291	0.183806	0.000923701	0.0706878	0.125156	0.0816751	0.305538	0.299835	0.0455057	0.0325653	0.187848	0.132083	0.091283	0.493931	0.0346026	0.223724	0.586829	1.04981	2.13964	4	6.554371
604000	-896.6354	-898.3162	1.680833	2	1.739181	0.0115854	0.0142645	0.027112	0.0499759	0.141647	0.160512	0.0563293	0.0067355	0.0340652	0.0155451	0.0280186	0.0138991	0.0136702	0.0911625	0.154372	0.0407288	0.0941296	0.0340673	0.0604031	0.0241235	0.0615357	0.00752373	0.0187481	0.0446574	0.0781558	0.0235145	0.160687	0.0165399	0.0202566	0.012328	0.0211868	0.00331749	0.00903839	0.0243744	0.00551818	0.0126395	0.154708	0.00663703	0.0441644	0.0372731	0.0646051	0.0388292	0.00564319	0.0472589	0.00415344	0.0106761	0.061834	0.00115269	0.152145	0.0423834	0.418884	0.334968	0.020498	0.198671	0.035312	0.216094	0.039517	0.0385886	0.0921708	0.0225512	0.452416	0.0203505	0.244893	0.02628	0.027562	0.0238208	0.00550687	0.0504999	0.0209324	0.171119	0.00414856	0.0576953	0.147288	0.0914233	0.0175891	0.0598851	0.0185873	0.064972	0.136216	0.0324429	0.0528954	0.0677754	0.243261	0.0525126	0.133907	0.0453092	0.157373	0.260021	0.624065	1.06185	2.05407	4	6.107748
605000	-919.3051	-905.0676	-14.23751	1	0.8385681	0.0217116	0.0335045	0.00623999	0.277058	0.0464734	0.460283	0.122811	0.00493929	0.019781	0.0341182	0.00652595	0.0363293	0.02701	0.0771735	0.162469	0.00227956	0.0885094	0.00600651	0.141487	0.0804237	0.033954	0.0208156	0.00148561	0.0727803	0.0114613	0.0228094	0.0870727	0.147855	0.161054	0.0834138	0.00215218	0.00680876	0.0472254	0.0183506	0.000556504	0.0659002	0.133228	0.0417035	0.0101533	0.0601494	0.10059	0.0108608	0.0159501	0.0517768	0.0353484	0.02346	0.00955151	0.047962	0.122175	0.231461	0.0937689	0.260695	0.0548841	0.663926	0.111769	0.00662497	0.104427	0.291038	0.00865483	0.00279674	0.314877	0.0808573	0.0808528	0.0432681	0.116965	0.0518973	0.0269519	0.00467795	0.200895	0.26887	0.0485148	0.0289258	0.0378153	0.0592292	0.0689207	0.0938594	0.130278	0.150787	0.414017	0.139337	0.00341032	0.140014	0.109612	0.0338329	0.0871428	0.0317839	0.0320284	0.103735	0.42221	0.967094	2.50696	3	7.731404
606000	-923.2307	-913.7718	-9.458976	1	1.146835	0.0168513	0.0198621	0.0298971	0.100273	0.139997	0.238984	0.108602	0.0147393	0.0981984	0.0231127	0.0174871	0.0013109	0.0431353	0.120921	0.0298259	0.049947	0.0307662	0.00425512	0.0723175	0.089034	0.0361027	0.0270572	0.0319932	0.00144482	0.0491354	0.0419345	0.062253	0.266372	0.0626161	0.0391783	0.0117748	0.0246374	0.00352645	0.100564	0.0227506	0.00366534	0.162592	0.148858	0.0136333	0.123092	0.168356	0.0275228	0.0342753	0.0679513	0.00062766	0.00199081	0.01421	0.0424244	0.0372962	0.0663701	0.515585	0.0538188	0.148225	0.00247764	0.0102136	0.0642389	0.0487055	0.131742	0.00410846	0.189811	0.251009	0.088509	0.136873	0.144091	0.0763893	0.0357541	0.0114382	0.106947	0.043664	0.304536	0.0323811	0.0137029	0.317826	0.0140111	0.0303093	0.00416178	0.0708672	0.660238	0.144616	0.0197803	0.0963761	0.0646673	0.198942	0.13131	0.0562051	0.0235732	0.0318984	0.165286	0.516837	1.02063	2.29725	3	7.222724
607000	-904.6367	-903.2037	-1.433041	2	1.860172	0.00444821	0.0347086	0.0920851	0.0310471	0.042471	0.476231	0.00170352	0.0187901	0.0494755	0.0158554	0.0134311	0.0525178	0.0519363	0.0114379	0.122843	0.0247532	0.0243389	0.0160064	0.0205615	0.00844364	0.0368712	0.0269302	0.0290258	0.0536918	0.00253789	0.00697528	0.112451	0.0881361	0.268939	0.0474616	0.00928387	0.0015627	0.044774	0.0314276	0.000587717	0.00317297	0.0854231	0.0719697	0.0313692	0.102115	0.17199	0.00312888	0.0890585	0.0182308	0.0588362	0.0122325	0.197943	0.0415732	0.0268588	0.474637	0.183148	0.00445169	0.177999	0.0266977	0.0617354	0.0065013	0.0677728	0.031857	0.111799	0.173074	0.161456	0.000487496	0.0259425	0.00824318	0.00935304	0.0647851	0.00359158	0.304748	0.0352641	0.205853	0.0863376	0.344304	0.0101816	0.0249822	0.00779703	0.154735	0.130195	0.139931	0.00412696	0.0687353	0.00889035	0.153424	0.0454108	0.102149	0.0561963	0.0450793	0.134283	0.275992	0.63927	1.06606	2.01868	4	6.443798
608000	-892.1422	-897.0149	4.872706	2	1.774206	0.007803	0.00923001	0.00843657	0.0491805	0.027816	0.178082	0.0196451	0.00141657	0.00855751	0.00550771	0.00166762	0.0445793	0.0387839	0.00363281	0.0463533	0.00977069	0.0656533	0.0196758	0.0545072	0.0109831	0.0526709	0.0015676	0.00500361	0.0444088	0.00238282	0.0156648	0.21348	0.00433966	0.112442	0.0127566	0.0053695	0.0113003	0.00835593	0.0286421	0.00455965	0.0112808	0.115918	0.0642916	0.0141216	0.016058	0.0849566	0.0116185	0.0544683	0.00286846	0.0225678	0.0468007	0.0721944	0.00598448	0.0206188	0.000968222	0.161495	0.00444394	0.15271	0.0456819	0.118792	0.361154	0.156088	0.0154166	0.00415665	0.0112964	0.00262252	0.0490524	0.0766607	0.0893257	0.00971553	0.0202518	0.230275	0.446928	0.198489	0.0915653	0.0201872	0.13339	0.0309989	0.00743465	0.0467432	0.186327	0.179906	0.314693	0.0253874	0.160619	0.161087	0.0833197	0.105995	0.22719	0.32886	0.0763999	0.0252198	0.264747	0.628634	1.06316	2.04346	4	6.038821
609000	-928.3918	-916.2497	-12.14206	1	2.916146	0.048106	0.0565374	0.0125369	0.13612	0.131205	0.385122	0.00849423	0.0161263	0.0480568	0.0127687	0.021647	0.0364798	0.0762113	0.0125948	0.0452825	0.0411855	0.0271015	0.0471132	0.0483778	0.111947	0.0400824	0.0640059	0.000167902	0.00801396	0.00838605	0.0537204	0.0815404	0.0748944	0.23794	0.0240215	0.0594535	0.0139122	0.0372703	0.00372266	0.0248609	0.0311999	0.126805	0.0500204	0.00545216	0.0856549	0.0698092	0.00835258	0.016251	0.069128	0.0109944	0.130951	0.0611618	0.446213	0.00614135	0.0887967	0.51156	0.0249404	0.206173	0.112318	0.0185651	0.222825	0.188441	0.113576	0.0707077	0.0425825	0.0129831	0.0356088	0.171824	0.280669	0.346388	0.0112304	0.02899	0.0267264	0.0257346	0.194537	0.0921516	0.0319134	0.0144247	0.130886	0.129968	0.122677	0.00942037	0.00516081	0.0027958	0.0756135	0.225222	0.0109216	0.26224	0.0622586	0.0203642	0.0263465	0.183418	0.382669	0.726777	1.08207	1.80848	3	7.314102
610000	-888.2017	-895.8664	7.664798	2	1.500495	0.0163017	0.0256146	0.00528646	0.0673069	0.19406	0.233725	0.115502	0.00360913	0.0104452	0.0109822	0.00635953	0.0250599	0.0128089	0.0528406	0.0289721	0.103265	0.0305299	0.0483722	0.126202	0.0677007	0.0191403	0.0149255	0.0165705	0.0155727	0.0105874	0.00249688	0.044602	0.0433479	0.0659386	0.0085658	0.0241234	0.00595942	0.0210341	0.00682151	0.0103466	0.0415927	0.137354	0.0704718	0.0257227	0.0918939	0.0623584	0.108357	0.0392665	0.0214207	0.00600487	0.27015	0.000288604	0.340604	0.0237407	0.0203747	0.000446144	0.0327537	0.117697	0.020399	0.158147	0.0706671	0.0317099	0.060323	0.0606707	0.0336034	0.0671635	0.0203486	0.057744	0.30764	0.163361	0.0588405	0.092206	0.197386	0.0834704	0.244492	0.0327101	0.0625541	0.031872	0.0007248	0.0413755	0.0766175	0.0100575	0.0206024	0.0280567	0.00221673	0.0342106	0.0274582	0.241063	0.101237	0.0894659	0.194353	0.180986	0.225399	0.588639	1.05045	2.13551	4	5.809207
611000	-892.7786	-894.9994	2.220833	2	1.966739	0.0254472	0.0253022	0.0691744	0.0156	0.0685418	0.155554	0.0498222	0.029264	0.0286655	0.0279241	0.0244267	0.025463	0.144271	0.00612867	0.1158	0.0397458	0.0271243	0.0132013	0.0327268	0.00181486	0.015043	0.0456311	0.00726196	0.0177185	3.12998e-06	0.00431036	0.0985117	0.0496153	0.0464201	0.0208317	0.0260478	0.0202644	0.0263038	0.021359	0.0125697	0.051838	0.137222	0.0787664	0.0354478	0.0177353	0.0545538	0.0296255	0.0129978	0.00419037	0.0190117	0.130608	0.0306113	0.427963	0.0273778	0.0557401	0.455959	0.053995	0.170402	0.0201924	0.0141505	0.0124558	0.0473939	0.0532255	0.0372962	0.0215146	0.0394047	0.0522575	0.145684	0.0217405	0.0287005	0.120348	0.0498306	0.109493	0.0594751	0.272741	0.0206441	0.049688	0.0689711	0.0474337	0.0558196	0.0354284	0.0132545	0.160119	0.0422107	0.113322	0.298064	0.183213	0.100458	0.1161	0.0378782	0.104499	0.326655	0.289272	0.65143	1.06913	1.99016	4	6.011598
612000	-900.921	-902.25	1.328992	2	1.472727	0.0108459	0.0135133	0.0635851	0.047628	0.0727993	0.149185	0.0969327	0.00669573	0.0592165	0.112706	0.0515456	0.0251839	0.0139164	0.00692795	0.103186	0.0177195	0.0178035	0.120572	0.0886152	0.000717864	0.0170736	0.0478271	0.00945416	0.0151552	0.00450194	0.0212419	0.053221	0.0336351	0.0325454	0.0050986	0.0531401	0.00731223	0.0146375	0.0446424	0.000868219	0.00879982	0.103223	0.0514857	0.00813213	0.0587733	0.0815759	0.0158014	0.0107507	0.0243212	0.0399118	0.088824	0.0501125	0.0170498	0.00125027	0.0325355	0.0135198	0.128994	0.384963	0.0365284	0.014561	0.119028	0.0500943	0.0802012	0.195179	0.217091	0.149534	0.0270075	0.270192	0.0801522	0.10933	0.206399	0.045075	0.275354	0.00481651	0.33193	0.0839843	0.0981796	0.00454259	0.143758	0.0497751	0.15051	0.0802379	0.403892	0.111922	0.0168074	0.061896	0.152895	0.0608345	0.0271727	0.103598	0.0407087	0.0236365	0.221079	0.583953	1.04878	2.14619	4	6.386495
613000	-883.1729	-889.4176	6.244755	2	1.184874	0.0296248	0.0330356	0.0846734	0.0515727	0.163259	0.296611	0.0623079	0.0144765	0.0950786	0.0522962	0.00937628	0.0156102	0.0149258	0.0351558	0.111978	0.0484266	0.0390148	0.034959	0.0434468	0.000914194	0.0170929	0.00667027	0.00195131	0.0022283	0.00987729	0.000333765	0.0982949	0.0898901	0.0232523	0.0589219	0.0256314	0.00332389	0.0030072	0.0152941	0.0168821	0.00794112	0.0773971	0.0145023	0.0557573	0.0512704	0.0945363	0.00749436	0.00677821	0.085418	0.00692145	0.0144875	0.0435583	0.0162449	0.0450605	0.00757994	0.0161611	0.247605	0.102577	0.0270498	0.0450194	0.0140382	0.0287371	0.00452038	0.315014	0.156375	0.00109896	0.00808256	0.143964	0.140526	0.158695	0.0405179	0.0210214	0.107195	0.0185045	0.142526	0.153918	0.179182	0.083957	0.0671317	0.0614088	0.0624205	0.382833	0.0281722	0.0118366	0.0564472	0.000784843	0.135699	0.00185344	0.189196	0.354622	0.147716	0.062436	0.172301	0.526048	1.02496	2.27669	4	5.863186
614000	-894.5185	-895.7763	1.257831	1	1.992837	0.0297572	0.0232212	0.0149231	0.0805379	0.0231658	0.373717	0.0110398	0.00448171	0.0388205	0.0169122	0.0232321	0.0620715	0.0333549	0.0610912	0.104854	0.0301729	0.011515	0.0511319	0.120245	0.04509	0.15052	0.00766637	0.0167273	0.0488674	0.0126969	0.0139303	0.0937354	0.031957	0.34583	0.0184182	0.0010942	0.0232507	0.00621396	0.00562341	0.00255658	0.0151389	0.124355	0.0364587	0.0600006	0.0868054	0.0817602	0.000193745	0.0243697	0.00272126	0.00766142	0.1016	0.0148768	0.0214103	0.0412426	0.181778	0.0115326	0.03099	0.0606109	0.0439261	0.023876	0.00617868	0.00904266	0.0303015	0.0730294	0.0208795	0.315996	0.0365931	0.147382	0.00199919	0.0188572	0.274267	0.220715	0.129369	0.0683103	0.210856	0.121695	0.014896	0.0327161	0.0668456	0.0594586	0.00200618	0.055143	0.0226378	0.359151	0.02546	0.0775612	0.0502558	0.00309407	0.182286	0.33608	0.0662866	0.117363	0.292418	0.65425	1.06981	1.98352	3	6.066443
615000	-902.1915	-901.8596	-0.3318927	2	2.585076	0.00798001	0.00402401	0.0211982	0.0551455	0.0681193	0.578573	0.0388885	0.00140433	0.0460223	0.0277579	0.0105924	0.056104	0.00383037	0.0746767	0.179141	0.0503342	0.0536147	0.00273237	0.0600494	0.0330271	0.0115094	0.000300868	0.00455149	0.00278677	0.0381713	0.0103163	0.0187991	0.0285506	0.0904869	0.103045	0.0406243	0.0435562	0.0474853	0.0133894	0.0222534	0.0247695	0.123275	0.000176473	0.00464018	0.069621	0.0894172	0.0461087	0.0280274	0.0074934	0.0140921	0.0782278	0.101903	0.0271418	0.0676945	0.120592	0.32889	0.00094575	0.0253266	0.0295947	0.0908555	0.0382824	0.0104554	0.00339056	0.134275	0.203142	0.0828871	0.0900411	0.0945148	0.0917419	0.0593912	0.226052	0.015382	0.0561377	0.17181	0.211293	0.301463	0.0490644	0.0177567	0.0148537	0.0980614	0.154003	0.0899425	0.0663437	0.0160733	0.0022152	0.445794	0.0137508	0.0596452	0.092624	0.318074	0.0775277	0.0161452	0.354377	0.705616	1.07953	1.86048	4	6.449969
616000	-879.6571	-889.4144	9.75733	10	1.815994	0.0252034	0.0253813	0.0175029	0.137447	0.11586	0.0518873	0.219693	0.00310076	0.0434613	0.01628	0.0108136	0.000158274	0.00219455	0.0272321	0.0941478	0.0571028	0.097503	0.0170506	0.0292883	0.00717185	0.0220997	0.00920117	0.0103506	0.0344809	0.010632	0.0115352	0.139837	0.00935578	0.0403281	0.0182789	0.0214467	0.00701919	0.00706099	0.0200654	0.040246	0.00581825	0.127329	0.00872332	0.0475213	0.138509	0.088242	0.0589711	0.0235707	0.0137542	0.0421722	0.0771813	0.0106939	0.113063	0.314896	0.160787	0.112087	0.003476	0.0275476	0.0516117	0.184297	0.105268	0.025418	0.106864	0.0587396	0.393215	0.07025	0.0200735	0.208021	0.0162538	0.308345	0.121183	0.0198401	0.0237418	0.0509556	0.00195687	0.0888951	0.010798	0.00795574	0.0211456	0.0866531	0.0741993	0.225346	0.196878	0.136714	0.0619796	0.0258093	0.103964	0.0653025	0.0545597	0.171538	0.0287933	0.00455089	0.270275	0.633903	1.06462	2.0312	5	5.905876
617000	-888.5666	-899.8286	11.262	2	1.141398	0.0209845	0.00171485	0.00245236	0.0630161	0.0207551	0.191772	0.014463	0.0469485	0.0584415	0.0283936	0.00983886	0.018401	0.122914	0.000971497	0.105452	0.0209648	0.0325924	0.0104005	0.0195611	0.122773	0.0620061	0.00234359	0.0108853	0.0154906	0.00132117	0.00290532	0.0545101	0.0300617	0.00712422	0.00832392	0.0364044	0.0219958	0.0172469	0.104522	0.000385301	0.0226459	0.143656	0.017007	0.0107082	0.058864	0.0696568	0.0317883	0.0111198	0.0133223	0.00427426	0.147736	0.0229406	0.314187	0.0172429	0.0716196	0.045569	0.111524	0.250265	0.0374603	0.0961092	0.0108639	0.0860413	0.025055	0.0200388	0.239566	0.123892	0.00468137	0.205183	0.0246153	0.178743	0.0893363	0.0170797	0.0465579	0.0573217	0.0162214	0.110418	0.135577	0.148612	0.244841	0.0372242	0.10889	0.0250036	0.104077	0.0311665	0.0040859	0.0383886	0.0925009	0.0842709	0.0220365	0.19953	0.0034279	0.0678802	0.164273	0.515484	1.01998	2.30026	4	5.38916
618000	-909.6602	-902.9646	-6.695613	1	1.151138	0.0480229	0.00364796	0.0958835	0.245629	0.171484	0.24073	0.164907	0.013433	0.00953909	0.00693489	0.0187408	0.107146	0.0890965	0.00310957	0.154876	0.00391803	0.0436715	0.0176939	0.0562033	0.0153106	0.0333233	0.00264247	0.00534431	0.0286904	0.00601165	0.0141085	0.0603174	0.0465918	0.196226	0.0146995	0.00432578	0.0011079	0.00680773	0.0418107	0.0202405	0.0114107	0.0995553	0.0356673	0.0451526	0.0447964	0.0885896	0.0171495	0.00545483	0.0205517	0.0162123	0.322889	0.136844	0.235681	0.0409015	0.0364777	0.340593	0.0105486	0.101848	0.222321	0.0490837	0.0104954	0.0836916	0.0642738	0.016338	0.0379431	0.0619579	0.0172176	0.081905	0.0720358	0.0694435	0.0524429	0.559885	0.0638222	0.0178621	0.208182	0.103526	0.0491874	0.219444	0.00988452	0.239305	0.0806557	0.121746	0.0464376	0.0183468	0.166772	0.0808684	0.0171051	0.056081	0.154724	0.0593371	0.00310255	0.227985	0.166087	0.517901	1.02114	2.29488	3	6.945958
