Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-896.4683	-902.971	6.502647	1	1.707314	0.0156701	0.00399974	0.00276027	0.0218931	0.0829577	0.210189	0.0339164	0.0451761	0.00396663	0.0383654	0.0100265	0.0204251	0.0222611	0.0118077	0.112851	0.027646	0.104662	0.137644	0.182009	0.0357112	0.0839151	0.00186549	0.013488	0.028793	0.00372841	0.000901632	0.185061	0.0103602	0.251029	0.00397092	0.00134187	0.0152082	0.000916981	0.00103614	0.0288134	0.00902097	0.10355	0.0211049	0.0105399	0.0684415	0.0778677	0.00664379	0.0526061	0.02658	0.0130239	0.0275898	0.0291554	0.106102	0.0040848	0.139551	0.241358	0.0138976	0.0493892	0.0938701	0.02369	0.182368	0.264209	0.0279208	0.0698099	0.136208	0.0798519	0.0148688	0.0528534	0.160672	0.149758	0.00754585	0.0710733	0.31954	0.0109228	0.00619415	0.118011	0.15805	0.029356	0.00284601	0.0409996	0.0336281	0.140714	0.0676657	0.0358499	0.0648109	0.241741	0.0479797	0.00464809	0.0963609	0.020657	0.00311603	0.0378481	0.255646	0.619783	1.06059	2.06398	3	5.570514
11000	-919.0264	-915.3784	-3.647937	2	1.414916	0.049164	0.0165116	0.0192253	0.0297239	0.331778	0.24545	0.138604	0.00331852	0.0288278	0.0318607	0.0350856	0.0170506	0.0890434	0.001578	0.117966	0.0767225	0.00639331	0.00531338	0.104727	0.0215114	0.0973518	0.00727056	0.0316003	0.0575941	0.00540754	0.0249231	0.209072	0.00725715	0.0180677	0.00937385	0.0123749	0.0639652	0.0115174	0.0454421	0.0944259	0.0126978	0.359181	0.000753851	0.00177006	0.119896	0.14075	0.051788	0.012231	0.00615402	0.0119071	0.119892	0.000813247	0.0663177	0.0236164	0.0648678	0.0217144	0.0991718	0.076973	0.296392	0.0397258	0.171687	0.0309188	0.0596122	0.0678507	0.0128824	0.0128046	0.0349383	0.0723787	0.113653	0.178272	0.0411608	0.0861451	0.15697	0.193147	0.046738	0.0219965	0.540968	0.0873208	0.0342048	0.269209	0.158962	0.0137305	0.0879602	0.0527908	0.042548	0.124861	0.119584	0.13018	0.0393933	0.155887	0.127545	0.0243784	0.211874	0.573753	1.04501	2.16936	4	6.90279
12000	-882.8921	-890.8968	8.004777	1	1.568453	0.0163586	0.00936239	0.0336068	0.0364776	0.126408	0.053221	0.341873	0.00484954	0.0313326	0.0149171	0.043201	0.0244636	0.0313973	0.000186212	0.054477	0.025952	0.0122133	0.00847001	0.0359852	0.0264175	0.0497039	0.0282636	0.00583148	0.0386016	0.0124114	0.00145985	0.0838165	0.0369505	0.0902649	0.0115078	0.0204715	0.00401614	0.00403726	0.012707	0.00869875	0.0295762	0.252638	0.0141623	0.00387218	0.0886569	0.0439258	0.0157633	0.00203987	0.00446484	0.019396	0.0157257	0.0114978	0.191425	0.0485734	0.111891	0.0174216	0.117689	0.159529	0.411184	0.204716	0.000692374	0.0160698	0.0102016	0.0425599	0.00190474	0.0386818	0.0204215	0.19387	0.1879	0.0794764	0.0469701	0.273905	0.0292597	0.000750116	0.0756738	0.0154949	0.249936	0.0283124	0.0608859	0.10636	0.141662	0.0372327	0.0357513	0.0508585	0.06174	0.147614	0.00601111	0.111816	0.0748515	0.109038	0.037355	0.0368695	0.235706	0.599568	1.0542	2.11053	3	5.434187
13000	-881.9609	-879.7348	-2.226137	2	1.263097	0.0387164	0.0150216	0.0390682	0.0624146	0.06905	0.160432	0.022443	0.00738324	0.0399863	0.0146504	0.00446107	0.00608735	0.0335734	0.0169672	0.0546156	0.0824975	0.0128508	0.0270367	0.0437697	0.0943164	0.0586208	0.0411533	0.00448437	0.101389	0.0165376	0.00755561	0.0508785	0.0164458	0.192841	0.040042	0.00897699	0.00530576	0.00248293	0.0174985	0.0114222	0.0106885	0.126971	0.06715	0.0199583	0.0617351	0.072543	0.0244685	0.0298814	0.00457871	0.00720149	0.00916994	0.0416223	0.0597303	0.0104899	0.0272955	0.0187893	0.337698	0.0356579	0.244756	0.0511244	0.278076	0.246875	0.044376	0.0228761	0.0927269	0.0801624	0.39448	0.0408238	0.438604	0.0298708	0.0423343	0.357759	0.210833	0.028222	0.105374	0.039864	0.238871	0.00313727	0.0313182	0.0708757	0.0144789	0.16133	0.0585859	0.0101332	0.00807243	0.251174	0.0081891	0.2046	0.0472833	0.306288	0.0610645	0.00598447	0.186301	0.543704	1.03284	2.23715	4	6.61713
14000	-905.5695	-896.6828	-8.8867	2	2.297853	0.0479963	0.0521885	0.034222	0.0326574	0.0774833	0.0721315	0.222241	0.00106107	0.0479133	0.0118621	0.0443351	0.0150678	0.0368745	0.0010379	0.174162	0.0639404	0.0551664	0.1071	0.0981435	0.0529256	0.0554472	0.0137117	0.00115344	0.0032666	0.0109555	0.0327659	0.203994	0.0188524	0.189756	0.0371212	0.0101784	0.00539959	0.0050377	0.0190552	0.0230876	0.0367583	0.214857	0.0372934	0.0270671	0.0496254	0.159026	0.0207816	0.0189657	0.0924931	0.0228405	0.216524	0.121939	0.0115211	0.167322	0.141947	0.165295	0.384519	0.000692611	0.0422646	0.134175	0.00756445	0.0296772	0.110459	0.0409739	0.0353991	0.0633807	0.0670457	0.0101803	0.443981	0.255088	0.0162008	0.322739	0.0116343	0.0098878	0.0716969	0.105077	0.278558	0.046515	0.173355	0.0387264	0.047994	0.00812614	0.0436209	0.0276584	0.0555643	0.126401	0.0389518	0.219959	0.288489	0.0501203	0.231449	0.0383327	0.326413	0.683359	1.07592	1.9143	4	7.259006
15000	-911.3541	-906.7251	-4.628973	1	0.7747226	0.0371942	0.0132716	0.0165192	0.0644154	0.259286	0.0342902	0.127975	0.0450604	0.0237666	0.0449843	0.000135781	0.032671	0.0821072	0.0644757	0.0303989	0.0231713	0.048948	0.0195357	0.048533	0.00703472	0.0906182	0.0112315	0.0403932	0.0118721	0.040119	0.0151793	0.138825	0.01716	0.0496312	0.0235844	0.00985321	0.0196071	0.0326607	0.0455916	0.0059288	0.0438774	0.248788	0.032165	0.0838472	0.0755694	0.0475378	0.0736155	0.00643939	0.00196455	0.0277699	0.0350164	0.179677	0.204958	0.229309	0.0487995	0.180815	0.200004	0.00883433	0.0887603	0.0926916	0.0609817	0.0478587	0.0903377	0.154057	0.226805	0.0486276	0.012977	0.152998	0.351821	0.164211	0.0120612	0.331128	0.0305661	0.0230188	0.342782	0.0559301	0.179119	0.00229437	0.118511	0.0494208	0.0301899	0.0581272	0.0810358	0.10995	0.0309453	0.0486407	0.0284908	0.0296347	0.014118	0.128179	0.029797	0.245853	0.0901697	0.396754	0.949697	2.56338	3	6.776935
16000	-889.8915	-893.2505	3.359018	1	2.372392	0.0437109	0.000723974	0.060621	0.0328118	0.00609303	0.166666	0.136304	0.00392242	0.00570121	0.0223587	0.0394399	0.020122	0.0748564	0.0542597	0.0767713	0.00673974	0.138537	0.000990181	0.134608	0.00488046	0.0996195	0.0047482	0.00365854	0.0233404	0.0259028	0.0113362	0.0927786	0.0122462	0.00412325	0.0228692	0.00668328	0.00742278	0.00731977	0.11769	0.0173316	0.0540257	0.153167	0.00181857	0.0199405	0.0415718	0.0503704	0.0352782	0.00549452	0.0551496	0.0232672	0.0575475	0.175663	0.0432236	0.0894591	0.00698973	0.52516	0.120831	0.0313186	0.0216044	0.0064995	0.0203851	0.0290885	0.0547967	0.11583	0.100146	0.0810009	0.183039	0.00476036	0.0885428	0.0677754	0.510282	0.0192945	0.0200178	0.0507759	0.0121674	0.180035	0.259575	0.0278731	0.00766775	0.0960282	0.068117	0.132346	0.216831	0.0604053	0.00225648	0.0403944	0.0151899	0.0423676	0.195007	0.00731729	0.0270255	0.076464	0.334015	0.689551	1.07702	1.89941	3	5.818369
17000	-881.804	-893.9018	12.09772	10	1.419056	0.0401889	0.00234186	0.0111159	0.0178475	0.179521	0.188151	0.141202	0.0861972	0.0102434	0.0473085	0.0115389	0.0194561	0.0249575	0.0485291	0.0490418	0.0693724	0.01374	0.0105609	0.0436353	0.00845348	0.0397201	0.0108915	0.00164848	0.00606033	0.00549679	0.00146314	0.13648	0.0773009	0.0072564	0.0059176	0.00553249	0.0352425	0.0142465	0.0640301	0.0610125	0.0121417	0.152273	0.0325832	0.0150139	0.100744	0.0451284	0.0146638	0.0406609	0.00996449	0.0319056	0.256314	0.510607	0.137835	0.0205049	0.0507237	0.210985	0.00318722	0.111534	0.0662529	0.0748274	0.0286753	0.176606	0.0261466	0.0270256	0.036646	0.0591362	0.00582548	0.0254656	0.022161	0.0557585	0.21275	0.0134591	0.214222	0.00211042	0.0371762	0.194644	0.253818	0.0127108	0.0352982	0.00649206	0.0249622	0.040426	0.0559976	0.01303	0.0374686	0.10303	0.0560237	0.0602038	0.342154	0.15509	0.0828965	0.290643	0.212543	0.574504	1.04529	2.16766	5	6.101604
18000	-908.5577	-907.4861	-1.071526	2	2.281502	0.00911766	0.0524701	0.0120706	0.137347	0.135575	0.180072	0.281005	0.145183	0.0622845	0.0251039	0.00573925	0.108131	0.0154859	0.0810199	0.107951	0.0456161	0.0107118	0.022142	0.0120875	0.0176375	0.0427542	0.0107137	0.0124644	0.0516395	0.00704831	0.000205804	0.0949922	0.157065	0.168314	0.00266188	0.00291306	0.0333323	0.00336072	0.0145944	0.0194943	0.0140395	0.0301221	0.130737	0.050891	0.0536918	0.0438316	0.0101401	0.00392639	0.0047708	0.0360591	0.0515852	0.0529192	0.257401	0.0312699	0.200562	0.0770371	0.0442552	0.149833	0.0318715	0.0225025	0.0233913	0.463748	0.220181	0.185791	0.0792003	0.0183365	0.0230196	0.0395447	0.00489304	0.03854	0.00702994	0.0473029	0.00874273	0.0282367	0.0537708	0.199499	0.257689	0.334526	0.119004	0.0527543	0.0364386	0.0060793	0.00360775	0.0313514	0.0224838	0.0697152	0.0938787	0.0670103	0.0994966	0.129664	0.045312	0.13996	0.324711	0.681958	1.07567	1.91766	4	6.335949
19000	-899.5386	-910.3372	10.7986	2	1.509371	0.00259524	0.0135108	0.0200906	0.0212128	0.025218	0.237062	0.135034	0.00228695	0.0200714	0.0241647	0.0216607	0.000579526	0.00198709	0.0131958	0.120241	0.0728928	0.018021	0.00352337	0.0360165	0.0154392	0.0553703	0.000233541	0.0542844	0.0328993	0.000359534	0.0171067	0.0630122	0.000458423	0.132617	0.0132101	0.00129406	0.00754298	0.00905673	0.034169	0.00569654	0.00488753	0.187139	0.000607839	0.0117789	0.0588896	0.0541714	0.035453	0.0171519	0.0017093	0.00527014	0.17463	0.0520735	0.0845201	0.130352	0.188979	0.191737	0.0627185	0.129143	0.00444138	0.0697364	0.0842126	0.0325358	0.0595035	0.0459641	0.0249871	0.128482	0.0383203	0.0232729	0.0195199	0.0266028	0.0181221	0.0640646	0.116588	0.00831776	0.0155063	0.00974625	0.014002	0.0391113	0.0614897	0.141094	0.0160906	0.0173037	0.19803	0.156794	0.0254253	0.170112	0.183333	0.0809452	0.171363	0.101611	0.0123965	0.426343	0.226767	0.590109	1.05097	2.13216	4	5.228696
