Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
19000	-539.9289	-573.8581	33.92921	2	1.070243	0.178914	0.00622038	0.000577163	0.0509831	0.0202328	0.00636357	0.0293445	0.0686848	0.0467892	0.0658258	0.403937	0.277977	0.0503162	0.234794	0.0339661	0.0211555	0.33115	0.150753	0.496893	1.01073	2.34163	4	1.82723
20000	-540.256	-571.1628	30.90679	2	0.7348245	0.204793	0.00972854	0.0120296	0.126257	0.0385699	0.0202482	0.0209352	0.0173603	0.0489277	0.0712601	0.0150155	0.26688	0.181692	0.488166	0.0257662	0.00787875	0.501804	0.0816369	0.379508	0.93712	2.60173	4	2.057312
21000	-543.2486	-574.9252	31.67658	2	1.984032	0.118148	0.0202384	0.00129636	0.0995044	0.0207754	0.00237618	0.0172164	0.0647936	0.00753942	0.0474123	0.0309215	0.153402	0.112133	0.35982	0.0334087	0.0741014	0.292345	0.291361	0.653305	1.06958	1.98575	4	1.455432
22000	-538.6755	-575.3859	36.71039	2	1.258643	0.139955	0.000338837	0.0216077	0.0401896	0.00362879	0.00871477	0.0608012	0.0228463	0.00885501	0.0738809	0.213855	0.371058	0.102247	0.342486	0.0115979	0.0352814	0.149749	0.18552	0.542742	1.03243	2.23931	4	1.607092
23000	-516.3587	-571.9427	55.58401	10	1.673912	0.118494	0.00173607	0.00266244	0.147583	0.131025	0.0218847	0.0479316	0.0500788	0.0446696	0.0344489	0.163414	0.250209	0.112678	0.234692	0.0408103	0.0255885	0.206683	0.250982	0.615158	1.05919	2.07467	5	1.634589
24000	-522.0217	-570.3167	48.29496	10	2.37316	0.173802	0.0291889	0.00611112	0.0915315	0.013068	0.00518898	0.0298367	0.00921111	0.00621842	0.0672336	0.151011	0.230456	0.111086	0.217939	0.0316397	0.0188068	0.223339	0.334092	0.689613	1.07703	1.89926	5	1.415668
25000	-510.936	-569.5594	58.62336	10	1.922751	0.0835782	0.0230767	0.00367775	0.0766085	0.0683441	0.0155098	0.0254561	0.0116653	0.00204061	0.0374456	0.111895	0.170868	0.126515	0.221068	0.0389528	0.000475916	0.232585	0.283876	0.64654	1.06793	2.00165	5	1.249763
26000	-531.3609	-568.7643	37.40335	2	1.091463	0.161816	0.012261	0.00206927	0.0713381	0.0341478	0.0360028	0.0199912	0.102046	0.00344034	0.0627031	0.0858866	0.195504	0.0364584	0.271926	0.0416953	0.02861	0.443078	0.154834	0.502617	1.01364	2.32891	4	1.608974
27000	-539.4747	-576.4185	36.94383	2	1.094873	0.0745814	0.0385935	0.0320553	0.0666572	0.0608806	0.0119973	0.0266797	0.00769229	0.0189204	0.0330088	0.185429	0.210556	0.162547	0.225058	0.000886718	0.0073944	0.387332	0.155485	0.503522	1.0141	2.32689	4	1.55027
28000	-527.6207	-565.9948	38.37407	2	1.049787	0.114489	0.00493467	0.0161391	0.0862627	0.0239429	0.020452	0.00365046	0.00457449	0.00831214	0.0359233	0.150693	0.163346	0.1228	0.268923	0.0190332	0.0256694	0.249611	0.146779	0.491221	1.00778	2.35422	4	1.318757
29000	-537.3565	-575.859	38.5025	2	0.5908911	0.195717	0.00934264	0.0217889	0.0681757	0.0271446	0.00525504	0.0425408	0.054523	0.000333152	0.0599479	0.182421	0.155828	0.0691723	0.188975	0.00847476	0.000938833	0.189286	0.0512349	0.307171	0.8766	2.76499	4	1.279864
30000	-532.4572	-570.3067	37.84944	2	2.114287	0.207117	0.000521751	0.0221619	0.0910549	0.0215058	0.0109047	0.0349785	0.0218062	0.0158213	0.0540617	0.108787	0.101441	0.0858186	0.141345	0.0283252	0.0252826	0.183856	0.306546	0.666641	1.0726	1.95421	4	1.154789
31000	-527.3511	-569.4775	42.1264	10	1.431925	0.177625	0.00144374	0.0294137	0.0903931	0.142079	0.027803	0.0160276	0.00570332	0.0138197	0.0606363	0.0517657	0.207818	0.107743	0.468879	0.0358367	0.0430122	0.39588	0.214612	0.576819	1.04616	2.16241	5	1.87588
