Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
14000	-416.9847	-558.5003	141.5156	10	0.2660659	0.160871	0.0112152	0.0935216	2.81713e-05	0.0897355	0.0269603	0.031661	0.0368194	0.147995	0.78014	0.0708368	0.0434155	0.0549821	0.0265809	0.218888	0.140858	0.0968858	0.454549	0.0501457	0.00728042	0.0228694	0.0841486	0.130922	0.0149714	0.00724394	0.01269	0.00408778	0.00294655	0.0785134	0.534164	3.38438	5	2.820303
15000	-416.8443	-553.8287	136.9844	10	0.4398406	0.0448134	0.0468924	0.0564411	0.0480434	0.164066	0.0807374	0.0246501	0.0222198	0.21976	0.600758	0.0999927	0.0242314	0.00573543	0.00462027	0.212555	0.0440243	0.0171199	0.286343	0.0117843	0.0520414	0.07114	0.198018	0.0916406	0.0205596	0.10522	0.00955825	0.0618949	0.0228564	0.210842	0.77103	2.99527	5	2.62486
16000	-428.5289	-561.044	132.5151	10	0.5548462	0.196043	0.0788213	0.109188	0.0352617	0.176972	0.0994032	0.0739825	0.0682475	0.196388	0.500898	0.0990277	0.0400871	0.00662232	0.00833631	0.194417	0.0851096	0.00757228	0.344032	0.0895204	0.0412065	2.09668e-05	0.290334	0.131887	0.0141435	0.044766	0.0504462	0.112355	0.0439499	0.286221	0.85641	2.81342	5	3.095091
17000	-439.0025	-561.0868	122.0842	10	1.499837	0.0178787	0.10165	0.0778593	0.138078	0.129158	0.0563069	0.0305007	0.0659924	0.0990558	0.97543	0.245598	0.0127769	0.0102333	0.0271931	0.290925	0.0754908	0.0346339	0.624079	0.00732521	0.0561664	0.0242059	0.107379	0.0491811	0.367102	0.0449027	0.259911	0.0865805	0.225297	0.588529	1.05041	2.13576	5	4.015594
18000	-426.8258	-553.8322	127.0065	10	0.2973656	0.0590438	0.00867893	0.00841542	0.0655944	0.146737	0.0667907	0.0374059	0.0258122	0.234674	0.641631	0.110692	0.10752	0.0072261	0.02276	0.228882	0.115235	0.0846585	0.966722	0.136509	0.032547	0.0102603	0.0399377	0.0676682	0.0780175	0.0112841	0.349321	0.0901259	0.00508405	0.102447	0.591352	3.30112	5	3.754149
19000	-428.4079	-561.2868	132.8789	10	0.7050853	0.0639623	0.000768149	0.0981498	0.0342997	0.0942011	0.0401503	0.0282184	0.0662747	0.0492536	0.524349	0.105875	0.0234889	0.00894539	0.0085598	0.149964	0.0670973	0.0580376	0.483217	0.0112362	0.116394	0.107913	0.0223977	0.10885	0.00879007	0.063389	0.133158	0.15811	0.0752748	0.36592	0.926738	2.63207	5	2.635049
20000	-436.9661	-564.5285	127.5624	10	1.042276	0.271891	0.0709046	0.0661264	0.0768431	0.118699	0.0815436	0.0749486	0.0465149	0.196315	0.711368	0.141946	0.00919387	0.0622117	0.043522	0.0168132	0.354861	0.0470006	0.437756	0.150778	0.0524274	0.00664827	0.0392025	0.0335444	0.0768497	0.20422	0.0808757	0.086686	0.145311	0.4891	1.00667	2.35892	5	3.55969
21000	-446.8256	-566.2953	119.4697	10	0.6253152	0.121193	0.0371576	0.155087	0.00650307	0.184032	0.0362674	0.0444595	0.00579068	0.173699	0.584633	0.0867867	0.000862837	0.00867417	0.119098	0.256739	0.0185573	0.244032	0.626771	0.0355212	0.198155	0.030085	0.053595	0.0233621	0.040583	0.00709519	0.0620394	0.0147949	0.0583677	0.326054	0.893704	2.72187	5	3.175574
22000	-420.1161	-560.108	139.9919	10	0.27117	0.0184273	0.0254701	0.0495197	0.0337454	0.101792	0.0268235	0.00209944	0.0242591	0.147465	0.488425	0.134234	0.0185602	0.0203705	0.00650125	0.0968011	0.325698	0.01881	0.107024	0.028717	0.184008	0.0744804	0.0268055	0.00804669	0.0590238	0.089906	0.0507913	0.0507171	0.00324849	0.0823494	0.544057	3.37035	5	2.218522
23000	-425.9428	-566.6106	140.6678	10	0.5281713	0.0433105	0.0552646	0.0525806	0.0367647	0.175628	0.0946657	0.0756978	0.00180843	0.137654	0.449562	0.0986445	0.0112309	0.0617964	0.00682811	0.148966	0.351826	0.0356485	0.100272	0.106208	0.0021697	0.299538	0.231417	0.107061	0.148737	0.0426251	0.0458583	0.133	0.0387205	0.269909	0.839731	2.85164	5	3.054763
