Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
15000	-316.7381	-330.4973	13.75919	2	0.8759908	0.0970906	0.00308729	0.004733	0.0356547	0.0749889	0.137675	0.0154178	0.000620289	0.0418643	0.00186131	0.0187793	0.00104394	0.0422186	0.0200581	0.135699	0.0633532	0.294001	0.220117	0.608758	0.0135233	0.0609445	0.0987379	0.0134957	0.111597	0.43602	0.975975	2.47641	4	2.003723
16000	-321.2173	-340.5998	19.38249	2	0.4918805	0.0384969	0.0307704	0.00435253	0.0597519	0.00128357	0.0153834	0.008269	0.0148807	0.017857	0.00482697	0.0182809	0.00116402	0.0612273	0.210761	0.104207	0.122712	0.0912245	0.145016	0.202162	0.131977	0.115001	0.0524618	0.132519	0.0318929	0.246582	0.814269	2.90726	4	1.584586
17000	-322.7932	-339.7241	16.93089	2	2.304072	0.0569724	0.0138025	0.026322	0.0170817	0.0165713	0.0534653	0.0493632	0.0164331	0.00388184	0.00483594	0.0383283	0.0403522	0.0132402	0.0937459	0.130812	0.119251	0.141515	0.0846786	0.168723	0.192601	0.0494288	0.109302	0.0776279	0.327057	0.683888	1.07602	1.91303	4	1.518336
18000	-328.0077	-342.5864	14.57873	1	3.615027	0.102986	0.00510373	0.0100156	0.0411072	0.0499778	0.0236487	0.00347388	0.0164706	0.0765418	0.0109184	0.0130938	0.00574788	0.0336702	0.0302474	0.254863	0.106337	0.105815	0.00658689	0.22705	0.0441891	0.173057	0.103189	0.141136	0.431876	0.760748	1.08423	1.72314	3	1.585226
19000	-324.0056	-337.1861	13.18054	2	0.5134307	0.0208392	0.0591843	0.0330472	0.00562206	0.0808488	0.167768	0.0188705	0.00647088	0.0210924	0.0373898	0.0383934	0.000890988	0.0422537	0.147507	0.401978	0.335809	0.210006	0.165615	0.17848	0.0185195	0.0459578	0.0658471	0.000764536	0.0359033	0.260593	0.8298	2.8737	4	2.103155
20000	-321.4855	-337.7383	16.25281	1	2.474043	0.0668082	0.0566422	0.0389525	0.00527971	0.0200512	0.117074	0.00538243	0.00300846	0.0315602	0.00645912	0.0142743	0.00342542	0.0632158	0.146961	0.269327	0.13725	0.0298305	0.0958518	0.115557	0.144454	0.0403125	0.0183927	0.101847	0.343982	0.697507	1.07833	1.88018	3	1.531917
21000	-323.3536	-337.1945	13.84096	2	1.018851	0.0728439	0.013555	0.020209	0.00272504	0.0174696	0.0421605	0.0141786	0.00175349	0.0607501	0.0356153	0.0614732	0.00315965	0.0369416	0.0670073	0.145271	0.0482179	0.0878047	0.307866	0.0114529	0.062277	0.329274	0.254026	0.354887	0.1407	0.482346	1.00305	2.3739	4	2.050919
22000	-320.4154	-338.7419	18.32649	2	1.290386	0.029826	0.0169687	0.0447365	0.0662959	0.0201327	0.0369434	0.00934414	0.000743854	0.0159506	0.01186	0.0777108	0.00380438	0.100721	0.0417369	0.234762	0.152877	0.0623255	0.0598829	0.0314754	0.0899928	0.245912	0.0246802	0.184652	0.191052	0.549491	1.03531	2.22415	4	1.563335
23000	-334.5115	-340.6713	6.1598	1	1.325941	0.0944503	0.0111109	0.0163613	0.00114226	0.015084	0.00797468	0.00777992	0.0328713	0.0179538	0.0337771	0.00778223	0.00499108	0.0523757	0.483903	0.531229	0.206206	0.040173	0.077271	0.0763277	0.0201371	0.394069	0.275448	0.24761	0.197139	0.556764	1.03832	2.20777	3	2.656028
24000	-318.7281	-348.2997	29.57155	1000	2.212521	0.13283	0.00337415	0.0188836	0.0320186	0.0332718	0.0847206	0.00101558	0.0054304	0.0900186	0.021997	0.062654	0.0436389	0.0732183	0.206877	0.289425	0.0173994	0.06958	0.14836	0.0537569	0.126331	0.0233999	0.0798755	0.233661	0.317389	0.675864	1.0745	1.93225	6	1.851738
