Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
18000	-28.85602	-103.6534	74.79734	10	0.5515644	0.0873335	0.0302682	0.227244	0.116112	0.150975	0.0208196	0.00902218	0.013729	0.0600676	0.00968624	0.0277067	0.00844476	0.396612	0.10195	0.0290391	0.126064	0.0119705	0.209309	0.53874	0.0432983	0.284252	0.854443	2.81801	5	2.175094
19000	-14.15731	-104.4352	90.27786	10	0.6821906	0.0304447	0.00782487	0.0124327	0.0422629	0.0274564	0.0278061	0.00214331	0.0131956	0.0353068	0.0214879	0.03338	0.0779159	0.0644917	0.0176473	0.0243141	0.199841	0.0937793	0.128418	0.0295907	0.0703889	0.355005	0.918086	2.65652	5	0.8897388
20000	-33.64621	-110.9733	77.32707	10	1.631003	0.0634471	0.0526665	0.0509274	0.423044	0.0734679	0.0706316	0.00411439	0.00567558	0.0208047	0.207633	0.0234709	0.0410011	0.102205	0.127587	0.103785	0.0598535	0.268106	0.0590067	0.174083	0.244869	0.609003	1.05727	2.08886	5	1.93151
21000	-29.98161	-108.8702	78.88859	10	0.6637019	0.149295	0.0169035	0.0543342	0.213578	0.032961	0.0854633	0.131266	0.0974406	0.00285492	0.109709	0.00876325	0.194893	0.0742561	0.0316946	0.0766364	0.202641	0.187346	0.00258135	0.19898	0.0664583	0.345888	0.910637	2.67702	5	1.871597
22000	-32.1842	-108.4792	76.29496	10	4.083511	0.0806053	0.0711015	0.136993	0.0441092	0.108718	0.12484	0.0136882	0.00185531	0.256409	0.0458838	0.0397803	0.34036	0.101297	0.151943	0.0380255	0.0558223	0.165792	0.0679688	0.283451	0.458892	0.778048	1.08438	1.67868	5	2.128643
23000	-32.03601	-106.0524	74.01639	10	4.226317	0.0843506	0.00507512	0.041139	0.0218294	0.0551833	0.0452804	0.0238434	0.0288211	0.0255111	0.0294094	0.0323795	0.1053	0.173088	0.068456	0.176142	0.113279	0.140006	0.0945229	0.215939	0.466379	0.782689	1.0843	1.66663	5	1.479556
24000	-23.92673	-106.2307	82.30392	10	0.5701296	0.117406	0.0435982	0.166671	0.0817224	0.000802319	0.0705395	6.92592e-05	0.0109964	0.0280319	0.01317	0.00231253	0.066848	0.136445	0.0665011	0.0626561	0.150337	0.049281	0.138514	0.397563	0.0470117	0.295255	0.86528	2.79245	5	1.603464
25000	-33.59283	-111.122	77.52915	10	1.568784	0.0826396	0.0602256	0.196969	0.0687161	0.0161558	0.0115643	0.0492678	0.0129278	0.163669	0.0243864	0.056096	0.256217	0.598833	0.0287245	0.0876408	0.181023	0.461905	0.00977884	0.00814269	0.235755	0.599619	1.05422	2.11041	5	2.374881
26000	-26.90869	-106.7772	79.86855	10	0.2971566	0.0660809	0.0165587	0.0468876	0.500194	0.000973068	0.0367805	0.000110935	0.0322326	0.110008	0.0234939	0.00562775	0.0401933	0.0891353	0.112345	0.0779758	0.0234945	0.172567	0.0811971	0.0153012	0.0050675	0.102285	0.590997	3.30165	5	1.451157
27000	-30.72642	-106.3399	75.6135	10	0.9586523	0.0913212	0.0602807	0.0428397	0.0189867	0.0139538	0.0737335	0.00590478	0.00883211	0.0224717	0.123018	0.0394989	0.348794	0.0489898	0.0730586	0.0984264	0.00558017	0.173058	0.0080128	0.201037	0.128632	0.463961	0.992796	2.41461	5	1.457798
