Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-365.0869	-392.9062	27.81931	10	0.9581466	0.00809829	0.0116399	0.0254578	0.050767	0.137558	0.140017	0.123773	0.0794652	0.0265602	0.00352099	0.0171217	0.011503	0.045767	0.0186989	0.0191344	0.0080921	0.0143419	0.162025	0.0350776	0.180522	0.0383384	0.937812	0.234646	0.0674007	0.111163	0.0243765	0.0163649	0.0340315	0.106492	0.104411	0.0236478	0.0714793	0.0805634	0.0689027	0.116275	0.0699438	0.258453	0.128529	0.4638	0.992703	2.41497	5	3.483441
11000	-354.6397	-390.6318	35.99211	10	2.84867	0.0256019	0.01255	0.032909	0.0155187	0.0369296	0.117785	0.0713604	0.0469657	0.0383683	0.00180739	0.0152639	0.0437356	0.0081937	0.0125878	0.00184833	0.00557567	0.0342473	0.0101987	0.0347996	0.114503	0.0827229	0.520665	0.0782124	0.0191097	0.0663533	0.183634	0.0830841	0.000598074	0.143195	0.00222364	0.0718871	0.108355	0.0706443	0.0962695	0.0609896	0.0163512	0.0799745	0.377205	0.722789	1.08166	1.81835	5	2.365019
12000	-342.9778	-384.4141	41.43632	10	0.8146426	0.0292589	0.00275859	0.00517638	0.0352797	0.0312445	0.0121616	0.0928584	0.0616393	0.0257321	0.0124124	0.00424239	0.0773887	0.0041733	0.00396664	0.00163565	0.00413307	0.0186511	0.0394315	0.0470635	0.0733853	0.0223622	0.524403	0.186781	0.0206291	0.0814173	0.00767703	0.124249	0.0102311	0.00887767	0.00583249	0.105322	0.116707	0.0127061	0.0772789	0.0947004	0.0476273	0.0327734	0.0986705	0.412963	0.960931	2.52744	5	2.062168
13000	-337.0329	-375.9733	38.94043	10	0.8500754	0.0329522	0.000279097	0.0264662	0.0363169	0.0187642	0.116992	0.0498291	0.0034516	0.0216819	0.0194363	0.0303094	0.0752236	0.00020121	0.00882724	0.000308455	0.00332437	0.0527781	0.0142878	0.0327698	0.149158	0.0180811	0.740587	0.189663	0.0213367	0.133283	0.0016453	0.111068	0.0726813	0.0245277	0.0186854	0.0250385	0.0285491	0.0928321	0.0596235	0.0125985	0.107695	0.0958063	0.106161	0.42654	0.96992	2.49738	5	2.447059
14000	-346.656	-386.3994	39.74341	10	0.6047082	0.00982353	0.0308279	0.0205668	0.0655707	0.0603341	0.0112664	0.0657076	0.0539353	0.0442334	0.0236669	0.0117037	0.00977229	0.0355396	0.000950931	0.000899625	0.0328988	0.00789441	0.0249709	0.0677038	0.0773113	0.106316	0.629995	0.0413644	0.0149081	0.0743099	0.216743	0.0500757	0.0287597	0.0124522	0.0240378	0.119956	0.0298484	0.121114	0.00716391	0.144213	0.152127	0.0327802	0.0540806	0.314879	0.883702	2.74734	5	2.461741
15000	-345.5513	-380.8462	35.29494	10	1.157764	0.0262528	7.51212e-05	0.0850222	0.00532567	0.0230978	0.00512249	0.128266	0.0030928	0.0239911	0.0345785	0.0325666	0.0166707	0.0192634	0.00097459	0.00382356	0.00824696	0.0516863	0.0248997	0.0611072	0.159339	0.143529	0.917449	0.00979743	0.0263722	0.0858115	0.0163126	0.00139545	0.0831962	0.00218542	0.104132	0.0298901	0.101308	0.0993886	0.248379	0.123687	0.0547978	0.151683	0.167316	0.519528	1.02191	2.29125	5	2.912715
16000	-371.3044	-392.874	21.5696	10	1.259431	0.0209175	0.0594294	0.0526553	0.0795349	0.0138488	0.0205656	0.303084	0.0241754	0.0261599	0.0706091	0.0091825	0.044545	0.0241462	0.00149409	0.060242	0.0104848	0.0597262	0.0779401	0.0468496	0.133024	0.273964	1.44796	0.000354264	0.029881	0.00745695	0.0540582	0.0562737	0.015494	0.179287	0.0645317	0.0963941	0.026591	0.0987211	0.00467296	0.0625298	0.0197347	0.0882528	0.185658	0.542913	1.0325	2.23893	5	3.664774
17000	-336.9137	-372.3886	35.47495	10	1.124049	0.000823183	0.0304345	0.0368545	0.00860555	0.00372537	0.0532392	0.0978162	0.0129749	0.0243799	0.0219822	0.0304022	0.039078	0.0181433	0.00371222	0.02281	0.0057916	0.0233761	0.0438044	0.0408726	0.151235	0.133621	0.0350003	0.0433872	0.00808243	0.0381487	0.0921492	0.0697048	0.0258886	0.0239411	0.0699826	0.0367152	0.141875	0.0768265	0.0130518	0.968877	0.00903415	0.0477844	0.161019	0.511106	1.01786	2.31002	5	2.504131
18000	-342.0551	-382.288	40.23292	10	1.056634	0.0171545	0.0069689	0.0201396	0.015281	0.0528353	0.0638557	0.085364	0.0272783	0.00279646	0.00348682	0.00769062	0.0166012	0.019967	0.00393951	0.00483466	0.00262805	0.00546079	0.0157901	0.0105121	0.272864	0.0825555	0.0135974	0.0484058	0.0532031	0.108728	0.133383	0.0182084	0.058025	0.0586003	0.0284412	0.0635976	0.0113984	0.0306907	0.00234685	0.680202	0.0938174	0.036503	0.148114	0.493137	1.00878	2.34997	5	2.177153
19000	-354.4187	-385.3349	30.91615	10	0.5831817	0.0650643	0.0191148	0.00479455	0.0095301	0.00428463	0.197683	0.0717412	0.0351867	0.000260154	0.00661142	0.00102858	0.0802662	0.00172332	0.00106915	0.0102529	0.00226597	0.0239238	0.194959	0.0214567	0.104431	0.0655488	0.104783	0.0447478	0.0043956	0.107889	0.160531	0.000297448	0.0877805	0.228499	0.018676	0.17415	0.0030622	0.0805308	0.102884	0.875178	0.00270149	0.032672	0.0496588	0.302793	0.87249	2.77506	5	2.949974
