Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
19000	-45.46939	-88.54911	43.07972	10	1.942865	0.108371	0.137717	0.014939	0.0381867	0.0572491	0.0255511	0.00406416	0.073215	0.00740387	0.00994943	0.112831	0.0767875	0.0500995	0.166971	0.02751	0.0421561	0.164324	0.286358	0.648797	1.06849	1.99635	5	1.117325
20000	-62.67621	-91.54847	28.87227	1	1.450007	0.28856	0.167683	0.0429631	0.111113	0.0188028	0.00254947	0.123335	0.0274491	0.0244364	0.00916667	0.0318113	0.00819952	0.0712491	0.0618838	0.0132254	0.00664247	0.0440084	0.217495	0.580018	1.04735	2.15514	3	1.053079
21000	-63.97951	-85.70973	21.73023	2	3.96265	0.415062	0.298066	0.0114026	0.0126562	0.0438441	0.168038	0.0307565	0.00518834	0.0653362	0.0140261	0.0601737	0.0257983	0.12974	0.226462	0.0272967	0.0466347	0.0698204	0.452299	0.773908	1.08441	1.68939	4	1.650302
22000	-59.67969	-86.92528	27.24559	2	0.505987	0.391898	0.180374	0.070468	0.0301298	0.0138987	0.0112568	0.0231197	0.00358823	0.00324634	0.00506124	0.112521	0.0130624	0.0167974	0.0525359	0.0420839	0.100893	0.00370944	0.0345027	0.255806	0.824576	2.88511	4	1.074643
23000	-58.83297	-85.46481	26.63183	2	2.339093	0.110296	0.341099	0.000846277	0.0198342	0.0126748	0.0874452	0.0139433	0.00305395	0.0162817	0.0142847	0.207826	0.220609	0.135431	0.0972213	0.0391509	0.200497	0.0170359	0.33065	0.686824	1.07655	1.90598	4	1.537529
24000	-44.66413	-90.40734	45.74321	10	1.571592	0.302954	0.25966	0.030921	0.0244361	0.00904454	0.0345074	0.0593297	0.0370819	0.104699	0.046601	0.068471	0.130178	0.0285986	0.182891	0.0711357	0.0103032	0.00645622	0.236173	0.600055	1.05436	2.10941	5	1.407268
25000	-49.1418	-94.28935	45.14756	10	0.5140699	0.254309	0.331119	0.00726009	0.0169072	0.0393203	0.074011	0.0458303	0.0269264	0.00933342	0.0209905	0.041003	0.0337323	0.150938	0.114802	0.21487	0.0388058	0.0748546	0.0360242	0.261002	0.830242	2.87273	5	1.495013
26000	-56.00684	-85.25512	29.24828	2	2.331605	0.156858	0.359756	0.0132312	0.135642	0.0235806	0.0576377	0.0100174	0.0384841	0.0185088	0.00414138	0.00419041	0.158157	0.25785	0.166609	0.00851353	0.076641	0.0117386	0.329887	0.686202	1.07644	1.90747	4	1.501556
27000	-66.75923	-86.27604	19.5168	1	1.340572	0.145959	0.547643	0.0872549	0.0283037	0.0152552	0.00596206	0.0193406	0.0189448	0.0265763	0.0205601	0.0403692	0.591533	0.0992195	0.00932316	0.229015	0.11118	0.00312976	0.199611	0.559673	1.0395	2.20121	3	1.999569
28000	-52.34739	-87.80353	35.45614	2	2.112099	0.153271	0.0524826	0.00210143	0.0422419	0.0110101	0.058661	0.044844	0.0400608	0.00791905	0.0313554	0.0135581	0.0512326	0.0669353	0.111725	0.0206619	0.052994	0.073761	0.306299	0.666428	1.07256	1.95472	4	0.8348152
29000	-60.67025	-89.62598	28.95573	1	0.4901472	0.236135	0.379132	0.0118211	0.0120758	0.0232591	0.0414579	0.0477274	0.0233201	0.0175694	0.00997734	0.0261632	0.109752	0.0677314	0.0107974	0.0382925	0.0293617	0.0561448	0.0315764	0.245435	0.812965	2.91002	3	1.140718
30000	-55.59526	-88.94132	33.34606	2	1.710875	0.263426	0.327967	0.0391416	0.0452382	0.00671999	0.0575323	0.0047356	0.00265714	0.0864678	0.0668917	0.0126761	0.0342187	0.0278493	0.0649792	0.0236186	0.0648049	0.00061317	0.256138	0.620267	1.06073	2.06286	4	1.129537
31000	-70.36388	-93.58397	23.22009	1	0.2513595	0.256508	0.359377	0.0300272	0.0150911	0.00913368	0.148009	0.00623008	0.0189893	0.0117982	0.110841	0.00111687	0.0383515	0.146222	0.292784	0.11494	0.0667814	0.11196	0.00217572	0.0676735	0.504344	3.42581	3	1.738161
