Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-847.3638	-894.088	46.72426	2	1.822856	0.00168209	0.00322332	0.017658	0.00157112	0.0218295	0.00978852	0.00666852	0.00449367	0.00856255	0.0343326	0.0565131	0.013418	0.000783662	0.017263	0.00486868	0.0130376	0.025127	0.0337255	0.013084	0.00889924	0.0457989	0.10044	0.0031802	0.000673611	0.0712185	0.0140659	0.0108214	0.0313553	0.0542507	0.0542339	0.0627748	0.0152014	0.024206	0.295139	0.0263928	0.0204965	0.00520231	0.0915191	0.127971	0.00245921	0.141252	0.0880433	0.0409497	0.119378	0.0687419	0.0962958	0.0120748	0.0454719	0.0524073	0.0125292	0.150865	0.0492413	0.0017053	0.271171	0.63475	1.06485	2.02923	4	2.232885
11000	-853.4878	-896.2298	42.74201	2	1.700894	0.0261774	0.0186592	0.0121663	0.00648258	0.0164045	0.0108079	0.00758788	0.00724506	0.00634974	0.106167	0.05694	0.0146435	0.00817104	0.031886	0.00110018	0.0116063	0.0156913	0.00377898	0.0208066	0.0199083	0.0647948	0.0450453	0.0158065	0.0367327	0.0132359	0.0115854	0.0227827	0.00732753	0.0919212	0.0737381	0.00330051	0.0480471	0.000231205	0.332894	0.187649	0.0671801	0.00672543	0.104533	0.45085	0.0279486	0.0265879	0.031988	0.00956631	0.0725875	0.100723	0.100539	0.0349421	0.0665008	0.0348248	0.0179038	0.242959	0.0757657	0.0127059	0.254756	0.618905	1.06032	2.06602	4	2.842503
12000	-861.513	-897.8541	36.34111	2	3.837893	0.0506756	0.00181492	0.0020844	0.00196982	0.021021	0.01276	0.036671	0.00379188	0.0492945	0.00364191	0.0148391	0.00305949	0.00444223	0.0173465	0.0169389	0.0328632	0.061757	0.00691184	0.0774651	0.00496218	0.0229943	0.0382621	0.0329633	0.0283807	0.0695489	0.0210471	0.0788393	0.0228641	0.0432865	0.122775	0.00517796	0.062719	0.0077223	0.443079	0.162753	0.123522	0.0625305	0.0421664	0.253261	0.000462765	0.0537049	0.122914	0.0894798	0.194065	0.0889508	0.0334932	0.0397485	0.0226283	0.00453055	0.109409	0.171629	0.0466124	0.0343619	0.445229	0.76941	1.08439	1.70097	4	3.080193
13000	-843.3809	-887.6267	44.24578	2	3.563652	0.0160382	0.0110032	0.00276869	0.0282236	0.0336667	0.0087863	0.0040009	0.0175316	0.00247296	0.0121136	0.0708343	0.0203837	0.00293434	0.042335	0.0145972	0.00218597	0.0322312	0.0101752	0.0337506	0.00860041	0.0860322	0.0289465	0.0332834	0.000650187	0.01332	0.0293473	0.0131738	0.0405848	0.05899	0.0884922	0.00153304	0.0389923	0.0593417	0.191089	0.0721489	0.114033	0.0242887	0.0864473	0.194881	0.0230035	0.0578234	0.0191758	0.0400891	0.291402	0.0981478	0.0912131	0.0181316	0.0171176	0.0979855	0.00173552	0.103393	0.0221825	0.00413015	0.428657	0.758625	1.08417	1.72855	4	2.435738
14000	-847.2854	-886.793	39.50764	2	7.291206	0.0231173	0.0146038	0.0195322	0.0145374	0.0181369	0.0093128	0.0167899	0.0101662	0.0269345	0.0355822	0.0284352	0.00695252	0.00279198	0.00754786	0.00522055	0.013341	0.0212098	0.0166737	0.00413366	0.0154248	0.032691	0.0257435	0.0271368	0.00305453	0.0172929	0.0197969	0.0317531	0.00359232	0.054569	0.0892483	0.0825053	0.00179756	0.0620333	0.333471	0.123128	0.0650316	0.0141319	0.0793797	0.151688	0.0192777	0.0753941	0.0157755	0.00936831	0.130912	0.0773974	0.136026	0.024228	0.0543487	0.0212859	0.0327143	0.0739271	0.069751	0.0055467	0.576172	0.844059	1.07828	1.50149	4	2.274442
15000	-857.2981	-895.2893	37.99126	2	1.187268	0.00618671	0.00765314	0.0381894	0.00821144	0.02462	0.0239383	0.00417625	0.00711656	0.00115155	0.0127038	0.0467503	0.00583757	0.00688004	0.0253661	0.00309575	0.00779641	0.0467429	0.00674428	0.0128325	0.000610311	0.0751527	0.00832271	0.0479352	0.0494724	0.0128304	0.00749359	0.102181	0.011134	0.0220897	0.0936571	0.00197924	0.0983345	0.636591	0.293886	0.0441476	0.0887071	0.0215982	0.0543359	0.0577604	0.00548617	0.142645	0.142278	0.0279134	0.261612	0.13166	0.00299631	0.118902	0.025301	0.0805648	0.00133382	0.104834	0.133118	0.00144298	0.172738	0.526613	1.02522	2.27543	4	3.204299
16000	-845.6512	-886.427	40.77581	2	1.304122	0.0174865	0.000760211	0.0106763	0.0134297	0.00752194	0.0111741	0.0034052	0.0024169	0.00756441	0.0184209	0.0514366	0.0200586	0.00191753	0.0118406	0.00289308	0.0170753	0.0915898	0.00751345	0.0124594	0.00373626	0.0352924	0.0748544	0.0231031	0.00251189	0.0223681	0.0139658	0.0443083	0.0040814	0.0519546	0.100032	0.000678842	0.0663898	0.0420502	0.555913	0.155327	0.0666481	0.00725057	0.0807727	0.057171	0.0383188	0.0795808	0.388549	0.0107109	0.16401	0.248497	0.103581	0.0569904	0.0655908	0.111718	0.0336463	0.0779923	0.0965896	0.0156042	0.193417	0.552336	1.0365	2.21775	4	3.209427
17000	-855.0589	-896.341	41.28212	2	2.779441	0.0361519	0.0105447	0.0478912	0.0401579	0.0238148	0.011248	0.00116995	0.00971977	0.0041324	0.0266766	0.0651164	0.012093	0.00254035	0.0192067	0.00783496	0.0124225	0.0176828	0.0190878	0.0391568	0.0572414	0.050339	0.0223936	0.0684098	0.0201808	0.00142918	0.0639896	0.0254498	0.0184227	0.0770954	0.0822863	0.00748397	0.0410851	0.0370862	0.378879	0.130385	0.0783627	0.0163397	0.0969606	0.0441846	0.00430498	0.0515968	0.166224	0.0223255	0.125994	0.0760811	0.0133218	0.104264	0.0294982	0.0990969	0.042116	0.210769	0.0368184	0.0123619	0.371445	0.718536	1.08119	1.82883	4	2.719427
18000	-834.5643	-878.2136	43.64924	2	1.31535	0.0298784	0.0158545	0.0121901	0.0119582	0.0144799	0.0212133	0.00188475	0.00266812	0.0369482	0.0283359	0.0478124	0.0069775	0.00186875	0.020079	0.00319396	0.0125514	0.0717852	0.00742812	0.023013	0.000513324	0.0340885	0.0396845	0.0170274	0.0121363	0.0236749	0.0297793	0.0147409	0.0103784	0.066667	0.0789603	0.0390499	0.00109857	0.264683	0.341295	0.0968201	0.0487991	0.00101439	0.0866382	0.0450236	0.000498954	0.106371	0.0899227	0.0574173	0.329484	0.175849	0.086407	0.0953369	0.0974328	0.00560797	0.00330395	0.0563469	0.0613165	0.00141575	0.195338	0.554628	1.03745	2.21259	4	2.788904
19000	-827.8292	-880.82	52.99076	2	2.196238	0.0117064	0.020833	0.0136999	0.00207626	0.00766078	0.0125238	0.0375501	0.00156389	0.0125602	0.00870606	0.0228817	0.0159518	0.000401226	0.0267309	0.0134059	0.0186113	0.0307281	0.0111656	0.0139234	0.00426199	0.0751564	0.0695393	0.0259158	0.00257498	0.00556194	0.0258202	0.0261566	0.0075723	0.0637509	0.0582575	0.0232676	0.00347736	0.0818153	0.238755	0.0638328	0.108024	0.0523508	0.0626384	0.10883	0.0028715	0.0463482	0.000681423	0.0532379	0.150536	0.103329	0.0675924	0.0680979	0.015498	0.0588067	0.00271945	0.0799418	0.0610899	0.0034653	0.315626	0.674381	1.07421	1.93579	4	2.104455
