Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
12000	-398.3027	-460.1889	61.88624	10	0.7411906	0.11777	0.000301869	0.00675751	0.0195365	0.0343377	0.00386374	0.0491077	0.227931	0.0467075	0.0040887	0.0272776	0.0264302	0.0764933	0.00172229	0.0136405	0.0266668	0.229788	0.0690415	0.0501099	0.0726499	0.0524866	0.0731505	0.320002	0.112046	0.0419308	0.00367955	0.0288249	0.0629483	0.0206737	0.0313697	0.118951	0.316075	0.0714428	0.0829994	0.382334	0.939226	2.59544	5	2.357804
13000	-416.17	-471.5861	55.41606	10	0.6805535	0.178361	0.036637	0.0331756	0.118284	0.0596916	0.00270058	0.037616	0.123805	0.0973231	0.0321169	0.0655088	0.0557853	0.147972	0.00325614	0.000426631	0.0382002	0.122953	0.0903717	0.0671969	0.506316	0.0296857	0.0843249	0.0863213	0.146339	0.054895	0.0330174	0.0264987	0.16685	0.004239	0.0855338	0.0841896	0.00449124	0.0492504	0.0700403	0.354208	0.917443	2.65831	5	2.673332
14000	-403.0799	-458.5895	55.50962	10	0.7377256	0.210362	0.000138982	0.00633799	0.071731	0.00920977	0.0154009	0.0533904	0.209702	0.074067	0.0137197	0.0489837	0.180561	0.0642769	0.0106675	0.00840633	0.00300258	0.1593	0.0719463	0.0457965	0.637461	0.00513252	0.0813286	0.104763	0.0254785	0.0777007	0.0188887	0.0249718	0.0323117	0.100808	0.00570418	0.137981	0.026332	0.363505	0.0822578	0.380799	0.938084	2.59886	5	2.899369
15000	-414.0867	-466.4823	52.39564	10	1.039081	0.221178	0.00632643	0.0199645	0.0871256	0.111543	0.0042744	0.0408153	0.147556	0.0669724	0.0529575	0.0102538	0.00272408	0.150991	0.00356272	0.0195126	0.0304654	0.178153	0.0555375	0.00252568	0.524385	0.017174	0.0050961	0.138873	0.0286897	0.1262	0.0916899	0.0322518	0.0192849	0.0123547	0.0945379	0.0499983	0.178703	0.098384	0.144685	0.488191	1.00619	2.36094	5	2.630061
16000	-400.4167	-458.5756	58.15896	10	1.802069	0.146856	0.00655329	0.0266789	0.017188	0.0260867	0.0114071	0.00946026	0.156965	0.215421	0.00650545	0.00518189	0.021684	0.0308461	0.0160074	0.0104863	0.021982	0.199136	0.143978	0.158563	0.795039	0.0390781	0.0142363	0.0887789	0.124476	0.0833886	0.0881323	0.018192	0.0466782	0.0497708	0.0145822	0.169138	0.135497	0.0753757	0.268446	0.632168	1.06414	2.03524	5	2.973349
17000	-423.639	-465.1779	41.53884	10	3.360492	0.280471	0.0450656	0.0359842	0.209782	0.061865	0.000787603	0.0786015	0.092439	0.123381	0.0218517	0.0580104	0.0847931	0.0990982	0.00545827	0.0144243	0.0319531	0.131286	0.0532703	0.0233342	0.0976534	0.00258849	0.211291	0.126323	0.0938963	0.629959	0.0402448	0.0435141	0.00589377	0.0338196	0.282557	0.015981	0.339269	0.0027288	0.415361	0.749718	1.0838	1.75112	5	3.377575
18000	-418.0332	-470.6679	52.63476	10	1.398063	0.139017	0.137507	0.014395	0.0541843	0.170803	0.0141354	0.0496888	0.228808	0.0521785	0.000874193	0.04874	0.0495426	0.0402691	0.00274243	0.0110551	0.021952	0.131651	0.0398053	0.0600754	0.0264353	0.143902	0.0338732	0.143555	0.0160354	0.110435	0.14873	0.00860372	0.0897647	0.0527725	0.036609	0.0826304	0.680001	0.0801579	0.209137	0.57066	1.04383	2.17637	5	2.92093
19000	-398.6856	-457.5397	58.85413	10	3.387218	0.213085	0.000207507	0.0038894	0.0328693	0.0254801	0.00684202	0.115402	0.215273	0.16456	0.0264301	0.000113672	0.0783586	0.01347	0.0149658	0.00898881	0.0330534	0.134243	0.00547531	0.0462276	0.0176754	0.0587981	0.0385067	0.177313	0.0628446	0.0745122	0.104145	0.0169655	0.065596	0.0393498	0.014361	0.0141873	0.648411	0.0677406	0.417164	0.750939	1.08386	1.74804	5	2.539341
20000	-410.9396	-463.8661	52.9265	10	1.645807	0.190976	0.0102175	0.00216092	0.00496156	0.0276426	0.034772	0.0125697	0.308335	0.266867	0.046791	0.00118728	0.105089	0.231576	0.0138137	0.0144982	0.00863373	0.202495	0.0918864	0.515805	0.0609208	0.105345	0.079194	0.106626	0.0489832	0.0125689	0.010538	0.11079	0.0628717	0.0203689	0.0617227	0.0321043	0.250115	0.00498488	0.246993	0.611154	1.05795	2.0839	5	3.057411
21000	-407.3567	-456.555	49.1983	10	1.550041	0.298979	0.097629	0.0177188	0.00369025	0.0208171	0.0065594	0.0357775	0.245844	0.204183	0.0232682	0.00615807	0.0858138	0.154348	0.0145423	0.000671018	0.0296892	0.141899	0.0622066	0.0290585	0.176818	0.0592914	0.0915646	0.124638	0.0109744	0.107128	0.00895172	0.0596803	0.0525954	0.115087	0.0365139	0.0131119	0.257851	0.740304	0.23295	0.596679	1.05323	2.11714	5	3.333362
22000	-394.9788	-453.8882	58.9094	10	1.358155	0.191925	0.0137491	0.0119287	0.0243679	0.0287968	0.0104672	0.0777066	0.221814	0.0382832	0.0519537	0.0105825	0.0854799	0.0400676	0.0110847	0.00223465	0.0460352	0.24598	0.0176152	0.137156	0.0907217	0.0101568	0.130197	0.189459	0.0338731	0.0158056	0.151543	0.0589635	0.508514	0.0919104	0.0121756	0.00703486	0.057669	0.0497869	0.202555	0.563107	1.04088	2.19346	5	2.675039
