Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-1217.812	-1228.524	10.71118	10	1.100917	0.0464191	0.0585063	0.0105929	0.0696463	0.0313595	0.0195365	0.031428	0.0246992	0.0528634	0.0175216	0.0123955	0.00755402	0.074683	0.0126282	0.030509	0.0342523	0.0307634	0.162338	0.128958	0.0384597	0.129463	0.0422245	0.00649238	0.00175899	0.0813523	0.0122031	0.012587	0.00725302	0.186833	0.0127258	0.034287	0.00710804	0.0235521	0.0166411	0.0219365	0.194188	0.0311288	0.00396687	0.0575321	0.155687	0.126359	0.0600523	0.0329451	0.0543654	0.124934	0.00246074	0.1282	0.00422987	0.0158803	0.00791579	0.0254686	0.598043	0.049118	0.0556194	0.073676	0.0230892	0.220034	0.047852	0.0325786	0.0307221	0.0530772	0.0145445	0.061526	0.0630633	0.0464621	0.151608	0.184623	0.0760266	0.143012	0.12728	0.00749789	0.0123144	0.0479525	0.189005	0.030568	0.0818943	0.0256597	0.0442357	0.104527	0.0433729	0.288441	0.356101	0.186828	0.123876	0.0523757	0.0110434	0.0101471	0.156353	0.0315113	0.00191674	0.0911683	0.156638	0.505116	1.0149	2.32335	5	6.465589
11000	-1221.308	-1228.034	6.726301	2	1.671425	0.0238088	0.25471	0.0324148	0.0825073	0.0213708	0.0173081	0.0225434	0.0045107	0.0081583	0.120619	0.0342949	0.00755926	0.0164657	0.00638638	0.0269715	0.0039692	0.0476579	0.118923	0.183663	0.0373263	0.0881115	0.104682	0.00460741	0.119305	0.0104856	0.00126349	0.00682492	0.00955666	0.0279552	0.0342229	0.0271347	0.00449221	0.0194388	0.135051	0.0238755	0.0963183	0.0163567	0.00100524	0.0772008	0.106034	0.0765329	0.120365	0.0486398	0.0523308	0.0242711	0.0072841	0.124868	0.114434	0.00812882	0.00369268	0.0615413	0.290218	0.0476538	0.0649351	0.0297913	0.029441	0.0974395	0.00486273	0.0104892	0.00447137	0.0119823	0.0703608	0.0317141	0.262806	0.013819	0.000267017	0.284367	0.0116002	0.190484	0.0937326	0.012287	0.0381714	0.0541686	0.0879746	0.0853498	0.135432	0.00847158	0.036331	0.00626116	0.231411	0.349242	0.0449117	0.0566195	0.049642	0.00357808	0.0183734	0.146742	0.317416	0.00257445	0.0355461	0.0377159	0.250631	0.614808	1.05908	2.07548	4	5.935834
12000	-1250.575	-1246.917	-3.658014	10	1.203838	0.0378654	0.0682164	0.00377461	0.132825	0.0104956	0.0411773	0.0235284	0.00756922	0.01478	0.174367	0.00610092	0.0515021	0.0659565	0.00116463	0.0110256	0.0229254	0.0369549	0.0919518	0.0992649	0.0498633	0.230362	0.0458824	0.0139416	0.111961	0.0386365	0.00455029	0.020547	0.00850706	0.0282815	0.330393	0.0183549	0.0460875	0.0301983	0.151927	0.0522836	0.0616018	0.019781	0.00639404	0.205629	0.0545911	0.0924714	0.242531	0.0496705	0.027264	0.213085	0.0196249	0.0856795	0.0243961	0.0182473	0.171732	0.0294847	0.00137117	0.0920807	0.0835285	0.0645249	0.0320086	0.0235342	0.00340906	0.0462395	0.0403318	0.0014564	0.357064	0.0540647	0.0150101	0.005274	0.0413257	0.164663	0.123947	0.648285	0.0452772	0.490084	0.0776685	0.0654066	0.0451577	0.218262	0.019987	0.12421	0.0662635	0.0570327	0.142531	0.0289169	0.080603	0.100724	0.225771	0.0260825	0.0582835	0.0822523	0.0506487	0.147827	0.178388	0.18955	0.175748	0.530482	1.02699	2.26678	5	7.724451
13000	-1257.411	-1253.007	-4.404129	1	1.15098	0.152022	0.08066	0.00854257	0.211609	0.115922	0.0633859	0.0514774	0.0076097	0.0768314	0.0117517	0.000908741	0.00262552	0.0220334	0.00124845	0.0878786	0.00537517	0.133933	0.210005	0.152977	0.0567059	0.0863582	0.113248	0.0304997	0.0329406	0.09181	0.0167113	0.0235203	0.0172598	0.11699	0.0231975	0.0147963	0.0432451	0.00701171	0.0335588	0.02885	0.0665251	0.00101173	0.0164465	0.0580086	0.0828043	0.0621944	0.143577	0.0503701	0.0295281	0.171452	0.00628149	0.131383	0.0359635	0.0986387	0.0933913	0.0194984	0.0176395	0.0651162	0.0245079	0.109114	0.131209	0.184232	0.0142026	0.00328803	0.00692362	0.0244945	0.134825	0.0047903	0.210453	0.0208764	0.10458	0.118623	0.0456435	0.609398	0.0284556	0.324227	0.015445	0.0339557	0.028482	0.0411354	0.00643203	0.0149877	0.104319	0.0340178	0.127713	0.119558	0.00218512	0.254922	0.124876	0.114114	0.0851438	0.0157955	0.0304045	0.0248327	0.169311	0.0162004	0.166057	0.517862	1.02112	2.29496	3	6.747003
14000	-1224.496	-1226.351	1.854802	2	1.246491	0.130663	0.131436	0.00138878	0.0921942	0.0721121	0.0326233	0.0138941	0.0404528	0.00561765	0.0169279	0.0147931	0.0181789	0.0160755	0.01369	0.0595425	0.0302474	0.0721902	0.0508706	0.0963363	0.0167345	0.0334662	0.100818	0.00587305	0.244299	0.0483241	0.00269712	0.00416823	0.021737	0.0286911	0.106347	0.0766412	0.00896829	0.00575458	0.018838	0.0524918	0.0399377	0.0791906	0.00328781	0.0293038	0.103417	0.110727	0.0674493	0.0612997	0.0492412	0.113184	0.0024112	0.209868	0.032516	0.0151458	0.0284783	0.000343048	0.0130308	0.0108446	0.0285861	0.14555	0.0707758	0.151211	0.222805	0.0976015	0.0185688	0.0112265	0.132864	0.125772	0.0219786	0.0277262	0.00281315	0.177917	0.0291685	0.904128	0.0148015	0.322536	0.0342779	0.0738385	0.0119201	0.0127164	0.0135356	0.0405528	0.0545434	0.111832	0.0157419	0.0843406	0.0174123	0.299562	0.124675	0.0288595	0.0231004	0.0160275	0.0119215	0.10603	0.00376848	0.0229729	0.183377	0.540092	1.03128	2.24525	4	6.268416
15000	-1214.792	-1218.698	3.906448	2	1.195219	0.0308809	0.130084	0.00952735	0.0769714	0.0268491	0.0374931	0.00635226	0.051756	0.02802	0.0381101	0.00791567	0.00160269	0.0971019	0.00414233	0.0108161	0.000305395	0.0396158	0.118182	0.185492	0.0265321	0.0189426	0.0168884	0.0465364	0.0862401	0.0657087	0.00422265	0.00742257	0.00300008	0.0831647	0.0509195	0.0231099	0.015466	0.00199501	0.0721621	0.0228031	0.0345014	0.0131122	0.0480273	0.0212442	0.076696	7.68628e-05	0.0278909	0.0153606	0.130263	0.114838	0.0304889	0.216201	0.0133587	0.00205899	0.0520851	0.0899433	0.0418248	0.0376333	0.018042	0.0879762	0.0154989	0.0927638	0.0438876	0.0341308	0.106378	0.0302846	0.0986281	0.0586335	0.00975358	0.0248358	0.0817022	0.239955	0.0591407	0.101826	0.00288683	0.546929	0.0839975	0.0866904	0.166188	0.000348558	0.0225266	0.0909302	0.286169	0.0122803	0.232328	0.133337	0.0224278	0.0139805	0.603839	0.0141446	0.106102	0.175971	0.0371902	0.0237422	0.0445921	0.111572	0.174186	0.528479	1.02608	2.27126	4	6.333545
16000	-1230.491	-1237	6.509311	10	1.816669	0.0439124	0.0313374	0.0408238	0.0518034	0.0075374	0.0793947	0.00144082	0.0393066	0.00346846	0.0496054	0.000160568	0.00115905	0.106481	0.0485261	0.0380611	0.0115086	0.0430115	0.123624	0.138429	0.0148776	0.118978	0.0881272	0.0663103	0.0113095	0.0571805	0.00409905	0.000272665	0.0206134	0.0479547	0.0739499	0.00237742	0.020157	0.0133651	0.0872604	0.0119582	0.114088	0.0393115	0.0143388	0.0464638	0.138742	0.0326975	0.185614	0.0161027	0.111731	0.161063	0.000334514	0.123086	0.240947	0.0941019	0.125275	0.00060569	0.0125339	0.0427631	0.00597711	0.0185524	0.182684	0.0376074	0.0908503	0.0194213	0.0451012	0.00722764	0.0474389	0.0856308	0.172573	0.00965241	0.0210697	0.0751471	0.0451191	0.220382	0.234183	0.036636	0.61079	0.00532133	0.178529	0.059192	0.105091	0.0557666	0.00427415	0.0329341	0.0505117	0.265148	0.0999368	0.289002	0.0170293	0.241758	0.0197128	0.0476232	0.0481524	0.0347084	0.29693	0.0961326	0.270363	0.633986	1.06464	2.03101	5	6.911977
17000	-1244.612	-1245.117	0.5048529	10	1.840352	0.196832	0.16312	0.0238858	0.108749	0.032827	0.00885933	0.130239	0.00548912	0.0237961	0.0230132	0.0119451	0.0181404	0.103885	0.00926894	0.0364989	0.0360454	0.0176025	0.111952	0.120999	0.00898089	0.104397	0.0619372	0.0466082	0.174665	0.0843036	0.0121782	0.0086399	0.017785	0.12732	0.00990778	0.000119239	0.0480687	0.0386072	0.0277115	0.029169	0.218245	0.0759594	0.0173182	0.145095	0.0903085	0.0896693	0.0403174	0.0641435	0.00808046	0.37763	0.0028272	0.0798058	0.0218504	0.0755973	0.0116078	0.103562	0.00294451	0.0899115	0.0411416	0.0411646	0.00159438	0.0951248	0.0501931	0.175868	0.0546331	0.197215	0.10918	0.0469567	0.0475233	0.0877473	0.0862521	0.685295	0.000769126	0.0146286	0.0182621	0.312133	0.378925	0.0979232	0.0735779	0.00276237	0.00547126	0.0826062	0.0853372	0.0917207	0.00714102	0.0990008	0.0128377	0.0180447	0.0329218	0.270337	0.029736	0.0828815	0.0544313	0.135939	0.0400146	0.214799	0.273443	0.636887	1.06543	2.02424	5	7.38051
18000	-1240.059	-1240.044	-0.01569448	10	1.647235	0.0888431	0.314309	0.0105804	0.122741	0.0599936	0.069179	0.00670429	0.071406	0.0194082	0.0282757	0.00654606	0.00564342	0.0473658	0.0115447	0.0382865	0.00714049	0.0221609	0.115127	0.187234	0.0656223	0.148862	0.0515511	0.0314305	0.0319343	0.0905138	0.00823232	0.0131254	0.000902697	0.124485	0.0692843	0.0318728	0.0110224	0.0110726	0.0366652	0.0922398	0.126139	0.0137438	0.0129352	0.0308943	0.056114	0.0486707	0.0333107	0.0682185	0.198557	0.0588383	0.0367638	0.185534	0.00114535	0.00519588	0.0756894	0.0569225	0.0469209	0.214504	0.0461324	0.0193584	0.0431867	0.0642614	0.0809857	0.478676	0.00608263	0.00810818	0.0815166	0.0275392	0.049018	0.0722208	0.0192443	0.235359	0.0884249	0.0104629	0.0496409	0.154376	0.0248011	0.0826393	0.0256933	0.0677692	0.295817	0.0357518	0.0689603	0.0976627	0.213398	0.00212148	0.319059	0.0137655	0.0508495	0.222554	0.329796	0.157827	0.0989828	0.0326742	0.0297622	0.162904	0.247198	0.61136	1.05801	2.08343	5	7.188786
19000	-1252.091	-1246.864	-5.227498	2	1.879014	0.374759	0.121	0.00650951	0.0383617	0.0697435	0.0305553	0.00405728	0.0639462	0.049013	0.0114762	0.0344518	0.0459018	0.0828949	0.000604628	0.0651	0.0126894	0.0288662	0.0205108	0.0428225	0.063052	0.291158	0.0668374	0.00422851	0.110796	0.058461	0.00389774	0.00643402	0.00382607	0.0149638	0.130804	0.0220722	0.0723214	0.0170308	0.0708497	0.0149085	0.0490821	0.0249274	0.00238969	0.0482761	0.0914322	0.0146987	0.00609511	0.0206113	0.137606	0.0547471	0.0277258	0.253416	0.00110263	0.034002	0.000926181	0.0129339	0.0115598	0.0188478	0.010768	0.048962	0.169367	0.0831781	0.00597374	1.01423	0.0253358	0.171514	0.0360481	0.0221407	0.0814312	0.028892	0.123452	0.18331	0.0119758	0.135387	0.0161405	0.0710006	0.053022	0.387088	0.0575592	0.050072	0.015009	0.0858421	0.0172914	0.0184115	0.0420271	0.0740643	0.018357	0.0375548	0.0368379	0.177314	0.0926411	0.324478	0.295772	0.11092	0.0119577	0.0665166	0.278392	0.641499	1.06664	2.01346	4	7.077122
