Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
185000	-1229.659	-1235.602	5.942845	10	1.558841	0.113091	0.20447	0.00122718	0.13123	0.04215	0.143002	0.002309	0.00456612	0.0644668	0.00503871	0.00621054	0.00224907	0.0991786	0.0181011	0.0460958	0.00383355	0.0418443	0.245211	0.166051	0.00606632	0.122181	0.110452	0.0226924	0.132601	0.00582713	0.0189766	0.00152636	0.00199007	0.027125	0.0298442	0.0151004	0.000402347	0.0032647	0.198736	0.0395608	0.0456209	0.0689305	0.0276658	0.0842046	0.0851895	0.0793382	0.0226359	0.150517	0.0886518	0.0858	0.0178929	0.0891457	0.161152	0.0242486	0.0210854	0.0122904	0.00738732	0.0605653	0.183093	0.0435873	0.00543081	0.191481	0.15378	0.101015	0.0790347	0.590249	0.138332	0.10695	0.0309648	0.328761	0.0220691	0.170806	0.0113568	0.00176803	0.00147279	0.014834	0.143287	0.13402	0.069903	0.00488943	0.0331214	0.0169882	0.189881	0.0680855	0.0100027	0.00399101	0.146002	0.0275092	0.0761076	0.032112	0.156373	0.0135748	0.0615513	0.00209066	0.0574451	0.0247663	0.234271	0.598066	1.0537	2.11397	5	6.655681
186000	-1234.605	-1235.961	1.35611	10	1.332255	0.0919085	0.101546	0.00109685	0.044894	0.0294909	0.00514489	0.000282863	0.0180702	0.0397889	0.0396398	0.00225437	0.00629372	0.0601331	0.0248422	0.0515062	0.0234802	0.0228263	0.0371336	0.198043	0.0400511	0.0338874	0.0266912	0.0180249	0.00909778	0.0409941	0.00134546	0.0107103	0.00655913	0.0396711	0.0548231	0.037217	0.0722224	0.00650314	0.0425429	0.016383	0.0918336	0.0700995	0.0473833	0.158184	0.0737324	0.0796351	0.0325821	0.0651431	0.0859871	0.111591	0.0255001	0.275413	0.0128919	0.136546	0.015011	0.0501863	0.032863	0.00187326	0.0401354	0.158698	0.00801008	0.109968	0.133107	0.0115317	0.0373641	0.107637	0.257003	0.0264319	0.0559281	0.285958	0.0337758	0.0605927	0.199512	0.036576	0.0365238	0.00504845	0.0796394	0.264957	0.113487	0.0284876	0.037033	0.0189341	0.0899069	0.300933	0.0414015	0.0513354	0.0744281	0.0888293	0.0661475	0.0787273	0.50443	0.251179	0.00610476	0.164347	0.00158121	0.0600145	0.198208	0.558025	1.03884	2.20493	5	6.547261
187000	-1250.48	-1240.121	-10.35905	2	1.527216	0.177388	0.0899491	0.0240143	0.07424	0.0711741	0.0118526	0.0889595	0.00600705	0.00301039	0.020886	0.00866145	0.0288612	0.115024	0.00258181	0.0532996	0.0301681	0.0987609	0.18574	0.0876449	0.039349	0.155507	0.124849	0.00682465	0.0272024	0.0311671	0.0122707	0.0450224	0.0246579	0.0500166	0.0359096	0.0136152	0.0372508	0.0102322	0.269279	0.0713332	0.114759	0.00587442	0.0123852	0.0710473	0.113264	0.0703396	0.0381682	0.0206228	0.0364139	0.0863408	0.017499	0.337557	0.161278	0.0216627	0.0769664	0.0257159	0.016637	0.142458	0.0583501	0.0308452	0.05919	0.0936746	0.0209148	0.0427678	0.015652	0.047931	0.202666	0.0221532	0.0229838	0.240365	0.028811	0.144006	0.13229	0.124589	0.0711464	0.111388	1.13067	0.0359825	0.0282279	0.211964	0.026377	0.00759045	0.0575444	0.393871	0.0502074	0.0453165	0.0448607	0.110151	0.0358023	0.23976	0.0730323	0.0932206	0.0787188	0.0719638	0.0102613	0.0432076	0.229496	0.593025	1.05198	2.1255	4	7.760149
188000	-1245.493	-1245.217	-0.2758875	2	1.550443	0.139876	0.0796377	0.00816971	0.0648789	0.0776898	0.0142019	0.00556855	0.00240305	0.027502	0.0293998	0.0436465	0.014636	0.0397724	0.036472	0.02383	0.0125898	0.0465982	0.149743	0.09808	0.111013	0.0296177	0.00562827	0.00793599	0.150791	0.0468688	0.00607645	0.0105858	0.0258454	0.0304807	0.08622	0.0530721	0.0365868	0.0151046	0.141882	0.0166481	0.100058	0.0339467	0.00261602	0.0571768	0.0728347	0.084682	0.0894972	0.0382479	0.09196	0.151802	0.0332698	0.328963	0.0256927	0.00844312	0.0342112	0.0473421	0.0154678	0.0510019	0.010435	0.0685409	0.0204095	0.0928647	0.120771	0.0399208	0.0577308	0.00331665	0.102002	0.0464918	0.0232951	0.382057	0.23984	0.269831	0.0299333	0.166011	0.605504	0.0536796	0.165292	0.103151	0.104755	0.0236863	0.0538067	0.0116917	0.315843	0.00300392	0.0145129	0.152934	0.0902875	0.00274138	0.0572595	0.136042	0.019089	0.0581199	0.0291898	0.0187356	0.00911921	0.0362626	0.233011	0.596743	1.05325	2.117	4	6.694422
189000	-1225.731	-1226.673	0.9415883	2	2.605082	0.0716914	0.247554	0.0735233	0.0869514	0.0206719	0.0181012	0.00161253	0.00270315	0.0164073	0.0339157	0.0110774	0.0066566	0.0660066	0.0016173	0.0146037	0.00991489	0.0575706	0.113113	0.134709	0.0417528	0.14731	0.0555334	0.0111488	0.023141	0.0530959	0.0053562	0.00241202	0.00611831	0.0443767	0.058762	0.0670013	0.00210411	0.00113322	0.038527	0.0200351	0.0900563	0.0125511	0.000497958	0.0949449	0.0497404	0.0698222	0.0168947	0.0299883	0.0512626	0.0650171	0.00439996	0.272981	0.0569023	0.0309235	0.126619	0.00373958	0.144369	0.113591	0.0223419	0.0835743	0.00168142	0.095474	0.026254	0.186162	0.0418915	0.133399	0.0385011	0.137516	0.010171	0.37112	0.0284765	0.107105	0.0437364	0.0979112	0.58983	0.0239464	0.0924495	0.231155	0.00763331	0.0113997	0.05693	0.0361736	0.00966693	0.0769681	0.131555	0.0094599	0.069364	0.203872	0.0894741	0.037708	0.0630338	0.101262	0.0894158	0.0108293	0.103794	0.0648825	0.356198	0.707018	1.07973	1.85706	4	6.336629
190000	-1244.01	-1242.296	-1.713258	10	1.888482	0.118276	0.0700317	0.0370173	0.0455896	0.00953454	0.00138258	0.06563	0.0687195	0.0410213	0.00804993	0.0578393	0.00534525	0.107754	0.00428442	0.0263754	0.0425683	0.00409739	0.170402	0.132648	0.0228127	0.14416	0.162668	0.0138939	0.0290861	0.0769717	0.0226104	0.00775704	0.00179164	0.180403	0.190131	0.0552287	0.0218563	0.00773421	0.0469503	0.00700708	0.0569562	0.0549635	0.00925246	0.0906001	0.0518721	0.0870019	0.091649	0.00615324	0.143281	0.131729	0.07855	0.2081	0.0511721	0.0540172	0.0257495	0.00308159	0.0260231	0.0334259	0.289776	0.0208067	0.0504532	0.138235	0.0552815	0.462153	0.176939	0.141157	0.137106	0.0580697	0.0506126	0.0699055	0.0262768	0.120843	0.0892155	0.047434	0.493028	0.130027	0.192603	0.126319	0.26881	0.0213957	0.105825	0.0925362	0.0789766	0.0381413	0.00729426	0.0224519	0.00218891	0.036594	0.00639956	0.222625	0.041252	0.0838565	0.04524	0.0796687	0.0191837	0.264713	0.279589	0.642606	1.06693	2.01087	5	7.524604
191000	-1221.579	-1228.454	6.875434	10	3.350836	0.149375	0.133154	0.0104844	0.128827	0.0125705	0.0168683	0.0870572	0.0167557	0.00338502	0.0595074	0.0369753	0.0121538	0.062257	0.020761	0.0241402	0.0031156	0.0128862	0.0832981	0.398444	0.0290973	0.0450359	0.00639366	0.0149214	0.0553194	0.0917085	0.00603034	0.00462991	0.00422045	0.0370738	0.0492501	0.0168893	0.00587955	0.00379153	0.173308	0.0219587	0.0522668	0.0353426	0.0090467	0.0509787	0.0707995	0.0375071	0.0195386	0.0896231	0.0813158	0.331512	0.0415064	0.00854071	0.0293601	0.00252989	0.112321	0.26749	0.0458922	0.00841273	0.0118718	0.0192324	0.0933644	0.227585	0.0574294	0.0862798	0.00115502	0.180376	0.0423356	0.028283	0.293391	0.035188	0.0928425	0.0606031	0.0750487	0.155781	0.0383936	0.0649196	0.179369	0.168368	0.19082	0.0143589	0.095233	0.0750499	0.0016489	0.0678979	0.11154	0.401354	0.00950438	0.0417895	0.0513774	0.092679	0.0950842	0.13193	0.0331508	0.0242061	0.0343952	0.114664	0.414705	0.749272	1.08377	1.75225	5	6.630007
192000	-1242.395	-1241.578	-0.8162763	2	2.95937	0.128949	0.0696122	0.00735961	0.100454	0.0419421	0.056355	0.0477719	0.0359858	0.00979985	0.0404004	0.00331615	0.0255693	0.0736546	0.0134156	0.0295252	0.0287908	0.0411144	0.0385823	0.150757	0.0316492	0.240796	0.0219492	0.00058179	0.00785352	0.0900622	0.0124283	0.00134271	0.0786709	0.102266	0.123325	0.00780671	0.0399084	0.0175633	0.130609	0.0101054	0.0944203	0.0658212	0.0293257	0.0737433	0.0970165	0.0946749	0.014383	0.0708121	0.0893741	0.136385	0.00124948	0.170442	0.00488865	0.0915512	0.0256046	0.0518227	0.0306863	0.642272	0.0495233	0.0440578	0.186413	0.0381148	0.355982	0.0228649	0.012038	0.0114413	0.236962	0.0914739	0.0158131	0.0159206	0.0405724	0.231964	0.0202582	0.136738	0.00728422	0.0140693	0.0470435	0.0762934	0.199139	0.0740575	0.0299414	0.0322508	0.0039786	0.215193	0.00164478	0.00800398	0.00972384	0.141987	0.103065	0.0916099	0.00946478	0.128837	0.0196412	0.00433226	0.0494416	0.0983759	0.386094	0.729253	1.08231	1.80234	4	6.520262
193000	-1230.665	-1225.586	-5.079375	2	1.797682	0.338969	0.0205294	0.0234468	0.0695457	0.0724029	0.0325266	0.00387771	0.0391646	0.0182163	0.0793211	0.033255	0.000453258	0.122122	0.0039546	0.0543701	0.000195262	0.142893	0.093406	0.273069	0.0498906	0.0397493	0.0327092	0.00962525	0.126871	0.112445	0.000462293	0.01143	0.00106419	0.0254876	0.0468519	0.0211991	0.021185	0.00252998	0.155348	0.0333291	0.0699541	0.0341106	0.0102519	0.153776	0.0423444	0.0433184	0.00553331	0.031645	0.0367162	0.20548	0.0181753	0.155217	0.096284	0.0383838	0.0741512	0.136778	0.0662209	0.514918	0.027784	0.0927484	0.000718393	0.119395	0.013774	0.0399374	0.320367	0.146857	0.428267	0.0476365	0.135216	0.0410726	0.180382	0.0156601	0.0267059	0.00845485	0.126066	0.0420497	0.011401	0.0396541	0.248441	0.202352	0.00753518	0.00286872	0.0816245	0.137464	0.00437515	0.0675828	0.00377719	0.0195483	0.060271	0.0384743	0.0125965	0.163916	0.012527	0.118673	0.0583037	0.12354	0.267867	0.631617	1.06399	2.03652	4	7.073171
194000	-1237.144	-1242.199	5.054139	10	1.756442	0.0705939	0.104142	0.00777095	0.0497648	0.0352278	0.0318781	0.00829622	0.0178061	0.0421545	0.0370268	0.00233154	0.00414193	0.0541905	0.00491236	0.0379301	0.000950521	0.0664215	0.210935	0.186525	0.0340156	0.248867	0.0705414	0.00300136	0.109463	0.0899975	0.0183542	0.0310632	0.00943688	0.0278295	0.0694033	0.00890198	0.205264	0.0167117	0.0545468	0.0423125	0.0587145	0.0265052	0.000707794	0.0334572	0.140044	0.0367563	0.0406559	0.0512401	0.144926	0.100991	0.00103198	0.210303	0.0848215	0.166404	0.00768299	0.00422469	0.0103734	0.629475	0.00825592	0.138926	0.0862229	0.134597	0.0582856	0.0241413	0.212122	0.0418985	0.192286	0.0784248	0.0976477	0.00611459	0.00779644	0.029939	0.180284	0.00596301	0.05434	0.0999954	0.0259881	0.159239	0.0659074	0.0115859	0.0038397	0.200679	0.00722621	0.0691832	0.0171901	0.139417	0.070406	0.182274	0.179384	0.0689125	0.0385593	0.135489	0.0293956	0.0426913	0.0457265	0.028496	0.26236	0.626334	1.0625	2.0488	5	6.739855
195000	-1247.333	-1243.87	-3.463533	2	1.346196	0.0222503	0.100241	0.00254315	0.107899	0.0697569	0.000785944	0.0603998	0.0617821	0.032876	0.12882	0.00794828	0.000642754	0.0788993	0.00460547	0.063874	0.0302155	0.0445109	0.0849954	0.0756472	0.0478137	0.00765487	0.140345	0.0519613	0.16458	0.0242545	0.0138709	0.0284877	0.00693149	0.0185549	0.0169597	0.0129461	0.0160483	0.00715165	0.0563043	0.0515261	0.0410569	0.0145759	0.0171482	0.118922	0.0392332	0.0513536	0.0156691	0.0314491	0.0394552	0.0912393	0.0199928	0.177438	0.140224	0.0208685	0.0125343	0.010203	0.0488156	0.537934	0.180267	0.0342229	0.15264	0.215019	0.0436377	0.0564998	0.255043	0.175184	0.0290899	0.055575	0.0691732	0.0356532	0.186385	0.200226	0.0231292	0.0288274	0.118336	0.0139702	0.0342364	0.0616759	0.0321863	0.043777	0.0130815	0.0940027	0.0318707	0.0453307	0.254687	0.0486797	0.0534046	0.152757	0.260139	0.0625501	0.0196316	0.482811	0.000280816	0.0163193	0.0419343	0.101789	0.200556	0.560779	1.03995	2.19872	4	6.796219
196000	-1227.589	-1233.175	5.585973	2	1.195177	0.158917	0.133226	0.00760428	0.14408	0.0440159	0.0325895	0.0156937	0.00845458	0.0605831	0.0175713	0.0851767	0.00535641	0.134593	0.0185729	0.0423057	0.00309163	0.0079538	0.0357962	0.0560394	0.0921015	0.194659	0.0334317	0.0228533	0.0717658	0.00507475	0.0100709	0.00512395	0.0335244	0.0899933	0.122866	0.00951108	0.00951955	0.00741609	0.0918718	0.079273	0.0505285	0.0827465	0.0173484	0.0327169	0.0902686	0.0256648	0.00218182	0.0081251	0.0243153	0.0161813	0.00868273	0.199934	0.0190572	0.148056	0.0151522	0.0175656	0.0194284	0.409499	0.298882	0.0775631	0.069133	0.211002	0.0214627	0.125641	0.0219382	0.143523	0.0378964	0.0631167	0.0906784	0.134298	0.00932492	0.212907	0.0230173	0.0505409	0.00478238	0.0148022	0.058634	0.166442	0.0746335	0.0459445	0.0205012	0.0366324	0.0894254	0.0315736	0.0333668	0.0137133	0.0208722	0.0656608	0.00300435	0.173805	0.0447945	0.12157	0.0786896	0.0453639	0.173197	0.0330655	0.174178	0.528469	1.02607	2.27128	4	6.019525
197000	-1257.78	-1242.314	-15.46581	2	1.623626	0.393497	0.190664	0.012589	0.0837471	0.0138327	0.0299809	0.0036985	0.00646629	0.00246253	0.0386486	0.0608475	0.00234878	0.128833	0.0143391	0.0864372	0.0258253	0.0564878	0.363472	0.289651	0.0354816	0.2037	0.0974458	0.0250861	0.0130739	0.0109436	0.000193502	0.000415346	0.0591502	0.0807143	0.0244919	0.0771536	0.00499423	0.00210891	0.0913541	0.0246499	0.0245743	0.0799754	0.00282296	0.18934	0.0035203	0.00881047	0.0126167	0.0250881	0.124085	0.4995	0.00276083	0.273552	0.0179505	0.0222084	0.184657	0.00757245	0.106472	0.503954	0.100925	0.000721864	0.0498168	0.210927	0.0408444	0.100239	0.128594	0.139661	0.219695	0.0005464	0.0635274	0.0714061	0.100581	0.100117	0.0581408	0.0319152	0.0104898	0.100875	0.0764536	0.0866751	0.0252147	0.357768	0.0268467	0.0511789	0.174127	0.156571	0.0328961	0.0736475	0.000815448	0.189135	0.000965295	0.0129458	0.0739165	0.00491439	0.0681122	0.0781296	0.145035	0.113489	0.243804	0.607919	1.05693	2.09135	4	7.922104
198000	-1233.979	-1231.585	-2.394918	1	2.40903	0.0133215	0.288693	0.0130943	0.109945	0.0877363	0.000681244	0.00349602	0.0557786	0.0678011	0.0631606	0.00378413	0.017594	0.0308744	0.0157114	0.0157032	0.0546506	0.0530497	0.126973	0.0679874	0.0798814	0.0789392	0.170895	0.0158297	0.0445363	0.189153	0.00898337	0.00184437	0.00136759	0.0373729	0.0352398	0.00367605	0.0172812	0.0426357	0.20494	0.0059677	0.125237	0.0418346	0.0130147	0.036545	0.0987034	0.0312572	0.0401103	0.00420832	0.12338	0.0568535	0.0251123	0.226218	0.0162519	0.0103464	0.0148904	0.0823789	0.0267934	0.661692	0.0368519	0.0824804	0.00398972	0.277659	0.0244903	0.0131406	0.345893	0.00804679	0.206892	0.0358452	0.09528	0.0535245	0.0657794	0.0132161	0.0205578	0.0765182	0.163127	0.0429463	0.121878	0.157938	0.024747	0.163474	0.00553025	0.045031	0.0478304	0.00869029	0.0757472	0.102186	0.00390742	0.0539668	0.0324288	0.0112093	0.0792049	0.108544	0.0286809	0.0871361	0.00245506	0.030047	0.337659	0.692481	1.07752	1.89234	3	6.420277
199000	-1239.343	-1252.33	12.98687	10	1.643387	0.000384301	0.092242	0.0407788	0.0766409	0.00321111	0.0692947	0.0478746	0.0269531	0.00293457	0.0533391	0.0947721	0.00382851	0.0716084	0.0141982	0.0181897	0.0217927	0.111291	0.0557461	0.158219	0.179209	0.151449	0.125596	0.0346658	0.0793462	0.0415248	0.00354751	0.0167662	0.105679	0.00821553	0.00843263	0.0164164	0.0293131	0.0140642	0.100891	0.0854755	0.0448755	0.0293073	0.0243817	0.177897	0.116238	0.0484417	0.29967	0.0160606	0.108589	0.0792439	0.00180952	0.0781521	0.0554506	0.0922161	0.0842461	0.158976	0.0470062	0.0183989	0.104514	0.023251	0.0419161	0.0417455	0.0120519	0.0545516	0.0356891	0.081375	0.131004	0.280854	0.00138522	0.0552632	0.0291619	0.0697639	0.0400212	0.286584	0.00829082	0.029674	0.0372426	0.189229	0.0236465	0.078379	0.032594	0.0851448	0.00219135	0.0291216	0.0815051	0.0147683	0.0852706	0.013015	0.0509781	0.17586	0.0185561	0.223542	0.0606722	0.000481824	0.116146	0.046393	0.246647	0.610805	1.05784	2.08471	5	6.136685
200000	-1244.81	-1234.328	-10.48122	1	2.596106	0.117156	0.235121	0.0205131	0.091252	0.0718331	0.0286462	0.00169053	0.0447261	0.00291464	0.0135756	0.0288341	0.00335035	0.0903924	0.0028569	0.0504462	0.00956726	0.00423351	0.184782	0.146029	0.03205	0.0401239	0.101626	0.00275335	0.121867	0.0848865	0.000926892	0.00878157	0.00873603	0.0336808	0.237857	0.0332686	0.017064	0.013002	0.0134698	0.0686547	0.0105103	0.0223982	0.0117937	0.095373	0.0611828	0.0308156	0.0269474	0.00290836	0.189785	0.321967	0.00152573	0.208601	0.00881213	0.0103679	0.0542261	0.0929879	0.0239558	0.0259008	0.245441	0.0463336	0.0054454	0.0982612	0.541944	0.0508584	0.0137767	0.0188974	0.150747	0.013156	0.0240158	0.0562789	0.0976782	0.288976	0.039394	0.63856	0.028276	0.0131778	0.151169	0.128576	0.282867	0.208802	0.007245	0.053863	0.0648626	0.0291404	0.0728958	0.0265762	0.224358	0.0280953	0.00383369	0.0637527	0.0068169	0.0818226	0.071315	0.029913	0.084736	0.0516157	0.355383	0.706391	1.07964	1.85859	3	7.2102
201000	-1238.334	-1231.247	-7.086991	2	1.428207	0.104052	0.0719926	0.0151629	0.145499	0.118501	0.0379032	0.0231832	0.0226777	0.0131791	0.0135778	0.0205568	0.00307461	0.0505802	0.00429626	0.0414313	0.0722134	0.0119829	0.0524742	0.252132	0.0234408	0.290541	0.0986045	0.0192376	0.153493	0.132647	0.000147582	0.00419446	0.00382214	0.075011	0.0294539	0.00149079	0.0385458	0.016283	0.0221525	0.0265111	0.107858	0.0673945	0.0192012	0.0671625	0.135479	0.0391128	0.0244869	0.0564511	0.0619165	0.213104	0.030355	0.0987695	0.00227722	0.010997	0.01303	0.0184994	0.0580598	0.332201	0.0800999	0.0778879	0.0788533	0.0936205	0.0744752	0.052496	0.0166499	0.00542283	0.0281638	0.0205868	0.193965	0.0408296	0.000581631	0.0310344	0.0233103	0.18003	0.706043	0.00741129	0.0361126	0.181864	0.68714	0.0714124	0.155116	0.0340332	0.175333	0.0837312	0.176491	0.01982	0.0856436	0.0319777	0.0086192	0.0297177	0.0655345	0.0258187	0.0359798	0.0091446	0.0700206	0.116773	0.214016	0.576153	1.04591	2.16392	4	7.178144
202000	-1227.931	-1230.271	2.340684	10	1.538605	0.180852	0.392267	0.0115342	0.101243	0.0589839	0.0396791	0.0448582	0.000290217	0.0578466	0.000659021	0.00225528	0.00385019	0.0391454	0.0222226	0.0429009	0.064216	0.0656549	0.120663	0.121928	0.0307197	0.241988	0.059582	0.0198556	0.0661191	0.122975	0.00109363	0.000737299	0.0133407	0.0212891	0.0480067	0.0344593	0.0419902	0.0152087	0.156075	0.0177187	0.107701	0.0389525	0.00713614	0.0571467	0.115585	0.122006	0.0308632	0.00200434	0.0249611	0.128183	0.00808503	0.136539	0.0573096	0.00081495	0.0311757	0.0280535	0.0653863	0.931602	0.169988	0.00409481	0.162055	0.00748772	0.451909	0.0189604	0.0181587	0.0445481	0.0144093	0.0545902	0.00953646	0.0685076	0.0146668	0.127063	0.0496366	0.0806646	0.0660269	0.128618	0.0109284	0.107543	0.352961	0.0964208	0.0451496	0.0593151	0.00581677	0.00828607	0.0588458	0.0103173	0.119356	0.0566943	0.0640208	0.131894	0.0861513	0.0179426	0.0699317	0.0562532	0.0713227	0.0375444	0.231225	0.594859	1.05261	2.12131	5	7.113327
203000	-1228.7	-1234.044	5.344337	2	2.333069	0.0660771	0.1055	0.00433483	0.057733	0.0314924	0.089905	0.0131622	0.0269053	0.0439406	0.0494412	0.00363958	0.0189574	0.100449	0.0617133	0.0598328	0.0452677	0.00754372	0.173826	0.0774456	0.0909003	0.0620488	0.0380372	0.00234044	0.0335215	0.0786346	0.0138044	0.00612957	0.0138531	0.0370812	0.0692925	0.00475898	0.0950916	0.00156061	0.162904	0.0180179	0.115357	0.00137611	0.013679	0.0844386	0.123628	0.0469076	0.029007	0.0315627	0.0657048	0.110915	0.000566171	0.0775703	0.0573802	0.0325684	0.00679384	0.567393	0.0127493	0.0988449	0.0512124	0.00837825	0.0982363	0.0201923	0.236639	0.017532	0.121795	0.0432491	0.142466	0.00510636	0.0407081	0.110394	0.150957	0.00687027	0.150703	0.0183695	0.0894763	0.129863	0.066171	0.260106	0.018002	0.244747	0.0368741	0.096582	0.0178209	0.00407253	0.00501223	0.0303461	0.0255082	0.000865765	0.0259957	0.00364159	0.0230538	0.139177	0.04388	0.0576153	0.0625785	0.0114294	0.330036	0.686324	1.07646	1.90718	4	5.857213
204000	-1239.847	-1234.594	-5.253172	10	1.654404	0.0370307	0.132585	0.0255004	0.0682567	0.0442673	0.0246677	0.00514714	0.0199107	0.0587662	0.0613924	0.0761877	0.0182231	0.129086	0.000499108	0.0366501	0.0344176	0.0306223	0.0688739	0.177002	0.0159384	0.0883454	0.0315215	0.018594	0.0442792	0.0564097	0.0014932	0.0195909	0.00690581	0.0434739	0.0223126	0.0106435	0.053313	0.000993297	0.177201	0.01963	0.0790562	0.0161676	0.0368436	0.0475848	0.0434455	0.0337004	0.0613447	0.0416825	0.0899042	0.0909921	0.0543138	0.0267789	0.0932409	0.0269923	0.0109544	0.133962	0.0455206	0.0055163	0.124697	0.0507983	0.0153775	0.0354684	0.449457	0.00433155	0.029485	0.0329306	0.228946	0.143105	0.0632362	0.0461226	0.0896335	0.0913853	1.12226	0.0714953	0.00866948	0.024972	0.00174221	0.0230782	0.0535516	0.0667818	0.0036759	0.000843241	0.193514	0.298613	0.0687731	0.144253	0.110841	0.479236	0.11408	0.0281414	0.2228	0.374081	0.0781472	0.179781	0.033848	0.0175056	0.24822	0.61239	1.05833	2.08106	5	7.723395
205000	-1232.985	-1235.807	2.822219	10	1.584076	0.247784	0.111581	0.0249029	0.0814253	0.0096944	0.0716394	0.0267304	0.0294991	0.0190906	0.0346608	0.0389279	0.00349102	0.0277283	0.00220554	0.0472709	0.014112	0.001704	0.0379959	0.139189	0.0524161	0.0692558	0.0672696	0.0363498	0.0146962	0.0846451	0.00300249	0.00432061	0.0187945	0.0305677	0.0694981	0.0468858	0.0282813	0.00560336	0.0460482	0.01732	0.0409316	0.0103839	0.0242735	0.0463038	0.136997	0.0152024	0.00152257	0.00963512	0.100215	0.229537	0.0479345	0.116682	0.405171	0.070393	0.00646614	0.0780462	0.0517187	0.0075439	0.0607498	0.137164	0.120788	0.100818	0.0628559	0.106349	0.0563982	0.1459	0.0449235	0.0590851	0.0622883	0.0776076	0.032116	0.210554	0.496847	0.063489	0.360547	0.0110336	0.0460654	0.578013	0.105168	0.0906515	0.00184088	0.038897	0.18189	0.0824288	0.0890525	0.00753958	0.0302339	0.133224	0.0179151	0.0270995	0.0164626	0.0569797	0.0224984	0.264426	0.00935239	0.0318049	0.238023	0.601978	1.055	2.105	5	7.004602
206000	-1250.973	-1234.954	-16.01898	2	1.840341	0.0347489	0.347781	0.00752081	0.0955874	0.0629402	0.0255929	0.0230828	0.00651837	0.0429931	0.00613552	0.0305711	0.0136148	0.0215379	0.0132101	0.0954006	0.00672798	0.0302919	0.174575	0.12349	0.0205094	0.0195513	0.0861003	0.0230124	0.0159959	0.051745	0.000250653	0.00505821	0.0328887	0.135724	0.0602877	0.0185481	0.0115309	0.00865035	0.0741395	0.050711	0.0388712	0.0685077	0.0022498	0.0402481	0.0974954	0.0786453	0.08364	0.138942	0.236404	0.107466	0.0170373	0.248282	0.248995	0.0290841	0.0306067	0.0549449	0.00933073	0.0039637	0.0799654	0.0254849	0.31109	0.134895	0.0117541	0.0349175	0.105532	0.0110737	0.0303826	0.0431445	0.150329	0.0628999	0.014104	0.240274	0.835534	0.369198	0.141106	0.0518347	0.00270342	0.22907	0.0238129	0.030246	0.0211849	0.0077359	0.0456255	0.0275575	0.0819092	0.482736	0.113653	0.0166494	0.323886	0.341625	0.0353605	0.0264445	0.0564617	0.134778	0.00702394	0.0645407	0.273441	0.636886	1.06543	2.02424	4	8.038264
207000	-1246.699	-1240.496	-6.202965	2	2.373522	0.10508	0.032891	0.0100914	0.143732	0.0166642	0.0137019	0.0432776	1.65055e-05	0.0698481	0.0134131	0.075593	0.0412892	0.0128075	0.00370346	0.0652875	0.00927901	0.0039368	0.0835842	0.357618	0.0979693	0.125609	0.0956396	0.00615859	0.105637	0.103515	0.0091002	0.000194074	0.0120064	0.11173	0.0294956	0.0321043	0.0135283	0.00716767	0.0925654	0.0382641	0.0695768	0.0206461	0.0390212	0.0164452	0.0237192	0.0998429	0.0852565	0.0104936	0.167797	0.148669	0.0022343	0.343873	0.0930493	0.0468033	0.0865632	0.0407483	0.0313097	0.0168422	0.00245984	0.10829	0.118735	0.185755	0.0281564	0.0123084	0.0570014	0.259824	0.114896	0.0300876	0.0324334	0.148384	0.050191	0.110474	0.657408	0.096728	0.318768	0.00516672	0.0804766	0.160055	0.150543	0.00975225	0.115956	0.0527387	0.00505281	0.0254627	0.122023	0.0912557	0.0269633	0.0408351	0.0587234	0.0800081	0.0147964	0.18699	0.0258503	0.035555	0.017833	0.138874	0.334128	0.689642	1.07704	1.89919	4	7.102202
