Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
15000	-117.811	-182.4177	64.60666	10	1.531765	0.0708436	0.0356858	0.0568287	0.147072	0.00827206	0.0210542	0.0700719	0.0139254	0.300985	0.138629	0.000731303	0.139386	0.0361221	0.189449	0.0252595	0.105409	0.036165	0.0660323	0.0814905	0.103083	0.0436994	0.136362	0.0620665	0.388058	0.241711	0.230188	0.59376	1.05223	2.12382	5	2.518393
16000	-109.8139	-180.0576	70.24369	10	0.4894764	0.0500775	0.0241992	0.0446111	0.00270864	0.110883	0.0384535	0.0114143	0.00774454	0.118407	0.0333152	0.00310202	0.0526668	0.0578103	0.00181593	0.0616757	0.126424	0.0885437	0.0167677	0.0502869	0.109354	0.0278967	0.0245567	0.606645	0.0822579	0.198329	0.0314542	0.24499	0.812458	2.9111	5	1.949945
17000	-135.3809	-184.7261	49.34522	10	5.073077	0.00578429	0.0785779	0.0368893	0.215941	0.0556151	0.0198181	0.156771	0.0663353	0.126643	0.0867882	0.0159765	0.159192	0.0279684	0.0776613	0.356326	0.17616	0.0519987	0.324867	0.256919	0.14553	0.409746	0.0117725	0.0372861	0.106484	0.0320689	0.505085	0.80569	1.08317	1.60605	5	3.039119
18000	-119.2538	-180.5961	61.34228	10	5.457502	0.012812	0.0548911	0.047115	0.0752307	0.0710344	0.0177132	0.00972058	0.0441798	0.184842	0.356394	0.0541406	0.077783	0.0389938	0.0478145	0.186642	0.158617	0.193219	0.0855558	0.0887174	0.02973	0.0712663	0.0109622	0.00597356	0.472471	0.0201101	0.520037	0.814157	1.08243	1.58338	5	2.41593
19000	-118.1077	-182.9829	64.87519	10	2.062428	0.110677	0.0706243	0.00481305	0.178044	0.06576	0.1171	0.0213409	0.0256008	0.203172	0.1396	0.00108702	0.149785	0.0114607	0.0162328	0.438761	0.116618	0.334199	0.00667917	0.120094	0.176598	0.026253	0.0167371	0.000556891	0.150148	0.0686976	0.300615	0.661492	1.07148	1.96642	5	2.57064
20000	-124.318	-185.6361	61.31818	10	1.626856	0.0687269	0.0489679	0.115391	0.0514128	0.067237	0.00226448	0.153031	0.0449359	0.0889121	0.0686968	0.0878697	0.0270169	0.0818003	0.0100039	0.0826952	0.0328347	0.252836	0.243872	0.0820677	0.00160004	0.359978	0.00827992	0.0493009	0.0252399	0.0214655	0.244271	0.608395	1.05708	2.09026	5	2.076436
21000	-125.0872	-180.852	55.76475	10	1.611109	0.104538	0.124993	0.0844391	0.213664	0.0223071	0.00328796	0.0209249	0.0259536	0.102993	0.268055	0.0374545	0.038767	0.0976133	0.0116611	0.211072	0.514026	0.0381993	0.278774	0.499651	0.0102513	0.0613791	0.0285125	0.320718	0.148409	0.149388	0.241987	0.606063	1.05633	2.09562	5	3.417031
22000	-110.864	-180.1599	69.29586	10	0.584235	0.0266851	0.0628494	0.000473104	0.103082	0.0259735	0.0255146	0.0544219	0.00610759	0.178491	0.0817434	0.0379437	0.0140901	0.0178318	0.137892	0.118842	0.000153992	0.0130671	0.0694699	0.097236	0.108772	0.0675877	0.163882	0.173229	0.186388	0.0838881	0.0498736	0.303395	0.873058	2.77367	5	1.855615
23000	-118.7138	-185.8498	67.13594	10	3.759657	0.0662866	0.040605	0.0136776	0.0668244	0.0353587	0.014721	0.0219715	0.0252483	0.135537	0.145323	0.00346551	0.0235932	0.0895539	0.00456034	0.0367858	0.0791915	0.0646717	0.0839386	0.12935	0.0494096	0.389906	0.0686878	0.131652	0.121073	0.0864167	0.440651	0.766465	1.08436	1.70853	5	1.927809
24000	-120.662	-184.7551	64.09307	10	2.410381	0.0481403	0.0302163	0.00849275	0.0443833	0.256487	0.00708332	0.0752453	0.0349811	0.0464532	0.344039	0.0571121	0.0728339	0.205618	0.0045717	0.023179	0.675097	0.13043	0.154994	0.0952152	0.0521895	0.0217323	0.0638808	0.0194367	0.145504	0.0919601	0.337792	0.692587	1.07753	1.89209	5	2.709274
25000	-121.7203	-185.66	63.93973	10	0.9238903	0.0247512	0.0112101	0.0640763	0.137216	0.0130098	0.00292058	2.96318e-05	0.0237191	0.232606	0.027583	0.106577	0.0515878	0.163698	0.149374	0.118255	0.134155	0.00639866	0.416723	0.0849891	0.22619	0.0268417	0.17857	0.0341382	0.109841	0.100817	0.121529	0.452616	0.986148	2.43971	5	2.445277
26000	-123.4079	-181.0095	57.60159	10	1.15413	0.0601454	0.055723	0.00028134	0.209547	0.210269	0.0166183	0.0417212	0.0322909	0.255025	0.0443714	0.0948775	0.0233113	0.0173638	0.0018777	0.167638	0.0478419	0.589806	0.0360622	0.414658	0.0716412	0.0174649	0.123295	0.0866977	0.0662212	0.25284	0.166642	0.518637	1.02149	2.29323	5	2.937588
27000	-117.8221	-180.5499	62.72776	10	1.377944	0.0851419	0.0745624	0.019826	0.0112036	0.290722	0.00883193	0.0199239	0.00362154	0.485612	0.249605	0.000393036	0.0170781	0.00020858	0.0135086	0.0202469	1.08655	0.0516418	0.0544978	0.042551	0.0629733	0.007854	0.186672	0.093071	0.0369267	0.0779298	0.205837	0.566894	1.04237	2.1849	5	3.001148
28000	-123.7504	-185.717	61.9666	10	2.461252	0.0188684	0.0628765	0.0246613	0.104861	0.101117	0.01626	0.111128	0.0768723	0.178917	0.25843	0.00628845	0.00638446	0.013678	0.0277172	0.0440586	0.0224687	0.016329	0.172536	0.207062	0.189002	0.0162081	0.0955127	0.0135743	0.00454387	0.156767	0.342752	0.696535	1.07817	1.88254	5	1.946123
29000	-137.5488	-184.3054	46.75664	2	1.191883	0.0462656	0.0280261	0.0136043	0.128742	0.0232383	0.0223723	0.0223358	0.0104303	0.141294	0.191396	0.0430212	0.00944361	0.0117815	0.107897	0.0418603	0.108861	0.0191868	0.0875682	0.0137708	0.102897	0.224304	0.145905	0.017367	0.0156016	0.382604	0.173579	0.527699	1.02572	2.273	4	1.959773
30000	-141.437	-188.7321	47.29508	2	0.9391927	0.0103257	0.106702	0.00377031	0.0933532	0.0933183	0.0527267	0.00270476	0.00176154	0.171207	0.192442	0.0448586	0.193026	0.0124963	0.0349093	0.00119379	0.0750661	0.352745	0.0301693	0.0503005	0.110619	0.0704505	0.0392775	0.0248743	0.123327	0.00944174	0.124667	0.457679	0.989145	2.42851	4	1.901067
31000	-142.0353	-183.0724	41.03706	1	0.422916	0.0764792	0.0504351	0.0287422	0.000207484	0.0578213	0.00796007	0.0237085	0.0294284	0.139526	0.145565	0.0753057	0.042548	0.00513396	0.00458432	0.56214	0.153661	0.103857	0.00033662	0.0379899	0.0546089	0.0664372	0.0669227	0.0292534	0.0666723	0.156557	0.0201545	0.198657	0.754933	3.02626	3	1.98588
32000	-137.47	-184.9693	47.49931	2	1.085868	0.0400078	0.0146677	0.0094717	0.0473848	0.0475068	0.000133522	0.0319061	0.0142169	0.112007	0.222899	0.016836	0.0483188	0.00928407	0.0461553	0.0715511	0.0148912	0.432506	0.164491	0.111088	0.131262	0.0245742	0.10086	0.00850583	0.0474746	0.061133	0.153761	0.501123	1.01289	2.33223	4	1.829131
33000	-130.0982	-185.1259	55.02777	10	2.073568	0.0501934	0.0459666	0.063643	0.144757	0.111053	0.00576247	0.140677	0.152584	0.264979	0.00689241	0.00338878	0.10389	0.277379	0.202678	0.0491254	0.00810737	0.471949	0.136298	0.0153103	0.0119246	0.016124	0.251623	0.0188532	0.269069	0.472578	0.301901	0.662616	1.07173	1.96376	5	3.294807
34000	-116.9706	-176.8595	59.88896	10	0.8052981	0.0278022	0.0279904	0.0134381	0.0618418	0.0470825	0.00691389	0.0188152	0.00960737	0.0772432	0.013452	0.0955902	0.0424543	0.110038	0.0471595	0.0525792	0.0921877	0.109521	0.236908	0.118224	0.0582757	0.0150722	0.224515	0.188733	0.135001	0.45777	0.0966856	0.409258	0.958412	2.53564	5	2.288215
35000	-115.5478	-186.2962	70.74834	10	0.6320764	0.0656639	0.0158112	0.00543789	0.0594933	0.0803175	0.0243569	0.0190582	0.0584946	0.0563899	0.135669	0.0772388	0.0127457	0.0751213	0.0396037	0.116145	0.150415	0.171965	0.39975	0.0950115	0.179392	0.0353803	0.0964686	0.0396662	0.0653803	0.191295	0.059784	0.329639	0.896841	2.71374	5	2.266271
36000	-105.9406	-178.1955	72.25485	10	3.031076	0.0288373	0.0732769	0.037888	0.000655134	0.0130129	0.00785603	0.0290776	0.0412022	0.122296	0.0542744	0.0290037	0.131041	0.0351597	0.00524621	0.147863	0.116409	0.035664	0.0810696	0.0458762	0.121262	0.107126	0.324689	0.108116	0.212732	0.106421	0.391652	0.733234	1.08267	1.79245	5	2.016055
37000	-119.9504	-184.4133	64.46293	10	1.676573	0.100216	0.0868219	0.0197863	0.179055	0.0168071	0.0167395	0.026267	0.0462125	0.268436	0.235341	0.0561016	0.0461845	0.0932789	0.302683	0.0192973	0.078232	0.0822301	0.13274	0.00127342	0.0525568	0.00701487	0.0320627	0.0754317	0.201755	0.322529	0.251356	0.615532	1.0593	2.07381	5	2.499054
38000	-123.454	-182.241	58.78708	10	2.173879	0.0427236	0.0561334	0.0439969	0.0300433	0.0222173	0.00831884	0.0979207	0.039359	0.315514	0.0974585	0.115604	0.0583514	0.191317	0.0208648	0.223207	0.0657256	0.0845394	0.595583	0.401593	0.0986951	0.142866	0.205389	0.239561	0.177559	0.0144882	0.313183	0.672315	1.07379	1.94071	5	3.389028
39000	-113.8878	-178.5462	64.6584	10	0.8267496	0.0314673	0.034542	0.0197394	0.243666	0.0945486	0.0150499	0.00399554	0.0335687	0.0390258	0.107718	0.0507405	0.0280067	0.011228	0.0283726	0.0391663	0.396103	0.0575931	0.11845	0.0924556	0.0648819	0.0059256	0.589763	0.010127	0.083173	0.0244079	0.101237	0.417685	0.9641	2.51698	5	2.223716
40000	-138.3526	-188.8295	50.47689	2	0.6099576	0.0345779	0.0654969	0.0184682	0.00756495	0.057552	0.0061931	0.0521405	0.0355166	0.0749303	0.0714249	0.0144037	0.0684921	0.0447577	0.00617539	0.00805372	0.0210768	0.0231232	0.0455762	0.106519	0.0534801	0.0219531	0.738163	0.0123304	0.139793	0.0857969	0.0551681	0.317762	0.886315	2.74075	4	1.81356
41000	-145.9403	-185.6206	39.68025	2	2.097213	0.0958248	0.207456	0.0556435	0.112082	0.0673144	0.00183679	0.0116829	0.00180745	0.15853	0.163034	0.0248477	0.046545	0.00666084	0.157058	0.120286	0.0511719	0.0188689	0.105801	0.00842327	0.221681	0.152733	0.398041	0.00745477	0.230361	0.0286438	0.304609	0.664968	1.07224	1.95818	4	2.453788
42000	-148.3546	-183.4555	35.10088	2	2.045053	0.036872	0.00978824	0.00629786	0.214398	0.0554803	0.0323054	0.00855419	0.00636028	0.144548	0.124366	0.0661272	0.0987862	0.0211032	0.0292824	0.408672	0.078745	0.0207449	0.176062	0.0254172	0.0549238	0.165073	0.150099	0.280027	0.613923	0.0191706	0.298594	0.659721	1.07108	1.97061	4	2.847125
43000	-136.8865	-182.9837	46.09722	2	0.8420259	0.055875	0.0234228	0.00524461	0.166286	0.103928	0.00283586	0.0204386	0.0402912	0.212334	0.0360486	0.0688146	0.00726602	0.0212187	0.0626215	0.0089802	0.102813	0.0829854	0.0698212	0.480244	0.253273	0.0945112	0.00338591	0.030156	0.27637	0.141313	0.104465	0.423519	0.967952	2.50406	4	2.370478
44000	-130.2194	-186.0743	55.85495	10	4.387728	0.0633616	0.0695085	0.0122271	0.180862	0.147349	0.0980514	0.0809553	0.0427065	0.0542322	0.0772309	0.0642098	0.0748897	0.0721327	0.0419915	0.071732	0.325021	0.139853	0.122938	0.0406851	0.113907	0.0184177	0.0606864	0.749897	0.0832353	0.23384	0.474472	0.787633	1.08417	1.65373	5	3.03992
45000	-129.1087	-187.2298	58.12109	10	0.7305997	0.072358	0.116861	0.0803606	0.122147	0.111821	0.0123956	0.0351061	0.040945	0.398961	0.132005	0.00732448	0.0393462	0.045183	0.2693	0.00707393	0.130635	0.0330616	0.0309286	0.0572074	0.12672	0.321335	0.295893	0.0735588	0.514914	0.104219	0.0807327	0.377617	0.935701	2.60595	5	3.17966
46000	-127.7506	-183.1573	55.40666	10	1.272434	0.0246311	0.0319954	0.0468089	0.114199	0.180456	0.0561752	0.100194	0.124128	0.142088	0.041066	0.0456447	0.0411022	0.0201157	0.0462273	0.0371181	0.106604	0.0148384	0.0836108	0.108861	0.144792	0.363233	0.0613073	0.444361	0.00283443	0.37464	0.187935	0.545705	1.0337	2.23266	5	2.75703
47000	-115.6286	-184.3559	68.72726	10	0.6219871	0.0961809	0.0556464	0.0423854	0.024728	0.00235716	0.0195733	0.00745159	0.043778	0.191343	0.11857	0.00687461	0.0250951	0.0273653	0.00347505	0.199766	0.0397512	0.0524857	0.254693	0.0577165	0.0186731	0.0659988	0.151241	0.0690151	0.231771	0.04287	0.0576722	0.324275	0.892134	2.72592	5	1.848806
48000	-141.0568	-190.4656	49.40882	10	0.6952726	0.0255715	0.203885	0.0568075	0.177239	0.0491914	0.116406	0.012725	0.00132612	0.159032	0.497589	0.0848127	0.0442628	0.0813517	0.0919526	0.0315668	0.0222789	0.387615	0.0499653	0.0338571	0.170488	0.146096	0.0164893	0.274254	0.136211	0.508699	0.0731788	0.361291	0.923104	2.64243	5	3.379674
49000	-124.2634	-187.0049	62.74154	10	1.899095	0.219645	0.0798964	0.0898768	0.0972292	0.379224	0.0100218	0.0316052	0.0194136	0.159087	0.340305	0.065708	0.0646688	0.0412637	0.277301	0.0318877	0.51904	0.0309672	0.115697	0.00354769	0.0999309	0.0625793	0.173859	0.021991	0.118331	0.0559376	0.280925	0.643836	1.06725	2.00799	5	3.109012
50000	-139.0927	-192.2301	53.13743	10	4.683327	0.253909	0.258453	0.000189787	0.0452235	0.0220266	0.0226535	0.0323008	0.130447	0.170721	0.0510978	0.112671	0.0917017	0.0646766	0.0051245	0.00811847	0.22758	0.048901	0.466003	0.0201956	0.0419477	0.0352107	0.152202	0.0660675	0.0163419	0.139975	0.488369	0.795954	1.08381	1.63187	5	2.483739
51000	-115.2009	-183.5224	68.32144	10	0.8268839	0.0135651	0.0399922	0.01443	0.0836367	0.0907605	0.0144745	0.0229659	0.0365116	0.104509	0.093474	0.0435299	0.0352641	0.0161356	0.0133224	0.476751	0.027369	0.028914	0.0542857	0.00250727	0.146399	0.0172766	0.307875	0.174459	0.0960552	0.0542667	0.101265	0.417737	0.964134	2.51686	5	2.008729
52000	-133.6533	-189.8444	56.19111	10	1.599082	0.0900573	0.0462708	0.0528419	0.079682	0.187088	0.0165489	0.0626541	0.165794	0.241725	0.0132377	0.104198	0.0666435	0.0232537	0.233164	0.440501	0.0683014	0.0155538	0.376574	0.0134525	0.0637664	0.103744	0.260602	0.105003	0.0113986	0.0349395	0.240231	0.604259	1.05575	2.09976	5	2.876997
53000	-123.8235	-186.7278	62.90437	10	1.981942	0.0297896	0.162617	0.00681955	0.0659541	0.0717244	0.0618032	0.0766923	0.0174414	0.168261	0.122909	0.0154246	0.067373	0.0178857	0.0167329	0.179529	0.106552	0.0822892	0.0646974	0.13319	0.155134	0.00874073	0.631685	0.056102	0.00147658	0.0619555	0.291109	0.65308	1.06953	1.98628	5	2.382779
