Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-371.7538	-406.2828	34.52896	2	0.01460671	0.357129	0.0453245	0.261359	0.157732	0.0144818	0.0278688	0.0345415	0.136058	0.14419	0.0566486	0.0216426	0.176306	0.010359	0.00923655	0.0354829	0.0179316	0.0857853	0.121573	0.0755906	0.0061135	0.428087	0.0202506	0.0150731	0.205945	0.158538	0.0203135	0.0174976	0.0589118	0.1875	0.0147321	0.0526636	0.0194518	0.00552042	0.25445	0.0257061	0.0268558	0.248769	0.155287	0.0922286	0.316148	0.107937	0.0271496	0.0523657	0.0961664	0.0105664	0.0339477	0.0126066	0.0974266	0.179516	0.0454656	0.108537	0.0340088	0.426898	0.0614646	0.249989	0.01874	0.0284121	0.00452925	0.110632	0.0653614	0.0510945	0.0183982	0.0607472	0.0678006	0.0785082	0.102303	0.00624905	0.0835234	0.00204735	0.128754	0.0969266	0.0292757	0.045608	3.38958e-42	2.75552e-21	4.69681e-09	4	4	6.66224
11000	-392.2486	-398.8954	6.646766	1	0.3074857	0.446092	0.225716	0.0182549	0.107469	0.143945	0.0325872	0.0964012	0.20947	0.139254	0.0521907	0.0461777	0.0926841	0.0484474	0.0998572	0.0207389	0.0264694	0.00569921	0.379778	0.0931181	0.143099	0.203495	0.0820435	0.00979378	0.171632	0.0751011	0.179988	0.115704	0.217631	0.147433	0.224537	0.169505	0.0557608	0.170386	0.198515	0.0426713	0.0268089	0.27421	0.242446	0.220795	0.00731416	0.0936951	0.00402428	0.0789931	0.240382	0.0371763	0.0761816	0.336742	0.190242	0.00229024	0.14552	0.0653158	0.052506	0.064992	0.143995	0.359334	0.036056	0.115769	0.121375	0.0849946	0.0515504	0.0310144	0.00473266	0.013427	0.00517213	0.209834	0.226887	0.0876295	0.0103061	0.197988	0.148057	0.0288358	0.0230885	0.0813759	0.00592217	0.11033	0.608163	3.27559	3	8.6327
12000	-383.0696	-403.4557	20.38615	2	0.2304974	0.109778	0.0792007	0.275468	0.150151	0.0251228	0.142536	0.188596	0.187956	0.0464015	0.00809731	0.0449656	0.0380812	0.100926	0.0164498	0.173215	0.141075	0.00464588	0.0567665	0.0291736	0.0344861	0.183896	0.0188688	0.0254651	0.078392	0.143814	0.100209	0.0412337	0.249853	0.212563	0.0262414	0.43028	0.00295723	0.128683	0.165153	0.511603	0.0420042	0.268419	0.0168424	0.149	0.050816	0.0033083	0.0819004	0.0320597	0.0769525	0.182897	0.0693448	0.169847	0.0753558	0.13575	0.145662	0.170073	0.229325	0.309945	0.140889	0.266224	0.0283507	0.102111	0.00626385	0.00986394	0.108479	0.00967481	0.0284127	0.0349751	0.0022551	0.362899	0.21268	0.0336016	0.05765	0.00403668	0.0422547	0.0214654	0.0820998	0.198753	0.00132393	0.0530132	0.458515	3.48715	4	8.134744
13000	-384.6739	-412.5715	27.89763	2	0.06180084	0.0309488	0.115173	0.015757	0.0240822	0.0556938	0.0339253	0.182566	0.0978612	0.00959796	0.157548	0.00538584	0.100806	0.0109065	0.0353546	0.118344	0.0612804	0.0108737	0.0978305	0.00170252	0.0723536	0.216685	0.0163092	0.102632	0.105958	0.054147	0.0375186	0.0149755	0.0315823	0.308317	0.0374943	0.19608	0.353516	0.0858473	0.126413	0.120143	0.18212	0.0737003	0.19152	0.237049	0.0079166	0.0953887	0.459556	0.0135746	0.162717	0.0538828	0.0486715	0.0617525	0.18038	0.153407	0.0269398	0.0143918	0.451444	0.263195	0.0331832	0.137016	0.156935	0.0456844	0.060625	0.00547897	0.0530914	0.159169	0.108899	0.0405117	0.105254	0.141225	0.0198888	0.0346208	0.0743507	0.10324	0.0316299	0.0149602	0.304688	0.0164653	1.00641e-10	1.49545e-05	0.0158846	3.9841	4	7.370131
14000	-381.6535	-416.804	35.15046	2	0.01500639	0.175819	0.068024	0.404014	0.132704	0.126869	0.0191529	0.0635972	0.124963	0.156021	0.0192609	0.0365098	0.058224	0.115808	0.0212008	0.0553513	0.0474374	0.0243396	0.00802613	0.0630571	0.0463845	0.187082	0.0123916	0.107974	0.191134	0.0361877	0.0848527	0.15776	0.0091749	0.0769389	0.159118	0.0317487	0.132488	0.336034	0.182183	0.0361399	0.0682611	0.0561267	0.0930574	0.0634196	0.0248651	0.0255423	0.170716	0.0235193	0.00302687	0.0114869	0.0513861	0.0800839	0.04669	0.136806	0.124906	0.158768	0.021886	0.143201	0.0242742	0.00514626	0.117402	0.00487918	0.0762568	0.342119	0.0576643	0.100856	0.0520005	0.125717	0.145799	0.00680766	0.00962362	0.0475578	0.159596	0.0828599	0.0761594	0.0160362	0.0634299	0.0723326	4.24541e-41	9.75158e-21	7.93575e-09	4	4	6.398238
15000	-377.4034	-407.4717	30.06831	2	0.04295143	0.154325	0.162778	0.410188	0.0422727	0.110529	0.144025	0.00687359	0.254813	0.113941	0.0935173	0.0576795	0.010292	0.0417164	0.0484104	0.0190947	0.00628061	0.129299	0.114116	0.014348	0.0587364	0.237253	0.0255211	0.200849	0.320462	0.263818	0.0381026	0.106728	0.133625	0.12191	0.0841241	0.0230929	0.00286679	0.0156177	0.0138476	0.00790024	0.0797423	0.021443	0.0232981	0.0594694	0.0339305	0.00423639	0.144646	0.0147016	0.0242314	0.0249657	0.165121	0.0637254	0.0060922	0.00543094	0.0364661	0.0353852	0.00268095	0.0732149	0.047338	0.054222	0.0684817	0.103879	0.294005	0.27226	0.0477564	0.228911	0.173927	0.0365468	0.0602491	0.0338343	0.0709697	0.104237	0.294757	0.0629689	0.353625	0.112036	0.202264	0.153036	5.35621e-15	1.0927e-07	0.00206299	3.99794	4	7.183038
16000	-369.9593	-402.7155	32.75624	2	0.03623841	0.176781	0.153834	0.234794	0.516112	0.227291	0.00962893	0.0163331	0.0326463	0.141657	0.389975	0.00075151	0.0159932	0.143018	0.0136552	0.0272758	0.000432109	0.00864281	0.0401758	0.323692	0.00641513	0.0673589	0.0977403	0.10022	0.092455	0.0610824	0.0581149	0.00819674	0.0177373	0.0889924	0.0999496	0.0912331	0.0885642	0.118496	0.0208215	0.0603485	0.0906679	0.0147697	0.214925	0.0395347	0.0483734	0.302285	0.0316375	0.0390974	0.161276	0.0672416	0.0411247	0.169788	0.113141	0.00556001	0.160866	0.158793	0.112458	0.0637191	0.0181412	0.0623221	0.154973	0.0177811	0.0632498	0.10951	0.0274938	0.0347834	0.0517166	0.511744	0.0421185	0.00477207	0.0132079	0.0456841	0.0410158	0.0198935	0.0120373	0.0649192	0.0508218	0.152906	1.35743e-17	5.504e-09	0.000597108	3.9994	4	6.884765
17000	-373.645	-406.2452	32.60012	2	0.01266899	0.10733	0.0384666	0.0632823	0.0244854	0.050754	0.285448	0.352335	0.177778	0.443055	0.00299708	0.0165111	0.142508	0.0836893	0.0302962	0.00151701	0.0269641	0.0163808	0.0387959	0.010253	0.0686073	0.0986264	0.147807	0.00737378	0.0979935	0.0474909	0.0833586	0.0410179	0.053609	0.109883	0.0354214	0.139263	0.0161732	0.304302	0.0118732	0.178419	0.163065	0.256619	0.0581589	0.0106186	0.157482	0.0230388	0.0423036	0.100374	0.0912175	0.0228187	0.0560262	0.0843284	0.00315408	0.0880809	0.068664	0.0397392	0.0634484	0.0869416	0.0187158	0.044586	0.0161424	0.0108315	0.23701	0.180798	0.0494592	0.35342	0.0976363	0.0945774	0.0397641	0.0343119	0.00789953	0.0798411	0.0248786	0.258434	0.00316263	0.109181	0.104985	0.00695995	1.6827e-48	1.94182e-24	2.31043e-10	4	4	6.542739
18000	-367.0324	-400.0199	32.98755	2	0.01734835	0.139951	0.0918477	0.00638798	0.100791	0.016611	0.0983593	0.00969137	0.0825187	0.055459	0.260974	0.00268102	0.0283597	0.0161385	0.0134635	0.0157825	0.00907037	0.0562807	0.106663	0.0660508	0.0226949	0.0808444	0.0134438	0.097648	0.11479	0.0990363	0.000890127	0.0831016	0.0172072	0.133893	0.0729643	0.13335	0.149109	0.147884	0.0580848	0.0601498	0.0863545	0.0268272	0.185032	0.0276589	0.0604308	0.108461	0.155225	0.12007	0.18523	0.1896	0.384606	0.0295287	0.0273932	0.165044	0.0257125	0.0205646	0.209457	0.0846629	0.0809015	0.107701	0.0899074	0.00475346	0.221136	0.0312963	0.0032282	0.199465	0.00769875	0.436001	2.53779e-05	0.081481	0.0407327	0.0691715	0.0661095	0.339618	0.0473904	0.0908356	0.0233316	0.00842778	1.10619e-35	4.97671e-18	1.05524e-07	4	4	6.503241
19000	-387.6304	-412.8757	25.24533	1	0.04706824	0.431124	0.0416121	0.0787165	0.0596374	0.349808	0.301351	0.0357786	0.0185043	0.15762	0.0134452	0.0410949	0.281325	0.0636962	0.0015065	0.0320964	0.0598234	0.0149704	0.108228	0.230555	0.166491	0.00261796	0.0624171	0.012175	0.153684	0.00710537	0.091551	0.00145732	0.114395	0.0115729	0.0551354	0.26818	0.0191389	0.0282879	0.104409	0.131138	0.137558	0.0141064	0.215033	0.0166364	0.108304	0.033747	0.0726989	0.000455424	0.0209302	0.115106	0.0409508	0.276508	0.0293888	0.157636	0.0245141	0.218906	0.144866	0.0319934	0.0297346	0.0715757	0.0929785	0.107657	0.0239532	0.016241	0.18324	0.0249027	0.170036	0.0740808	0.141208	0.0589052	0.0223945	0.00624759	0.0578873	0.015994	0.268593	0.101713	0.0713527	0.0502025	9.0067e-14	4.47924e-07	0.00370432	3.9963	3	6.798885
