Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
198000	-21.31403	-47.80573	26.4917	1000	1.338682	0.176291	0.0345104	0.0710086	0.0615423	0.0628763	0.144791	0.0137106	0.273551	0.0436483	0.166368	0.0465413	0.199293	0.5593	1.03935	2.20205	6	1.094838
199000	-15.75333	-45.36205	29.60872	1000	0.983174	0.047417	0.0234543	0.0634381	0.0412033	0.0665343	0.107934	0.0425419	0.208257	0.00689618	0.16952	0.0242262	0.133584	0.471635	0.997155	2.39763	6	0.801422
200000	-26.58783	-47.7448	21.15697	0.2	0.7222736	0.0438268	0.0372763	0.191294	0.101267	0.226218	0.03517	0.0707611	0.00811396	0.204872	0.0518025	0.167906	0.0789508	0.373853	0.932851	2.61435	2	1.138509
201000	-24.12267	-47.04468	22.922	0.2	1.122271	0.0052798	0.175979	0.232658	0.0349986	0.00571625	0.00366464	0.0873886	0.0581039	0.101562	0.129918	0.162807	0.160684	0.510652	1.01763	2.31103	2	0.9980746
202000	-31.00746	-47.06766	16.0602	0.2	0.2146625	0.084802	0.0379993	0.131641	0.258484	0.111989	0.000319858	0.132512	0.331295	0.344222	0.0606487	0.0228911	0.000851218	0.0426393	0.420832	3.53568	2	1.516805
203000	-30.95711	-46.22783	15.27072	2	0.1805625	0.106611	0.0576815	0.0849037	0.0116544	0.0519888	0.0374406	0.0402311	0.123422	0.0615805	0.00570715	0.0266012	0.000252558	0.023368	0.331064	3.64532	4	0.6078225
204000	-16.29337	-47.36654	31.07317	1000	0.1730171	0.0801297	0.0952075	0.0110179	0.0521174	0.0022651	0.0716763	0.109191	0.103476	0.0640127	0.00856014	0.197451	0.00018089	0.0198007	0.309694	3.67032	6	0.7951043
205000	-35.70019	-45.18693	9.486739	1	1.061517	0.0476036	0.0803416	0.201146	0.169695	0.0294622	0.0340141	0.0363069	0.0303364	0.030613	0.154781	0.336952	0.149062	0.494492	1.00949	2.34696	3	1.151251
206000	-19.30695	-45.61663	26.30969	1000	0.4009204	0.0314162	0.053139	0.0455897	0.119275	0.0424101	0.250381	0.212661	0.0669457	0.00240181	0.396363	0.0220702	0.0168474	0.182443	0.732275	3.06843	6	1.242653
207000	-17.17995	-44.84777	27.66782	1000	0.1678381	0.0183516	0.0707193	0.0159105	0.123459	0.042783	0.173445	0.0524173	0.0395245	0.0570129	0.177993	0.219205	0.000141372	0.017519	0.294747	3.68759	6	0.9908214
208000	-31.08676	-46.19669	15.10993	2	0.8574072	0.0566072	0.0807374	0.00675433	0.0548167	0.0260736	0.0152307	0.0106591	0.0419231	0.0993862	0.0654537	0.199728	0.107703	0.429259	0.971675	2.49136	4	0.6573702
209000	-33.62136	-48.4261	14.80474	10	1.652927	0.0171271	0.0366704	0.299766	0.0481738	0.0688301	0.108209	0.00760709	0.0643934	0.252798	0.0989592	0.04632	0.248009	0.612179	1.05827	2.08154	5	1.048854
210000	-31.65099	-43.20248	11.55149	10	0.5140439	0.0168674	0.0750523	0.0944733	0.00674989	0.0555822	0.15825	0.123406	0.193281	0.707583	0.0820161	0.0628068	0.0360193	0.260985	0.830224	2.87277	5	1.576068
211000	-38.63925	-47.76844	9.129188	10	0.00995741	0.199229	0.200704	0.33071	0.62068	0.0225504	0.0128594	0.0814023	0.0122473	0.129045	0.0532625	0.0382218	1.9277e-61	6.57397e-31	4.7683e-13	4	5	1.700911
212000	-14.0536	-42.85729	28.8037	1000	0.6480615	0.0227733	0.0351621	0.0222237	0.00945518	0.0052115	0.0779032	0.0648224	0.0215867	0.0324342	0.498961	0.138953	0.0631483	0.337958	0.903989	2.69491	6	0.9294865
213000	-30.14309	-47.70842	17.56534	1000	1.588102	0.107629	0.0533248	0.396904	0.178996	0.0901974	0.106016	0.0419426	0.0083962	0.222294	0.197354	0.0520122	0.238617	0.602593	1.0552	2.10359	6	1.455066
214000	-14.32288	-46.96194	32.63906	1000	0.1201676	0.00882498	0.0404433	0.047542	0.0077519	0.0464096	0.0121196	0.00385367	0.0702218	0.0633862	0.180152	0.0591247	5.37608e-06	0.00343791	0.151415	3.84514	6	0.5398296
215000	-25.176	-46.74813	21.57213	1000	0.4414124	0.0171797	0.0532745	0.0907622	0.0079789	0.133954	0.132969	0.168353	0.0573347	0.174642	0.165203	0.406327	0.0231138	0.21196	0.772469	2.99246	6	1.407979
216000	-20.95835	-42.41829	21.45995	1000	0.4887674	0.123563	0.0229145	0.105222	0.121854	0.0643092	0.0827863	0.0933051	0.726531	0.177465	0.0204351	0.189703	0.0313252	0.24452	0.81192	2.91224	6	1.728087
217000	-20.56785	-44.78565	24.2178	1000	0.9193427	0.0197352	0.17955	0.179554	0.170632	0.172081	0.0489166	0.0177896	0.0111344	0.28109	0.085443	0.0394347	0.120593	0.45109	0.985235	2.44308	6	1.20536
218000	-30.54991	-48.86295	18.31304	10	0.01121895	0.0138778	0.0443335	0.116918	0.0366667	0.10358	0.0589039	0.0491535	0.142594	0.0345499	0.0697945	0.175968	1.21317e-54	1.649e-27	1.22795e-11	4	5	0.8463395
219000	-14.19173	-44.72042	30.52869	1000	0.2251149	0.0677033	0.0218404	0.0886525	0.00471373	0.012651	0.00853646	0.0400413	0.121855	0.0508001	0.0405202	0.241592	0.00114735	0.0494038	0.445991	3.50346	6	0.6989062
220000	-30.19801	-44.53433	14.33632	1	0.7587249	0.0774905	0.040431	0.0426326	0.0572798	0.00589022	0.0120285	0.0726847	0.305345	0.0417803	0.0101181	0.0308919	0.0867509	0.38997	0.944828	2.57845	3	0.6965727
221000	-33.77341	-44.13001	10.3566	1	0.1861392	0.062241	0.023305	0.0110364	0.0572564	0.134144	0.0504931	0.0631908	0.517176	0.0231407	0.113159	0.096661	0.000317628	0.0261813	0.346526	3.62697	3	1.151803
222000	-33.19487	-43.92347	10.7286	1	0.6017583	0.0985033	0.03226	0.0434233	0.129961	0.0089712	0.0372723	0.0927825	0.0867144	0.0360588	0.437334	0.0697609	0.0534709	0.313248	0.882213	2.75107	3	1.073041
