Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-1294.033	-1333.587	39.55407	10	2.228443	0.00785271	0.032068	0.0999857	0.0361263	0.0705563	0.021804	0.0177529	0.035158	0.249427	0.00810877	0.000105079	0.127725	0.013466	0.0362293	0.057194	0.0947769	0.0682633	0.0545302	0.00916458	0.0101824	0.0022448	0.0274929	0.123926	0.0500669	0.0969302	0.0446035	0.0536889	0.0153378	0.0254921	0.00738608	0.124038	0.123294	0.155859	0.123006	0.20004	0.127716	0.0989326	0.0104976	0.116287	0.0459519	0.133997	0.0946972	0.0920564	0.0512064	0.0296125	0.0138544	0.0358183	0.330301	0.194543	0.078042	0.0810851	0.0817905	0.029304	0.540287	0.164526	0.0324452	0.0224888	0.117921	0.0313968	0.0955248	0.00103579	0.3191	0.677297	1.07478	1.92882	5	4.8752
11000	-1297.22	-1337.065	39.84536	10	2.015535	0.0171603	0.00938469	0.0861876	0.0196935	0.0585161	0.0347068	0.0407862	0.120022	0.29084	0.0772504	0.0406505	0.123464	0.0354425	0.000422056	0.024851	0.0442285	0.0207826	0.0177582	0.0385801	0.0257365	0.0120445	0.0415677	0.0649109	0.0881383	0.107971	0.229135	0.0397765	0.0412157	0.0377088	0.0126474	0.0394277	0.00802337	0.202087	0.0786808	0.112718	0.0639682	0.0110365	0.0275703	0.144787	0.0658794	0.103971	0.121248	0.0981924	0.0547568	0.0267424	0.0545031	0.00237119	0.470782	0.0213925	0.233695	0.0251738	0.0390527	0.0395534	0.528562	0.188264	0.0916011	0.0820637	0.124695	0.00339114	0.00242927	0.0625724	0.295122	0.656656	1.07037	1.97785	5	4.930772
12000	-1306.083	-1340.828	34.7453	10	3.785172	0.000115747	0.0250961	0.153762	0.00533367	0.0731751	0.0704493	0.00937614	0.0845695	0.213971	0.0168292	0.0668794	0.0474323	0.0224069	0.0331416	0.0157823	0.0743198	0.0348195	0.0365594	0.0192921	0.0273216	0.0179371	0.13211	0.0430928	0.231515	0.129086	0.312198	0.0598857	0.160671	0.00557718	0.0720177	0.144702	0.109331	0.0825115	0.153923	0.174398	0.218618	0.0162489	0.164786	0.155866	0.0993884	0.114288	0.0448543	0.0276226	0.0938082	0.00339855	0.107025	0.0285749	0.453196	0.150995	0.00747855	0.0414835	0.0240206	0.0824339	0.465709	0.264213	0.0553502	0.00333507	0.216083	0.0376514	0.0965344	0.0455016	0.442157	0.767436	1.08437	1.70604	5	5.878052
13000	-1291.695	-1336.525	44.83014	10	3.437177	0.00781321	0.0060531	0.0618084	0.0167961	0.0772502	0.0252369	0.106487	0.0385017	0.246203	0.0216558	0.0106677	0.17676	0.0183913	0.0163574	0.0337187	0.0778632	0.0557791	0.0194768	0.0262771	0.0507702	0.183187	0.14683	0.0427879	0.0634271	0.0406464	0.0407908	0.00869735	0.0790218	0.0224173	0.105818	0.205308	0.000296247	0.046159	0.229929	0.0828996	0.127556	0.0555413	0.0989054	0.0874335	0.0085563	0.125392	0.0507713	0.0735034	0.163938	0.178919	0.0566681	0.0209894	0.356641	0.136656	0.081227	0.0185366	0.0385817	0.028994	0.402439	0.132575	0.0738728	0.123313	0.00899117	0.1136	0.00373872	0.0130832	0.420489	0.753181	1.08396	1.74237	5	4.972504
14000	-1301.296	-1345.727	44.43088	10	1.945224	0.0094502	0.0202674	0.0736822	0.000908182	0.0437806	0.0696803	0.035891	0.0284158	0.231991	0.0148364	0.0167324	0.179871	0.0762302	0.0759902	0.0107748	0.0398163	0.0243636	0.0714626	0.0432066	0.0122678	0.0150469	0.0260885	0.0208322	0.058018	0.0615477	0.344358	0.079478	0.0106859	0.0367699	0.0211927	0.0780291	0.0796379	0.196507	0.165241	0.204477	0.0515027	0.00935099	0.255277	0.133596	0.0268473	0.171392	0.0300815	0.0734304	0.110869	0.0275987	0.0926532	0.0147103	0.351155	0.101728	0.0648802	0.00388233	0.00608228	0.0483237	0.398814	0.205804	0.141364	0.0337664	0.0446283	0.0215713	0.140796	0.118314	0.286647	0.64906	1.06856	1.99574	5	5.155948
15000	-1302.117	-1338.637	36.52013	10	1.271338	0.00330346	0.0139442	0.00980451	0.00456312	0.0517766	0.149811	0.0155729	0.0560249	0.246251	0.00831116	0.061835	0.0703267	0.0510015	0.0860649	0.0560156	0.0562913	0.0309059	0.0762785	0.00484401	0.0399285	0.0919712	0.104855	0.0556382	0.058889	0.136127	0.112152	0.0692992	0.0150884	0.0924399	0.0162011	0.147997	0.127759	0.19797	0.138028	0.115283	0.059581	0.160355	0.027784	0.14825	0.151404	0.295877	0.0400448	0.103304	0.277102	0.177672	0.152405	0.00695581	0.576948	0.178694	0.01787	0.0299115	0.00442454	0.0149075	0.592396	0.228278	0.0426008	0.102462	0.0367862	0.0862168	0.062901	0.0351409	0.187743	0.545471	1.0336	2.23318	5	6.182822
16000	-1284.454	-1332.124	47.67037	10	2.111968	0.000826585	0.013644	0.106963	0.00444096	0.0232477	0.0186273	0.0492376	0.0453068	0.23239	0.0317698	0.00641062	0.0323439	0.00365858	0.0360789	0.0155516	0.0682964	0.0401206	0.0172862	0.0355845	0.0434543	0.142367	0.0531653	0.0245546	0.200894	0.113559	0.0168711	0.0239909	0.0687464	0.037723	0.0121931	0.0366915	0.0394915	0.0920604	0.232264	0.240722	0.0601782	0.0453144	0.106188	0.13684	0.0175508	0.221424	0.114921	0.14374	0.0473528	0.0768443	0.05356	0.0167992	0.338621	0.128324	0.121036	0.0561542	0.00296384	0.168091	0.299035	0.115997	0.0550846	0.0671773	0.240054	0.000596692	0.0187584	0.00460812	0.306284	0.666415	1.07255	1.95475	5	4.817749
17000	-1302.099	-1342.362	40.26243	10	2.892161	6.97822e-05	0.0497348	0.0936291	0.0432396	0.0151575	0.0984479	0.0244495	0.0285143	0.185793	0.0464484	0.0370044	0.0834745	0.0399502	0.0457072	0.0345298	0.160834	0.0433851	0.00240161	0.0249823	0.0126614	0.156146	0.0261368	0.0848805	0.0218076	0.0623417	0.021827	0.0435982	0.212947	0.0500503	0.0422338	0.095097	0.0357019	0.348366	0.0607377	0.0839838	0.0933045	0.00900934	0.114359	0.0988321	0.0340371	0.195127	0.0237222	0.0931899	0.161981	0.0384702	0.0079325	0.115968	0.303305	0.159187	0.0213146	0.0648221	0.00316644	0.210354	0.473031	0.225006	0.0898008	0.086059	0.200616	0.0112693	0.00475528	0.00452742	0.380743	0.725377	1.08193	1.81195	5	5.259414
18000	-1295.75	-1335.155	39.40518	10	1.39024	0.0114074	0.00348876	0.0644129	0.0295104	0.0399643	0.0130449	0.0792277	0.0499366	0.215948	0.081821	0.00251435	0.114843	0.0104672	0.0249071	0.0498279	0.0460586	0.0215828	0.0783448	0.00833761	0.0582833	0.110086	0.0412723	0.0251221	0.163895	0.144182	0.0637851	0.00226522	0.00378192	0.0500251	0.0891708	0.086204	0.0759929	0.226325	0.218185	0.233882	0.111136	0.0428213	0.0631298	0.0780963	0.00093298	0.0566605	0.0218489	0.0743128	0.0891504	0.0203509	0.0258408	0.0369154	0.560923	0.161338	0.0146761	0.0508165	0.0549165	0.0840359	0.267565	0.144797	0.0421323	0.000252259	0.227287	0.00769283	0.0455666	0.066821	0.207858	0.569205	1.04327	2.17967	5	4.888119
19000	-1292.108	-1334.555	42.44775	10	3.623907	0.00467363	0.0198018	0.0763828	0.00474603	0.0591076	0.0584107	0.0413327	0.0347245	0.20026	0.0177881	0.014771	0.0669591	0.10552	0.0310792	0.00242523	0.0473343	0.00237048	0.0514943	0.00755832	0.063252	0.189004	0.116653	0.017039	0.11381	0.123209	0.0411291	0.0158662	0.0198559	0.0116877	0.051114	0.0629721	0.056169	0.0655026	0.207814	0.164771	0.228573	0.0541948	0.161851	0.116884	0.016616	0.17911	0.0302001	0.0735212	0.0618381	0.168815	0.00155857	0.013652	0.353486	0.25802	0.0250165	0.0499706	0.0568184	0.118653	0.450215	0.18902	0.044523	0.00329583	0.232393	0.102797	0.12091	0.0477004	0.432427	0.761109	1.08424	1.72222	5	5.326219
