Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-447.6981	-499.9499	52.25181	2	3.198817	0.262796	0.0169568	0.0103385	0.0396083	0.00209977	0.319904	0.0452485	0.0348546	0.00211333	0.000506884	0.00215958	0.0259534	0.0203769	0.00565318	0.0019768	0.0298236	0.0122166	0.12069	0.025032	0.147817	0.294099	0.0623738	0.187482	0.0545866	0.414707	0.117235	0.049751	0.0107866	0.0417765	0.0288967	0.00437031	0.442096	0.163985	0.237424	0.0170782	0.00614597	0.107052	0.404081	0.741974	1.08334	1.77061	4	3.365972
11000	-439.2802	-496.5499	57.26979	2	1.711177	0.079307	0.0937327	0.0295931	0.0055967	0.00434019	0.138861	0.0240567	0.00281334	0.0138336	0.043388	0.00999466	0.00193346	0.0158082	0.0351179	0.00270431	0.00696665	0.017277	0.13904	0.0329292	0.16605	0.0796913	0.10809	0.36286	0.09535	0.0394109	0.0120759	0.00666918	0.0942593	0.00350794	0.0424404	0.0297285	0.37378	0.0805641	0.0872667	0.11803	0.0926968	0.288277	0.25618	0.620308	1.06074	2.06277	4	2.778042
12000	-433.9492	-496.2968	62.34756	2	2.048785	0.128039	0.0351683	0.00774445	0.0154765	0.0110859	0.222226	0.00669913	0.0130183	0.0183415	0.0373789	0.0109321	0.000549708	0.01548	0.0532561	0.0181141	0.00749098	0.0245429	0.0349496	0.000822258	0.236915	0.082541	0.0400576	0.163977	0.317389	0.0492185	0.039535	0.00877476	0.0105355	0.00861508	0.0219084	0.0291369	0.182701	0.390508	0.188134	0.0842053	0.044473	0.116804	0.29903	0.660103	1.07116	1.9697	4	2.676745
13000	-452.9863	-505.9916	53.00528	2	2.473813	0.125269	0.142888	0.00902576	0.0117025	0.0278245	0.28196	0.0112801	0.0277628	0.0225575	0.0763317	0.00411685	0.00446722	0.0123077	0.0079583	0.0203678	0.00764416	0.0227437	0.060793	0.0524054	0.139567	0.0559052	0.029371	0.190516	0.371189	0.103165	0.0472566	0.0486268	0.0198377	0.0363254	0.00756841	0.00998712	0.226137	0.322247	0.130581	0.00786404	0.0803851	0.316127	0.34396	0.697489	1.07832	1.88023	4	3.072062
14000	-444.1728	-500.2505	56.07776	2	1.216127	0.268986	0.00505529	0.00959149	0.00389403	0.0178912	0.106206	0.00234242	0.0214329	0.0359625	0.211939	0.0110054	0.0146166	0.0255987	0.0179565	0.00328809	0.0438076	0.0467066	0.0417795	0.0221384	0.12784	0.15917	0.0425057	0.13089	0.223417	0.167664	0.00893621	0.0256164	0.0521829	0.0850324	0.0903496	0.0445255	0.47965	0.357524	0.185655	0.066612	0.0207697	0.0902874	0.177963	0.533301	1.02827	2.26047	4	3.268827
15000	-464.614	-519.47	54.85605	2	3.091812	0.165393	0.10757	0.00206966	0.000194545	0.0947483	0.027768	0.0108463	0.0402115	0.018098	0.0831085	0.00449831	0.0300637	0.043654	0.0919833	0.00374935	0.0196149	0.15106	0.0906432	0.0570352	0.107331	0.0840669	0.068292	0.15855	0.2238	0.0901594	0.0315442	0.0429771	0.0118771	0.152705	0.0409764	0.126988	0.496934	0.0370585	0.171124	0.0473378	0.0369289	0.207863	0.396242	0.736488	1.08293	1.78434	4	3.178823
16000	-442.8637	-502.6884	59.82469	2	3.793216	0.0138656	0.0216511	0.0260156	0.0234627	0.0160999	0.0802703	0.0069358	0.00449275	0.0210094	0.00884667	0.0250485	0.0154081	0.00344803	0.0362867	0.00935438	0.0203396	0.0691071	0.0169465	0.0399239	0.0937629	0.0768739	0.255865	0.222219	0.451668	0.0437363	0.00745148	0.068371	0.0144633	0.0373086	0.0214234	0.0624502	0.223618	0.0941208	0.2086	0.010307	0.0906893	0.128632	0.442629	0.76774	1.08437	1.70526	4	2.570073
17000	-438.3906	-505.088	66.69743	2	0.6621946	0.0740759	0.0987619	0.0113217	0.0110592	0.00208287	0.092076	0.00429593	0.00651055	0.0287534	0.0211807	0.00125807	0.00643977	0.00372462	0.0752431	0.0043953	0.0119787	0.02226	0.0400506	0.0376074	0.0548335	0.0762773	0.0946861	0.143301	0.164889	0.223826	0.0109176	0.0892845	0.0187812	0.00463219	0.0116272	0.0135996	0.222672	0.00106949	0.133407	0.0364419	0.0566251	0.0266541	0.0661386	0.345133	0.910011	2.67872	4	1.936601
18000	-446.6383	-502.6468	56.00851	2	1.395643	0.105473	0.0308098	0.0381924	0.00879922	0.00781255	0.0933807	0.0127248	0.0456747	0.00953869	0.039112	0.0220681	0.000554966	0.0338908	0.0464686	0.00557435	0.0327733	0.129717	0.00309479	0.0506926	0.131035	0.246753	0.392381	0.174064	0.44817	0.0179271	0.00465869	0.0766081	0.0497134	0.0877525	0.0281427	0.0546665	0.00669523	0.080974	0.112126	0.0833672	0.0994431	0.0605678	0.208742	0.570211	1.04366	2.17739	4	2.871398
19000	-437.2537	-495.3995	58.14586	2	5.499628	0.0427316	0.174389	0.0154427	0.0251007	0.000977658	0.171991	0.0223448	0.0206806	0.0320271	0.0302099	0.00493382	0.0179442	0.0115684	0.00571836	0.00570785	0.00197119	0.0447143	0.117728	0.0258601	0.162262	0.0857736	0.224865	0.143683	0.455817	0.272196	0.0783927	0.0300247	0.0097814	0.00351548	0.0855794	0.000762493	0.026972	0.0239582	0.0921324	0.0246939	0.0348622	0.231451	0.521592	0.815025	1.08234	1.58104	4	2.758762
20000	-432.4193	-507.4243	75.00502	10	1.422688	0.00461499	0.0864039	0.0667806	0.055163	0.0136786	0.238237	0.00482054	0.02524	0.0326884	0.0216011	0.0110539	0.00433627	0.0150755	0.0195866	0.00297284	0.0137008	0.0262129	0.0540116	0.0535209	0.0477209	0.0888313	0.000978927	0.121112	0.344931	0.21715	0.033852	0.0532904	0.0065185	0.00481179	0.000850447	0.0272124	0.191688	0.0197304	0.222143	0.00716994	0.377741	0.0502933	0.213129	0.575161	1.04554	2.16617	5	2.565725
21000	-423.4498	-514.0628	90.61292	10	3.717419	0.101522	0.0925293	0.00295437	0.0577496	0.0384634	0.0934893	0.00189412	0.0349496	0.031712	0.0631664	0.0737477	0.0253165	0.0104771	0.0555312	0.0190593	0.0176627	0.0255909	0.0373481	0.0326924	0.149424	0.0293692	0.0226231	0.205344	0.00628681	0.18309	0.0664547	0.00811111	0.00662976	0.124629	0.0536319	0.334008	0.157423	0.0732574	0.223651	0.00534926	0.087969	0.159936	0.438131	0.764833	1.08433	1.71271	5	2.713043
22000	-409.585	-496.5368	86.95178	10	1.995996	0.123305	0.0175369	0.00070925	0.010151	0.00253463	0.224108	0.00204251	0.00563178	0.0182671	0.00447282	0.00381669	0.0165669	0.0262507	0.0210579	0.00266661	0.037265	0.00643955	0.00710585	0.0646637	0.069582	0.0812704	0.0116199	0.265813	0.0345859	0.536437	0.0291581	0.027785	0.000516575	0.0926079	0.0879198	0.0223885	0.113843	0.274627	0.188309	0.0182548	0.0558352	0.124639	0.292796	0.654587	1.06989	1.98273	5	2.629782
23000	-423.2459	-505.8348	82.58884	10	1.862741	0.0407958	0.10388	0.00832258	0.00161746	0.0955111	0.113478	0.0443391	0.002594	0.0208171	0.0231648	0.0160743	0.0079291	0.0104362	0.0532827	0.0045079	0.0327974	0.0213007	0.0134648	0.0473122	0.137142	0.170996	0.0742363	0.367816	0.0663169	0.0894328	0.0170731	0.521728	0.0226561	0.128603	0.0437347	0.0987156	0.163274	0.370925	0.262042	0.00665151	0.138607	0.308926	0.276321	0.639576	1.06614	2.01796	5	3.6505
24000	-431.3139	-518.019	86.70509	10	1.174193	0.127918	0.140963	0.0388726	0.0348713	0.0196963	0.0912728	0.0278492	0.00384378	0.0444883	0.0525407	0.0300515	0.00390023	0.0194856	0.0120403	0.00692742	0.00651929	0.0158271	0.0260898	0.0505443	0.0895474	0.0156293	0.0339834	0.159191	0.0438336	0.156666	0.0473199	0.0664268	0.011104	0.0486497	0.225932	0.157757	0.068111	0.158464	0.118207	0.00173614	0.00917864	0.0964796	0.170345	0.523505	1.02378	2.28237	5	2.261919
25000	-429.2463	-509.9074	80.66108	10	2.670212	0.0989491	0.00128504	0.00873095	0.0517531	0.00167622	0.249404	0.00505371	0.0406581	0.00151352	0.0743104	0.0598618	0.0193131	0.0125991	0.0406055	0.000569785	0.00183166	0.0338327	0.0350402	0.0116963	0.0566373	0.154804	0.0156095	0.207138	0.0642939	0.226211	0.0192379	0.0119544	0.042872	0.200739	0.261203	0.0657718	0.00479105	0.0983741	0.216409	0.00845474	0.123726	0.141619	0.362022	0.711463	1.08032	1.84619	5	2.66853
26000	-419.8955	-505.8494	85.95388	10	2.673656	0.0486995	0.0356551	0.00556817	0.018976	0.00428432	0.17845	0.00167257	0.0054966	0.0371852	0.0748776	0.000665686	0.0238241	0.0169135	0.0288377	0.00617804	0.035918	0.087293	0.135665	0.0103131	0.302795	0.0813855	0.00719615	0.0804455	0.404692	0.606927	0.0149591	0.0388346	0.0629244	0.0267445	0.102931	0.136513	0.0239889	0.0167035	0.18545	0.0144449	0.0243267	0.12548	0.362326	0.711693	1.08035	1.84563	5	3.013214
