Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
23000	-38.25299	-58.76719	20.5142	1000	0.6371139	0.187463	0.011929	0.0762783	0.0363752	0.0758259	0.63308	0.0034975	0.041377	0.312375	0.094989	0.0117162	0.148233	0.00120535	0.0608419	0.332284	0.899133	2.70774	6	1.634345
24000	-39.28953	-57.3832	18.09367	10	2.668268	0.0107521	0.0337058	0.0125754	0.0181189	0.196892	0.0355004	0.0237397	0.0251168	0.225973	0.00280675	0.0267317	0.00818313	0.0567853	0.361851	0.711333	1.0803	1.84651	5	0.6768812
25000	-29.52892	-49.87883	20.34991	1000	3.82436	0.0596578	0.194218	0.00860885	0.108541	0.0372504	0.0378317	0.0147934	0.00315213	0.0057606	0.119354	0.665795	0.0153552	0.236092	0.444445	0.768908	1.08439	1.70226	6	1.506411
26000	-36.9678	-58.63662	21.66882	1000	6.802255	0.305373	0.00824586	0.140407	0.0106512	0.0345127	0.1769	0.00844052	0.202224	0.0161845	0.0344889	0.0576328	0.288363	0.00986103	0.563189	0.837395	1.07941	1.52	6	1.293284
27000	-41.3733	-50.93964	9.566344	2	2.287887	0.145456	0.0147651	0.0387783	0.0717118	0.0171801	0.0560847	0.0169574	0.0278251	0.0672345	0.767483	0.0192644	0.127196	0.0142277	0.325378	0.682507	1.07577	1.91635	4	1.384164
28000	-39.61257	-55.20363	15.59106	1	1.393691	0.0650253	0.0997351	0.0144451	0.0509124	0.00138869	0.047979	0.026258	0.0566007	0.0153796	0.0445345	0.0155598	0.189489	0.121089	0.208423	0.569849	1.04352	2.17821	3	0.7483961
29000	-51.52631	-57.35086	5.824549	1	2.222086	0.0317391	0.139395	0.288407	0.00469853	0.0110289	0.0224217	0.00697639	0.0278429	0.338896	0.0887723	0.0969878	0.288028	0.297014	0.318418	0.676727	1.07467	1.93019	3	1.642208
30000	-20.25974	-47.20625	26.94651	1000	2.458667	0.0852077	0.086908	0.0342949	0.0423988	0.0169247	0.00872184	0.0106634	0.00583154	0.0948382	0.492153	0.0689531	0.108783	0.117554	0.342503	0.696337	1.07814	1.88302	6	1.173233
31000	-21.70452	-51.85235	30.14783	1000	2.73678	0.0327216	0.0519211	0.07597	0.0261848	0.00372041	0.0188696	0.0214052	0.00767702	0.0624681	0.0229479	0.0226481	0.33254	0.21451	0.367815	0.715828	1.08087	1.83549	6	0.8935845
32000	-33.91591	-58.94622	25.03031	1000	1.645649	0.0949852	0.166386	0.349066	0.181627	0.10177	0.0318396	0.0228524	0.0363912	0.00656664	0.0890803	0.309293	0.00646057	0.00681169	0.246971	0.611132	1.05794	2.08396	6	1.40313
