Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
15000	-240.5979	-278.3883	37.79046	10	2.317523	0.198521	0.0401353	0.0481946	0.0264083	0.0179942	0.0621797	0.0173638	0.00420346	0.00172872	0.00694478	0.032072	0.141177	0.0346354	0.0151811	0.0230477	0.031529	0.00796174	0.205631	0.0079456	0.0248508	0.229053	0.133448	0.0215062	0.328444	0.685024	1.07623	1.9103	5	1.331712
16000	-263.0929	-290.0481	26.95518	10	1.587968	0.336019	0.198806	0.345374	0.078967	0.00497217	0.0188962	0.101413	0.0225511	0.0143107	0.027827	0.0694742	0.0564677	0.0115946	0.0398241	0.105755	0.203491	0.0400809	0.0212555	0.0521513	0.0947415	0.355799	0.0363014	0.0532201	0.238597	0.602573	1.0552	2.10363	5	2.289292
17000	-259.2686	-286.4096	27.14098	10	4.753563	0.128621	0.138385	0.304038	0.036907	0.0223519	0.0732774	0.0459326	0.0129705	0.00803619	0.00906788	0.04753	0.0962421	0.020317	0.117929	0.053134	0.203838	0.0414872	0.0503781	0.0420709	0.0226682	0.148829	0.00264912	0.013819	0.491509	0.797806	1.0837	1.62698	5	1.64048
18000	-244.0317	-280.6997	36.66797	10	1.989968	0.315594	0.0816723	0.0474259	0.0346211	0.0217409	0.0472589	0.00975835	0.00872433	0.00216067	0.0233726	0.0259989	0.108174	0.00066918	0.0124777	0.0142156	0.0393839	0.0132796	0.0251577	0.00962546	0.0538431	0.146398	0.283111	0.0241266	0.292074	0.653943	1.06974	1.98425	5	1.348791
19000	-258.3222	-279.3902	21.06798	2	3.423572	0.396474	0.0401773	0.00661262	0.024718	0.0305989	0.0170618	0.0392144	0.00405394	0.0444923	0.0201502	0.0524025	0.0674006	0.0654114	0.00725251	0.394838	0.00442638	0.0274794	0.00545432	0.00742137	0.0172459	0.382308	0.0591821	0.036523	0.419589	0.752576	1.08394	1.7439	4	1.750899
20000	-252.2925	-285.7387	33.44615	10	1.384614	0.328369	0.0386206	0.0056739	0.0885065	0.0365896	0.0625055	0.0269382	0.0157061	0.0850943	0.0252861	0.0186538	0.154912	0.0284789	0.00246568	0.323606	0.0170542	0.00775834	0.043069	0.0194156	0.0220321	0.142088	0.056855	0.0450808	0.206935	0.568151	1.04286	2.18205	5	1.594759
21000	-260.9354	-288.5928	27.65738	2	1.698406	0.243538	0.0413807	0.0953829	0.0153851	0.00106892	0.0474928	0.0162406	0.00184473	0.00630247	0.0162475	0.0950996	0.0581851	0.00212669	0.00549077	0.308562	0.0563435	0.0294684	0.0159541	0.0182375	0.0486323	0.195186	0.0564687	0.0222423	0.25441	0.618563	1.06022	2.0668	4	1.396881
22000	-242.6236	-281.5852	38.96161	10	0.6510609	0.198111	0.0226166	0.00534536	0.0226372	0.0171771	0.0460715	0.028852	6.64573e-05	0.000489973	0.0256841	0.0319577	0.0279029	0.00215658	0.00427822	0.229549	0.0612911	0.0218896	0.0358427	0.051731	0.0165033	0.231628	0.0335535	0.0128182	0.0637818	0.339494	0.905289	2.69143	5	1.128152
23000	-240.8265	-279.052	38.2255	10	1.339943	0.276339	0.0171945	0.0370932	0.0126911	0.0386199	0.0224166	0.00712793	0.0178682	0.0101236	0.0384329	0.0158221	0.0737834	0.0159964	0.0197297	0.0176125	0.00182383	0.013567	0.0490238	0.203345	0.073685	0.246282	0.0348226	0.0302623	0.199505	0.559549	1.03945	2.20149	5	1.273662
24000	-250.8203	-285.5524	34.73209	10	0.8599345	0.204339	0.0682406	0.150232	0.0428853	0.0405895	0.0365122	0.00992992	0.00658958	0.0318664	0.00517813	0.0795911	0.0880182	0.0232777	0.0736758	0.0150864	0.0404186	0.129492	0.0308109	0.208617	0.0225723	0.338704	0.00271294	0.0514484	0.108233	0.43019	0.972272	2.4893	5	1.700788
25000	-252.9752	-287.3879	34.41271	10	0.4716866	0.357137	0.0121503	0.132561	0.0824077	0.033851	0.0209568	0.0390629	0.019428	0.00788737	0.00524185	0.0167682	0.166408	0.0743103	0.0152691	0.00335859	0.052331	0.0598034	0.00505364	0.426814	0.132174	0.151495	0.0184294	0.0445516	0.0282678	0.233031	0.798521	2.94018	5	1.87745
26000	-231.4767	-275.1982	43.72154	10	0.8569288	0.147974	0.0118642	0.0589632	0.0333965	0.00484052	0.00909648	0.00421364	0.00098745	0.0263704	0.00475635	0.0166326	0.0415246	0.0104551	0.0340343	0.00576979	0.0234578	0.0243254	0.0288376	0.222689	0.000906	0.148027	0.0512533	0.021037	0.107602	0.429083	0.971561	2.49175	5	0.9314124
27000	-258.3669	-286.2905	27.92361	10	1.249398	0.322387	0.108686	0.0526644	0.220896	0.029057	0.0820507	0.0647974	0.0132941	0.0441779	0.0137308	0.0313625	0.00958607	0.00207082	0.0126533	0.111357	0.00443767	0.105017	0.00791716	0.668118	0.0252969	0.411145	0.108085	0.0318355	0.183891	0.54073	1.03155	2.24382	5	2.480623
28000	-259.7124	-287.7556	28.04324	10	2.413104	0.181801	0.186597	0.0911254	0.209384	0.0677708	0.11859	0.0208001	0.00838392	0.0511904	0.0187699	0.101815	0.0498779	0.00133397	0.00503706	0.0107164	0.0884496	0.0585583	0.0213629	0.453785	0.0370788	0.526789	0.0310956	0.00815801	0.33806	0.692802	1.07757	1.89157	5	2.348471
29000	-246.7836	-281.7827	34.99902	10	2.160605	0.156411	0.00696	0.0531297	0.0626971	0.00912839	0.0450442	0.0439366	0.00885871	0.0297374	0.00367385	0.0313379	0.0465999	0.00534536	0.0137927	0.0148203	0.0448743	0.00698798	0.0621888	0.186116	3.77282e-05	0.273401	0.145721	0.0264959	0.311721	0.671073	1.07353	1.94367	5	1.277296
30000	-250.3233	-286.0039	35.68067	10	1.614722	0.302588	0.0679674	0.0525058	0.0500111	0.0167235	0.143515	0.0914698	0.00905676	0.0214257	0.0385328	0.00795645	0.0724414	0.027229	0.0392674	0.0359949	0.0125537	0.190161	0.0347103	0.000259251	0.0514722	0.167516	0.0149167	0.0180033	0.242513	0.606601	1.0565	2.09438	5	1.466278
31000	-249.0883	-284.7333	35.64503	10	1.049667	0.219075	0.0489021	0.040366	0.0813083	0.0561275	0.10129	0.0108935	0.017208	0.0512494	0.0011652	0.013117	0.0816319	0.034085	0.0113236	0.0290875	0.0586604	0.257364	0.0165201	0.00949782	0.0407724	0.302019	0.0505463	0.00102228	0.146756	0.491188	1.00777	2.35429	5	1.533232
32000	-257.3329	-291.0642	33.73134	10	2.665702	0.216736	0.168666	0.0778758	0.0973735	0.0930997	0.106136	0.0158439	0.00126848	0.0862939	0.00169295	0.0762894	0.0200226	0.0340409	0.017769	0.0282663	0.184576	0.295015	0.0469991	0.0240909	0.0105686	0.134285	0.0537881	0.0579716	0.361624	0.711161	1.08028	1.84693	5	1.848669
33000	-256.3049	-280.2627	23.95773	2	4.798754	0.237525	0.0138846	0.0666618	0.108527	0.00104033	0.0159428	0.0250077	0.00458602	0.00711675	0.00342514	0.0451988	0.114648	0.00508728	0.0652148	0.129522	0.0176896	0.308203	0.0623709	0.000396405	0.0580956	0.21503	0.0148052	0.0126143	0.493498	0.798973	1.08363	1.62389	4	1.532593
34000	-243.1903	-278.6694	35.47905	10	1.047606	0.0995922	0.0464133	0.062071	0.0178969	0.0293734	0.0227192	0.0086795	0.00720288	0.0356356	0.00139907	0.0461262	0.0752396	0.0224945	0.0500136	0.0120762	0.0949937	0.324893	0.0294604	0.0122382	0.0176569	0.197484	0.0142686	0.0186983	0.146354	0.490608	1.00746	2.35558	5	1.246626
35000	-246.0589	-283.8917	37.83282	10	1.108416	0.245432	0.035024	0.0383205	0.00808847	0.00278188	0.0162118	0.0237647	0.0276622	0.00913748	0.0284067	0.0224199	0.0464055	0.0204542	0.050875	0.00656784	0.141871	0.101372	0.0172882	0.00811387	0.00698675	0.22469	0.00983455	0.0441024	0.158064	0.507078	1.01587	2.31898	5	1.135811
36000	-253.0449	-286.4414	33.39651	10	3.878173	0.248099	0.036221	0.211567	0.0254387	0.0374798	0.0139248	0.00591191	0.0466444	0.0171558	0.0214645	0.0607123	0.0630518	0.0011657	0.0512161	0.0522994	0.0105402	0.340286	0.0438483	0.00360983	0.0278114	0.0851995	0.00515086	0.00495503	0.447542	0.770888	1.0844	1.69717	5	1.413753
37000	-254.5944	-283.2062	28.61179	10	1.482635	0.234968	0.133559	0.023329	0.109562	0.0247542	0.0722923	0.06137	0.00505894	0.0180476	0.0226363	0.0259498	0.107431	0.0483032	0.0222018	0.00564721	0.166677	0.496422	0.0162522	0.0236291	0.00474271	0.678417	0.0178764	0.0159249	0.222627	0.58564	1.04939	2.14235	5	2.335052
38000	-248.8758	-280.6846	31.80876	10	2.287285	0.467031	0.00685124	0.146545	0.0744841	0.0288466	0.0928922	0.036137	0.0136717	0.00594295	0.0346151	0.0527136	0.0538303	0.0326463	0.0352247	0.000376807	0.0156246	0.368532	0.0266163	0.0441714	0.0291376	0.216932	0.0227882	0.0713413	0.325315	0.682455	1.07576	1.91647	5	1.876952
39000	-252.978	-285.933	32.95499	10	2.227047	0.268733	0.0444882	0.10089	0.134358	0.00192016	0.0806408	0.0466392	0.0047267	0.0393867	0.00654996	0.0408085	0.123009	0.00490653	0.0144121	0.405537	0.0371281	0.13146	0.0153155	0.0316743	0.0159937	0.299513	0.0199741	0.0195768	0.31895	0.677172	1.07476	1.92912	5	1.887641
40000	-246.2137	-279.1497	32.936	10	2.890174	0.328875	0.0419702	0.0710864	0.0811021	0.0339372	0.0383936	0.0125624	0.0420402	0.059684	0.023704	0.0218301	0.0547874	0.0135018	0.0300968	0.00955973	0.0147065	0.0375945	0.000214065	0.000298965	0.00407328	0.27884	0.377845	0.0488539	0.380583	0.72526	1.08192	1.81224	5	1.625557
41000	-250.1509	-283.7329	33.582	10	0.8956515	0.501066	0.159723	0.013183	0.0987939	0.020948	0.0574605	0.03001	0.0231738	0.0486169	0.0205344	0.0167411	0.121334	0.0813488	0.0632177	0.0206559	0.0159321	0.0836262	0.00559064	0.0142609	0.0105536	0.308096	0.39081	0.0347018	0.115692	0.442973	0.980302	2.46103	5	2.140379
42000	-267.1369	-288.1263	20.98943	2	4.088974	0.324883	0.0445704	0.0186065	0.0934803	0.0265691	0.026221	0.00533333	0.00676523	0.0296093	0.0469816	0.0117463	0.131928	0.0425858	0.0324179	0.00153072	0.0698612	0.147559	0.0182033	0.0385721	0.128431	0.335316	0.271485	0.0149101	0.459184	0.778231	1.08438	1.67821	4	1.867567
43000	-246.5076	-278.9049	32.3973	10	1.036717	0.546911	0.0145957	0.116236	0.0238328	0.0173666	0.0144368	0.00536819	0.00747049	0.0091309	0.0105455	0.0415719	0.0493169	0.0108637	0.0369717	0.0131819	0.00716663	0.0262805	0.0643529	0.0236273	0.0176536	0.310472	0.375199	0.0786073	0.144221	0.487516	1.00583	2.36244	5	1.821159
44000	-247.5846	-284.1835	36.59886	10	2.181662	0.23613	0.0147791	0.066865	0.0860069	0.00487288	0.00278378	0.0146662	0.0065472	0.0360271	0.0179094	0.0488582	0.0821364	0.00628081	0.0414046	0.0420487	0.0666205	0.0126928	0.0136552	0.0222988	0.00197183	0.205345	0.179848	0.0889344	0.314036	0.673038	1.07394	1.93899	5	1.298683
45000	-258.3526	-285.9776	27.625	2	1.286741	0.162466	0.123295	0.146898	0.0470525	0.027139	0.0390418	0.0114749	0.00802278	0.0217425	0.00214275	0.00284006	0.0934564	0.159434	0.0120136	0.113932	0.0130881	0.00686934	0.0144081	0.0183213	0.0180783	0.32121	0.136577	0.0493606	0.190421	0.548728	1.03499	2.22586	4	1.548864
46000	-249.4648	-285.434	35.9692	10	1.856585	0.244957	0.0300134	0.036424	0.0781377	0.0562721	0.10638	0.084068	0.00117681	0.00101257	0.00934773	0.0114988	0.147856	0.0592284	0.0557851	0.00299594	0.00658507	0.0134362	0.0172077	0.0703289	0.00988433	0.190444	0.260806	0.0173742	0.275533	0.638842	1.06595	2.01968	5	1.51122
47000	-247.8481	-282.4065	34.5584	10	2.325708	0.277907	0.150868	0.0785404	0.0625646	0.00801094	0.00179479	0.0123707	0.000355282	0.0199647	0.0279375	0.0107785	0.11727	0.0230111	0.000299842	0.00364635	0.348229	0.0315607	0.0183933	0.0417916	0.0576379	0.36347	0.0227502	0.0879018	0.329284	0.68571	1.07635	1.90866	5	1.767053
48000	-253.3995	-282.692	29.29246	10	1.946671	0.239708	0.101282	0.0871064	0.0369553	0.0140858	0.0129224	0.00504593	0.00866288	0.0173124	0.0170769	0.0627179	0.111167	0.0840944	0.0764733	0.00234031	0.0341414	0.0772339	0.00844789	0.0039745	0.0314282	0.327064	0.0373724	0.200787	0.286825	0.64922	1.0686	1.99536	5	1.597401
49000	-263.1859	-288.2239	25.03802	2	1.549752	0.25228	0.113133	0.152661	0.0476632	0.00618812	0.0496413	0.0570995	0.0037415	0.0748395	0.00613891	0.0149473	0.100177	0.0188441	0.0309081	0.0512389	0.3561	0.0185892	0.00520728	0.00508234	0.0273533	0.166548	0.131439	0.0102778	0.232907	0.596633	1.05321	2.11725	4	1.700097
50000	-256.1515	-290.4723	34.32075	10	1.467783	0.34719	0.000486253	0.0628836	0.0996978	0.0113322	0.0341221	0.0188688	0.0085658	0.00251602	0.0302983	0.068178	0.02554	0.014308	0.01415	0.0141613	0.246864	0.0439007	0.00141022	0.0386888	0.0441317	0.257746	0.0789833	0.0686402	0.220303	0.583105	1.04847	2.14812	5	1.532663
51000	-242.0515	-279.2848	37.23338	10	2.782956	0.320998	0.0793111	0.106685	0.0728681	0.0193453	0.029034	0.0454915	0.0139674	0.00563884	0.0118071	0.0682329	0.0402174	0.0181	0.0658394	0.00373018	0.162251	0.0158069	0.00801218	0.0660813	0.013565	0.226036	0.00848139	0.073685	0.371741	0.718756	1.08121	1.82829	5	1.475184
52000	-250.1492	-288.096	37.94686	10	1.063819	0.338717	0.0687042	0.0223136	0.0299627	0.0443011	0.0289932	0.0152921	0.012706	0.0311637	0.0259881	0.0665548	0.113751	0.0769473	0.0318709	0.0894119	0.247092	0.0217501	0.0731806	0.103985	0.0347301	0.311288	0.0744905	0.0557803	0.149509	0.495128	1.00982	2.34554	5	1.918975
53000	-245.4818	-282.9606	37.47874	10	2.090406	0.316853	0.0103147	0.0234476	0.00113221	0.0115618	0.0384186	0.0550005	0.0187281	0.0110174	0.0182076	0.00361027	0.133212	0.00271319	0.255634	0.0418599	0.0266402	0.0170611	0.0107199	0.0625816	0.0586228	0.292004	0.0852702	0.047505	0.303833	0.664295	1.0721	1.95978	5	1.542116
54000	-244.8738	-282.7324	37.85864	10	3.745181	0.24439	0.0346804	6.88729e-05	0.143686	0.0397394	0.0320531	0.0370747	0.00783946	0.0115009	0.0110139	0.0107398	0.084294	0.0429677	0.0391286	0.000756888	0.216293	0.0292853	0.00537521	0.0236092	0.0206525	0.166016	0.0147738	0.0191725	0.439791	0.765909	1.08435	1.70995	5	1.235111
55000	-243.6589	-276.401	32.74211	10	2.612713	0.278344	0.0646023	0.072141	0.0444405	0.0316543	0.0849477	0.0517002	0.00319988	0.00168906	0.00217257	0.0280671	0.0809108	0.0200162	0.0445645	0.0513187	0.476546	0.0335544	0.00200939	0.0345547	0.0397099	0.315182	0.0275577	0.0723101	0.356889	0.707548	1.0798	1.85576	5	1.861192
56000	-251.9534	-291.9677	40.01427	10	1.867613	0.234557	0.0585997	0.0326764	0.0712896	0.0457778	0.0235691	0.00499474	0.0444664	0.00405973	0.000317215	0.0519957	0.0724384	0.146568	0.0354207	0.0413014	0.147437	0.0152917	0.0412663	0.00643239	0.0300922	0.0924734	0.0187328	0.0792584	0.276942	0.640155	1.06629	2.01661	5	1.299016
57000	-259.5965	-288.8861	29.28954	10	0.965025	0.12612	0.349286	0.0866958	0.0688629	0.0038029	0.0447318	0.00462594	0.0114329	0.030289	0.00234196	0.0044478	0.0845646	0.035241	0.0156477	0.0223891	0.328006	0.0906913	0.00936963	0.105927	0.0318873	0.52029	0.00895467	0.00460876	0.129924	0.465981	0.993954	2.41014	5	1.990215
58000	-251.2874	-284.5971	33.30969	10	1.799021	0.145545	0.0764592	0.234678	0.0145239	0.0187286	0.117607	0.00109497	0.0348425	0.019343	0.00753797	0.0427564	0.164532	0.0122701	0.0252201	0.0359703	0.228822	0.0113991	0.0528765	0.124569	0.0251742	0.223337	0.0226442	0.147624	0.268043	0.631786	1.06404	2.03613	5	1.787556
59000	-245.3463	-281.3701	36.02378	10	2.394413	0.140618	0.0662922	0.078902	0.00734335	0.0166427	0.0625931	0.0209535	0.0111645	0.0123535	0.00509138	0.00934992	0.116359	0.00279191	0.0173427	0.0279913	0.086845	0.0421193	0.00618099	0.0195002	0.164764	0.266315	0.0306488	0.304751	0.336212	0.69132	1.07732	1.89514	5	1.516915
60000	-248.1918	-286.1012	37.90945	10	0.5903559	0.238261	0.00632889	0.0451449	0.0434696	0.0127952	0.0687095	0.0122199	0.0267739	0.0370456	0.0142003	0.0247184	0.0815007	0.0284446	0.0208127	0.011481	0.0484557	0.0335153	0.00990914	0.02009	0.0189137	0.349337	0.0230685	0.317142	0.0511252	0.306869	0.876318	2.76569	5	1.492338
61000	-239.4354	-280.0691	40.63369	10	1.650547	0.272224	0.00961511	0.0442257	0.0708393	0.0451263	0.0279211	0.0247834	0.0214655	0.0026813	0.00060168	0.0351044	0.0791406	0.0224625	0.043319	0.0819247	0.207426	0.025598	0.0111419	0.0075649	0.00598165	0.335276	0.0754972	0.000394564	0.24767	0.611837	1.05816	2.08233	5	1.450314
62000	-242.9562	-278.0342	35.07799	10	3.680803	0.266818	0.0912522	0.0363023	0.0228202	0.00565192	0.099883	0.0101261	0.0204292	0.00385409	0.00259278	0.104847	0.0920469	0.00160393	0.0563047	0.123199	0.0157011	0.0295774	0.0972272	0.00175917	0.0119161	0.199053	0.0115365	0.301164	0.435919	0.763393	1.0843	1.71639	5	1.605666
63000	-254.5672	-287.1019	32.53467	10	1.568403	0.294348	0.0703178	0.140419	0.180505	0.00359353	0.0157918	0.0712434	0.0207826	0.0362877	0.000804793	0.0434809	0.149806	0.0313783	0.0941808	0.0261014	0.0143819	0.00194198	0.0282807	0.0198203	0.0498774	0.49269	0.113049	0.257799	0.235698	0.59956	1.0542	2.11054	5	2.156882
