Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
13000	-369.4285	-413.781	44.35247	2	1.942705	0.0344537	0.0312186	0.289809	0.4086	0.126027	0.00984576	0.0897858	0.170318	0.0817729	0.0352578	0.0329001	0.115273	0.161015	0.0714793	0.311476	0.121841	0.125936	0.207804	0.141208	0.285335	0.0293211	0.10042	0.159087	0.23572	0.113417	0.152943	0.238437	0.00631989	0.00150478	0.286338	0.648779	1.06849	1.99639	4	3.888527
14000	-365.6414	-424.8029	59.16143	2	0.4049878	0.0336942	0.01093	0.0899934	0.05666	0.0663573	0.0172625	0.0969232	0.0196655	0.0261951	0.0501967	0.112133	0.0289007	0.421726	0.0541145	0.0208303	0.0347748	0.0137942	0.0557713	0.158861	0.168701	0.0883865	0.133073	0.00782025	0.014791	0.0401717	0.0794967	0.393589	0.166555	0.12541	0.0174405	0.185472	0.736622	3.06047	4	2.586778
15000	-377.5514	-418.8302	41.27887	2	2.549551	0.0180741	0.0351525	0.203866	0.233657	0.193534	0.102786	0.277472	0.00577577	0.0245007	0.0822271	0.0939563	0.0945613	0.0577765	0.012833	0.103107	0.00694033	0.171729	0.0641272	0.4245	0.0250259	0.16936	0.103361	0.00456337	0.32886	0.0293059	0.220462	0.0886517	0.204856	0.296545	0.351105	0.703084	1.07917	1.86664	4	3.677565
16000	-372.5441	-418.8144	46.27024	2	1.894882	0.0121792	0.0492542	0.317297	0.643713	0.178761	0.0462455	0.0593626	0.0075882	0.16511	0.0507737	0.0604256	0.00284408	0.0279207	0.314133	0.229343	0.0492347	0.288777	0.0211009	0.268612	0.190785	0.0304216	0.0920679	0.0228613	0.04979	0.159237	0.00625851	0.253194	0.114232	0.0824423	0.280395	0.643349	1.06712	2.00913	4	3.793966
17000	-364.7919	-405.3556	40.56366	1	0.8431051	0.00395191	0.00068269	0.180257	0.182049	0.0483805	0.0523298	0.0717941	0.022454	0.0464723	0.089953	0.0153829	0.0362604	0.356114	0.0847509	0.173225	0.0144411	0.0964117	0.00113293	0.0213069	0.187396	0.203371	0.015065	0.309744	0.227527	0.0527318	0.0725243	0.533441	0.300455	0.0908787	0.104692	0.423926	0.968219	2.50316	3	3.490484
18000	-371.3053	-412.9776	41.6723	2	1.915117	0.019571	0.0112652	0.0594708	0.115956	0.0523934	0.0192883	0.133329	0.0508597	0.0545056	0.125928	0.0477161	0.0304115	0.244596	0.168656	0.163379	0.0407215	0.133854	0.0839912	0.202338	0.195181	0.355644	0.261496	0.263543	0.094479	0.129381	0.20308	0.0454825	0.0294958	0.22533	0.282927	0.645673	1.06771	2.00369	4	3.561342
19000	-358.9655	-411.5552	52.58965	2	1.452933	0.0315225	0.0270759	0.079306	0.0356145	0.140562	0.0540791	0.0176986	0.0310111	0.0902111	0.107087	0.0704734	0.0579507	0.207827	0.239005	0.107217	0.0429603	0.00296869	0.0360651	0.0800607	0.249883	0.112066	0.173638	0.225198	0.16273	0.100599	0.416627	0.0301842	0.0570876	0.183356	0.217959	0.58053	1.04753	2.15398	4	3.170063
20000	-366.8992	-412.7359	45.83667	2	2.254565	0.0400745	0.00573976	0.115673	0.180461	0.176403	0.0415411	0.0787216	0.011346	0.0993973	0.0150754	0.0326293	0.16124	0.126926	0.15328	0.112054	0.0192251	0.159964	0.0350472	0.0544454	0.144013	0.178312	0.263739	0.0127753	0.708669	0.0840994	0.159537	0.218814	0.0331887	0.0123561	0.32188	0.679614	1.07523	1.92328	4	3.434745
21000	-348.777	-405.102	56.32499	2	0.3934178	0.00710848	0.0016368	0.127352	0.241797	0.0107028	0.0314918	0.0242115	0.0110724	0.0479333	0.081995	0.1047	0.0653683	0.148409	0.164889	0.0869172	0.00478199	0.068909	0.252857	0.00430015	0.0522379	0.0228024	0.0761427	0.169322	0.310478	0.173199	0.349501	0.134525	0.21498	0.00706318	0.0157764	0.176822	0.724059	3.08334	4	2.996683
22000	-356.1171	-400.4107	44.29359	2	1.724641	0.00198039	0.00368221	0.190048	0.0442692	0.19859	0.0456368	0.0253407	0.0146124	0.095499	0.0666779	0.0192713	0.126679	0.269046	0.272701	0.185922	0.0602916	0.145068	0.329218	0.12507	0.630198	0.0692671	0.142983	0.183041	0.112106	0.0388762	0.143143	0.227273	0.302123	0.0220015	0.258034	0.622126	1.06128	2.05856	4	4.090615
