Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-602.8832	-630.776	27.89285	2	2.348365	0.00242537	0.299847	0.134221	0.0102863	0.113065	0.0514111	0.339087	0.222099	0.00798327	0.185058	0.0863655	0.0417604	0.28934	0.162064	0.213205	4.09985e-05	0.0588954	0.0844771	0.283174	0.0517597	0.0128194	0.115275	0.0360407	0.164587	0.186014	0.198741	0.00208386	0.0409285	0.0686789	0.0727155	0.0591016	0.0994797	0.158563	0.232906	0.00414103	0.0839474	0.0200252	0.0351635	0.377099	0.0714678	0.0701537	0.120206	0.0800304	0.0198812	0.264278	0.066139	0.00330749	0.0695885	0.119454	0.0678124	0.151741	0.0934416	0.058941	0.0643473	0.0121661	0.0800709	0.0832464	0.0220596	0.00323748	0.0121216	0.103736	0.0382934	0.120297	0.0682407	0.0736017	0.00101236	0.328797	0.331592	0.687589	1.07668	1.90414	4	6.872545
11000	-578.7835	-596.6376	17.85405	2	1.332835	0.069286	0.104228	0.212819	0.00267683	0.127603	0.0144152	0.411826	0.0204287	0.164237	0.119934	0.00408114	0.480952	0.0680866	0.155941	0.0471809	0.0378371	0.130383	0.0480888	0.221989	0.0423412	0.0764424	0.184593	0.059931	0.275458	0.0713905	0.127482	0.0519054	0.0218396	0.156789	0.0360866	0.0888482	0.0794284	0.0373108	0.167563	0.0598889	0.158795	0.128559	0.269519	0.0107559	0.170274	0.00119564	0.286731	0.110687	0.11212	0.0817273	0.136641	0.395305	0.0768459	0.0148808	0.0163294	0.0150766	0.0271365	0.111222	0.106109	0.0171179	0.347088	0.105264	0.0552069	0.327066	0.108573	0.14773	0.216209	0.122534	0.0042699	0.193414	0.0476156	0.00703812	0.198306	0.558141	1.03889	2.20467	4	7.908328
12000	-601.3308	-608.564	7.233194	1	2.661181	0.108671	0.355602	0.0843726	0.0158562	0.129778	0.0180881	0.465375	0.225783	0.0745988	0.12802	0.00226513	0.178408	0.0503785	0.110372	0.0379517	0.0419647	0.100026	0.0527433	0.0858404	0.040603	0.0898197	0.190468	0.291506	0.384261	0.338306	0.26387	0.0216308	0.0256931	0.0560347	0.103343	0.0155133	0.298966	0.0246494	0.00335996	0.0958727	0.00265295	0.108386	0.0071089	0.288213	0.0589761	0.129564	0.140274	0.154074	0.135439	0.030516	0.343882	0.0283929	0.107027	0.0053925	0.105715	0.440144	0.0331898	0.0113669	0.25842	0.120405	0.142998	0.143265	0.0700978	0.0241179	0.0748696	0.12316	0.197948	0.0253071	0.0349006	0.0224008	0.0974965	0.242763	0.361224	0.710857	1.08024	1.84768	3	8.218455
13000	-576.6007	-594.4652	17.86445	2	1.198908	0.0930591	0.178024	0.148837	0.0718098	0.106649	0.0202877	0.239082	0.0118068	0.246251	0.0251622	0.0344931	0.326439	0.0591186	0.157459	0.0734714	0.0567123	0.0920436	0.13739	0.0892716	0.0774782	0.0356959	0.0305332	0.036977	0.302063	0.0311158	0.0624009	0.0100672	0.000362663	0.0732187	0.0547337	0.0591755	0.0186273	0.153273	0.0678238	0.0872162	0.0132765	0.0165249	0.0305574	0.0776616	0.104604	0.103443	0.107646	0.0399737	0.518798	0.17996	0.23248	0.272781	0.104416	0.0759972	0.133379	0.188003	0.0227646	0.252853	0.128854	0.0995946	0.362315	0.108014	0.0329081	0.0869755	0.219499	0.103259	0.0858015	0.021705	0.304083	0.116476	0.170599	0.0107288	0.174855	0.529339	1.02647	2.26933	4	7.59406
14000	-587.2632	-618.2736	31.01043	2	1.549877	0.213596	0.096467	0.215714	0.144192	0.189147	0.00225112	0.071182	0.0176636	0.209982	0.0999027	0.0425831	0.0531559	0.0715947	0.176665	0.0516105	0.0753676	0.0763976	0.0270217	0.0160864	0.00340744	0.155102	0.178891	0.1846	0.302159	0.0873317	0.0326986	0.0819787	0.0820393	0.0302222	0.0542642	0.0295562	0.104551	0.115725	0.0322127	0.00246777	0.0401016	0.0291835	0.165589	0.102283	0.00453567	0.0254561	0.0656144	0.178937	0.300087	0.137997	0.178916	0.00109796	0.173402	0.0281161	0.0586833	0.182823	0.0404115	0.0823694	0.211656	0.0261217	0.00906582	0.0495464	0.0329461	0.0245365	0.00484509	0.00147191	0.131044	0.0160973	0.0953523	0.528841	0.0143687	0.0665146	0.232926	0.596653	1.05322	2.1172	4	6.335797
15000	-580.4682	-602.6483	22.18005	2	2.194976	0.233552	0.193871	0.119294	0.073284	0.150067	0.0433939	0.0314722	0.0102815	0.0966023	0.198419	0.0646813	0.146375	0.109665	0.0716643	0.055947	0.0244857	0.103377	0.144158	0.0447634	0.130329	0.115306	0.197777	0.137687	0.226483	0.0185036	0.131593	0.0711543	0.0206801	0.0413187	0.102695	0.0210263	0.147709	0.114772	0.226143	0.0457454	0.0393429	0.102448	0.0645607	0.0797109	0.0748928	0.126817	0.0616041	0.247473	0.0251926	0.119906	0.00142381	0.0434026	0.103073	0.193588	0.000758531	0.0276621	0.215119	0.117329	0.113475	0.380653	0.137347	0.0493189	0.0012225	0.332397	0.249534	0.11698	0.0449881	0.249311	0.0517754	0.106826	0.00316045	0.0156916	0.315489	0.674265	1.07418	1.93606	4	7.161258
16000	-591.8421	-610.7135	18.87138	2	1.563585	0.0408426	0.0475001	0.614339	0.0430671	0.0545939	0.0937964	0.332344	0.0682115	0.00553096	0.0146396	0.0309755	0.178756	0.272376	0.126692	0.088942	0.0973505	0.0275658	0.0667137	0.0200817	0.104011	0.109426	0.276013	0.175389	0.451387	0.172725	0.269166	0.0454028	0.00288075	0.0446321	0.0468413	0.000512623	0.144175	0.118194	0.297101	0.0636878	0.140949	0.0245676	0.126908	0.156488	0.0345727	0.0999496	0.129271	0.00168766	0.0785548	0.102713	0.0208438	0.0237325	0.0359436	0.0532054	0.0177007	0.48831	0.0854744	0.0866714	0.227723	0.00672485	0.114395	0.0785785	0.120492	0.231229	0.0165302	0.0845168	0.25725	0.0275854	0.188031	0.0338885	0.0661563	0.139245	0.23498	0.598809	1.05395	2.11226	4	7.845749
17000	-581.1897	-614.0921	32.90239	2	1.249747	0.0836214	0.247987	0.14819	0.0786953	0.099678	0.00295642	0.323732	0.0315322	0.277213	0.137879	0.0289024	0.048712	0.213704	0.0488583	0.100797	0.0810973	0.0237388	0.0729474	0.212751	0.0376529	0.109001	0.112774	0.183166	0.202452	0.141211	0.0725349	0.0734505	0.123645	0.0154085	0.0186294	0.0994735	0.187635	0.0102247	0.117259	0.00595263	0.0316396	0.0238605	0.277614	0.133911	0.27131	0.252531	0.0397838	0.16188	0.308096	0.0202644	0.0337467	0.312968	0.080529	0.00864967	0.0689145	0.0907422	0.0897591	0.0693072	0.0032457	0.112223	0.0690364	0.020903	0.0470158	0.105095	0.10426	0.0714468	0.131568	0.0307647	0.0439203	0.0515215	0.0299189	0.0599199	0.183952	0.540806	1.03159	2.24365	4	6.929808
18000	-578.0638	-612.8107	34.74688	2	1.274188	0.193356	0.0942369	0.0488228	0.0292502	0.131805	0.0788072	0.20474	0.156128	0.273506	0.0390828	0.0123727	0.216397	0.0744555	0.0350836	0.114776	0.0160407	0.0438478	0.0248625	0.0661392	0.00661041	0.146661	0.126181	0.0524456	0.109556	0.176643	0.10336	0.0783783	0.14519	0.14838	0.0174125	0.00695318	0.174342	0.0190796	0.0452721	0.00219258	0.000409126	0.0462638	0.501831	0.135976	0.0203116	0.162842	0.035847	0.0884067	0.0257234	0.039552	0.0643869	0.0145275	0.0351821	0.036448	0.0379002	0.284732	0.182628	0.0613272	0.352379	0.0592201	0.0143324	0.0391111	0.0478371	0.105961	0.0458036	0.064098	0.0251998	0.0153897	0.0919232	0.108269	0.268275	0.0490252	0.188241	0.546078	1.03386	2.23182	4	6.273485
19000	-567.4601	-593.5551	26.09503	2	2.064018	0.203855	0.132519	0.218917	0.0389398	0.058069	0.0205941	0.152762	0.0452794	0.138698	0.124003	0.0035646	0.273399	0.0504503	0.0893715	0.212508	0.00902843	0.0826146	0.0621026	0.160782	0.134421	0.114995	0.301315	0.0716598	0.326641	0.0722093	0.120782	0.0219116	0.0219006	0.000133103	0.0515768	0.00149623	0.116172	0.0999946	0.203483	0.00646235	0.163822	0.159752	0.276296	0.130797	0.0351234	0.0201216	0.0359344	0.051905	0.069445	0.0022946	0.160353	0.165706	0.108369	0.0728688	0.0697014	0.118966	0.224442	0.130079	0.00287068	0.144276	0.0815042	0.0313302	0.0343978	0.176968	0.321584	0.10728	0.108009	0.000607816	0.086052	0.100042	0.364779	0.0230153	0.300799	0.661653	1.07151	1.96604	4	7.321303
