Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-472.838	-516.9921	44.1541	10	0.598511	0.190358	0.0176168	0.174586	0.0396122	0.00781964	0.00649496	0.0136256	0.043606	0.210339	0.0704114	0.154442	0.0692599	0.033789	0.0125451	0.0179036	0.04638	0.0367574	0.143646	0.112898	0.206953	0.0100942	0.0297671	0.00907031	0.0924117	0.0393656	0.0141388	0.0029604	0.289362	0.117409	0.00172886	0.348366	0.139634	0.287337	0.00673547	0.0325053	0.168272	0.0866505	0.0945934	0.130478	0.0622972	0.0527545	0.446868	0.0202981	0.0528011	0.311444	0.880557	2.7552	5	4.092143
11000	-472.5164	-518.1842	45.66782	10	1.112047	0.327124	0.121498	0.0417326	0.13922	0.000456842	0.0512184	0.0527498	0.114747	0.0459811	0.00270022	0.0581639	0.0322645	0.0115787	0.0656417	0.0468323	0.0698214	0.0685605	0.159644	0.297068	0.0689382	0.00819743	0.00808241	0.00716273	0.341109	0.234601	0.106672	0.082806	0.606169	0.0215021	0.0136359	0.00727043	0.0447393	0.00652052	0.089812	0.195059	0.308228	0.055898	0.0322266	0.0844652	0.0120361	0.094784	0.0665357	0.235852	0.158753	0.508021	1.01634	2.31689	5	4.439305
12000	-466.2427	-522.0229	55.78025	10	0.6979217	0.128048	0.0995492	0.214688	0.0605447	0.00913932	0.238368	0.0246436	0.032893	0.277942	0.034616	0.00321043	0.0360147	0.0102646	0.064706	0.0214911	0.0347136	0.0105823	0.0610575	0.136078	0.000428477	0.00401195	0.0620151	0.00924685	0.0420547	0.0259368	0.0241708	0.074385	0.0910682	0.327068	0.167163	0.00640275	0.0784801	0.409697	0.117078	0.0754468	0.0502497	0.213273	0.0475367	0.0501151	0.139376	0.0604497	0.00881838	0.0425393	0.0737444	0.362548	0.924096	2.63961	5	3.62556
13000	-472.1878	-527.9704	55.78256	10	0.6827166	0.13281	0.0438801	0.0691303	0.0755385	0.126288	0.209364	0.0344091	0.0372825	0.0602892	0.00111567	0.0340265	0.0306067	0.0141668	0.00604963	0.091743	0.0119996	0.0317507	0.0122287	0.212426	0.0644976	0.00354086	0.0337847	0.0126282	0.0459938	0.0478567	0.0679965	0.0331888	0.081701	0.00545963	0.181319	0.0997804	0.0117494	0.108532	0.0318309	0.0296523	0.198617	0.0504038	0.12095	0.049943	0.00325674	0.0423116	0.128055	0.102692	0.070501	0.35526	0.918291	2.65595	5	2.790845
14000	-454.4798	-515.4874	61.0076	10	0.5824122	0.233278	0.0297703	0.0633581	0.0687699	0.0607154	0.0664195	0.0202691	0.00331003	0.0478663	0.0543637	0.0313919	0.059692	0.0220181	0.0172881	0.00607776	0.0420368	0.110336	0.0466432	0.0813438	0.0535187	0.0197352	0.0578251	0.0190345	0.027214	0.0959936	0.025217	0.147369	0.100653	0.0176143	0.00238341	0.274991	0.0151362	0.392594	0.00915533	0.0698228	0.0890097	0.0123455	0.195849	0.050515	0.0678364	0.0135906	0.0927352	0.105948	0.049502	0.302353	0.872074	2.77607	5	3.021034
15000	-464.073	-524.835	60.76197	10	0.9049509	0.185093	0.0412598	0.0202368	0.00732869	0.135691	0.0700951	0.0431457	0.00910975	0.0712933	0.0108753	0.0652458	0.00588366	0.00216067	0.0473719	0.0509291	0.0174727	0.0941956	0.00743731	0.00257788	0.109109	0.0423157	0.0802978	0.0257658	0.0461765	0.0267805	0.342605	0.1038	0.107663	0.0373574	0.100747	0.170743	0.0350934	0.0260767	0.00856404	0.173399	0.0464353	0.124953	0.07918	0.0198781	0.235488	0.00594223	0.15453	0.0200823	0.117621	0.446192	0.982274	2.45391	5	3.010386
16000	-476.3263	-528.0934	51.76711	10	0.3925749	0.147481	0.101183	0.00134685	0.0751173	0.0146199	0.0267079	0.0749736	0.0768995	0.096614	0.0475486	0.0393806	0.0237386	0.0123375	0.0779925	0.0150217	0.00303882	0.0459011	0.144519	0.248589	0.155753	0.0062155	0.0576174	0.0565903	0.377368	0.311435	0.00113667	0.106902	0.0786537	0.0350909	0.0302267	0.0961465	0.0685769	0.0912049	0.0213132	0.260276	0.236411	0.010428	0.0746869	0.0699906	0.0328933	0.0890073	0.189227	0.0728915	0.0156579	0.176188	0.723119	3.08503	5	3.803053
17000	-467.8275	-519.3626	51.53507	10	0.4226483	0.202677	0.0245879	0.23203	0.0382106	0.13642	0.0817661	0.0495049	0.00066788	0.0392782	0.100258	0.15401	0.00159486	0.0401076	0.00465716	0.0189571	0.0627692	0.00398671	0.0325708	0.22941	0.0540863	0.0112217	0.132688	0.0242447	0.0818091	0.0235628	0.0576302	0.00757298	0.146667	0.0403057	0.0118009	0.0715618	0.0461999	0.0699677	0.249178	0.0298451	0.0765094	0.025879	0.145105	0.00443442	0.0296396	0.0251518	0.568799	0.289743	0.0201128	0.198462	0.75467	3.02676	5	3.677067
18000	-474.328	-525.8773	51.54927	10	0.928285	0.19117	0.0246736	0.239627	0.168155	0.0186095	0.0752387	0.0491934	0.00655139	0.0399496	0.0726821	0.10477	0.209399	0.087824	0.0585559	0.0278928	0.014666	0.10856	0.0521856	0.157562	0.0929411	0.00247894	0.142137	0.0151616	0.121607	0.0341073	0.0218921	0.0703385	0.109934	0.0251058	0.139931	0.206017	0.127386	0.161891	0.235679	0.150433	0.0356498	0.19318	0.163792	0.000174596	0.00534152	0.00105063	0.194027	0.083691	0.122432	0.454081	0.98702	2.43647	5	4.041213
19000	-468.0402	-524.0746	56.0344	10	1.345209	0.145338	0.0293295	0.0728147	0.0530744	0.100749	0.118439	0.0351098	0.0555436	0.00323592	0.0631564	0.0906673	0.0692676	0.0704304	0.042526	0.00706111	0.0206646	0.0549352	0.044612	0.0537013	0.0507031	0.0106608	0.0751735	0.0254357	0.112794	0.117878	0.0190972	0.0508526	0.0130316	0.0867531	0.0433862	0.105697	0.0622232	0.116874	0.0230506	0.0245442	0.0235616	0.0899026	0.141965	0.0269753	0.0406627	0.154256	0.613648	0.0115018	0.20039	0.560585	1.03987	2.19915	5	3.171284
