Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
23000	-26.65028	-48.42467	21.77439	2	0.5327633	0.00150654	0.230162	0.00557438	0.0947565	0.0327248	0.0108152	0.00866404	0.2036	0.100354	0.193131	0.343646	0.0110277	0.0359544	0.0396093	0.272767	0.842718	2.84491	4	1.271915
24000	-17.12999	-47.62428	30.49429	10	0.5748544	0.0129255	0.123734	0.025244	0.340691	0.00462108	0.0346623	0.0823921	0.155414	0.0309892	0.0111761	0.00168526	0.168595	0.324266	0.0479667	0.298002	0.867927	2.7861	5	1.316394
25000	-22.35852	-50.56644	28.20792	10	0.3796114	0.13758	0.172569	0.10191	0.151408	0.0114736	0.0495236	0.0184398	0.0451128	0.0282085	0.29192	0.0214476	0.276739	0.119514	0.0138863	0.166369	0.70824	3.1115	5	1.425845
26000	-33.83832	-51.25064	17.41232	2	2.385714	0.0639632	0.0933897	0.0505409	0.210551	0.0189684	0.0055837	0.033588	0.0781145	0.286171	0.194061	0.0387688	0.0571164	0.164535	0.335346	0.690624	1.07721	1.89682	4	1.295352
27000	-30.16299	-53.67161	23.50862	10	0.04277176	0.0393733	0.0895208	0.180343	0.0152293	0.125125	0.239259	0.0652314	0.153727	0.0190186	0.0185522	0.476445	0.27292	0.0383612	4.67721e-15	1.02111e-07	0.0020058	3.99799	5	1.733107
28000	-15.51706	-46.62108	31.10402	10	1.799655	0.124197	0.0593162	0.185555	0.0308552	0.0368978	0.00774031	0.0136703	0.0693989	0.00161224	0.320776	0.237052	0.0585958	0.0109134	0.268127	0.631865	1.06406	2.03595	5	1.15658
29000	-27.8103	-47.25119	19.44089	2	0.687182	0.0668203	0.244376	0.0472814	0.0521407	0.120641	0.000335472	0.0634968	0.177188	0.432002	0.0310559	0.0114022	0.0568931	0.0645056	0.0714527	0.357419	0.920024	2.6511	4	1.368138
30000	-16.33584	-47.65687	31.32103	10	0.4716645	0.125039	0.108016	0.0488582	0.0258628	0.0387763	0.035148	0.019638	0.0110584	0.014496	0.0430874	0.00840512	0.0403516	0.409932	0.0282639	0.233015	0.798503	2.94022	5	0.9286692
31000	-15.61446	-49.57644	33.96198	10	1.487387	0.0820978	0.102956	0.0560386	0.148378	0.0219269	0.0202585	0.0506268	0.128631	0.000143815	0.251044	0.0263282	0.0386745	0.0378826	0.223368	0.586443	1.04967	2.14052	5	0.9649856
32000	-26.0578	-47.57004	21.51224	10	2.099257	0.187026	0.117216	0.122722	0.242501	0.0179336	0.0858478	0.0535033	0.119825	0.101687	0.11017	0.122971	0.0262213	0.236755	0.304842	0.66517	1.07229	1.9577	5	1.544379
33000	-26.14608	-49.24945	23.10337	2	0.5131198	0.0380804	0.0867055	0.05781	0.019083	0.0204754	0.0812969	0.00782965	0.187526	0.20417	0.0511615	0.143492	0.0270732	0.0406753	0.0358445	0.260395	0.829585	2.87418	4	0.9653785
34000	-31.19784	-48.59057	17.39273	2	0.5254099	0.03998	0.000562657	0.146097	0.0546291	0.170379	0.0460689	0.00839157	0.0531484	0.129791	0.00476845	0.122094	0.431525	0.27984	0.0381885	0.268181	0.837912	2.85572	4	1.487274
35000	-16.50523	-45.59523	29.09	10	0.4167064	0.0326013	0.073717	0.0846483	0.0753066	0.0077302	0.03969	0.0301353	0.149505	0.0224975	0.186049	0.437337	0.0820705	0.030238	0.0191965	0.194122	0.748744	3.03794	5	1.251525
36000	-26.61099	-50.92133	24.31034	10	0.1338105	0.144603	0.104058	0.270489	0.407684	0.0240703	0.0330964	0.0855344	0.00496936	0.355279	0.234989	0.0636711	0.0993699	0.112164	1.73929e-05	0.00617395	0.192646	3.80116	5	1.939979
37000	-27.20198	-48.72939	21.52741	2	1.111226	0.19015	0.13223	0.0381974	0.242279	0.0171497	0.0244315	0.0182725	0.0632843	0.172259	0.0978917	0.120289	0.148104	0.020575	0.158597	0.507808	1.01624	2.31736	4	1.285113
38000	-25.75035	-50.69277	24.94242	2	1.185636	0.0750769	0.0340899	0.128172	0.0246811	0.093964	0.00939825	0.062695	0.0502953	0.0628706	0.0830394	0.138095	0.0134063	0.115601	0.17244	0.526228	1.02504	2.27629	4	0.8913849
39000	-15.25373	-45.67479	30.42106	10	1.761229	0.120478	0.283856	0.0482376	0.257027	0.0353988	0.0385562	0.0162511	0.0992827	0.022321	0.277018	0.0849074	0.0718854	0.148132	0.263006	0.626958	1.06268	2.04736	5	1.503351
40000	-31.41815	-50.21357	18.79542	10	5.849771	0.0464947	0.164715	0.0839643	0.174236	0.137917	0.0627982	0.0275993	0.0816877	0.0367488	0.0735465	0.102105	0.250405	0.0471689	0.533953	0.821841	1.08159	1.56261	5	1.289387
41000	-30.67244	-50.0438	19.37136	2	0.217223	0.111871	0.275312	0.0349224	0.141525	0.0230404	0.0411137	0.0347212	0.205456	0.000256297	0.202414	0.0444805	0.0780352	0.219585	0.000918245	0.0442646	0.427098	3.52772	4	1.412732
42000	-27.33585	-51.29546	23.95961	10	0.1828613	0.0983362	0.201713	0.115243	0.106183	0.086159	0.204049	0.0922715	0.0482098	0.0677377	0.455185	0.146321	0.0691734	0.208113	0.00027806	0.02451	0.337473	3.63774	5	1.898695
43000	-28.39967	-47.57244	19.17277	10	2.272647	0.377886	0.763684	0.125734	0.210613	0.109522	0.0605485	0.0212092	0.150065	0.0461731	0.165124	0.189551	0.0104663	0.100511	0.323784	0.681192	1.07552	1.9195	5	2.331085
44000	-16.81738	-49.23013	32.41275	10	0.4002832	0.0157636	0.149785	0.00461314	0.107158	0.0224374	0.0244241	0.0038904	0.027401	0.0784183	0.203039	0.0712372	0.0113421	0.238589	0.0167553	0.181968	0.731587	3.06969	5	0.9580984
45000	-25.78893	-49.58327	23.79434	1	0.04403313	0.0192738	0.0754401	0.0485531	0.0148108	0.0531328	0.0355113	0.014595	0.173304	0.0263935	0.0132144	0.230247	0.00889854	0.0140393	1.18337e-14	1.62402e-07	0.00243163	3.99757	3	0.7274134
46000	-20.69548	-50.45845	29.76297	10	0.1716902	0.544477	0.221473	0.0532736	0.0216034	0.00086843	0.0122933	0.0503348	0.0932107	0.0970965	0.0179075	0.0314477	0.161442	0.0709171	0.00017006	0.0192029	0.305885	3.67474	5	1.376345
47000	-21.69267	-52.06719	30.37452	10	0.8562224	0.0405985	0.04092	0.117449	0.0455067	0.0463978	0.232999	0.204196	0.177709	0.0670798	0.00353879	0.0641146	0.244097	0.0733406	0.107454	0.428822	0.971394	2.49233	5	1.357947
48000	-29.32809	-48.22444	18.89635	2	0.4628815	0.0156958	0.180098	0.151036	0.0231091	0.0603339	0.0182995	0.0739269	0.233313	0.0639829	0.073339	0.113484	0.0307805	0.337455	0.026732	0.226995	0.791261	2.95501	4	1.374853
49000	-33.062	-51.57702	18.51502	2	0.3571749	0.0145747	0.112572	0.00819359	0.23128	0.303484	0.105768	0.0999334	0.0223419	0.00896745	0.112349	0.178847	0.192726	0.0383085	0.0110517	0.149124	0.680446	3.15938	4	1.429346
50000	-7.829737	-46.00787	38.17813	10	0.04081517	0.0540252	0.0927629	0.0285928	0.0641139	0.00865559	0.0112014	0.0155169	0.0453134	0.0107482	0.00491155	0.165488	0.0604832	0.254017	9.89362e-16	4.69709e-08	0.00145335	3.99855	5	0.8158302
