Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-1801.907	-1883.703	81.79639	10	0.7241007	0.134918	0.114935	0.0399972	0.0877544	0.0472601	0.0250192	0.0673106	0.0298022	0.0804151	0.214756	0.0712454	0.0199177	0.0135463	0.0326017	0.0390771	0.0452886	0.00204047	0.000218944	0.0103336	0.0234568	0.00824404	0.0406248	0.251233	0.129741	0.00750138	0.0071916	0.0368361	0.00415084	0.0464699	0.208293	0.0518792	0.00923985	0.0456017	0.1189	0.0572855	0.0411354	0.226028	0.197813	0.0719996	0.134359	0.0729916	0.0496462	0.00896135	0.0432506	0.0520993	0.106386	0.011406	0.0351401	0.0200898	0.362978	0.372897	0.270191	0.0217937	0.0604919	0.075481	0.179331	0.0375973	0.0522278	0.365633	0.0291196	0.157996	0.0125739	0.145053	0.0793418	0.374683	0.933482	2.61249	5	5.337758
11000	-1845.002	-1886.926	41.92362	10	0.8366089	0.448586	0.0984227	0.0379427	0.0499813	0.0186168	0.0452234	0.066503	0.000381155	0.0585966	0.206155	0.0815368	0.00442667	0.0139238	0.037053	0.0368289	0.00713693	0.0524896	0.0065441	0.0194129	0.00707872	0.0719037	0.0344803	0.104372	0.165921	0.0522122	0.0326498	0.0667779	0.251396	0.299756	0.26916	0.00485875	0.0193818	0.127549	0.00506569	0.159818	0.0031894	0.256362	0.0399842	0.0565631	0.0671318	0.244734	0.117485	0.475647	0.120235	0.117642	0.137377	0.224385	0.0277376	0.0207895	0.521879	0.171676	0.142999	0.0271616	0.0606795	0.294467	0.0856479	0.0911593	0.0540613	0.551973	0.138057	0.347007	0.00596058	0.0109543	0.103321	0.421466	0.966604	2.50861	5	7.375089
12000	-1815.485	-1888.754	73.26889	10	0.69928	0.103168	0.0739358	0.0147088	0.108007	0.00485231	0.0708123	0.0420766	0.0215319	0.0213069	0.0666511	0.142581	0.00784921	0.0123871	0.0283056	0.0482829	0.0260603	0.0275653	0.0018958	0.0186383	0.0437331	0.0367144	0.0101742	0.10122	0.115086	0.0461223	0.00518847	0.0104373	0.0117801	0.152105	0.127112	0.0174866	0.00144112	0.125547	0.114565	0.028755	0.108843	0.338048	0.029324	0.00665389	0.0729503	0.215415	0.0287335	0.303234	0.103344	0.0999313	0.200611	0.550412	0.0517313	0.0414521	0.557844	0.0498908	0.0233961	0.0120629	0.233785	0.223931	0.39303	0.128746	0.127448	0.0206541	0.0769497	0.129034	0.0321889	0.077834	0.0740345	0.36319	0.924601	2.63817	5	6.02556
13000	-1820.927	-1887.415	66.48786	10	0.8139554	0.24084	0.00423799	0.00617991	0.0360364	0.0288981	0.0251214	0.0835947	0.0115776	0.0261673	0.115746	0.0654067	0.0353464	0.068156	0.0388837	0.0365754	0.0461284	0.0285954	0.0562042	0.064029	0.0248675	0.0414314	0.0165248	0.249716	0.217027	0.00569214	0.00279447	0.0421926	0.180946	0.18685	0.182242	0.0311582	0.00759122	0.178574	0.0647164	0.0321719	0.145494	0.384976	0.703122	0.0712255	0.217323	0.234371	0.117064	0.00199232	0.131837	0.0103175	0.116002	0.0800747	0.1022	0.0762146	0.603003	0.010784	0.0290052	0.031228	0.0490893	0.00882102	0.219339	0.113051	0.00384142	0.011129	0.279446	0.139946	0.0390401	0.102398	0.0985247	0.412692	0.960748	2.52803	5	6.514554
14000	-1830.96	-1893.816	62.85599	10	1.018277	0.295208	0.203247	0.0578171	0.127281	0.0162595	0.0765222	0.0753831	0.017932	0.0554881	0.1094	0.122164	0.113336	0.0815295	0.0105078	0.0650306	0.065876	0.0138788	0.00394692	0.0313911	0.0207169	0.0201039	0.0241801	0.149114	0.174372	0.00664816	0.0588756	0.08089	0.140053	0.109167	0.349053	0.0169603	0.0981639	0.111259	0.315115	0.024091	0.0580124	0.29284	0.00925437	0.0035497	0.208906	0.0248307	0.0432905	0.036064	0.0407746	0.0187789	0.197891	0.0416881	0.096434	0.0464102	0.522831	0.725617	0.0784883	0.0453802	0.0865717	0.0512188	0.237593	0.130415	0.07572	0.123128	0.0352302	0.0681876	0.0523379	0.308988	0.140586	0.482177	1.00296	2.37427	5	6.901393
15000	-1813.662	-1888.578	74.91563	10	1.16143	0.160582	0.101525	0.0591864	0.106341	0.0321747	0.0792129	0.102828	0.0273461	0.0752273	0.153986	0.0951633	0.0120766	0.00328865	0.0532303	0.0246988	0.0358298	0.0253377	0.0356734	0.0931743	0.00426258	0.0573195	0.0196029	0.216021	0.131043	0.060272	0.0439914	0.0062871	0.0769822	0.120586	0.156245	0.084078	0.0107044	0.139689	0.0332301	0.0272332	0.283625	0.294897	0.0146617	0.0376237	0.00153403	0.119165	0.0768449	0.105886	0.0640221	0.0746975	0.11914	0.0252772	0.100884	0.042619	0.57851	0.0884814	0.00148327	0.0822559	0.0666965	0.133003	0.297144	0.0254106	0.477322	0.144163	0.0561154	0.0023193	0.111224	0.0256378	0.167994	0.520423	1.02233	2.28925	5	5.915073
16000	-1823.993	-1891.1	67.10692	10	0.9751532	0.307605	0.0143789	0.00352062	0.0806542	0.0037049	0.027806	0.0796884	0.014794	0.0429141	0.164013	0.160872	0.00671708	0.0339448	0.166862	0.0190369	0.0229948	0.0328942	0.00764892	0.00669191	0.0344118	0.0743763	0.00227639	0.0797165	0.0509413	0.0291127	0.0216689	0.0486684	0.0960998	0.0550588	0.0954687	0.0544941	0.0846548	0.0657714	0.151532	0.126644	0.00699871	0.0166768	0.000781367	0.064883	0.117347	0.38694	0.0587784	0.0652621	0.0391188	0.0577616	0.273953	0.0560629	0.0915378	0.215066	0.559624	0.0520459	0.234892	0.0365261	0.0543771	0.221531	0.222981	0.0616057	0.0650841	0.0423853	0.0151153	0.307801	0.0328022	0.205733	0.13197	0.469154	0.995758	2.40312	5	5.831312
17000	-1830.468	-1891.728	61.25992	10	1.443386	0.40964	0.0353991	0.0363371	0.147982	0.0462048	0.0559796	0.102606	0.0146403	0.0565268	0.122575	0.171043	0.0309694	0.043103	0.0769383	0.00866828	0.0464375	0.067741	0.00783573	0.0372109	0.0278236	0.0164203	0.0146708	0.192794	0.21714	0.018041	0.0303675	0.0587551	0.0214996	0.0965854	0.153855	0.0658221	0.0778742	0.0374598	0.206538	0.161927	0.0858744	0.0552972	0.0613373	0.153494	0.0188471	0.0975714	0.00715831	0.565678	0.0545191	0.0853176	0.195249	0.00438685	0.12176	0.0420973	0.430616	0.0702215	0.0219276	0.236128	0.141433	0.161896	0.298222	0.267398	0.0339756	0.0677031	0.0312177	0.195643	0.100384	0.117714	0.216443	0.578854	1.04692	2.15779	5	6.638475
18000	-1832.186	-1895.119	62.93325	10	1.27335	0.221225	0.049573	0.103508	0.0839807	0.0142737	0.0845254	0.0286388	0.0668227	0.135707	0.247726	0.297215	0.00706592	0.0357662	0.0924534	0.012498	0.0312894	0.0287718	0.134125	0.076047	0.00367332	0.0378019	0.0421864	0.179214	0.307106	0.0494486	0.000219642	0.0642186	0.034309	0.203748	0.130628	0.00784801	0.00711692	0.185473	0.0523122	0.153821	0.162413	0.0364024	0.393321	0.0268632	0.238198	0.0165888	0.0854165	0.0463127	0.0520591	0.0502186	0.133847	0.0151537	0.0966756	0.00934945	0.52163	0.0517847	0.0346439	0.00174933	0.0445095	0.0188802	0.32889	0.285825	0.177349	0.0225	0.020509	0.363811	0.125659	0.186277	0.188094	0.5459	1.03379	2.23222	5	6.757172
19000	-1826.287	-1895.313	69.02608	10	0.9808112	0.195597	0.125443	0.0122219	0.0484159	0.0242172	0.0181411	0.00436274	0.0216402	0.133584	0.168154	0.131179	0.0145635	0.0353325	0.0600303	0.0515171	0.0114694	0.0124564	0.0150208	0.0430045	0.0223207	0.0351941	0.0707308	0.113226	0.220566	0.0572489	0.0041993	0.0209413	0.0261788	0.216161	0.214228	0.0344632	0.119204	0.0595774	0.0645772	0.137228	0.00682724	0.0175265	0.0106665	0.268516	0.0568761	0.0153402	0.131733	0.0420078	0.0636682	0.0587306	0.0885113	0.132814	0.0422081	0.168268	0.54742	0.00561902	0.0991427	0.0245025	0.174072	0.301018	0.183211	0.0585507	0.0697319	0.141945	0.05816	0.372974	0.0168264	0.0288942	0.133109	0.470907	0.996746	2.39924	5	5.728156
