Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
17000	91.87768	-494.735	586.6127	0.05	0.1280531	0.0589367	0.0340632	0.0281747	0.0586394	0.0222009	0.0372189	0.0102876	0.00366042	0.0738474	0.0475588	0.0473018	0.0626307	0.295192	0.12529	0.0118203	0.0538998	0.0873949	0.096316	0.365295	1.0926e-05	0.00489673	0.175152	3.81994	1	1.519729
18000	94.30798	-489.0266	583.3346	0.05	0.2486883	0.213458	0.00847775	0.0268235	0.0742369	0.0690959	0.0401511	0.0261841	0.0140552	0.287247	0.000855352	0.074071	0.00141436	0.289019	0.296672	0.403287	0.133725	0.0032796	0.386973	0.123484	0.00205119	0.0657443	0.498711	3.43349	1	2.47251
19000	94.98006	-503.2493	598.2294	0.05	0.03892697	0.113457	0.064144	0.084315	0.0175496	0.000474656	0.0501174	0.0913387	0.0838031	0.0624838	0.103189	0.00893936	0.0216107	0.284979	0.49281	0.127329	0.0319282	0.00476865	0.118366	0.00380673	1.90539e-16	2.06164e-08	0.00103277	3.99897	1	1.765409
20000	109.3488	-487.6167	596.9655	0.05	0.08314103	0.276941	0.119085	0.0239395	0.0428498	0.0297013	0.0356442	0.0594578	0.0152574	0.0176903	0.0316037	0.00127697	0.422093	0.00147519	0.0816718	0.0232934	0.0508787	0.0232003	0.106747	0.0934609	3.17513e-08	0.000265145	0.0524031	3.94733	1	1.456268
21000	110.3283	-495.5722	605.9005	0.05	0.8678465	0.180027	0.107	0.0598248	0.00158917	0.0200725	0.062248	0.0348669	0.00841784	0.0513064	0.0537924	0.0277996	0.156891	0.289327	0.160102	0.206159	0.148675	0.0975659	0.392095	0.049459	0.109893	0.43308	0.974116	2.48291	1	2.107218
22000	74.01504	-490.401	564.4161	0.05	0.6937882	0.21794	0.00214309	0.063979	0.147281	0.0586396	0.0372849	0.121629	0.000312166	0.194582	0.100744	0.0557449	0.447846	0.679381	0.124088	0.651369	0.270551	0.520543	0.0141515	0.124615	0.0728619	0.360584	0.922545	2.64401	1	3.832824
23000	133.1305	-493.8636	626.994	0.05	0.05246383	0.21905	0.0293439	0.0714609	0.00114298	0.00148159	0.0613202	0.00406989	0.0417716	0.0188021	0.0110233	0.00912579	0.26867	0.212596	0.0579891	0.0388754	0.0203679	0.0522948	0.00868054	0.0356323	1.86068e-12	2.03498e-06	0.00694179	3.99306	1	1.163699
24000	156.7716	-490.0851	646.8567	0.05	0.2594839	0.131661	0.0303613	0.0897329	0.00606097	0.0348586	0.0299107	0.0462061	0.0198046	0.0498506	0.0590862	0.00450228	0.0146874	0.100841	0.195881	0.182673	0.0724972	0.103644	0.0255902	0.209172	0.00258354	0.0736194	0.521064	3.40273	1	1.407021
25000	148.3507	-495.5262	643.8769	0.05	0.3751636	0.268638	0.0667542	0.0164638	0.169292	0.0227924	0.0999637	0.107005	0.0336622	0.141672	0.0474931	0.0950303	0.127435	0.294894	0.165804	0.472341	0.15986	0.0624002	0.102076	0.226973	0.0133005	0.162974	0.702942	3.12078	1	2.680551
26000	171.8484	-486.1371	657.9855	0.05	0.2960934	0.185308	0.0322918	0.000927697	0.0625357	0.0450706	0.0153512	0.0279006	0.0211412	0.0755542	0.00683886	0.015088	0.171257	0.0171797	0.152027	0.160445	0.0378224	0.177107	0.363252	0.0488344	0.00498377	0.10146	0.589184	3.30437	1	1.615932
27000	162.2626	-492.8543	655.1169	0.05	1.371554	0.0721383	0.281892	0.0405679	0.0407828	0.0922865	0.0043094	0.138844	0.0395215	0.0340006	0.118956	0.00491059	0.122342	0.117709	0.303323	0.13561	0.224668	0.0930843	0.0970148	0.550348	0.204781	0.56568	1.04189	2.18764	1	2.512309
28000	170.6192	-491.079	661.6982	0.05	0.05964137	0.0922866	0.111824	0.00246362	0.0383557	0.0164061	0.0545956	0.0359481	0.0262919	0.0484754	0.032524	0.00671791	0.0389549	0.0388689	0.0291556	0.019654	0.273289	0.00521763	0.238793	0.402829	4.46887e-11	9.96694e-06	0.0134225	3.98657	1	1.512651
29000	159.0764	-490.4209	649.4974	0.05	0.4924084	0.0764962	0.0166511	0.0730643	0.0306064	0.0318651	0.0251455	0.0951197	0.0126461	0.234003	0.0503459	0.0394817	0.437933	0.0773927	0.207555	0.157405	0.323408	0.14021	0.248849	0.0733119	0.0319895	0.246931	0.814665	2.90641	1	2.35149
30000	146.2553	-487.86	634.1153	0.05	0.2011965	0.0444042	0.0382379	0.0552789	0.0197368	0.0200365	0.0384559	0.00772069	0.110722	0.0339427	0.06391	0.00215788	0.317472	0.0117437	0.0936214	0.194525	0.183981	0.175631	0.248439	0.332701	0.000553464	0.0344686	0.386773	3.5782	1	1.992719
31000	148.0065	-490.5888	638.5953	0.05	0.1739098	0.113872	0.451764	0.00856422	0.0702862	0.046551	0.0223451	0.0272335	0.018341	0.0767357	0.0710527	0.0217045	0.30571	0.0191043	0.00762105	0.117063	0.785496	0.0726996	0.283001	0.266199	0.000188461	0.020208	0.312248	3.66736	1	2.785343
32000	144.2039	-489.0702	633.274	0.05	0.2632187	0.312018	0.0358482	0.00184447	0.0200726	0.0416029	0.0244255	0.0621628	0.0040673	0.00757006	0.0102085	0.0858141	0.00957841	0.417037	0.137797	0.284906	0.428529	0.173516	0.208112	0.595212	0.0027859	0.0763887	0.528545	3.39228	1	2.860322
33000	156.3028	-485.6351	641.9379	0.05	0.2070819	0.0265364	0.0316477	0.0606919	0.0337345	0.00655278	0.0290958	0.0126921	0.0451281	0.0357734	0.00890731	0.0280159	0.20012	0.0836072	0.206469	0.0878516	0.141391	0.684692	0.181974	0.0408836	0.000672663	0.0379584	0.401887	3.55948	1	1.945764
34000	169.8563	-486.6578	656.5141	0.05	0.06368003	0.0733683	0.0892279	0.0489077	0.0222783	0.0126263	0.0124564	0.00121015	0.0231646	0.0135824	0.0434785	0.00137192	0.0498239	0.0238523	0.0585354	0.0784238	0.030902	0.0330326	0.273582	0.135866	1.95039e-10	2.08151e-05	0.0182216	3.98176	1	1.025691
35000	140.4579	-489.831	630.2889	0.05	0.1480735	0.0935843	0.060498	0.0146481	0.0581637	0.0228629	0.0652822	0.0223614	0.0484187	0.158012	0.0404374	0.0358591	0.131057	0.257037	0.0100835	0.192854	0.711333	0.00837041	0.144223	0.462504	4.70787e-05	0.0101389	0.236008	3.75381	1	2.537588
36000	151.1107	-486.7878	637.8985	0.05	1.009437	0.263582	0.0318315	0.0191317	0.0960115	0.0639505	0.0503179	0.037817	0.00159809	0.00365316	0.0249694	0.0352103	0.0273545	0.26457	0.567211	0.391113	0.307559	0.194414	0.406992	0.0807902	0.138833	0.47957	1.00155	2.38005	1	2.868077
37000	162.6082	-486.7908	649.399	0.05	0.8827811	0.541232	0.00388266	0.0098142	0.0920526	0.0557793	0.125269	0.0350624	0.0144151	0.0542846	0.0363648	0.0387056	0.174213	0.383545	0.240317	0.234327	0.139205	0.174868	0.290494	0.0540641	0.113014	0.438444	0.977494	2.47105	1	2.697895
