Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-748.87	-788.96	40.09006	10	1.7823	0.278863	0.0697221	0.0121246	0.0945854	0.0433134	0.0166775	0.0856746	0.00483809	0.174915	0.0700056	0.270128	0.067617	0.0398407	0.0214613	0.0138924	0.0179299	0.065543	0.0430762	0.0874794	0.0512857	0.0450868	0.017038	0.072356	0.124269	0.0584918	0.0425643	0.0625387	0.0309391	0.111984	0.160851	0.0375217	0.07121	0.174402	0.0274318	0.129936	0.136967	0.280761	0.0472014	0.00377419	0.138345	0.00938804	0.126695	0.240975	0.111581	0.213988	0.151316	0.148698	0.0087226	0.108683	0.0400906	0.756171	0.0147492	0.0616186	0.160945	0.207122	0.232053	0.0199218	0.265827	0.629669	1.06345	2.04106	5	5.915359
11000	-748.65	-789.1317	40.48176	10	1.946079	0.114277	0.0381046	0.0277948	0.0219539	0.0198676	0.0535364	0.0872737	0.00017322	0.133446	0.0521172	0.185759	0.0903262	0.121524	0.00459892	0.00158571	0.0334936	0.00220922	0.0990496	0.0428595	0.103658	0.0326854	0.0985726	0.0536567	0.1866	0.0439565	0.168656	0.0182234	0.0350515	0.10233	0.194636	0.445338	0.0225658	0.286181	0.129182	0.0607823	0.041264	0.112119	0.0786717	0.372596	0.00454084	0.0101951	0.0289715	0.254371	0.30724	0.0495866	0.185644	0.035766	0.109025	0.0902299	0.206855	0.0421003	0.0319827	0.0690598	0.0970012	0.0464002	0.0420966	0.288523	0.286752	0.649154	1.06858	1.99551	5	5.616264
12000	-755.1328	-795.6601	40.52727	10	1.767799	0.148323	0.0247647	0.0909903	0.0456067	0.0501885	0.01627	0.0687548	0.00849958	0.061477	0.0555146	0.400117	0.127789	0.0953533	0.0197888	0.0056007	0.0162678	0.041375	0.0552901	0.0326386	0.0445258	0.0344491	0.106368	0.100489	0.13958	0.0230595	0.067118	0.0293748	0.058566	0.0550683	0.0142793	0.0366369	0.174452	0.0219448	0.124468	0.00998766	0.00121645	0.0718016	0.0296474	0.00551335	0.109643	0.0387902	0.341784	0.0875237	0.100828	0.100661	0.0372888	0.276593	0.0665884	0.253361	0.054841	0.0152085	0.285042	0.289022	0.226295	0.0280814	0.0513014	0.235781	0.263888	0.627809	1.06292	2.04538	5	5.111789
13000	-757.8871	-791.5019	33.61476	10	1.024855	0.16856	0.103905	0.0647597	0.097674	0.0662821	0.0318023	0.00243625	0.026634	0.116873	0.184127	0.514227	0.172538	0.0155991	0.00874294	0.000496252	0.0027853	0.00781674	0.013736	0.0807334	0.0381797	0.0272594	0.00775798	0.00583859	0.071568	0.0816961	0.10828	0.26416	0.0713558	0.000210618	0.086953	0.100506	0.190857	0.00310693	0.314579	0.109235	0.0174966	0.0814306	0.0784053	0.0889442	0.000774463	0.0230463	0.319675	0.0619521	0.140799	0.0767252	0.0684163	0.262829	0.00743881	0.22115	0.155447	0.546724	0.0254065	0.0842267	0.114138	0.0685821	0.0449509	0.191045	0.141886	0.484097	1.004	2.37002	5	5.840874
14000	-785.7534	-800.6349	14.88142	1	1.296376	0.244144	0.0104816	0.0181176	0.0885829	0.032794	0.0551291	0.254469	0.00814859	0.233106	0.0426637	0.114975	0.0132518	0.031418	0.00209823	0.00856732	0.0598958	0.0933104	0.0219419	0.0719989	0.0203539	0.0236681	0.0224886	0.026242	0.185082	0.328215	0.0339578	0.103753	0.0560941	0.06024	0.218072	0.0351888	0.0325619	0.713514	0.294834	0.0353222	0.074557	0.0516672	0.117106	0.0152489	0.0188866	0.00151698	0.125108	0.0195948	0.114376	0.19609	0.210341	0.00664895	0.0490953	0.188889	0.0680749	0.137728	0.098964	0.076168	0.00580736	0.0691911	0.0898405	0.0893079	0.192086	0.550737	1.03583	2.22134	3	5.418889
15000	-761.4965	-793.2638	31.7673	2	0.8496497	0.0586409	0.0777186	0.0181319	0.0114548	0.067397	0.08065	0.0434807	0.0559373	0.0867716	0.0382485	0.1449	0.220919	0.0109497	0.0138463	0.0123916	0.0339949	0.00890262	0.0573623	0.0391435	0.0944843	0.000667436	0.13887	0.00487183	0.0215863	0.0307031	0.0117506	0.263725	0.0139125	0.169234	0.122732	0.0808733	0.0972842	0.187896	0.0993855	0.124022	0.0478614	0.229247	0.0629248	0.0480986	0.0456668	0.00155342	0.0492388	0.0453036	0.219285	0.0293862	0.0676435	0.0298653	0.0184674	0.108837	0.0037632	0.00454797	0.109352	0.187653	0.0935967	0.0411186	0.418197	0.13008	0.106071	0.426381	0.969817	2.49773	4	4.534527
16000	-751.3255	-792.373	41.0475	10	1.701202	0.143675	0.0051426	0.0632938	0.0309717	0.0531355	0.00241186	0.0573268	0.00554267	0.0371947	0.0830498	0.384973	0.487334	0.0076985	0.0307395	0.00789677	0.0073506	0.0174051	0.0404426	0.0282972	0.0461047	0.0388338	0.130181	0.111785	0.065453	0.075123	0.0170193	0.187002	0.0177017	0.198393	0.0680885	0.134637	0.0140322	0.0257323	0.177301	0.0441889	0.196331	0.214769	0.0207996	0.332455	0.129722	0.00952016	0.211041	0.118922	0.046364	0.037226	0.00271901	0.0983394	0.0548881	0.0082302	0.02337	0.00222842	0.27847	0.337355	0.198107	0.182043	0.0434744	0.0203698	0.254799	0.618947	1.06034	2.06592	5	5.412203
17000	-739.0681	-786.664	47.59592	10	0.6710606	0.127136	0.0842443	0.0530202	0.0392854	0.012878	0.0549001	0.0934697	0.0369029	0.0431012	0.123709	0.131581	0.0501032	0.0386922	0.00797805	0.00653186	0.0104369	0.00770207	0.0459679	0.0143261	0.072986	0.00822344	0.0421239	0.14112	0.045742	0.0467014	0.0430038	0.117145	0.041359	0.0677947	0.274228	0.166801	0.0518263	0.0828144	0.0725796	0.0713788	0.0365589	0.0473466	0.0450491	0.0449227	0.0244507	0.247573	0.0507032	0.273002	0.0581796	0.00234646	0.0564239	0.188755	0.0627023	0.0240479	0.00270254	0.0804611	0.283919	0.505037	0.101983	0.0432661	0.189577	0.00604681	0.0680207	0.34955	0.913653	2.66878	5	4.702847
18000	-740.9762	-786.4315	45.45536	10	2.675474	0.137165	0.0618386	0.0334126	0.065284	0.00745345	0.0322057	0.0466821	0.00951721	0.0760845	0.0696317	0.324035	0.210283	0.0211592	0.0122405	0.00587817	0.0288391	0.0409475	0.0622341	0.0213639	0.0178505	0.0113152	0.0695026	0.0522441	0.125082	0.0186131	0.00811555	0.0390364	0.0499789	0.205806	0.0289995	0.0798664	0.0791629	0.0759091	0.178796	0.129978	0.0224264	0.0305105	0.0295469	0.181075	0.0171561	0.141517	0.0868338	0.0178312	0.0994336	0.106688	0.0488456	0.184327	0.020041	0.071068	0.163356	0.116795	0.0148844	0.246899	0.0777792	0.292202	0.20559	0.0488022	0.362486	0.711814	1.08037	1.84533	5	4.660119
19000	-758.0594	-792.2376	34.17824	10	1.185527	0.137239	0.166703	0.0354737	0.0121459	0.0712892	0.0669976	0.0959048	0.0233621	0.0763712	0.127883	0.290489	0.0745407	0.0247786	0.010075	0.00486118	0.031498	0.0203292	0.0509723	0.00473263	0.151537	0.053076	0.117283	0.00684545	0.0699068	0.104164	0.0227311	0.059414	0.0345443	0.0973023	0.0416753	0.173335	0.0586432	0.210054	0.188878	0.0712203	0.0675175	0.17237	0.0652736	0.0441279	0.251972	0.114238	0.107172	0.162236	0.029174	0.17654	0.27233	0.0435652	0.119056	0.0582482	0.0684939	0.176352	0.0109604	0.0204625	0.00652068	0.701841	0.0339353	0.160863	0.17242	0.526202	1.02503	2.27635	5	5.649505
20000	-773.2415	-789.3245	16.08293	2	1.078281	0.244363	0.00837709	0.0256571	0.054841	0.131788	0.0353275	0.0844416	0.065851	0.0629623	0.103753	0.149511	0.0370525	0.00973396	0.0110682	0.0310722	0.0178089	0.00998683	0.014585	0.0393852	0.0258367	0.0746604	0.00581247	0.0773377	0.184875	0.0967723	0.260011	0.0143914	0.012507	0.123068	0.0442684	0.0722254	0.32795	0.268539	0.158875	0.0905638	0.0433394	0.0437847	0.0535567	0.188177	0.107824	0.302436	0.406118	0.118392	0.013633	0.310215	0.0248657	0.0242883	0.0103859	0.0205151	0.194938	0.117115	0.08609	0.0392238	0.470578	0.134944	0.0630232	0.138079	0.152303	0.499079	1.01185	2.33677	4	5.88678
21000	-788.334	-797.4255	9.091456	2	1.010242	0.141676	0.0349733	0.00583495	0.0628541	0.163326	0.0511076	0.0244588	0.0238408	0.00664639	0.055506	0.143446	0.305846	0.00372919	0.00271043	0.00299861	0.100871	0.00714202	0.0186957	0.041689	0.0952715	0.0238263	0.0982176	0.0356477	0.102147	0.100712	0.044449	0.171921	0.146357	0.115023	0.242391	0.2538	0.285433	0.442062	0.0470647	0.0338271	0.020923	0.0189931	0.00131105	0.0513458	0.125224	0.298141	0.34088	0.217661	0.249339	0.0333262	0.133477	0.0696077	0.129315	0.237338	0.187027	0.267976	0.143848	0.126058	0.133727	0.113762	0.138651	0.0430141	0.138993	0.479809	1.00168	2.37952	4	6.516449
22000	-753.8364	-789.5393	35.70292	10	0.7305603	0.254556	0.0635279	0.034369	0.0138297	0.0465435	0.0657528	0.0997685	0.00291898	0.00534221	0.132369	0.0910083	0.19026	0.238254	0.00439572	0.0020785	0.00584175	0.0100378	0.018965	0.0121394	0.165443	0.0875823	0.044539	0.0515528	0.0461568	0.175578	0.0137547	0.0815843	0.000114608	0.201899	0.204876	0.106991	0.194959	0.0345299	0.0125663	0.0642144	0.15603	0.0169906	0.141019	0.154315	0.0672201	0.00988405	0.201637	0.0987527	0.0942281	0.0659951	0.0445326	0.0978236	0.163111	0.367337	0.0230953	0.0873932	0.105006	0.159961	0.0116856	0.389769	0.188082	0.62352	0.0807242	0.377599	0.935687	2.60599	5	6.045686
23000	-754.2032	-785.9497	31.74649	10	1.88125	0.219788	0.0236265	0.110616	0.0368162	0.0223842	0.112198	0.0651583	0.0226423	0.117941	0.0522166	0.214039	0.213333	0.109881	0.0141384	0.00851409	0.0664569	0.0111045	0.0505544	0.0417958	0.00679337	0.00813187	0.100412	0.112839	0.0896113	0.0393646	0.0234817	0.100261	0.0667786	0.0983051	0.075721	0.120587	0.0314885	0.133411	0.35722	0.0997168	0.107947	0.0524567	0.243854	0.354381	0.00968103	0.0990287	0.0713589	0.137989	0.0102832	0.159603	0.135182	0.0980582	0.0858085	0.0472599	0.000608186	0.378509	0.00614726	0.136099	0.067333	0.18883	0.00890584	0.0729736	0.278675	0.641761	1.06671	2.01285	5	5.449626
24000	-749.5959	-792.3269	42.73094	10	1.057699	0.158279	0.022797	0.0124461	0.0658152	0.0517676	0.0319327	0.177678	0.00230643	0.0524086	0.0836607	0.224976	0.0633985	0.100712	0.0113004	0.00891331	0.0225336	0.0507034	0.00948014	0.0608033	0.0204075	0.0220911	0.00361561	0.000139387	0.117863	0.0439473	0.0231572	0.106034	0.0371816	0.00746584	0.187108	0.123881	0.030917	0.0327076	0.240351	0.0427445	0.0794046	0.0059722	0.0328972	0.0567726	0.0131949	0.215393	0.00234807	0.0744821	0.0175851	0.109921	0.38777	0.24722	0.00702315	0.22541	0.00880485	0.240904	0.00694653	0.274709	0.221979	0.122042	0.197639	0.019481	0.148321	0.493433	1.00894	2.34931	5	4.819423
25000	-747.8976	-786.2417	38.3441	10	1.457985	0.132315	0.137174	0.00866258	0.0600041	0.0157403	0.00411315	0.0879418	0.00183982	0.142091	0.0211982	0.573671	0.232858	0.0586668	0.0203994	0.000520792	0.0132136	0.0509129	0.0608893	0.069079	0.0481639	0.105152	0.14712	0.0181514	0.0846886	0.0603498	0.00302924	0.0651497	0.0922043	0.0333613	0.342107	0.0607357	0.0622277	0.0198955	0.0164209	0.115678	0.296538	0.0701393	0.238538	0.115941	0.0184061	0.0509889	0.0545516	0.0145668	0.0439085	0.0804377	0.121177	0.00590069	0.0573584	0.097525	0.0218859	0.508268	0.261856	0.00165155	0.135078	0.0712099	0.0875084	0.0711	0.218759	0.58141	1.04786	2.15198	5	5.39026
26000	-762.4158	-790.715	28.2992	10	0.8408307	0.0988387	0.0142708	0.0258569	0.0925414	0.100575	0.0322732	0.0409856	0.00295893	0.0715379	0.032105	0.101807	0.169437	0.0233884	0.0176222	0.0315709	0.0207512	0.0390551	0.0338132	0.00777766	0.0731233	0.00135401	0.14291	0.0447833	0.0477888	0.00539604	0.0717265	0.0595802	0.0472047	0.0661227	0.130364	0.263855	0.0660448	0.11517	0.203855	0.409738	0.14819	0.0142628	0.234644	0.0811972	0.0665792	0.0544243	0.134573	0.293777	0.211341	0.00683575	0.24814	0.0469543	0.0461821	0.00870956	0.312843	0.207367	0.0466221	0.0233282	0.156815	0.011596	0.24486	0.105989	0.104213	0.423068	0.967657	2.50506	5	5.411412
27000	-747.1402	-785.2309	38.0907	10	1.171995	0.170954	0.206533	0.0209051	0.174581	0.0206427	0.0136462	0.0968793	0.00975878	0.0709424	0.0383822	0.254309	0.0812881	0.0697524	0.00103432	0.0429162	0.00236108	0.0718454	0.0597652	0.0179376	0.0351348	0.042219	0.115637	0.0495182	0.0209726	0.0381955	0.0173204	0.0452146	0.0140539	0.0420891	0.230984	0.0627711	0.161368	0.0949205	0.0759513	0.0729457	0.0256701	0.00250138	0.0149627	0.0859756	0.00156941	0.325341	0.425761	0.0342718	0.277326	0.0497793	0.0351513	0.055887	0.226912	0.606394	0.0504603	0.0311225	0.0428278	0.00121471	0.0986253	0.25556	0.263748	0.0181837	0.169941	0.522978	1.02353	2.28355	5	5.472975
28000	-766.6459	-788.9707	22.32479	10	1.404007	0.172994	0.056274	0.0178688	0.000857217	0.0384312	0.0906675	0.0331418	0.00418277	0.0451028	0.1508	0.327445	0.358479	0.0964015	0.00225476	0.00211745	0.0839455	0.0529103	0.0155377	0.0775245	0.0714314	0.0533915	0.142439	0.180944	0.161167	0.168839	0.00526556	0.0450015	0.0728367	0.122023	0.267612	0.0668747	0.0517547	0.077773	0.0485551	0.14535	0.0286511	0.154239	0.122736	0.251787	0.245695	0.0348457	0.152667	0.0861541	0.271963	0.332506	0.0290131	0.138521	0.00182882	0.0361937	0.0644397	0.105467	0.0354324	0.0187186	0.0635018	0.47562	0.0131615	0.349951	0.210105	0.571757	1.04425	2.17389	5	6.321287
29000	-778.4201	-782.5202	4.100134	2	1.071649	0.0771786	0.0173607	0.00817832	0.0669794	0.0536356	0.0529606	0.0616892	0.0187297	0.19515	0.157307	0.303203	0.435001	0.0674401	0.00413477	0.0126459	0.0246615	0.0620134	0.00446322	0.00789269	0.10256	0.00258408	0.00981939	0.130654	0.0259135	0.110816	0.0239736	0.128177	0.0212203	0.0176734	0.201584	0.0883288	0.0111198	0.230178	0.0933957	0.0334963	0.0477099	0.276591	0.0802005	0.240926	0.0293116	0.163231	0.214531	0.797809	0.491294	0.124238	0.177825	0.100814	0.0289476	0.00195015	0.105934	0.306045	0.351444	0.0111767	0.094398	0.187848	0.104864	0.292525	0.151024	0.497277	1.01093	2.34077	4	7.09173
30000	-764.7435	-787.1047	22.36125	2	0.5387877	0.121048	0.0727765	0.172152	0.0408296	0.126188	0.00675325	0.0985835	0.0664576	0.0527474	0.132287	0.103855	0.111906	0.0434495	0.00432867	0.00700865	0.00537983	0.00778331	0.0681345	0.0190691	0.0115329	0.0396534	0.0254644	0.0246712	0.00192022	0.0636328	0.0352329	0.132244	0.0758646	0.0298123	0.0178573	0.00746396	0.0190206	0.156345	0.161729	0.0140043	0.158967	0.075248	0.122169	0.414903	0.0281674	0.332415	0.0710562	0.0549045	0.104168	0.116177	0.0979905	0.0271386	0.00510402	0.467411	0.140778	0.077608	0.00821186	0.257678	0.103535	0.329072	0.1377	0.082548	0.0407828	0.276485	0.846561	2.83617	4	5.290136
31000	-755.8205	-799.1409	43.32044	10	0.5272475	0.101514	0.133962	0.0272584	0.0108293	0.0192719	0.0169463	0.173411	0.00818432	0.0638671	0.00115724	0.180897	0.456594	0.0301774	0.0120691	0.00241989	0.00564336	0.09535	0.0943921	0.0561238	0.045368	0.00476766	0.166317	0.131306	0.0600514	0.0605806	0.00773462	0.0348522	0.116364	0.0758662	0.00530378	0.131512	0.00389701	0.0668661	0.0043824	0.0214459	0.0297214	0.0295259	0.0576868	0.115125	0.0369545	0.0487893	0.0290288	0.412327	0.0453583	0.0857597	0.0228542	0.00247827	0.349861	0.107885	0.0359362	0.187129	0.149981	0.087238	0.0559525	0.0692521	0.176463	0.0887116	0.0385423	0.269332	0.839125	2.853	5	4.650702
32000	-746.3768	-787.1512	40.7744	10	0.7801521	0.233154	0.0327145	0.00239094	0.0311231	0.119277	0.0761734	0.0930136	0.00887334	0.0371716	0.142064	0.225263	0.0556015	0.0180677	0.0353507	0.00572368	0.00410971	0.0313322	0.0482689	0.00619728	0.141374	0.0032448	0.0573974	0.045919	0.0254435	0.00487032	0.0636421	0.0796015	0.0283328	0.0530526	0.0560878	0.121768	0.0470984	0.0578296	0.397034	0.0836956	0.144211	0.00407371	0.21336	0.0115216	0.00719795	0.101403	0.53947	0.0694792	0.183858	0.0696279	0.0136747	0.124665	0.098716	0.115837	0.0297924	0.295788	0.0573061	0.0908338	0.0856211	0.31937	0.257452	0.0373128	0.0913288	0.399019	0.9513	2.55835	5	5.342835
33000	-750.6038	-789.2862	38.68233	10	0.8782835	0.0721076	0.0463364	0.0166096	0.130711	0.0485324	0.0600636	0.160844	0.0228187	0.114413	0.0306262	0.163979	0.153154	0.0173391	0.0208254	0.0267887	0.00198799	0.0547612	0.0271832	0.0435947	0.11129	0.00778569	0.06061	0.0289984	0.0497221	0.0682757	0.0221971	0.112999	0.0457848	0.0719077	0.303473	0.0454043	0.0492334	0.0985825	0.015245	0.22713	0.0067177	0.0671874	0.0315891	0.0310493	0.0308586	0.0621657	0.0345808	0.231114	0.316024	0.244462	0.229319	0.0803751	0.0857635	0.0208124	0.103758	0.101501	0.157185	0.185407	0.0261315	0.308191	0.0311283	0.559087	0.112075	0.436841	0.976491	2.47459	5	5.47572
