Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-2010.208	-2148.64	138.4316	10	2.414967	0.0509534	0.0519409	0.0144895	0.00433166	0.00819382	0.00785235	0.138629	0.0514508	0.000223096	0.0345624	0.346356	0.0730858	0.0697156	0.054408	0.022757	0.0272195	0.00996507	0.0247683	0.00844966	0.0183626	0.041653	0.0128726	0.0833566	0.0216982	0.23897	0.752016	0.0963444	0.0463069	0.083511	0.0562533	0.0032751	0.153793	0.0159783	0.0282098	0.00531952	0.0818087	0.0337782	0.0149634	0.0292564	0.130254	0.203659	0.181258	0.097141	0.0435159	0.0152376	0.237376	0.00967306	0.249989	0.167162	0.338244	0.692949	1.07759	1.89121	5	4.152345
11000	-2023.954	-2145.924	121.9702	10	2.562802	0.0649821	0.105181	0.0206524	0.000198068	0.0181	0.0102672	0.181623	0.0201287	0.0234365	0.0542332	0.271898	0.0737956	0.0150888	0.035739	0.0243179	0.0269971	0.00433761	0.00981805	0.00933642	0.0360837	0.0385049	0.0214176	0.09693	0.0498326	0.142475	0.643909	0.161091	0.0813062	0.0162476	0.035418	0.00945794	0.413143	0.0419658	0.027002	0.108531	0.0652627	0.0241155	0.0457693	0.0875607	0.168239	0.219717	0.216162	0.11035	0.042904	0.0175601	0.392045	0.0151393	0.179539	0.253823	0.352331	0.704035	1.07931	1.86433	5	4.731632
12000	-2030.46	-2142.912	112.4517	10	2.514248	0.0787706	0.0153498	0.0137796	0.00571858	0.00599146	0.0053935	0.174952	0.0228705	0.0129648	0.0966261	0.295113	0.0774228	0.0176953	0.0432118	0.00771609	0.0246659	0.0102774	0.00765439	0.0271351	0.014786	0.0189992	0.016693	0.0362746	0.0227835	0.200979	1.28435	0.132856	0.0211389	0.0495868	0.00185985	0.0590836	0.0809771	0.0260243	0.00110391	0.0565167	0.0141719	0.0533325	0.0909671	0.156554	0.142294	0.539778	0.266928	0.0832282	0.0569468	0.0413115	0.795913	0.104882	0.276267	0.0840234	0.347803	0.70051	1.07879	1.8729	5	5.673922
13000	-2043.664	-2157.159	113.4947	10	5.295671	0.12274	0.0569252	0.00662924	0.00941906	0.00207875	0.00670129	0.125627	0.0519551	0.00789024	0.0336273	0.0541748	0.0509423	0.11239	0.0298986	0.0174976	0.0695734	0.00454785	0.00906507	0.0215486	0.060898	0.0489099	0.0168094	0.11218	0.0937541	0.316645	0.626759	0.0422508	0.059836	0.108163	0.00870115	0.0232971	0.079807	0.0018624	0.00703789	0.0590621	0.0547987	0.0303705	0.0127497	0.0810887	0.156429	0.263494	0.216113	0.175469	0.0625869	0.0263028	0.457233	0.0291702	0.15201	0.318846	0.513913	0.810716	1.08275	1.59262	5	4.495865
14000	-2037.197	-2141.714	104.5167	10	4.418966	0.0596218	0.0285613	0.0114929	0.00433954	0.0090709	0.0114974	0.20812	0.0263962	0.0466987	0.0576693	0.136318	0.079632	0.0382517	0.030629	0.0259181	0.021373	0.0123984	0.0174248	0.00649676	0.0152834	0.0208575	0.00882844	0.0833627	0.0244119	0.426194	1.31137	0.00378646	0.0397579	0.0338241	0.0258494	0.111024	0.30208	0.0478225	0.0224413	0.123855	0.0140536	0.01494	0.0181632	0.018997	0.159363	0.444521	0.18858	0.0240059	0.0401088	0.0352592	0.275471	0.0550972	0.156606	0.299372	0.475995	0.788556	1.08413	1.65131	5	5.177197
15000	-2022.003	-2142.378	120.3754	10	2.712691	0.0562403	0.0564732	0.00226009	0.00316639	0.00277454	0.00310222	0.133221	0.0528825	0.0468055	0.0421351	0.00560761	0.0756118	0.0444096	0.0496443	0.0203239	0.0210392	0.0134457	0.0131911	0.0122511	0.015064	0.0103257	0.00273719	0.141483	0.00256652	0.172595	0.923662	0.00582812	0.0355435	0.00380742	0.0450355	0.221228	0.111098	0.0420215	0.00852487	0.132747	0.0367749	0.0102544	0.021745	0.0853513	0.132834	0.470593	0.245768	0.0424594	0.0883765	0.037506	0.351703	0.0117918	0.18001	0.652107	0.365737	0.714268	1.08068	1.83932	5	4.896127
16000	-2021.186	-2127.795	106.6097	10	3.980977	0.0909541	0.0574466	0.00790825	0.00151675	0.00520614	0.0126068	0.154052	0.0621233	0.031545	0.000246816	0.333312	0.162111	0.0203204	0.0575526	0.0266691	0.026143	0.0136564	0.0122378	0.00995476	0.000279503	0.0105148	0.0333471	0.0322023	0.0167454	0.145195	0.906155	0.0884192	0.0492119	0.0381109	0.0820606	0.530841	0.166825	0.02744	0.0697114	0.154451	0.0583134	0.00340475	0.036867	0.0626771	0.168182	0.186448	0.23967	0.00295192	0.0737823	0.0417903	0.628731	0.0222837	0.200804	0.190073	0.453314	0.774549	1.0844	1.68773	5	5.353051
17000	-2029.645	-2151.656	122.0111	10	3.658767	0.022048	0.106348	0.00956149	0.00257136	0.00478172	0.00914437	0.152931	0.039402	0.0127939	0.0859663	0.00427453	0.0735041	0.0403621	0.0680045	0.00823784	0.0184208	0.0135153	0.00413069	0.011902	0.00714097	0.0145188	0.0326364	0.109117	0.0148233	0.0194262	0.912079	0.0565582	0.0292797	0.0287332	0.0580847	0.345666	0.0388343	0.0594123	0.00980009	0.0901439	0.0164572	0.0190452	0.0348918	0.0299336	0.135996	0.326193	0.205147	0.0373272	0.137963	0.033873	0.527711	0.0440162	0.216174	0.449636	0.434574	0.762516	1.08428	1.71863	5	4.728518
18000	-2030.691	-2147.544	116.8531	10	2.457268	0.110437	0.029136	0.00194077	0.00730594	0.00979626	0.0280969	0.253717	0.0345248	0.0281211	0.109286	0.0273015	0.0800206	0.00108105	0.0412599	0.0224381	0.0197049	0.00769797	0.00980496	0.00246047	0.0134409	0.0414006	0.00973804	0.0565297	0.104431	0.342137	0.835463	0.108696	0.00382875	0.0206411	0.0521974	0.52506	0.086109	0.0184409	0.110082	0.00354305	0.0472717	0.0132229	0.0708403	0.0303634	0.14766	0.0716309	0.224338	0.0319729	0.0738753	0.0338053	0.387362	0.0104573	0.198409	0.352128	0.342367	0.69623	1.07813	1.88328	5	4.849208
19000	-2028.796	-2143.801	115.0041	10	3.132372	0.0903963	0.103353	0.000669732	0.00438956	0.00773501	0.0109306	0.154923	0.0437815	0.00971198	0.108109	0.147191	0.139475	0.000955138	0.0461077	0.0199329	0.0122386	0.00740199	0.0134446	0.00740279	0.0219544	0.0367236	0.0329506	0.109266	0.00715735	0.11941	0.87616	0.0827103	0.108169	0.111319	0.0503962	0.28575	0.0613701	0.0346991	0.0129255	0.0186484	0.0181265	0.0453568	0.016716	0.0792299	0.0754797	0.540298	0.142093	0.0194689	0.00337061	0.0231561	0.616627	0.0678347	0.164055	0.256506	0.39925	0.738603	1.0831	1.77905	5	4.966076
