Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-254.8577	-291.5572	36.69942	10	0.3693273	0.234578	0.0403601	0.0130238	0.0191977	0.0243615	0.107579	0.0115452	0.029057	0.119502	0.00830911	0.124101	0.0863237	0.00277704	0.0855376	0.116155	0.125905	0.225499	0.0125494	0.1585	0.695835	3.13312	5	1.373813
21000	-274.0814	-299.2014	25.11996	10	0.6956438	0.194037	0.0119419	0.0590008	0.10582	0.031233	0.172498	0.141973	0.0734417	0.166471	0.0486394	0.213839	0.0379649	0.113495	0.218262	0.251209	0.033645	0.210521	0.073258	0.361468	0.923243	2.64203	5	2.083991
22000	-264.1407	-294.6283	30.48752	10	1.191094	0.0808731	0.153623	0.0469241	0.134828	0.0552927	0.103321	0.014349	0.00860456	0.117572	0.134735	0.208507	0.154088	0.0664113	0.273183	0.19389	0.00402929	0.150796	0.173435	0.527513	1.02564	2.27342	5	1.901026
23000	-260.0089	-289.5604	29.55145	10	1.850071	0.21046	0.00135088	0.0134528	0.00689761	0.059155	0.0730637	0.00877979	0.0173631	0.131353	0.116114	0.065024	0.249428	0.0475887	0.179855	0.250721	0.139638	0.153982	0.274696	0.638061	1.06574	2.0215	5	1.724227
24000	-271.6735	-292.8025	21.12902	10	3.966822	0.139973	0.0293794	0.00904107	0.0782896	0.0265769	0.00903595	0.0213425	0.00650528	0.0665256	0.255953	0.62728	0.224474	0.0097146	0.00723034	0.0962864	0.352541	0.216423	0.45253	0.774054	1.0844	1.68901	5	2.176573
25000	-269.1437	-292.941	23.79726	10	2.479289	0.133692	0.00562385	0.119826	0.0220289	0.0142553	0.0613622	0.0309667	0.0669204	0.0626537	0.133005	0.479627	0.249318	0.352402	0.130738	0.0609952	0.046436	0.276184	0.344484	0.697903	1.07839	1.87922	5	2.246034
26000	-266.9666	-297.8096	30.84299	10	1.057123	0.028774	0.119278	0.00263731	0.0196432	0.0354241	0.0747859	0.0604747	0.0608248	0.0700384	0.168746	0.228482	0.0438302	0.358823	0.0210222	0.164844	0.0577435	0.199978	0.148209	0.493273	1.00886	2.34966	5	1.715349
27000	-286.6148	-295.8079	9.193041	2	0.7957608	0.235844	0.0321615	0.0286728	0.11014	0.0420361	0.0590791	0.0233099	0.0137317	0.127428	0.0995634	0.0469329	0.251352	0.565935	0.0149529	0.371962	0.401004	0.41253	0.0946564	0.405422	0.955773	2.54415	4	2.836635
28000	-260.8272	-291.8036	30.97645	10	1.235392	0.36638	0.00444728	0.00613732	0.0425697	0.0632732	0.0782077	0.0294971	0.00437936	0.0951646	0.082187	0.220059	0.166891	0.361662	0.046448	0.141221	0.211131	0.0691318	0.181408	0.537638	1.0302	2.25076	5	1.988787
29000	-268.4974	-293.3223	24.82484	10	1.28836	0.24276	0.040452	0.00945201	0.103141	0.0279632	0.157535	0.00107491	0.037632	0.171571	0.116776	0.176452	0.308872	0.0529318	0.2165	0.347538	0.13652	0.0856615	0.190702	0.549068	1.03513	2.2251	5	2.232833
