Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
18000	-8.679637	-43.51188	34.83225	10	0.905072	0.101306	0.0347304	0.0131613	0.00952163	0.106255	0.215263	0.00216035	0.0015447	0.0686631	0.191055	0.0698733	0.0783573	0.016355	0.052565	0.0546491	0.00314783	0.18427	0.024096	0.150799	0.117646	0.446234	0.982299	2.45382	5	1.377773
19000	-24.48807	-42.76161	18.27354	2	2.046143	0.315652	0.0854691	0.0688368	0.0130357	0.0104458	0.082166	0.00268112	0.043477	0.114817	0.0271004	0.0435402	0.242103	0.0762737	0.0280771	0.234551	0.142201	0.100958	0.104442	0.0465343	0.298721	0.659832	1.0711	1.97034	4	1.782361
20000	-32.64772	-45.4764	12.82868	2	0.6935609	0.0439849	0.0689207	0.00291783	0.0246186	0.0671906	0.0225163	0.212571	0.119839	0.245544	0.314922	0.00327579	0.117485	0.549144	0.0880384	0.00993393	0.641383	0.104581	0.0095491	0.0227557	0.0728134	0.360476	0.922459	2.64425	4	2.669171
21000	-11.16159	-42.36258	31.20099	10	1.357186	0.0344589	0.0363046	0.0704549	0.0188125	0.13354	0.139225	0.00303269	0.0436365	0.0288779	0.0684367	0.162911	0.239836	0.0336714	0.272735	0.00335764	0.0163141	0.102244	0.21315	0.0564792	0.202394	0.56292	1.0408	2.19388	5	1.677477
22000	-23.89763	-40.26814	16.37051	2	0.7560119	0.713712	0.136613	0.0229906	0.0602732	0.00129926	0.0706994	0.00095017	0.00809949	0.0107961	0.13834	0.15211	0.197385	0.354243	0.0251277	0.120976	0.0531884	0.00819075	0.0169613	0.179092	0.0861706	0.388802	0.943979	2.58105	4	2.271047
23000	-25.42841	-46.161	20.73259	2	0.2006438	0.112747	0.32537	0.0210891	0.020875	0.0353413	0.0682465	0.0380195	0.0381301	0.00284793	0.0426262	0.24215	0.195876	0.00276792	0.0405931	0.00659247	0.171951	0.264871	0.0228815	0.0612738	0.000543099	0.0341477	0.385336	3.57997	4	1.714249
24000	-24.72	-41.35059	16.63059	2	0.5865202	0.0187327	0.0075435	0.128651	0.0575359	0.161498	0.143149	0.138651	0.0679515	0.209673	0.00212345	0.0665157	0.151257	0.0418251	0.131845	0.256077	0.121188	0.363609	0.110203	0.0496681	0.0503403	0.304696	0.874283	2.77068	4	2.227696
25000	-22.67605	-46.02572	23.34967	10	2.044276	0.0895672	0.139739	0.0976284	0.0864974	0.0759395	0.130126	0.00146145	0.0354974	0.0396334	0.2139	0.463395	0.0978991	0.00314498	0.333685	0.0770746	0.0600551	0.111966	0.109283	0.0442578	0.298503	0.659641	1.07106	1.9708	5	2.21075
26000	-16.73211	-42.17951	25.4474	10	3.135999	0.155027	0.0932737	0.0391393	0.114478	0.296248	0.113831	0.0766757	0.0453257	0.0488568	0.0934917	0.0120093	0.0432814	0.0362343	0.182294	0.0171454	0.15243	0.0421875	0.13063	0.0982148	0.399517	0.73879	1.08311	1.77858	5	1.790774
27000	-16.70855	-48.31734	31.60879	10	0.7132606	0.025931	0.0735296	0.0899678	0.131922	0.0611017	0.253057	0.0285527	0.0123569	0.0420828	0.0266025	0.26513	0.00608841	0.0105083	0.0176094	0.0524135	0.195726	0.0163072	0.209898	0.0539596	0.0770227	0.36972	0.929685	2.62357	5	1.572744
28000	-22.82045	-42.13996	19.31951	1	2.958637	0.0676511	0.122786	0.00629257	0.0769367	0.0688708	0.0137288	0.0104907	0.0113562	0.0110101	0.399527	0.212902	0.0541531	0.00179501	0.227123	0.0429214	0.0692748	0.0651706	0.0208915	0.0150148	0.386036	0.729212	1.0823	1.80245	3	1.497897
29000	-33.65536	-49.22966	15.5743	2	2.380785	0.0415636	0.216775	0.29275	0.0191884	0.0766345	0.0751991	0.0441334	0.012884	0.0166984	0.00139122	0.133549	0.103073	0.168039	0.304224	0.0113547	0.168333	0.453909	0.12532	0.0441943	0.334855	0.690228	1.07714	1.89778	4	2.309213
30000	-21.39953	-48.4454	27.04587	10	0.1358768	0.0330372	0.115689	0.147116	0.0460927	0.0321562	0.035293	0.0347075	0.0144994	0.213366	0.0834616	0.0387706	0.041441	0.0942594	0.0541155	0.377203	0.243959	0.0879837	0.29091	0.459449	2.03542e-05	0.0066772	0.198939	3.79436	5	2.443511
31000	-26.07818	-44.90063	18.82245	1	2.161957	0.0872248	0.0435194	0.0287496	0.515073	0.0948095	0.0104119	0.0516151	0.115501	0.000391263	0.102018	0.0716888	0.0725566	0.0405511	0.116219	0.147733	0.0693777	0.0105348	0.0218396	0.0274569	0.31187	0.6712	1.07356	1.94337	3	1.627271
32000	-11.58778	-46.58613	34.99835	10	1.259819	0.0757655	0.00468504	0.000172986	0.206102	0.0438794	0.189977	0.0709668	0.0199675	0.0154387	0.0313873	0.0790082	0.299287	0.0376931	0.105674	0.0234829	0.0180677	0.0610209	0.191818	0.16518	0.185726	0.542997	1.03254	2.23874	5	1.639576
33000	-18.51484	-41.38015	22.86531	10	1.40489	0.112901	0.0104681	0.110541	0.0640165	0.0254033	0.0347046	0.141028	0.122797	0.127488	0.040106	0.00553777	0.0194746	0.163312	0.034737	0.268146	0.331892	0.330015	0.23072	0.0892354	0.210249	0.57192	1.04431	2.17352	5	2.262522
34000	-18.13085	-45.12163	26.99078	10	3.223503	0.0819718	0.00563159	0.0275417	0.450194	0.0272615	0.00792895	0.146433	0.00510283	0.0219834	0.178025	0.0291707	0.297831	0.171139	0.100111	0.179206	0.0317021	0.0963059	0.0143075	0.0141598	0.405846	0.743197	1.08342	1.76754	5	1.886007
35000	-32.87175	-53.62639	20.75464	2	1.063729	0.293044	0.04314	0.0793026	0.042626	0.0245775	0.10384	0.155716	0.0104532	0.154508	0.0967871	0.126271	0.255419	0.142383	0.130228	0.0301978	0.00416845	0.0266593	0.252078	0.00155008	0.149491	0.495103	1.00981	2.3456	4	1.972948
36000	-25.63082	-43.63243	18.00161	2	1.13868	0.391582	0.257348	0.105717	0.185365	0.0813968	0.105546	0.0209347	0.0367501	0.0490862	0.0577111	0.114741	0.00207967	0.00313866	0.0550231	0.18053	0.00683923	0.0649558	0.168809	0.231744	0.163765	0.514805	1.01965	2.30178	4	2.119296
37000	-22.07858	-43.37065	21.29207	1	2.536489	0.0673754	0.00698614	0.0687631	0.0705422	0.0431741	0.0716836	0.0324208	0.000122766	0.104979	0.0647476	0.0649922	0.1274	0.0840165	0.0215061	0.0139407	0.136338	0.0494988	0.197935	0.116434	0.349889	0.702138	1.07903	1.86894	3	1.342856
