Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
15000	-154.427	-186.5303	32.10327	10	1.123974	0.0339529	0.0352803	0.166298	0.00925501	0.0309862	0.111335	0.149603	0.0597351	0.133935	0.0122823	0.0140167	0.0618393	0.0792734	0.0230247	0.00601479	0.161259	0.064763	0.153302	0.0276914	0.363665	0.0130779	0.0716896	0.144484	0.0527068	0.181599	0.161005	0.511087	1.01785	2.31006	5	2.161068
16000	-151.3391	-175.9098	24.57069	10	1.995245	0.00641889	0.00272188	0.0456469	0.0108693	0.132987	0.151968	0.0179077	0.0421892	0.0457306	0.132742	0.100229	0.00130263	0.113518	0.035607	0.201385	0.0481952	0.182438	0.280636	0.208573	0.132943	0.21506	0.169912	0.168014	0.0449029	0.304156	0.292706	0.654507	1.06987	1.98292	5	2.796053
17000	-169.4727	-177.682	8.209295	1	5.022436	0.0726049	0.00915271	0.199352	0.0752485	0.0526358	0.0705319	0.0203187	0.0068125	0.0643825	0.161909	0.0664721	0.0203331	0.0709204	0.049812	0.115626	0.0356219	0.403947	0.301869	0.297917	0.0298866	0.245333	0.0414515	0.102071	0.128377	0.259287	0.503007	0.804496	1.08326	1.60924	3	2.901873
18000	-148.9258	-178.3461	29.42031	10	0.6224329	0.100254	0.00931432	0.0344056	0.00991521	0.0119315	0.0942659	0.0530135	0.0140826	0.0181732	0.0250895	0.0716419	0.077681	0.0102727	0.00258934	0.331467	0.24443	0.172887	0.249461	0.185062	0.0810302	0.209699	0.0535794	0.174149	0.176347	0.145041	0.0577653	0.324514	0.892346	2.72537	5	2.555782
19000	-156.708	-185.8465	29.13845	10	0.6159246	0.158849	0.0250198	0.0296156	0.0227523	0.0920676	0.0859945	0.0127035	0.121841	0.0345306	0.471472	0.0457601	0.0349625	0.0253941	0.0419228	0.0447553	0.0165343	0.135698	0.0371027	0.020662	0.191546	0.0943024	0.294077	0.393701	0.119359	0.172427	0.0564082	0.321009	0.889231	2.73335	5	2.723048
20000	-141.2365	-175.6787	34.44213	10	2.109443	0.0584015	0.0425273	0.00760825	0.016712	0.0439171	0.0274647	0.00487759	0.0468878	0.0757156	0.0493621	0.0275108	0.0164031	0.08461	0.0328557	0.063165	0.11109	0.173256	0.0962189	0.147088	0.168236	0.168006	0.190514	0.172631	0.109728	0.0504053	0.305998	0.666169	1.0725	1.95533	5	1.985192
21000	-156.9763	-180.3989	23.42252	10	1.945661	0.0662058	0.0401262	0.0377035	0.0298982	0.00102687	0.0877385	0.126381	0.0576618	0.0924946	0.198755	0.0300727	0.0538167	0.00916793	0.00505721	0.234078	0.115287	0.186984	0.0336237	0.0192801	0.047984	0.373077	0.119443	0.0287031	0.448516	0.045586	0.286701	0.649108	1.06857	1.99562	5	2.488668
22000	-156.0516	-184.6213	28.56973	10	1.179856	0.00257212	0.018953	0.0178045	0.00657253	0.0672388	0.179948	0.155765	0.0826805	0.00458464	0.133295	0.0163319	0.0474288	0.0492088	0.0945856	0.0402214	0.158252	0.0719934	0.0684674	0.00677339	0.227375	0.0976164	0.255213	0.42386	0.0629698	0.0213812	0.171384	0.524857	1.02441	2.27935	5	2.311091
23000	-151.7394	-173.5079	21.76851	10	1.524411	0.0155168	0.0245461	0.184143	0.00273413	0.0893967	0.15856	0.00166899	0.0321584	0.123572	0.0616719	0.0795803	0.0372578	0.0457112	0.0450401	0.0544347	0.316405	0.0490614	0.164809	0.121003	0.160221	0.173061	0.131873	0.104311	0.277835	0.247915	0.229069	0.59257	1.05182	2.12654	5	2.702488
24000	-148.6365	-172.0385	23.40196	2	0.3303399	0.0706165	0.0253878	0.0253596	0.0163688	0.0460175	0.0522053	0.00831383	0.0374922	0.124348	0.017534	0.0272286	0.000926694	0.0579505	0.040276	0.0404246	0.232795	0.253925	0.058796	0.131579	0.059153	0.126741	0.238028	0.0250836	0.227574	0.206428	0.00807621	0.128211	0.643407	3.22031	4	2.150553
