Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
15000	-143.6321	-175.6762	32.04415	10	0.7152099	0.00506514	0.0286713	0.0107933	0.0241955	0.0337728	0.0537396	0.0178509	0.00311874	0.114096	0.00181663	0.0273422	0.00338157	0.0526305	0.0999266	0.210245	0.219433	0.110661	0.0364867	0.20563	0.0453291	0.243958	0.108261	0.35178	0.0389443	0.108675	0.0774396	0.370619	0.930377	2.62156	5	2.155803
16000	-157.2	-180.0089	22.80888	10	0.5071719	0.124933	0.0381634	0.193663	0.0167628	0.0383265	0.0481634	0.0791491	0.115486	0.0877535	0.0747039	0.052833	0.024017	0.0765973	0.0101933	0.289016	0.113709	0.219674	0.141786	0.073002	0.0835616	0.0941774	0.0778191	0.443446	0.554006	0.0265193	0.0347246	0.256572	0.825418	2.88329	5	3.097462
17000	-142.2728	-170.2815	28.00862	10	0.7299929	0.00167495	0.00857467	0.0343415	0.00190989	0.108017	0.0397296	0.00357308	0.000911653	0.126203	0.0212436	0.053621	0.00562812	0.0558191	0.0308758	0.169854	0.182181	0.119275	0.244659	0.230017	0.0105601	0.224793	0.0986766	0.192342	0.0721298	0.858432	0.0806028	0.377344	0.935495	2.60656	5	2.895042
18000	-148.7395	-174.9544	26.21497	10	1.65955	0.00629533	0.00920646	0.190656	0.0304513	0.0343692	0.0515404	0.0495946	0.0403906	0.17756	0.149904	0.0229147	0.0492773	0.0805476	0.0906422	0.250224	0.167971	0.501169	0.0350392	0.0861582	0.153091	0.159755	0.179666	0.137954	0.0969649	0.0439889	0.248951	0.613125	1.05856	2.07936	5	2.795329
19000	-158.3049	-180.5042	22.1993	10	2.495856	0.00442677	0.0133244	0.354809	0.0415555	0.0416506	0.0456859	0.122615	0.0307486	0.102985	0.0246845	0.0528265	0.0129661	0.138188	0.106517	0.0598026	0.446363	0.265573	0.104074	0.157737	0.139895	0.0709523	0.368701	0.268349	0.0110604	0.0468404	0.346063	0.699146	1.07858	1.87621	5	3.03233
20000	-150.4825	-177.6204	27.1379	10	1.418527	0.0992713	0.00940144	0.0186897	0.0796365	0.00316243	0.0830522	0.100823	0.0130991	0.0496903	0.038084	0.00560633	0.049134	0.105394	0.133392	0.178294	0.470858	0.127092	0.103885	0.0629371	0.0057948	0.414483	0.204289	0.155876	0.207055	0.184547	0.212458	0.574408	1.04526	2.16788	5	2.903547
21000	-160.1385	-175.8154	15.67689	2	1.437654	0.00025743	0.00735654	0.0584326	0.0487475	0.0423878	0.0439277	0.0643929	0.0297367	0.109426	0.18695	0.0635502	0.00902142	0.198292	0.066841	0.0278987	0.2141	0.00617301	0.172552	0.0403072	0.0729527	0.423043	0.115115	0.0862859	0.583457	0.121245	0.215529	0.577839	1.04654	2.16009	4	2.79245
22000	-145.4018	-173.692	28.29021	10	0.71528	0.0268005	0.0446024	0.0287697	0.0152631	0.0530409	0.0655092	0.0177135	0.00526834	0.10788	0.0113255	0.0333042	0.0317747	0.0124181	0.0663577	0.159795	0.192649	0.207632	0.0982859	0.0551241	0.135677	0.0892509	0.0860472	0.283983	0.933682	0.0125163	0.0774546	0.370651	0.930402	2.62149	5	2.774671
23000	-153.7311	-180.0872	26.35611	10	0.8013518	0.0642979	0.0154904	0.171805	0.0425449	0.0933885	0.0131262	0.0574059	0.137848	0.000490815	0.0991192	0.0228695	0.104846	0.121417	0.00287356	0.233306	0.0108717	0.246229	0.176563	0.141333	0.305856	0.0426041	0.210854	0.229136	0.00299674	0.42325	0.0958464	0.407678	0.957329	2.53915	5	2.970523
24000	-153.379	-175.7139	22.33493	10	2.86064	0.0476566	0.0972345	0.266991	0.0315317	0.0170435	0.0571515	0.117685	0.195438	0.0550694	0.0197898	0.0532804	0.0019769	0.0316567	0.0499887	0.326161	0.235828	0.00352178	0.067971	0.208894	0.0794918	0.117594	0.212546	0.357066	0.154022	0.0992752	0.378185	0.723508	1.08174	1.81657	5	2.904865
25000	-146.6509	-180.5576	33.90678	10	0.2621129	0.161519	0.0200795	0.11577	0.0597814	0.0169926	0.0492146	0.205726	0.0131938	0.0624899	0.0542042	0.0304825	0.0267681	0.0334292	0.053591	0.205889	0.018357	0.192131	0.0873641	0.173478	0.079255	0.0259533	0.0782384	0.126491	0.183633	0.200385	0.002725	0.0755666	0.526343	3.39537	5	2.274416
26000	-147.1515	-178.6391	31.4876	10	1.74999	0.0271611	0.00365966	0.130671	0.0237082	0.0192006	0.120474	0.0160616	0.00647751	0.28618	0.0350423	0.00742197	0.0179602	0.011862	0.00743127	0.0125245	0.0544978	0.182745	0.134736	0.179316	0.260657	0.0280341	0.228675	0.0310531	0.0704746	0.157521	0.261488	0.62549	1.06226	2.05076	5	2.053545
27000	-163.8605	-178.6626	14.8021	10	1.235483	0.0085234	0.00965681	0.16169	0.0287065	0.043397	0.038972	0.233078	0.0897769	0.100123	0.126562	0.10535	0.00378966	0.0199892	0.137886	0.0700508	0.313059	0.185605	0.31787	0.00726552	0.0553368	0.166752	0.178794	0.843138	0.294327	0.219562	0.181424	0.537659	1.03021	2.25071	5	3.759262
28000	-149.0515	-177.1668	28.11526	10	1.44063	0.110972	0.0600958	0.0459848	0.00296794	0.0185998	0.0178905	0.152796	0.0260742	0.117174	0.101804	0.0746582	0.00244634	0.0638289	0.00204927	0.340097	0.062862	0.140379	0.1054	0.190047	0.268757	0.120099	0.0813424	0.0750079	0.186538	0.112331	0.216004	0.578366	1.04674	2.15889	5	2.480202
29000	-152.8226	-177.2942	24.47165	10	1.88217	0.147986	0.0150542	0.00400488	0.0342118	0.10227	0.191471	0.0784392	0.019287	0.144546	0.0136453	0.00765239	0.0286267	0.0375826	0.0177318	0.185623	0.0399877	0.153958	0.367968	0.149898	0.107485	0.260029	0.053407	0.367802	0.200415	0.117883	0.278792	0.641869	1.06674	2.0126	5	2.846965
30000	-157.3404	-177.4448	20.10443	10	1.128819	0.00456715	0.0856073	0.0237032	0.0354114	0.0958125	0.116751	0.0371974	0.0523775	0.0531101	0.0259482	0.0899868	0.102973	0.0524622	0.0383546	0.0678842	0.242248	0.577894	0.224629	0.318571	0.019262	0.294441	0.133152	0.326731	0.10926	0.209464	0.161917	0.51232	1.01845	2.30732	5	3.337797
31000	-143.0164	-177.2102	34.19382	10	1.637327	0.00970536	0.00251042	0.0259314	0.0108781	0.00286748	0.134774	0.0215153	0.000699136	0.147579	0.0650887	0.0264991	0.0518375	0.0685473	0.0532453	0.0246494	0.0726051	0.107007	0.0533447	0.0468293	0.0941803	0.332063	0.248037	0.227286	0.0763358	0.133642	0.245778	0.609926	1.05756	2.08673	5	2.037657
32000	-149.5849	-181.7288	32.14387	10	2.364263	0.0191714	0.107055	0.0081609	0.0194521	0.148104	0.0858621	0.105829	0.0240635	0.0627625	0.170746	0.0343286	0.026463	0.0312544	0.0140696	0.12645	0.175744	0.171554	0.0694286	0.201722	0.31799	0.0277912	0.0779883	0.104223	0.114823	0.0650733	0.333198	0.688891	1.07691	1.901	5	2.310111
33000	-147.6722	-169.9513	22.27909	10	1.530831	0.0346755	0.00700243	0.0172136	0.0268199	0.0902025	0.158765	0.0617895	0.000282366	0.123041	0.174485	0.0473953	0.0159751	0.086894	0.00923187	0.284705	0.0224567	0.204135	0.362284	0.169194	0.581584	0.167494	0.0268922	0.32662	0.0996257	0.0290364	0.230046	0.593609	1.05218	2.12416	5	3.127801
34000	-141.7125	-175.2421	33.52967	10	0.4483789	0.172462	0.00387582	0.0381334	0.059834	0.0123841	0.0243917	0.0609359	0.00345355	0.0863955	0.0971622	0.0169623	0.0250579	0.0309123	0.0150587	0.0402417	0.105987	0.0966378	0.251943	0.0941144	0.285467	0.209543	0.0685679	0.00255144	0.162491	0.184729	0.0242673	0.216887	0.778743	2.9801	5	2.149293
35000	-153.1448	-175.6425	22.49771	2	2.433153	0.0603666	0.012663	0.0396709	0.0695842	0.0483019	0.0750107	0.0219933	0.0102504	0.132107	0.0173148	0.0129824	0.0400822	0.00960113	0.0231301	0.189269	0.0938833	0.119328	0.251842	0.0702511	0.149576	0.207055	0.034309	0.0679409	0.243137	0.0638126	0.340026	0.694371	1.07783	1.88778	4	2.063462
36000	-154.3554	-180.1223	25.76686	1	1.208485	0.0031709	0.0427675	0.0340203	0.00130626	0.067872	0.00740507	0.0101099	0.0503144	0.0884206	0.05369	0.0169666	0.0203634	0.143238	0.025014	0.0443701	0.0621208	0.154486	0.223466	0.0971268	0.0201307	0.0691559	0.0889413	0.0633462	0.110121	0.0295873	0.176587	0.531553	1.02748	2.26438	3	1.527511
37000	-156.7277	-175.3183	18.59063	10	1.824832	0.00415104	0.00387632	0.197056	0.0294787	0.0105338	0.149707	0.0538853	0.0875275	0.0259112	0.107051	0.0385479	0.0259344	0.0191638	0.0727914	0.247199	0.209629	0.28832	0.259074	0.165031	0.0125838	0.393094	0.227995	0.291572	0.0793489	0.166146	0.271429	0.634993	1.06492	2.02866	5	3.165608
38000	-147.6457	-180.0965	32.45076	10	1.317998	0.129114	0.0208783	0.125117	0.00398097	0.0332605	0.063176	0.0727776	0.0184249	0.223411	0.176903	0.0149539	0.000195397	0.0283591	0.0558253	0.168857	0.333525	0.0269045	0.0625887	0.0550924	0.178234	0.0814401	0.126719	0.007373	0.464948	0.0456092	0.195789	0.555164	1.03767	2.21138	5	2.517668
39000	-162.9974	-181.8149	18.8175	2	0.8990629	0.0202847	0.112494	0.0353224	0.0242699	0.216472	0.125066	0.0702681	0.0030463	0.084676	0.22707	0.0642922	0.0247526	0.0919034	0.0267073	0.0726709	0.429273	0.067781	0.15399	0.156994	0.0737778	0.038505	0.107695	0.0266277	0.26594	0.054069	0.1164	0.444159	0.981031	2.45841	4	2.573949
40000	-153.9407	-178.7673	24.82659	10	2.818222	0.116663	0.00213281	0.197835	0.0635	0.0133157	0.0351101	0.0518141	0.0591585	0.133811	0.0851271	0.0121942	0.0253856	0.0765843	0.0562584	0.049427	0.0906033	0.346092	0.116488	0.133421	0.155486	0.046143	0.164805	0.212271	0.0997553	0.412607	0.374691	0.720939	1.08146	1.82291	5	2.755988
41000	-148.1899	-177.939	29.74901	10	0.6250606	0.0750789	0.0157306	0.00843968	0.0715632	0.0313459	0.0952521	0.0398936	0.023744	0.0449842	0.0713661	0.0124822	0.0253908	0.0269365	0.00513319	0.07129	0.0574332	0.0859156	0.155846	0.459313	0.0712713	0.040266	0.217275	0.0390971	0.214089	0.399056	0.0583145	0.325919	0.893585	2.72218	5	2.358193
42000	-145.4266	-177.1776	31.75104	10	0.4312291	0.0781515	0.0280112	0.0996209	0.0101604	0.0689649	0.0730615	0.195178	0.115806	0.0158593	0.14067	0.0368243	0.0192155	0.0362457	0.0236229	0.0234719	0.0945626	0.228024	0.304317	0.171664	0.0883986	0.255519	0.0171691	0.178856	0.0443127	0.189465	0.0214654	0.204675	0.762977	3.01088	5	2.537152
43000	-144.6582	-173.758	29.0998	10	0.5879072	0.00404857	0.0221552	0.036671	0.00298685	0.0685118	0.123804	0.0255989	0.0215874	0.051384	0.0475354	0.0373986	0.0393643	0.0658575	0.117281	0.0342914	0.212972	0.0473668	0.0153494	0.564566	0.0872971	0.0705428	0.14696	0.071922	0.290162	0.236076	0.0506239	0.305483	0.875022	2.76887	5	2.441691
44000	-147.8169	-181.493	33.67611	10	0.9752805	0.0167914	0.00253662	0.00203745	0.0584762	0.0688958	0.0255164	0.0483901	0.164034	0.0347751	0.147197	0.0184607	0.00732112	0.0522503	0.0457819	0.18504	0.100021	0.0835778	0.155272	0.0735026	0.0583393	0.135763	0.157652	0.127008	0.185974	0.183311	0.131996	0.469194	0.99578	2.40303	5	2.137925
45000	-174.0433	-187.6784	13.63507	2	0.6293517	0.0955449	0.00577619	0.00577953	0.00656541	0.040406	0.110011	0.0543886	0.00953906	0.0533711	0.0404103	0.00423849	0.121524	0.0262648	0.193571	0.165708	0.0962608	0.0634042	0.158481	0.441214	0.242538	0.147526	0.0355677	0.30109	0.210083	0.16951	0.0592128	0.328199	0.895585	2.717	4	2.798773
46000	-157.7002	-180.8162	23.11601	2	0.3431874	0.0164609	0.00288807	0.00818877	0.105273	0.0546983	0.0823774	0.00236963	0.018835	0.0215555	0.234454	0.0677404	0.0148145	0.0794919	0.034949	0.140901	0.0971603	0.0657931	0.0366708	0.193122	0.124446	0.291648	0.0156289	0.0887574	0.054915	0.268908	0.00944226	0.13825	0.66169	3.19062	4	2.122048
47000	-149.5917	-175.2747	25.68298	10	0.6521441	0.0679009	0.0125361	0.000734086	0.0227099	0.0563124	0.0298882	0.0447589	0.0106241	0.0696903	0.125848	0.0387106	0.016157	0.0324188	0.00033163	0.312453	0.00822462	0.234677	0.346347	0.0905831	0.244361	0.123531	0.184607	0.110519	0.0733611	0.0930336	0.0640108	0.340047	0.905756	2.69019	5	2.350318
48000	-177.275	-190.4258	13.15072	1	2.338801	0.181165	0.0191643	0.119665	0.0517653	0.0137213	0.00513124	0.0579872	0.034937	0.148147	0.118407	0.0511498	0.0807864	0.116412	0.00423803	0.119645	0.18073	0.102456	0.235266	0.152537	0.167784	0.229198	0.103331	0.198381	0.0158546	0.168234	0.330621	0.6868	1.07654	1.90604	3	2.676093
49000	-151.9291	-178.7064	26.77731	10	1.246366	0.076745	0.07393	0.00937357	0.010792	0.0243831	0.227984	0.0430853	0.0430181	0.0256539	0.00732725	0.00597624	0.00942874	0.117116	0.00166889	0.141626	0.385363	0.0190326	0.105475	0.051706	0.415027	0.0957322	0.117973	0.364024	0.029913	0.305386	0.183355	0.540065	1.03126	2.24532	5	2.70774
50000	-150.6459	-174.2694	23.62349	10	5.096238	0.0132109	0.000619725	0.145177	0.0046484	0.0209528	0.0590818	0.117717	0.0416912	0.100451	0.0619324	0.021166	0.0727225	0.034014	0.0259055	0.318226	0.19024	0.11816	0.09955	0.0877587	0.353573	0.153892	0.136379	0.0284297	0.0387406	0.165657	0.506026	0.80623	1.08313	1.60461	5	2.409895
51000	-146.1348	-179.5157	33.38089	10	1.097668	0.0663972	0.106451	0.0241428	0.0232622	0.0201648	0.153023	0.0297818	0.00685384	0.12675	0.0610122	0.0670098	0.0240235	0.0969819	0.0482494	0.0831183	0.183956	0.0764853	0.093389	0.245272	0.0102027	0.230017	0.0410489	0.0997986	0.188745	0.139266	0.156019	0.504261	1.01447	2.32525	5	2.245402
52000	-150.4008	-177.4515	27.05074	10	1.572302	0.0222113	0.0533268	0.126031	0.0255553	0.0459153	0.132885	0.0723989	0.0102703	0.115925	0.166237	0.0178347	0.0337544	0.106563	0.034429	0.0255404	0.213399	0.0153323	0.18821	0.175452	0.0680648	0.0485388	0.126039	0.12829	0.460773	0.16685	0.236279	0.600165	1.0544	2.10916	5	2.579825
53000	-159.8077	-185.8299	26.02227	10	0.9857693	0.0182088	0.00787358	0.0208203	0.0291018	0.00875119	0.0334305	0.139577	0.077996	0.0032586	0.356384	0.0182908	0.00270562	0.0322874	0.0367228	0.10971	0.31725	0.236746	0.205511	0.173868	0.0345445	0.0126626	0.24022	0.26935	0.0500924	0.0570537	0.134106	0.472432	0.997601	2.39586	5	2.492417
54000	-145.7639	-176.0791	30.31521	10	0.8252145	0.0725808	0.0349242	0.076629	0.00800697	0.000752013	0.0781833	0.0323107	0.0110708	0.0507791	0.449202	0.0448292	0.0274286	0.00267397	0.0973413	0.0700129	0.156873	0.291667	0.250359	0.0205874	0.119529	0.0562781	0.0508968	0.200061	0.0230614	0.170742	0.100912	0.417091	0.963704	2.51829	5	2.396779
55000	-146.8285	-179.052	32.22345	10	0.7545336	0.124527	0.0690609	0.00178131	0.021297	0.0688349	0.0282136	0.0486543	0.0279425	0.0264815	0.0629071	0.0866016	0.0286585	0.0695644	0.0117223	0.0642942	0.338396	0.176378	0.185634	0.00904838	0.145092	0.120515	0.0488282	0.297965	0.040959	0.0925957	0.0858544	0.388164	0.943514	2.58247	5	2.195953
56000	-151.1668	-176.3228	25.15595	10	2.564169	0.0187613	0.0432825	0.0420967	0.0547935	0.056644	0.140088	0.0649911	0.0290857	0.0886252	0.231422	0.00772007	0.0239994	0.0208177	0.0989414	0.105786	0.0322946	0.438997	0.273806	0.455506	0.0057671	0.00940834	0.17711	0.0169021	0.0400042	0.295062	0.352457	0.704133	1.07932	1.86409	5	2.771912
57000	-155.6249	-180.8565	25.23158	10	0.8492817	0.099053	0.0278064	0.112485	0.121739	0.0361252	0.0652875	0.0472901	0.0212421	0.154234	0.0323531	0.0610361	0.00236833	0.0331679	0.0801107	0.104269	0.500786	0.286076	0.11777	0.188651	0.0319443	0.103498	0.473602	0.341499	0.0625047	0.0113314	0.105994	0.426244	0.969727	2.49804	5	3.11623
58000	-150.3804	-178.4578	28.07734	10	0.2771145	0.00890487	0.00186515	0.11562	0.0149724	0.0224256	0.0534533	0.0392425	0.162943	0.310715	0.053874	0.0052727	0.00501776	0.0515023	0.0045789	0.0600351	0.0121643	0.102652	0.0624468	0.0707173	0.114499	0.104302	0.224956	0.118274	0.348	0.560521	0.00362289	0.0868561	0.555291	3.35423	5	2.628955
59000	-142.0917	-170.7503	28.6586	10	1.54787	0.0196243	0.00772086	0.0258074	0.0703528	0.0317416	0.02962	0.0945389	0.0268752	0.106992	0.0189356	0.0120734	0.00277792	0.0352275	0.0313116	0.0147681	0.0419406	0.102345	0.3286	0.0824557	0.0127975	0.353053	0.44945	0.00239461	0.341782	0.117457	0.232624	0.596335	1.05311	2.11793	5	2.360644
60000	-158.3508	-175.2041	16.85326	10	2.002307	0.16415	0.0130693	0.394358	0.0824656	0.0525192	0.142265	0.0872932	0.00143026	0.209751	0.165055	0.0649451	0.0309817	0.17775	0.00474129	0.370305	0.259993	0.364345	0.173662	0.180085	0.143683	0.0862467	0.173901	0.0865393	0.0493793	0.28606	0.29355	0.655259	1.07005	1.98114	5	3.764974
61000	-147.2961	-174.9873	27.69126	10	0.3864395	0.0553814	0.0233978	0.0383368	0.00888301	0.0286651	0.0268543	0.0864538	0.0137837	0.0696281	0.0505876	0.0294955	0.0468871	0.036184	0.00173179	0.186346	0.0948217	0.155131	0.288747	0.255712	0.0639077	0.122367	0.0953348	0.565743	0.25626	0.0222958	0.0148077	0.171556	0.716179	3.09746	5	2.622935
62000	-154.3639	-184.1268	29.76299	10	1.248434	0.0918776	0.0542996	0.323694	0.000710269	0.0547415	0.0211235	0.103183	0.0405129	0.0101685	0.103882	0.024334	0.0145289	0.0800818	0.0334902	0.14595	0.053542	0.085892	0.0234118	0.00273599	0.479431	0.246474	0.00218027	0.0712138	0.0545273	0.137642	0.183721	0.540519	1.03146	2.2443	5	2.259628
