Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
12000	-151.2228	-193.8313	42.60848	10	2.57481	0.0112184	0.0027619	0.0704253	0.0298174	0.0915382	0.272669	0.209482	0.00911835	0.251016	0.0731723	0.0523809	0.0069152	0.0826092	0.00559337	0.0310226	0.112624	0.0547156	0.0135693	0.23034	0.253955	0.013679	0.0162853	0.299618	0.162022	0.248529	0.398145	0.0554654	0.0460578	0.199797	0.141425	0.189218	0.0331263	0.0182435	0.353436	0.70489	1.07943	1.86224	5	3.686555
13000	-147.9938	-199.2352	51.24144	10	4.457593	0.018739	0.00299521	0.0845635	0.0329318	0.0274622	0.180235	0.133429	0.081488	0.125498	0.0588354	0.0561438	0.0509934	0.214076	0.0397357	0.0653152	0.0193494	0.0720294	0.0498222	0.289663	0.0217875	0.170419	0.00932469	0.14608	0.249362	0.242828	0.157236	0.131986	0.0079105	0.0151988	0.0239555	0.049223	0.0164691	0.105933	0.47786	0.789682	1.08409	1.64836	5	2.951017
14000	-148.279	-197.7172	49.43824	10	2.716572	0.0173782	0.00819393	0.05606	0.0105736	0.00599135	0.115193	0.211906	0.0921233	0.0336074	0.0116622	0.0767223	0.010233	0.100443	0.0153234	0.0678381	0.134523	0.121445	0.032665	0.312259	0.13683	0.0675434	0.0499908	0.167626	0.101939	0.199587	0.199987	0.0152964	0.0614801	0.0136337	0.0302936	0.0874863	0.0847515	0.04058	0.366073	0.714521	1.08071	1.8387	5	2.691166
15000	-145.583	-201.5848	56.00178	10	1.667919	0.0315998	0.00872942	0.150823	0.00956974	0.0740635	0.123651	0.312695	0.0199921	0.207334	0.0693596	0.0897504	0.0103779	0.0126807	0.114196	0.0304098	0.03675	0.00507737	0.0620593	0.00865341	0.00701927	0.0161227	0.0930245	0.241279	0.233068	0.263477	0.0533547	0.043529	0.00234056	0.0692735	0.122028	0.0126236	0.116098	0.068689	0.250136	0.614313	1.05893	2.07662	5	2.719698
16000	-141.0048	-195.8587	54.85383	10	1.211749	0.180883	0.00124957	0.00489728	0.00444761	0.0325977	0.506815	0.128363	0.0742215	0.115962	0.0641922	0.0384341	0.00996407	0.27045	0.0150176	0.00411951	0.040579	0.112168	0.106587	0.00919488	0.00403788	0.081223	0.0623422	0.237794	0.238019	0.170777	0.043273	0.0816602	0.00439127	0.0940284	0.000489066	0.132676	0.0430866	0.114601	0.177176	0.532302	1.02782	2.26271	5	3.028541
17000	-152.1286	-196.2363	44.10768	10	1.411408	0.253456	0.0345034	0.114162	0.00683168	0.0193356	0.333884	0.296779	0.160632	0.0130707	0.000173147	0.0180464	0.116149	0.0299313	0.0782129	0.0154	0.0289036	0.094884	0.151146	0.741201	0.063443	0.0363549	0.0732868	0.0511771	0.071281	0.0691545	0.181474	0.0204783	0.0770184	0.131333	0.0323752	0.132338	0.248946	0.0509398	0.211307	0.573114	1.04477	2.17081	5	3.746302
18000	-156.4339	-202.1615	45.72767	10	2.537241	0.078623	0.0195349	0.0674363	0.0894667	0.0740862	0.224154	0.143081	0.237711	0.0462562	0.0643117	0.0164005	0.00927416	0.109561	0.145496	0.0407683	0.0361033	0.043289	0.116718	0.755247	0.076769	0.038269	0.0433415	0.0996377	0.0783024	0.0324717	0.137895	0.310276	0.115822	0.171477	0.215995	0.0377499	0.097544	0.134769	0.349959	0.702193	1.07904	1.86881	5	3.907838
19000	-146.4697	-199.4323	52.96263	10	3.505435	0.0339333	0.00872284	0.0287614	0.0177078	0.0287878	0.00914626	0.110794	0.0487549	0.142751	0.0871677	0.013513	0.00445533	0.0183735	0.0700528	0.0135219	0.0121173	0.0487398	0.177832	0.572694	0.199996	0.0788114	0.0224449	0.0674651	0.116046	0.0420511	0.0758981	0.070965	0.0902667	0.0252855	0.114793	0.00265924	0.451971	0.0410605	0.424941	0.756159	1.08408	1.73482	5	2.84754
20000	-148.2772	-194.9767	46.69946	10	0.912138	0.233568	0.112094	0.0135937	0.0136534	0.0803866	0.184012	0.0435696	0.108875	0.104999	0.00511424	0.00461861	0.00898578	0.0373099	0.0110464	0.113339	0.170984	0.0127713	0.178937	0.0443446	0.0196498	0.173915	0.0728328	0.120521	0.27786	0.0756421	0.3156	0.0523556	0.0912623	0.0127272	0.124834	0.0630755	0.0115171	0.0788545	0.119107	0.448651	0.983766	2.44848	5	2.97285
21000	-163.6531	-204.1391	40.48608	10	1.831907	0.0230011	0.0299093	0.10712	0.279831	0.0285881	0.328067	0.210334	0.0216093	0.221518	0.0702624	0.141268	0.144733	0.10445	0.0530854	0.0127701	0.00527535	0.214411	0.0906396	0.0699633	0.0352306	0.119815	0.0809688	0.0455461	0.0517203	0.0600145	0.252174	0.146567	0.0317594	0.0314038	0.0190681	0.185691	0.283068	0.27105	0.272349	0.63586	1.06515	2.02664	5	3.770914
