Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-713.0532	-735.5169	22.46374	10	1.043072	0.0225068	0.0132946	0.237626	0.18047	0.113584	0.0367355	0.142467	0.0803326	0.00237629	0.038192	0.0118896	0.00458295	0.00162355	0.0330325	0.00275781	0.0734466	0.07133	0.0667074	0.13531	0.0850572	0.0158228	0.0649352	0.00530025	0.00562121	0.0260958	0.128094	0.0144916	0.00654265	0.106495	0.134015	0.179704	0.115903	0.0193656	0.181566	0.222714	0.0552346	0.494089	0.0185246	1.67086e-05	0.0564097	0.0157538	0.0262378	0.459892	0.000359005	0.207671	0.024192	0.248955	0.0136472	0.208185	0.05675	0.091654	0.145467	0.489326	1.00679	2.35842	5	4.55756
11000	-724.1178	-737.6331	13.51527	10	1.221946	0.0334648	0.0120024	0.167055	0.19043	0.0652009	0.0954671	0.0141492	0.0525991	0.0709205	0.0342583	0.0318555	0.0590797	0.106252	0.029136	0.0486299	0.045367	0.0286283	0.140028	0.0710657	0.0206742	0.0217151	0.142091	0.0326466	0.0175418	0.0466553	0.0308	0.0216985	0.157509	0.0277361	0.0445045	0.0504766	0.250958	0.0607501	0.0729311	0.0858415	0.258624	0.148489	0.145807	0.102839	0.0122613	0.0528952	0.00804272	0.0109229	0.61725	0.0805695	0.214979	0.29694	0.177358	0.598546	0.254568	0.050483	0.179007	0.534622	1.02886	2.25751	5	5.410696
12000	-705.8565	-719.4507	13.59423	10	2.380493	0.000609424	0.00221521	0.0976931	0.396038	0.0275231	0.198401	0.0749923	0.175073	0.0427708	0.0436038	0.0743342	0.0230769	0.017215	0.0356688	0.0481382	0.0190515	0.00333539	0.0593731	0.010681	0.01028	0.0192627	0.161807	0.0313111	0.00835358	0.0174962	0.0167189	0.00371759	0.00813139	0.025669	0.0836917	0.112702	0.0459569	0.0426355	0.0537272	0.402141	0.13031	0.0791299	0.137727	0.00211797	0.00859063	0.20827	0.213013	0.222464	0.025689	0.336582	0.202057	0.0626053	0.0391493	0.34997	0.257454	0.384581	0.334825	0.690205	1.07713	1.89784	5	5.053105
13000	-701.2141	-715.3068	14.09271	10	1.982962	0.0465387	0.0341346	0.0204134	0.281789	0.0762194	0.150798	0.04299	0.102088	0.119341	0.084198	0.0214694	0.011867	7.38052e-05	0.0190892	0.0101102	0.000243839	0.0382596	0.0449491	0.0360296	0.00728136	0.192436	0.163732	0.0608638	0.0169346	0.0464713	0.0086328	0.0185131	0.77219	0.0968366	0.0963702	0.15186	0.0761471	0.0449194	0.13397	0.0486698	0.00594677	0.154304	0.0505827	0.00631827	0.0628078	0.428594	0.191871	0.303199	0.156257	0.184399	0.0326948	0.172954	0.0172058	0.00236865	0.237945	0.196716	0.291232	0.65319	1.06956	1.98602	5	5.280593
14000	-714.0233	-731.49	17.46672	10	2.511272	0.0313589	0.103207	0.0269723	0.274704	0.0767803	0.083777	0.0428762	0.0573361	0.0768489	0.101212	0.0709889	0.0178138	0.0699657	0.18365	0.0119139	0.0141129	0.00332741	0.0969229	0.122685	0.0348719	0.0134937	0.0539664	0.0361034	0.000516288	0.041652	0.0140622	0.0510539	0.608299	0.129822	0.132086	0.23963	0.158416	0.00604137	0.0581401	0.0592548	0.0348296	0.0944927	0.0796202	0.0817266	0.191106	0.00153011	0.0628975	0.410279	0.0518215	0.109006	0.027951	0.0673478	0.0104888	0.00231885	0.0646213	0.112123	0.347523	0.70029	1.07875	1.87343	5	4.506022
15000	-707.13	-722.5916	15.46164	10	2.000287	0.043882	0.033145	0.184093	0.197091	0.278966	0.0577554	0.0148644	0.0137176	0.163498	0.151147	0.0682077	0.0240909	0.00878414	0.00890284	0.0198209	0.00468616	0.0184959	0.0139033	0.182047	0.0020149	0.342306	0.0943377	0.0105176	0.00444377	0.083455	0.0826286	0.11749	0.536538	0.0664406	0.190335	0.0102534	0.064199	0.0175885	0.0286386	0.012382	0.0462261	0.134158	0.0208622	0.0374975	0.0620076	0.313322	0.119004	0.0413932	0.157648	0.254422	0.0417522	0.0575563	0.00292099	0.142799	0.429839	0.0521356	0.293309	0.655044	1.07	1.98165	5	5.064213
16000	-702.2815	-731.696	29.41448	10	1.171685	0.063504	0.0525881	0.0562698	0.264608	0.132972	0.10056	0.0746334	0.0962243	0.00380984	0.0201745	0.0343876	0.0191479	0.017102	0.0137061	8.98851e-05	0.0304816	0.0129643	0.0781845	0.0648742	0.0266635	0.110237	0.0319828	0.0184175	0.00254349	0.0335523	0.00337034	0.0505189	0.148117	0.0368211	0.0605983	0.176806	0.119381	0.173972	0.287023	0.0452891	0.0762973	0.264628	0.00820253	0.214483	0.0158002	0.0299075	0.0106094	0.107291	0.0463723	0.180338	0.00477024	0.0618521	0.0248884	0.0307338	0.0254641	0.287086	0.169884	0.522903	1.0235	2.28371	5	3.850301
17000	-712.696	-730.5058	17.80977	10	4.652062	0.123644	0.0386433	0.0139057	0.329025	0.0304924	0.23109	0.0130798	0.075911	0.0292164	0.116525	0.0115966	0.00538977	0.0177372	0.0696049	0.0306847	0.0123516	0.0389535	0.118223	0.0792763	0.0808219	0.0830247	0.0708038	0.0192549	0.00157552	0.0305249	0.00666077	0.0572672	0.402467	0.0139095	0.0173843	0.0735236	0.00541418	0.0234746	0.140151	0.0557251	0.0724816	0.15093	0.382021	0.0473566	0.166265	0.0727602	0.0676322	0.140599	0.0597629	0.0025572	0.324602	0.0847619	0.0345578	0.0105592	0.092983	0.124777	0.486952	0.795115	1.08385	1.63408	5	4.301942
18000	-706.9938	-720.7185	13.72475	10	3.100714	0.0112275	0.0391655	0.0434612	0.24766	0.0176523	0.0458548	0.224445	0.0365388	0.226738	0.0301933	0.0936096	0.0197099	0.0204937	0.00543675	0.0142029	0.11443	0.0333784	0.0063586	0.127191	0.00812678	0.0320488	0.0536026	0.00944346	0.0732833	0.0852276	0.0117107	0.0309237	0.0426258	0.205628	0.0277749	0.187607	0.0915767	0.0250717	0.0872578	0.131917	0.109054	0.00126025	0.196455	0.0673437	0.0380343	0.337802	0.474487	0.0162827	0.00258643	0.0867853	0.187422	0.00870665	0.409791	0.000364639	0.142937	0.181121	0.396906	0.736956	1.08297	1.78317	5	4.722006
19000	-698.9077	-717.7629	18.85519	10	2.328347	0.00841251	0.0137283	0.025838	0.202835	0.0406559	0.214554	0.00729022	0.0947105	0.190571	0.0344287	0.00811782	0.0308371	0.0498761	0.0377436	0.0164567	0.228047	0.0242184	0.04826	0.111786	0.0448397	0.00694561	0.0794851	0.0239808	0.00648435	0.0675367	0.00213143	0.0240434	0.0908829	0.0527235	0.0365929	0.293279	0.138216	0.144916	0.226667	0.139925	0.00941451	0.440434	0.1316	0.0326244	0.0322771	0.061368	0.0916202	0.335639	0.421309	0.140495	0.0991852	0.0739416	0.0192697	0.0353841	0.00508597	0.0906527	0.329554	0.685931	1.07639	1.90813	5	4.787315
20000	-717.8732	-726.7586	8.885362	2	2.722427	0.0371991	0.0244653	0.0131261	0.133043	0.0929903	0.241061	0.139046	0.245683	0.203391	0.0745191	0.0480168	0.0140504	0.0018323	0.0915794	0.00433246	0.026666	0.00584416	0.0405359	0.0342121	0.00272346	0.176094	0.0547602	0.0378507	0.0080861	0.0220641	0.0150421	0.0343686	0.0223401	0.484591	0.198722	0.373629	0.0251459	0.0637719	0.0873623	0.150149	0.0475229	0.136001	0.100878	0.0963499	0.0202399	0.0199599	0.0233996	0.221247	0.0614547	0.0674028	0.229114	0.172815	0.0706448	0.0228533	0.0227013	0.2141	0.366579	0.714901	1.08075	1.83777	4	4.754976
21000	-721.7355	-730.3837	8.648139	2	3.379044	0.0116064	0.000907596	0.0363875	0.46193	0.0878208	0.09635	0.00222888	0.00945038	0.0858871	0.0212076	0.0115951	0.0296829	0.0660541	0.0306884	0.00832387	0.053701	0.0170758	0.0127576	0.0896623	0.00804926	0.114735	0.0960499	0.0455005	0.0263396	0.145813	0.02868	0.0279978	0.0222433	0.648497	0.00724935	0.0366591	0.0104406	0.112983	0.262858	0.060383	0.0125916	0.232106	0.0230788	0.0454595	0.0609176	0.107645	0.0811793	0.200538	0.294555	0.444044	0.00107111	0.202625	0.12594	0.10252	0.0104024	0.0118059	0.416614	0.750567	1.08384	1.74898	4	4.744275
