Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
258000	-711.6909	-735.1607	23.46983	10	3.694604	0.0809875	0.00612673	0.178731	0.138112	0.0416285	0.249623	0.120573	0.115271	0.187648	0.0171869	0.0381479	0.00960632	0.0241437	0.0293249	0.0171254	0.0629925	0.0363206	0.0173976	0.0706904	0.0121524	0.0267732	0.0613741	0.0533523	0.0316151	0.0588224	0.0146091	0.0618313	0.0867465	0.0879159	0.0742649	0.039819	0.271735	0.121759	0.105644	0.0336377	0.225039	0.138375	0.30574	0.0408381	0.0795615	0.0185685	0.286648	0.00123402	0.102511	0.038631	0.0746815	0.0686545	0.113099	0.089265	0.0511776	0.00190479	0.436756	0.763939	1.08431	1.715	5	4.219617
259000	-726.8356	-732.4461	5.610462	10	3.456231	0.0506129	0.226207	0.0928539	0.243248	0.0973186	0.221334	0.104967	0.150158	0.162565	0.0743703	0.20007	0.0135209	0.00958117	0.107704	0.0300559	0.0468021	0.0759461	0.0184771	0.0173924	0.0904675	0.00126882	0.0958261	0.0744102	0.0371419	0.140782	0.0277676	0.0116287	0.19224	0.246666	0.026378	0.00186738	0.0640307	0.334416	0.33432	0.0482783	0.0844544	0.152707	0.661454	0.0921371	0.0590201	0.0293716	0.063066	0.123976	0.0838354	0.0169282	0.0851363	0.175741	0.0119472	0.260995	0.0690536	0.0862966	0.421743	0.754022	1.084	1.74024	5	5.726794
260000	-714.5283	-730.2293	15.70094	10	4.295911	0.000322097	0.032519	0.00618494	0.286878	0.259329	0.0065717	0.0027785	0.0401396	0.380052	0.00112505	0.0212898	0.00398833	0.00885538	0.00864898	0.065575	0.0123353	0.0337982	0.129852	0.0192699	0.0903115	0.0892276	0.0528252	0.0357698	0.0186009	0.0942765	0.0333757	0.00414038	0.163379	0.146345	0.0976693	0.00427881	0.00930112	0.0997563	0.0463651	0.319556	0.0929698	0.0584548	0.541848	0.0274226	0.0193707	0.00744084	0.144959	0.176795	0.143883	0.125375	0.0771589	0.234545	0.0305006	0.00986257	0.25104	0.0732465	0.469914	0.784858	1.08425	1.66098	5	4.639563
261000	-718.8545	-720.7638	1.90926	2	3.002421	0.169544	0.0240232	0.0701316	0.121824	0.162404	0.145455	0.066541	0.0114635	0.124059	0.010592	0.0118136	0.0358502	0.000352575	0.0705378	0.00312056	0.017566	0.00505891	0.0365871	0.0483684	0.0765915	0.000576054	0.0788762	0.00309367	0.0107286	0.0577148	0.0236074	0.0191879	0.576162	0.0166137	0.134407	0.111162	0.00358832	0.0927996	0.0700812	0.097174	0.0463879	0.00961073	0.414457	0.21639	0.0213009	0.013602	0.0627754	0.203724	0.13624	0.00834483	0.0696383	0.227847	1.28424	0.00864798	0.039692	0.120946	0.389449	0.731662	1.08253	1.79636	4	5.391497
262000	-710.0057	-721.8132	11.80752	10	3.677169	0.02404	0.0967172	0.104906	0.180104	0.13265	0.0505029	0.048453	0.0116448	0.012694	0.180377	0.095862	0.0803042	0.00171909	0.0612751	0.00218234	0.00048091	0.0451965	0.0237934	0.0968037	0.0178474	0.239444	0.0594951	0.00783048	0.0179403	0.0236709	0.0129049	0.0457211	0.119203	0.00239945	0.0203286	0.0268807	0.0526053	0.517212	0.000728216	0.102096	0.0257273	0.203938	0.0622976	0.751898	0.0557754	0.206408	0.349731	0.00647773	0.167373	0.00382658	0.0751699	0.164993	0.0351397	0.22639	0.203997	0.118473	0.435698	0.763249	1.0843	1.71676	5	5.173629
263000	-692.2313	-719.057	26.82571	10	2.856209	0.0890436	0.0964798	0.0107814	0.150665	0.202676	0.191555	0.284676	0.0231817	0.0668033	0.00959833	0.0624791	0.0452226	0.0505444	0.0479415	0.00067818	0.00867854	0.01926	0.0409799	0.0120755	0.0302751	0.00594564	0.185995	0.0396176	0.00449578	0.0757273	0.000131176	0.00888608	0.0169084	0.0347069	0.0609133	0.0113824	0.28191	0.0134921	0.177234	0.0199753	0.0728582	0.261754	0.0298787	0.288552	0.0904067	0.0059352	0.144241	0.0666251	0.0295428	0.0431947	0.113139	0.128453	0.0804638	0.141318	0.0903965	0.0757683	0.377823	0.723243	1.08171	1.81723	5	4.043443
264000	-705.2568	-724.9228	19.666	10	2.254995	0.144912	0.0278215	0.0868929	0.206699	0.0231413	0.0350752	0.070539	0.191224	0.102471	0.00495797	0.00869335	0.0245796	0.00101927	0.103305	0.0436866	0.0986238	0.00723367	0.0148389	0.0723591	0.0446841	0.0208205	0.237124	0.0165838	0.0181751	0.0745361	0.0204355	0.00558411	0.278794	0.193073	0.451742	0.133808	0.23894	0.0636493	0.0300185	0.032981	0.00425236	0.0592999	0.137385	0.0490141	0.138146	0.358952	0.0547187	0.0659919	0.0312396	0.00758263	0.0421948	0.0372685	0.116459	0.45535	0.0463716	0.128843	0.321925	0.679652	1.07523	1.92319	5	4.86209
265000	-710.5898	-725.0856	14.49583	10	1.803591	0.169492	0.0389226	0.037969	0.233442	0.0729963	0.00908381	0.113449	0.00999218	0.201736	0.0975297	0.0772086	0.00956394	0.15734	0.164863	0.0191396	0.0490287	0.00926245	0.0557158	0.0268662	0.0721606	0.0723118	0.110993	0.0337396	0.0187292	0.184187	0.0176734	0.0152881	0.26604	0.0661188	0.266187	0.262983	0.029694	0.441367	0.145108	0.113576	0.109438	0.0274978	0.208255	0.0762029	0.0101751	0.0595385	0.27111	0.0526829	0.0815763	0.0965206	0.0883151	0.184799	0.00366208	0.0226673	0.0859476	0.0548117	0.268646	0.632359	1.0642	2.0348	5	5.102957
266000	-699.9055	-717.9148	18.00931	10	2.866637	0.0759472	0.0558295	0.0742127	0.256971	0.0960142	0.0190734	0.0984995	0.0806592	0.00986219	0.181246	0.00961699	0.0373439	0.0359055	0.0102505	0.0336128	0.061229	0.0129896	0.0584958	0.0166637	0.0496285	0.0827497	0.147346	0.0019754	0.0015534	0.00662537	0.00672396	0.00284688	0.0461665	0.126716	0.543182	0.0117104	0.0704802	0.202803	0.244801	0.0476846	0.060212	0.0906785	0.14681	0.189461	0.0343578	0.100665	0.237817	0.249127	0.153853	0.0687045	0.0176573	0.0645032	0.29787	0.0193362	0.103869	0.263964	0.378674	0.723866	1.08177	1.81569	5	4.916302
267000	-702.2877	-728.3987	26.11105	10	0.7957572	0.0334959	0.0500726	0.0714457	0.215494	0.236983	0.010117	0.0406508	0.000875275	0.197176	0.0660586	0.0153385	0.000364384	0.0466923	0.0879727	0.0165917	0.114613	0.0147955	0.063565	0.0457828	0.00544201	0.0570739	0.128968	0.0373497	0.0133503	0.0693783	0.0774088	0.0115675	0.00986521	0.0106258	0.234311	0.0237565	0.0937024	0.397452	0.00540855	0.0459217	0.108792	0.308647	0.0614249	0.0109997	0.00518759	0.011316	0.0564805	0.0665636	0.272	0.0999987	0.0754047	0.237899	0.0207847	0.0513796	0.126192	0.0626608	0.0946556	0.40542	0.955772	2.54415	5	4.125398
268000	-699.4176	-716.2835	16.86591	10	2.825876	0.00367854	0.116574	0.0784489	0.288765	0.0287391	0.00397685	0.0362385	0.0494761	0.0227032	0.0170856	0.0667711	0.0361538	0.0368279	0.0291396	0.013698	0.384897	0.00295752	0.121893	0.00410238	0.0368805	0.0963446	0.137977	0.00470064	0.0129929	0.0278623	0.0198846	0.0293383	0.0651617	0.0882853	0.110768	0.0277518	0.100454	0.511585	0.200142	0.203274	0.0376009	0.0213537	0.0338601	0.308004	0.36331	0.0708628	0.0987129	0.0220756	0.158456	0.0883077	0.00165237	0.200757	0.0102918	0.135251	0.150975	0.241826	0.375326	0.721408	1.08151	1.82176	5	4.958826
269000	-723.2352	-729.9718	6.73662	10	2.283803	0.148945	0.0266401	0.0619309	0.238117	0.13275	0.0738978	0.00387244	0.170032	0.0445021	0.076852	0.0768971	0.0211556	0.100393	0.0759719	0.00356957	0.000868436	0.0106074	0.0203284	0.00704203	0.0525247	0.290383	0.0919955	0.0112572	0.0355522	0.00196522	0.033457	0.0174716	0.119777	0.183683	0.121049	0.153544	0.100857	0.399459	0.178927	0.0312967	0.133778	0.719849	0.0537713	0.449335	0.0577583	0.144999	0.0154673	0.106801	0.153152	0.308143	0.167951	0.0367532	0.0289525	0.165086	0.0557885	0.146395	0.324952	0.682156	1.0757	1.91719	5	5.861551
270000	-693.26	-716.2741	23.01413	10	1.762578	0.0198371	0.0817571	0.169014	0.223593	0.0435287	0.109261	0.0454204	0.0694686	0.130159	0.107783	0.0479439	0.0295563	0.0416893	0.159881	0.00441202	0.00349039	0.00906072	0.0187507	0.00395356	0.0717556	0.0328995	0.0921954	0.00806593	0.0304705	0.0352755	0.032327	0.000137311	0.308063	0.00871716	0.43392	0.0520048	0.250805	0.272713	0.0428275	0.121598	0.227687	0.134368	0.285404	0.0868356	0.0943297	0.00528506	0.0662504	0.148824	0.133617	0.157422	0.0462428	0.112709	0.0255877	0.0546393	0.046599	0.0133864	0.263187	0.627133	1.06273	2.04695	5	4.751521
271000	-711.0877	-721.9381	10.85036	2	1.865957	0.0293706	0.054109	0.128605	0.156675	0.0517691	0.00122567	0.0286775	0.118409	0.0108897	0.183753	0.0235499	0.0567415	0.0171476	0.0474653	0.020915	0.039081	0.0195586	0.0285761	0.0700454	0.043792	0.10157	0.0581091	0.00105038	0.00722814	0.0385581	0.0201945	0.0293513	0.23707	0.169761	0.23549	0.0920918	0.00905763	0.37319	0.319413	0.459315	0.261116	0.0180343	0.225352	0.0537909	0.0721428	0.0451346	0.114456	0.129997	0.0111777	0.0608664	0.0162264	0.0671355	0.0185443	0.179396	0.0413428	0.0307298	0.276731	0.639958	1.06624	2.01707	4	4.627247
272000	-697.2709	-715.0017	17.73078	10	3.264647	0.101661	0.0269929	0.0219388	0.19588	0.00827933	0.00789915	0.0207536	0.138906	0.0502622	0.106342	0.123359	0.00240067	0.0222753	0.0595246	0.00478531	0.131365	0.00897855	0.121042	0.0903605	0.0372813	0.0454445	0.0471895	0.00794443	0.000908263	0.0695231	0.0461234	0.0138435	0.197644	0.230851	0.198386	0.102368	0.207176	0.120909	0.0131038	0.558613	0.103865	0.000210669	0.0714181	0.146653	0.177901	0.107509	0.0617326	0.00795676	0.0193512	0.0222002	0.0689544	0.233642	0.190846	0.042987	0.00144638	0.164283	0.408753	0.745203	1.08354	1.7625	5	4.56127
273000	-712.5915	-727.4303	14.8388	10	2.131013	0.00788817	0.0536316	0.0707293	0.182244	0.0993764	0.130492	0.0535848	0.0364593	0.0706224	0.206305	0.000318764	0.0750193	0.0474009	0.0234777	0.0131989	0.0286852	0.000797537	0.0422125	0.0141936	0.00619304	0.0642953	0.0500254	0.0647715	0.000412786	0.022943	0.00570278	0.119545	0.150052	0.415377	0.2756	0.140154	0.0422107	0.114128	0.0121626	0.0954968	0.141498	0.0710827	0.0840518	0.0711472	0.0432258	0.020618	0.10301	0.291727	0.126504	0.026757	0.365071	0.0285249	0.240943	0.144532	0.12398	0.193154	0.308428	0.668259	1.07295	1.95037	5	4.811534
274000	-714.788	-732.5636	17.77564	10	1.582847	0.15693	0.165592	0.0353066	0.227999	0.0765616	0.0273138	0.00564183	0.053586	0.149426	0.0336423	0.0536072	0.0165178	0.040947	0.0156866	0.0367062	0.114105	0.0608281	0.0202534	0.0665645	0.0247138	0.0383486	0.17638	0.0536153	0.00649235	0.0249043	0.00529512	0.0150401	0.0240989	0.0573532	0.109339	0.00687598	0.0840869	0.0261922	0.116546	0.261133	0.0855876	0.147768	0.121814	0.0396638	0.0525367	0.257714	0.00497044	0.0388193	0.327204	0.0799409	0.176616	0.192266	0.61398	0.128126	0.0431056	0.0548662	0.237842	0.60179	1.05494	2.10543	5	4.752607
275000	-728.0197	-728.7945	0.7748112	10	3.326123	0.434971	0.184042	0.0302654	0.328115	0.189573	0.125697	0.118664	0.0642151	0.0610687	0.104791	0.0502273	0.00428658	0.00972524	0.220999	0.01755	0.0932027	0.0113706	0.0390212	0.0595035	0.0326299	0.127284	0.238284	0.0969278	0.000325797	0.138798	0.010624	0.0227172	0.00558233	0.0171645	0.109253	0.0967157	0.0372859	0.159063	0.0806885	0.0385298	0.113101	0.563848	0.113524	0.076676	0.734778	0.029525	0.202556	0.0953065	0.434766	0.0645919	0.0751934	0.26795	0.0574771	0.034844	0.0112701	0.193764	0.413017	0.748123	1.08371	1.75515	5	6.428331
276000	-707.3052	-722.4339	15.12869	10	1.386891	0.00632365	0.0772589	0.0146233	0.232761	0.112113	0.0819658	0.036604	0.0864956	0.0757039	0.104118	0.035503	0.00736395	0.0365376	0.00553698	0.0380234	0.0314425	0.0366135	0.163757	0.00158164	0.0149975	0.00461723	0.104415	0.0136678	0.00776113	0.00680904	0.0019665	0.024528	0.105563	0.138132	0.337721	0.018504	0.0283085	0.320175	0.419936	0.0637949	0.106039	0.0164801	0.131342	0.249809	0.300636	0.142584	0.0172723	0.165346	0.0184128	0.0881358	0.0678338	0.189778	0.189496	0.306067	0.199903	0.0170645	0.207309	0.568579	1.04303	2.18109	5	5.001423
277000	-703.1744	-729.0331	25.85874	10	1.943416	0.0064587	0.0229377	0.0231287	0.243267	0.204029	0.0285285	0.0648125	0.0327559	0.022316	0.0330039	0.0563144	0.0383919	0.00660545	0.0455102	0.0214049	0.0270808	0.013723	0.0349124	0.0214348	0.0186563	0.0247703	0.0262007	0.000718562	0.00041146	0.0189006	0.0879945	0.114097	0.200644	0.00297531	0.13177	0.224733	0.0724163	0.224436	0.0404116	0.118706	0.00829359	0.278171	0.0599744	0.0285381	0.0347242	0.0863372	0.0702546	0.0932441	0.107628	0.282878	0.0767965	0.339544	0.181672	0.118011	0.117723	0.144138	0.286425	0.648859	1.06851	1.99621	5	4.282386
278000	-712.726	-719.4375	6.711426	2	3.745468	0.0663763	0.0390177	0.0393807	0.356731	0.0247711	0.184494	0.053343	0.112719	0.00199919	0.0285063	0.0237329	0.0120702	0.00449875	0.0665246	0.0126932	0.0587151	0.0211186	0.193193	0.0372599	0.0276834	0.238789	0.114768	0.0208993	0.0100912	0.0826402	0.0110794	0.0255243	0.0644896	0.0649823	0.0429398	0.220235	0.142537	0.00478745	0.0668742	0.135069	0.1386	0.167034	0.0496383	0.160121	0.346296	0.0246562	0.0792975	0.267173	0.0208366	0.00480416	0.286501	0.0193918	0.0215759	0.0851383	0.0308458	0.686629	0.439808	0.76592	1.08435	1.70992	4	4.999073
279000	-707.1367	-725.8087	18.67196	10	3.205249	0.0161293	0.00183407	0.103138	0.0351417	0.020058	0.0180732	0.0935899	0.107386	0.0691274	0.0440552	0.0307925	0.0072277	0.0221283	0.00574746	0.00790903	0.199557	0.00720951	0.0564669	0.0660876	0.00302762	0.15847	0.0210559	0.0891478	0.0182833	0.0126539	0.00263657	0.0187995	0.103234	0.0103422	0.158783	0.0043244	0.0317324	0.330074	0.0813719	0.00232855	0.114414	0.124288	0.119276	0.406904	0.505591	0.0889738	0.199567	0.0897792	0.371781	0.13738	0.186199	0.0365715	0.00173419	0.0535902	0.205882	0.12397	0.404542	0.742294	1.08336	1.76981	5	4.723824
280000	-709.5368	-724.4049	14.86804	10	2.439162	0.0152354	0.101696	0.0143749	0.379615	0.0678459	0.235854	0.0381697	0.0796897	0.0262218	0.0297048	0.0579277	0.0517526	0.0137669	0.00223588	0.0227654	0.000213788	0.069907	0.10594	0.105837	0.0146111	0.183914	0.0197767	0.0353327	0.0371616	0.0871003	0.0371447	0.0366002	0.085517	0.0736352	0.0466597	0.130156	0.085633	0.00914096	0.095465	0.662388	0.0524098	0.0354862	0.13196	0.524456	0.163805	0.0706581	0.0212205	0.0509355	0.0885885	0.0158468	0.156914	0.202894	0.036941	0.126088	0.00114008	0.304287	0.340612	0.694837	1.0779	1.88665	5	5.04262
281000	-705.9536	-719.1297	13.17607	10	4.305757	0.0450488	0.00743676	0.0607751	0.132902	0.0629949	0.0470797	0.0430115	0.117235	0.026614	0.0708385	0.1136	0.0160564	0.155436	0.0215305	0.0324219	0.0247715	0.0161234	0.0734213	0.0096575	0.0213487	0.0891108	0.0752066	0.00100593	0.0105282	0.0955156	0.00965205	0.0508534	0.0194546	0.0508095	0.637823	0.0693039	0.174291	0.0954619	0.0458978	0.126527	0.0516878	0.000233575	0.10339	0.0146716	0.0831051	0.249719	0.0824515	0.0143537	0.400384	0.139718	0.153124	0.166006	0.161968	0.369524	0.0601791	0.0980033	0.470409	0.78516	1.08424	1.66019	5	4.798263
282000	-706.6402	-727.8129	21.17276	10	1.992971	0.0236367	0.00453292	0.0530528	0.39074	0.0220429	0.0505368	0.162824	0.0727123	0.162149	0.0728879	0.00895409	0.0747281	0.0252575	0.104523	0.00165106	0.0889598	0.0273621	0.049566	0.0998164	0.0598941	0.0266536	0.0103519	0.0412703	0.00979888	0.0540023	0.0170663	0.0084505	0.217824	0.0495167	0.30029	0.106556	0.182872	5.64828e-05	0.0888048	0.00898086	0.064996	0.0908457	0.033241	0.25704	0.251332	0.0745471	0.181974	0.0358807	0.00287645	0.115004	0.178568	0.217254	0.0426359	0.0732602	0.155926	0.0191623	0.292434	0.654264	1.06981	1.98349	5	4.472865
283000	-722.3073	-728.8498	6.542482	2	2.095846	0.0728746	0.0175764	0.12549	0.143994	0.306914	0.0207604	0.333301	0.0270192	0.0863047	0.0162535	0.177701	0.0073783	0.00110491	0.00608759	0.0063535	0.0774993	0.0503434	0.0410591	0.0973464	0.0795368	0.172532	0.0522953	0.0703036	0.0315153	0.0182276	0.031713	0.0568536	0.0409451	0.0338314	0.235356	0.0668913	0.178647	0.391061	0.169867	0.0763597	0.106289	0.405002	0.0991273	0.0219888	0.0946749	0.0776685	0.0652585	0.0714805	0.0627367	0.191056	0.0711377	0.271774	0.0215444	0.2227	0.00242267	0.0419109	0.304454	0.664833	1.07221	1.9585	4	5.148069
284000	-712.1599	-722.2465	10.0866	10	3.076056	0.029637	0.0332182	0.215778	0.136407	0.115744	0.0696869	0.0409382	0.287598	0.00648187	0.0126761	0.23188	0.0738224	0.0713198	0.0032718	0.00300757	0.00806025	0.0482448	0.0199921	0.121606	0.00972833	0.165286	0.0691504	0.0449089	4.17301e-05	0.000448948	0.00531069	0.0438521	0.202783	0.183979	0.0265375	0.0807736	0.392904	0.0516399	0.186812	0.0177231	0.0857064	0.0459167	0.0744211	0.063458	0.0656325	0.297595	0.00348127	0.0019756	0.45576	0.487912	0.0235835	0.198752	0.0161563	0.0559478	0.177003	0.0660885	0.395061	0.735654	1.08287	1.78642	5	5.13064
285000	-699.6356	-724.0697	24.43415	10	0.8256952	0.0227853	0.00220824	0.0158628	0.0933459	0.0186522	0.0668622	0.138457	0.223264	0.220587	0.0612866	0.0553762	0.0121651	0.0209016	0.0782865	0.00843606	0.0466232	0.00249958	0.0241628	0.114559	0.00295892	0.0271578	0.0322561	0.0933812	0.00172405	0.00359588	0.0756947	0.026616	0.0576838	0.121714	0.0205462	0.154374	0.145521	0.157157	0.0290402	0.166484	0.27554	0.0175825	0.00176151	0.506917	0.0426673	0.0198089	0.107827	0.200725	0.0100338	0.11768	0.0958315	0.211601	0.00619716	0.297802	0.306959	0.013337	0.101013	0.417277	0.963828	2.51788	5	4.574496
286000	-713.99	-730.3597	16.36978	10	2.188602	0.138835	0.00628465	0.00563405	0.174713	0.0595858	0.0453621	0.0151923	0.0533614	0.0193931	0.0172029	0.000354786	0.0278106	0.136872	0.0119107	0.0038842	0.00810158	0.0322924	0.0249306	0.0338135	0.0243627	0.157627	0.216632	0.138834	0.0366782	0.125015	0.0804578	0.00333736	0.0223702	0.0268038	0.0130448	0.23256	0.320766	0.0509599	0.00690462	0.0979437	0.0130075	0.0302693	0.00713697	0.440814	0.177721	0.201225	0.0842386	0.374447	0.0905015	0.111468	0.327834	0.0057661	0.127474	0.0451892	0.0539956	0.0956781	0.314795	0.673679	1.07406	1.93746	5	4.556599
287000	-704.0669	-727.2308	23.16395	10	1.679507	0.0127399	0.0447774	0.116543	0.0979562	0.146203	0.0142087	0.0345324	0.148625	0.0600228	0.207538	0.199233	0.0405705	0.0376614	0.166789	0.03587	0.0209906	0.0199003	0.0270187	0.0163226	0.0141332	0.057863	0.0574033	0.0136736	0.0197905	0.0923146	0.000169737	0.0237908	0.223235	0.221691	0.0953094	0.149338	0.0990729	0.0602468	0.182754	0.0235183	0.0189998	0.0813932	0.181469	0.167476	0.19796	0.0133756	0.333246	0.0514205	0.0241655	0.0516535	0.00445335	0.015079	0.163206	0.230751	0.0948787	0.124566	0.251769	0.615943	1.05943	2.07286	5	4.535898
288000	-717.8724	-732.6679	14.79553	10	6.54009	0.0126638	0.228751	0.0207773	0.481054	0.114631	0.0269032	0.0129304	0.108135	0.358212	0.0347468	0.0160591	0.0016266	0.00927735	0.106977	0.0396038	0.208808	0.000499487	0.0203639	0.0566823	0.0115409	0.0235023	0.139771	0.0127942	0.0276841	0.0583626	0.000622352	0.0345258	0.225481	0.0612468	0.34966	0.0695736	0.212136	0.0468973	0.00951388	0.178469	0.173179	0.0162176	0.153087	0.0607153	0.0844994	0.125492	0.31761	0.22639	0.0690774	0.0784976	0.0162913	0.140987	0.0979486	0.166796	0.00380321	0.00474981	0.555706	0.833488	1.08002	1.53078	5	5.055822
289000	-692.0806	-717.8697	25.78909	10	1.592573	0.0244441	0.0180101	0.062256	0.28374	0.0539164	0.155532	0.0502276	0.146622	0.0611952	0.0128693	0.00516135	0.0165629	0.00428738	0.121133	0.000469627	0.0289006	0.00240981	0.00863551	0.0473173	0.0331227	0.0223877	0.0645225	0.0305896	0.0212225	0.0154465	0.0352871	0.0776166	0.248456	0.0481446	0.39086	0.0113989	0.144594	0.134327	0.384267	0.094724	0.0489905	0.373631	0.161124	0.0704818	0.0338236	0.0039962	0.15027	0.0694456	0.0471534	0.0221044	0.0477607	0.0453779	0.0332528	0.0236644	0.0206863	0.0259545	0.239275	0.603273	1.05543	2.10203	5	4.038373
290000	-696.3905	-714.701	18.31052	10	2.15937	0.0401712	0.0120073	0.015441	0.244677	0.0176503	0.0220617	0.0090139	0.0323588	0.0220307	0.041077	0.0434617	0.0104514	0.0268951	0.0484563	0.00220745	0.0481299	0.0284658	0.0343364	0.0267404	0.00212129	0.0930675	0.0504793	0.0105491	0.00481013	0.0386225	0.0112735	0.00863371	0.0173123	0.0154948	0.0601374	0.0474261	0.422146	0.150487	0.484259	0.0161363	0.0605585	0.114872	0.091425	0.15489	0.185609	0.0765833	0.565575	0.0783316	0.085679	0.280153	0.142487	0.161964	0.0462369	0.127352	0.00455562	0.186263	0.311584	0.670957	1.07351	1.94395	5	4.521123
291000	-713.2419	-732.0996	18.85773	10	2.195292	0.00472472	0.0680803	0.0106324	0.148966	0.0780808	0.0128807	0.153388	0.04743	0.092162	0.0762261	0.0622907	0.0287157	0.014773	0.0628841	0.0109528	0.183831	0.0287175	0.0917843	0.119214	0.0323278	0.0312092	0.0987264	0.0107335	0.00778527	0.0241754	0.00242269	0.0634008	0.203497	0.111021	0.00344905	0.0545293	0.00122229	0.0240642	0.089077	0.0494261	0.436083	0.248172	0.00235343	0.118115	0.426439	0.193189	0.0111177	0.0276322	0.511371	0.235406	0.0706251	0.0616586	0.0738302	0.141618	0.014685	0.070863	0.315523	0.674294	1.07419	1.936	5	4.745958
292000	-697.6023	-723.3917	25.78938	10	1.938069	0.000361495	0.0425107	0.000632484	0.197455	0.0560711	0.0104309	0.112477	0.149753	0.0272866	0.00219261	0.0211404	0.0193098	0.00969656	0.0192786	0.0325706	0.0532632	0.0259162	0.102163	0.0389327	0.000593383	0.0395266	0.0266436	0.0916024	0.0204889	0.0756728	0.00555884	0.0201337	0.142976	0.155227	0.0103421	0.0783678	0.0513188	0.0790647	0.0202022	0.282251	0.0117898	0.0514752	0.224492	0.329661	0.0814149	0.0919477	0.0958353	0.335014	0.134176	0.174979	0.0414218	0.242623	0.0764221	0.108177	0.0382259	0.0233511	0.285768	0.648262	1.06836	1.99761	5	4.082417
293000	-699.4736	-725.1507	25.67716	10	1.18704	0.0245146	0.0146385	0.0922334	0.288455	0.202989	0.153538	0.0116183	0.150002	0.105817	0.150782	0.0168142	0.00450598	0.0243847	0.0377452	0.00570858	0.069849	0.00485708	0.0854903	0.0125659	0.00571084	0.123349	0.00547077	0.00911865	0.00135738	0.0303802	0.00151671	0.00401996	0.0329569	0.010267	0.0220752	0.0436825	0.0761751	0.0176704	0.0618313	5.61406e-05	0.0208692	0.0255399	0.158657	0.36272	0.0196824	0.0656512	0.0532827	0.298173	0.279267	0.0158363	0.116386	0.0169848	0.0974644	0.0533169	0.049556	0.248472	0.172697	0.52656	1.0252	2.27555	5	3.784006
294000	-714.0737	-717.7196	3.645936	10	4.058682	0.0528789	0.0839188	0.102841	0.300322	0.31768	0.13987	0.0639637	0.0364456	0.0413211	0.11229	0.186624	0.00114317	0.00613879	0.0251753	0.0289254	0.0845764	0.0114906	0.0195139	0.0226899	0.00631423	0.120352	0.0766258	0.0050961	0.0323118	0.0434671	0.0686949	0.0259902	0.125105	0.837554	0.147219	0.112495	0.0560961	0.268137	0.0623414	0.112636	0.385074	0.118557	0.0477507	0.0208267	0.0220331	0.0170969	0.111345	0.647966	0.0559819	0.079477	0.124053	0.0122216	0.0590979	0.17655	0.0371022	0.0775604	0.457557	0.777214	1.08439	1.68084	5	5.730937
295000	-702.282	-723.0078	20.72579	10	0.9537792	0.0548599	0.0787844	0.0697823	0.0848842	0.129333	0.0914929	0.0824131	0.0547356	0.0362482	0.0231008	0.0119939	0.0286905	0.0280665	0.0396545	0.0540474	0.0132953	0.00814808	0.0890358	0.0435701	0.0266211	0.0362458	0.12041	0.0359311	0.0254524	0.00391135	0.00830765	0.0539824	0.00806891	0.0487838	0.0252401	0.0419957	0.00141911	0.0805736	0.164047	0.119691	0.169681	0.0321491	0.307513	0.0661006	0.0852702	0.611669	0.0210168	0.37166	0.117404	0.130129	0.0378683	0.0289093	0.055839	0.155704	0.0827787	0.224289	0.127642	0.462404	0.991898	2.41806	5	4.3208
296000	-718.3721	-727.7329	9.360741	2	1.915419	0.0566458	0.171996	0.0769742	0.321029	0.154805	0.1515	0.171685	0.0206689	0.0874176	0.0701053	0.0535443	0.0335749	0.00536259	0.0118753	0.0011349	0.0228506	0.00324046	0.0115746	0.061833	0.0422193	0.0528422	0.123019	0.00107264	0.0104018	0.0218847	0.00431189	0.0670136	0.0345049	0.0472018	0.0875988	0.000127265	0.526113	0.066955	0.0364903	0.139125	0.0701555	0.0189767	0.101726	0.272303	0.150657	0.0518085	0.0632759	0.433951	0.081892	0.0572956	0.0776598	0.0336657	0.519166	0.00948991	0.108199	0.138884	0.282965	0.645707	1.06772	2.00361	4	4.937805
