Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-1548.386	-1633.577	85.19104	10	2.292214	0.111856	0.0288153	0.0276582	0.084868	0.0186793	0.0272168	0.0342315	0.0771219	0.0236837	0.0617563	0.0298744	0.0761138	0.0796034	0.00106579	0.0351657	0.0313885	0.0504417	0.0445286	0.0667497	0.0200231	0.0813381	0.0389014	0.0307349	0.00241236	0.0095288	0.0305471	0.00656675	0.0303816	0.230077	0.0553169	0.0902071	0.124396	0.0616295	0.759923	0.00528839	0.346947	0.111666	0.239323	0.125603	0.148367	0.0870656	0.0840818	0.14702	0.0672019	0.0210972	0.0464402	0.0487639	0.226825	0.0216416	0.118532	0.0424488	0.25009	0.10094	0.00317542	0.16011	0.0172679	0.00276179	0.0159024	0.0203481	0.325828	0.682878	1.07584	1.91546	5	4.941711
11000	-1566.173	-1645.157	78.98344	10	1.974453	0.212883	0.020429	0.0246773	0.0713508	0.0489661	0.0332086	0.0177032	0.0500792	0.0119138	0.0655161	0.0486951	0.054185	0.0919896	0.059178	0.00912565	0.058114	0.0747893	0.0272828	0.0420207	0.0519579	0.0435335	0.130418	0.0255898	0.0558261	0.00528617	0.0130534	0.00467865	0.0160488	0.0239144	0.0714457	0.0230211	0.0959208	0.102986	0.909352	0.00440489	0.196735	0.121093	0.106363	0.137054	0.0448166	0.0971196	0.0508999	0.0690481	0.294131	0.0282167	0.0580511	0.0307858	0.0385267	0.0248533	0.0234747	0.0754544	0.295032	0.147848	0.010185	0.0976428	0.026338	0.12319	0.0583807	0.0907699	0.290206	0.652269	1.06934	1.98819	5	4.845555
12000	-1573.697	-1647.119	73.42135	10	1.222587	0.0823368	0.0530916	0.00973799	0.0468286	0.0203241	0.0101685	0.0315071	0.0390869	0.0137932	0.0487369	0.0507045	0.057513	0.133608	0.0731581	0.0978407	0.162634	0.135193	0.103913	0.0059745	0.0884983	0.0219845	0.0483525	0.0310063	0.000672685	0.0928107	0.0141029	0.0179708	0.00515358	0.0843559	0.0143622	0.0285777	0.116806	0.31579	0.609265	0.0748317	0.416858	0.084924	0.0595121	0.201574	0.0067984	0.00150532	0.0262813	0.117632	0.136103	0.0423032	0.0491898	0.0167342	0.0280445	0.0359539	0.0244044	0.108688	0.0778325	0.0798293	0.00186003	0.206595	0.00318033	0.14691	0.140804	0.144324	0.179122	0.534767	1.02892	2.25719	5	4.898531
13000	-1569.416	-1649.16	79.74386	10	2.106578	0.100057	0.00925003	0.0336677	0.0713415	0.058383	0.0545844	0.0352474	0.0314865	0.0284681	0.0330048	0.0286828	0.0571051	0.087901	0.021006	0.202652	0.124909	0.119511	0.000913004	0.0348988	0.0214805	0.0276752	0.0238611	0.0651775	0.0113955	0.0222155	0.0139951	0.0101616	0.033409	0.122071	0.0247653	0.0227246	0.0808216	0.00648749	0.676839	0.0768791	0.18523	0.124862	0.185031	0.0714039	0.160797	0.0276489	0.0874916	0.0436288	0.30854	0.111406	0.0324573	0.053999	0.027831	0.0373446	0.0389679	0.0552518	0.0404523	0.0941442	0.0412633	0.179059	0.00422776	0.143628	0.0258693	0.314406	0.305673	0.665889	1.07244	1.956	5	4.767969
14000	-1574.815	-1654.416	79.6004	10	1.732614	0.130398	0.043091	0.0274065	0.00257184	0.052977	0.0786517	0.0102218	0.040034	0.0341193	0.058374	0.0238445	0.0599766	0.0781554	0.0871188	0.0333345	0.0939846	0.128269	0.0678119	0.0218906	0.00829148	0.00537394	0.0245972	0.0215781	0.00260242	0.0152499	0.00678143	0.0148581	0.013642	0.20185	0.101853	0.103828	0.187532	0.11106	0.673245	0.160558	0.241118	0.0158654	0.0942832	0.14709	0.105178	0.058152	0.0396844	0.0469419	0.222385	0.0132677	0.128196	0.0355259	0.124231	0.0585777	0.0130631	0.0282463	0.157295	0.115138	0.0123639	0.0651105	0.0414399	0.201976	0.0149723	0.101321	0.259125	0.623193	1.06159	2.05609	5	4.806555
15000	-1579.174	-1649.414	70.23937	10	1.080902	0.192356	0.0291771	0.0918058	0.0302899	0.0626788	0.0410056	0.0431372	0.0977629	0.0043499	0.0303449	0.039091	0.0353467	0.113108	0.0461805	0.133856	0.0458857	0.0491327	0.070501	0.058337	0.0140981	0.0112998	0.00881586	0.010565	0.0171542	0.0307692	0.0348288	0.00551998	0.0266202	0.0595705	0.0190743	0.178962	0.212994	0.173362	0.795261	0.0237536	0.277065	0.123847	0.0121194	0.170257	0.198652	0.06232	0.0157011	0.0582068	0.416688	0.013353	0.0587	0.0243173	0.262824	0.0134656	0.0333926	0.0260055	0.137373	0.167427	0.0175314	0.0661839	0.0230116	0.154632	0.0659842	0.0438429	0.152808	0.499788	1.01221	2.33519	5	5.279895
16000	-1553.369	-1639.297	85.92832	10	1.209759	0.0975185	0.026911	0.041536	0.0270932	0.0434607	0.0210446	0.0250806	0.0998689	0.0212299	0.107601	0.0261154	0.0439349	0.131078	0.0394603	0.0624551	0.0825728	0.125506	0.082227	0.0433633	0.0329785	0.0241942	0.0040937	0.0238842	0.00464187	0.0351064	0.0350857	0.00852952	0.00455412	0.074956	0.00562185	0.0520435	0.0514739	0.0800889	0.401527	0.131007	0.128989	0.0680528	0.169179	0.122354	0.0995177	0.0302958	0.0250261	0.0850726	0.374541	0.10367	0.0148204	0.0751156	0.0394736	0.00817775	0.0349577	0.0267007	0.112496	0.0446836	0.00359782	0.136655	0.0160282	0.122143	0.0120017	0.123109	0.176817	0.531845	1.02761	2.26373	5	4.094501
17000	-1548.334	-1636.146	87.81147	10	1.330783	0.143526	0.0440649	0.00856607	0.0985391	0.0394568	0.0597521	0.0405232	0.129142	0.0066055	0.0288718	0.0601521	0.0696414	0.126515	0.0138758	0.099453	0.0619016	0.0847971	0.0766071	0.0289249	0.0551457	0.0176784	0.0382101	0.0329868	0.0303444	0.0140044	0.0303912	0.0214362	0.0184097	0.0451451	0.0696585	0.0773732	0.0929772	0.17685	0.532462	0.0852621	0.135813	0.102373	0.157058	0.121859	0.36546	0.0224297	0.0198714	0.082739	0.197888	0.056165	0.025531	0.0189744	0.0378683	0.0647877	0.0644569	0.0432162	0.0928048	0.0645187	0.0124741	0.0472469	0.0154787	0.12057	0.0132266	0.0885588	0.197959	0.557732	1.03872	2.20559	5	4.530621
18000	-1583.606	-1652.495	68.88941	10	1.727542	0.0878332	0.0298385	0.0322303	0.037686	0.00788677	0.000445277	0.0467482	0.107187	0.0662491	0.0495453	0.0732548	0.0618189	0.0620468	0.0779824	0.0140552	0.0992323	0.155325	0.0859038	0.0524891	0.0624758	0.18792	0.0939445	0.0293123	0.0278319	0.0113587	0.0493728	0.0211083	0.0735471	0.0583546	0.0331792	0.0752437	0.145535	0.109763	0.766659	0.0514013	0.230548	0.108886	0.0932657	0.213301	0.440376	0.0572847	8.15359e-06	0.0350505	0.391774	0.0241503	0.0170865	0.19185	0.0695585	0.00469746	0.0629789	0.101598	0.174113	0.179939	0.0010877	0.10527	0.00160552	0.224714	0.0637083	0.165022	0.258431	0.622515	1.0614	2.05766	5	5.902641
19000	-1556.865	-1639.668	82.80278	10	2.141321	0.126814	0.0398159	0.0213906	0.0397315	0.0172032	0.0395984	0.0235671	0.0842379	0.0366746	0.0918802	0.0507734	0.0437626	0.09991	0.0271399	0.0857818	0.055631	0.0987141	0.0651817	0.0263447	0.0757341	0.073998	0.0447465	0.0107668	0.0509461	0.0273965	0.0253223	0.0127757	0.00624626	0.133002	0.0253245	0.063968	0.0753145	0.159075	0.754927	0.0335179	0.0878204	0.190634	0.0329485	0.20498	0.379939	0.0235511	0.027449	0.0732379	0.116794	0.166604	0.0691989	0.0444155	0.0450538	0.111699	0.0124061	0.0723178	0.0883116	0.0534162	0.00323011	0.0347545	0.0253055	0.174285	0.0399171	0.0738891	0.30958	0.669247	1.07315	1.94802	5	4.799374
