Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
15000	-326.2212	-374.0603	47.83911	10	0.2812535	0.0504618	0.0193304	0.0871012	0.0397039	0.0012069	0.0741128	0.224609	0.0573168	0.0219725	0.0977282	0.108237	0.138467	0.0218702	0.129424	0.241058	0.350091	0.0388208	0.130793	0.0541648	0.0570874	0.016095	0.155062	0.160799	0.0270252	0.228666	0.00389812	0.0900158	0.562935	3.34315	5	2.531203
16000	-327.6204	-375.2592	47.63886	10	0.9128598	0.214561	0.0406679	0.135259	0.0740156	0.00610663	0.0905382	0.0553718	0.0364323	0.00704444	0.1326	0.194169	0.00179031	0.0731429	0.126062	0.71111	0.228895	0.103695	0.250434	0.178075	0.0381999	0.078513	0.156274	0.257422	0.234857	0.191307	0.119256	0.448896	0.983914	2.44793	5	3.616541
17000	-321.1585	-374.3839	53.22538	10	0.2179143	0.00803173	0.0890741	0.0353462	0.0160113	0.00570778	0.0412833	0.111154	0.0103778	0.016932	0.1173	0.101998	0.20224	0.0842014	0.0840213	0.0991586	0.0195101	0.100471	0.0912836	0.125846	0.0715542	0.477454	0.0581353	0.161868	0.231805	0.212992	0.000936944	0.0447071	0.428779	3.52558	5	2.573758
18000	-334.5661	-383.669	49.1029	10	0.2135254	0.0158713	0.0610864	0.0347859	0.0732815	0.0541063	0.0445536	0.0652886	0.00284435	0.0307621	0.0438873	0.0517636	0.140591	0.0356272	0.0309233	0.372218	0.115782	0.0627882	0.0155081	0.214238	0.0811338	0.394167	0.0227939	0.108319	0.177715	0.0138632	0.000822562	0.0419245	0.418028	3.53923	5	2.2639
19000	-324.0466	-373.7795	49.73291	10	0.472695	0.18995	0.00577359	0.0117541	0.0136851	0.0933803	0.0150411	0.0938585	0.0048958	0.0774841	0.0989073	0.0686111	0.0601445	0.0646067	0.0756426	0.274732	0.0610786	0.183525	0.259465	0.150125	0.113108	0.109053	0.00512184	0.187451	0.236229	0.208029	0.0284455	0.233717	0.799337	2.9385	5	2.661652
20000	-326.1598	-375.3826	49.22277	10	1.059423	0.00164413	0.237119	0.221254	0.0245331	0.0517846	0.0458101	0.042614	0.00599704	0.00987263	0.115129	0.178343	0.0260517	0.0046141	0.239439	0.141505	0.203617	0.179352	0.138529	0.161152	0.231369	0.0870608	0.0787008	0.121132	0.000123529	0.159866	0.148656	0.493912	1.00919	2.34824	5	2.706614
21000	-322.117	-378.5241	56.40709	10	0.1990805	0.168639	0.0444059	0.0937979	0.0059903	0.0119243	0.0169456	0.131156	0.0642067	0.000366819	0.0601574	0.18331	0.264854	0.026119	0.0733589	0.158526	0.19727	0.0032152	0.0327905	0.0333166	0.189661	0.158698	0.0561796	0.0661772	0.0269648	0.171117	0.000514526	0.0332467	0.381254	3.58498	5	2.239148
22000	-335.3472	-382.3815	47.03425	10	0.7855725	0.00622219	0.0671053	0.10282	0.0131915	0.0166015	0.0732017	0.216499	0.00619397	0.225536	0.023651	0.0489829	0.103702	0.00347757	0.173877	0.286824	0.00198662	0.112516	0.0777091	0.445826	0.147363	0.24513	0.0731907	0.306141	0.00907059	0.0952116	0.0924852	0.40126	0.952876	2.55338	5	2.88203
23000	-327.9726	-374.0651	46.09248	10	0.7783475	0.0257216	0.0867062	0.262494	0.0157386	0.00742027	0.0612492	0.00746224	0.042886	0.0247113	0.0793722	0.0961893	0.114463	0.0249607	0.17674	0.254145	0.271081	0.231003	0.10326	0.303687	0.301709	0.011134	0.248573	0.0399449	0.125569	0.214974	0.0909436	0.398268	0.95077	2.56002	5	3.131194
24000	-321.6482	-376.4996	54.85148	10	0.4630615	0.0293985	0.0190442	0.0255449	0.127103	0.00853959	0.0598203	0.0124367	0.0462458	0.0243468	0.0377359	0.00847072	0.181954	0.0431289	0.0804225	0.0624127	0.0633659	0.199977	0.143702	0.0926998	0.00836052	0.124196	0.216175	0.146681	0.295212	0.227999	0.0267631	0.227119	0.791412	2.95471	5	2.284975
25000	-312.0701	-371.2865	59.2164	10	0.4154904	0.0609651	0.0131605	0.0195357	0.0238791	0.00164102	0.0626836	0.126286	0.0894991	0.0210375	0.0106754	0.0669984	0.0390431	0.0291448	0.103617	0.30799	0.0471866	0.0468617	0.0659028	0.0140907	0.0883826	0.281444	0.195018	0.166915	0.163737	0.162699	0.0190111	0.19323	0.747513	3.04025	5	2.208394
26000	-331.716	-381.1824	49.46639	10	0.2401376	0.011311	0.0374887	0.112143	0.0348746	0.0731508	0.0238367	0.131949	0.00670777	0.0634214	0.018416	0.019559	0.112463	0.0770134	0.0807302	0.437981	0.0809224	0.0739581	0.228339	0.306362	0.0512206	0.151461	0.0808793	0.0133658	0.148384	0.144594	0.00168354	0.0596658	0.480221	3.45843	5	2.520532
27000	-318.5498	-375.6276	57.07775	10	0.2067574	0.000854174	0.0566395	0.0453002	0.0181573	0.0524159	0.00727679	0.124701	0.00520191	0.00388864	0.0710852	0.0230091	0.0436796	0.0653038	0.0718084	0.172801	0.0489558	0.0598218	0.242184	0.229945	0.0886852	0.0791223	0.069733	0.264549	0.203955	0.0193593	0.00066566	0.0377625	0.401063	3.56051	5	2.068433
28000	-321.4308	-380.5042	59.0734	10	0.3519574	0.00893214	0.0552015	0.0359014	0.0376325	0.0367685	0.0471468	0.0843314	0.0359866	0.0350111	0.108175	0.0815568	0.0311524	0.0268243	0.0848852	0.127914	0.0642636	0.240679	0.00735391	0.00656967	0.0438141	0.0450941	0.302773	0.320386	0.134176	0.220999	0.0104368	0.145077	0.673585	3.1709	5	2.223528
29000	-325.9887	-371.1824	45.19369	10	0.9126883	0.00694148	0.216472	0.0831072	0.00835084	0.0257672	0.0615924	0.0257441	0.106926	0.0323578	0.00208984	0.194819	0.0273734	0.0537079	0.145196	0.125644	0.0949589	0.176876	0.0994324	0.13781	0.178504	0.232739	0.37641	0.183901	0.329632	0.367653	0.11922	0.448838	0.983879	2.44806	5	3.294006
30000	-335.2633	-378.8335	43.57018	10	0.537045	0.0281374	0.102858	0.168767	0.0836818	0.0525966	0.0218483	0.152215	0.0230854	0.0964191	0.245124	0.296377	0.122698	0.027386	0.0601902	0.122208	0.0491117	0.363148	0.0330164	0.18415	0.054528	0.0968475	0.116723	0.128321	0.325765	0.308925	0.0404425	0.275413	0.845458	2.83869	5	3.264129
31000	-329.9464	-372.7583	42.81194	10	0.621358	0.177895	0.00707741	0.161352	0.179388	0.0966137	0.0789669	0.0067495	0.123692	0.0244335	0.0842578	0.295072	0.0425684	0.0072978	0.147224	0.260911	0.198709	0.062649	0.0244949	0.00706134	0.362065	0.435491	0.130737	0.159653	0.332093	0.0234241	0.0575409	0.323938	0.891836	2.72669	5	3.429877
