Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
11000	-186.8718	-222.0951	35.22335	10	2.00057	0.174036	0.0131424	0.0202843	0.0193217	0.00673301	0.0621054	0.0534942	0.167539	0.0707575	0.0165296	0.0398012	0.0236975	0.0271177	0.0546525	0.00556735	0.152421	0.00833928	0.0471814	0.0434758	0.0487917	0.141999	0.0188933	0.0354478	0.109244	0.011507	0.028412	0.188492	0.0785351	0.0960374	0.294491	0.0165741	0.0978403	0.0254149	0.293343	0.655074	1.07	1.98158	5	2.197876
12000	-195.0023	-223.3302	28.32789	2	1.049753	0.113781	0.00283689	0.0458758	0.0258851	0.0707098	0.0312318	0.104371	0.077964	0.0815677	0.0565467	0.0222624	0.00946182	0.0643925	0.0277188	0.0568196	0.0747622	0.0103444	0.0689535	0.0679971	0.0796304	0.0283795	0.141523	0.0196077	0.0477775	0.0307708	0.0440081	0.0829871	0.425685	0.0792125	0.058037	0.108342	0.0671884	0.0125969	0.146773	0.491212	1.00778	2.35424	4	2.239227
13000	-203.5886	-227.9591	24.37049	1	1.935672	0.122139	0.00771903	0.0218126	0.0200166	0.0304788	0.113188	0.0557466	0.10004	0.033015	0.00419071	0.0396975	0.0556735	0.0023312	0.113422	0.00337673	0.0861584	0.0116666	0.0101757	0.0158464	0.0781869	0.104965	0.0186474	0.0214051	0.0279504	0.0760817	0.0524017	0.230006	0.210972	0.345963	0.0158069	0.0237169	0.0664823	0.0154672	0.285473	0.647994	1.06829	1.99824	3	2.134747
14000	-207.8581	-227.9813	20.12315	2	1.732389	0.0142979	0.0577932	0.148814	0.00571355	0.0210454	0.100638	0.089596	0.0286058	0.0111693	0.0627048	0.0390705	0.0472314	0.108833	0.00393169	0.0034701	0.0908428	0.00207228	0.00434965	0.0868454	0.0660782	0.00914326	0.0750922	0.0167224	0.00638899	0.0661696	0.110544	0.104211	0.0305563	0.10913	0.874956	0.0504581	0.0756182	0.301906	0.259094	0.623163	1.06158	2.05616	4	2.823999
15000	-195.8707	-228.8987	33.02799	10	0.4941535	0.102719	0.0282544	0.0518337	0.0180532	0.0172782	0.161532	0.0810454	0.0555258	0.0694296	0.0176538	0.0663351	0.0131519	0.0370675	0.0774445	0.00798131	0.35911	0.0384681	0.0112778	0.0207749	0.0912388	0.0430617	0.00460417	0.0132499	0.0823184	0.0666967	0.0107409	0.686505	0.127044	0.119147	0.136549	0.0400648	0.13074	0.111283	0.0323093	0.248082	0.815967	2.90364	5	2.898179
16000	-196.2055	-218.5454	22.33988	2	1.241768	0.0461801	0.00176792	0.046127	0.0231134	0.000510879	0.0401601	0.159659	0.0634626	0.013223	0.0335497	0.0142822	0.0104592	0.160692	0.0151606	0.0327479	0.105499	0.0289783	0.0529372	0.229555	0.0400361	0.0724753	0.0213541	0.00563724	0.207607	0.0434119	0.0298083	0.149517	0.0136542	0.0587849	0.395069	0.0224605	0.0910168	0.0539011	0.182541	0.539052	1.03082	2.24759	4	2.282798
17000	-183.0762	-223.0145	39.93829	10	1.667991	0.0683998	0.0276155	0.0258812	0.00955446	0.00494761	0.103325	0.170361	0.0465645	0.0175397	0.0551417	0.015418	0.015604	0.110155	0.0133501	0.0111494	0.135498	0.0252122	0.139202	0.0266837	0.00650778	0.041034	0.00650338	0.0432949	0.0773382	0.0694032	0.0281643	0.0139387	0.10268	0.110328	0.262772	0.0945743	0.0766985	0.0714065	0.250146	0.614323	1.05893	2.0766	5	2.026248
18000	-208.7617	-226.6144	17.8528	1	3.944823	0.0656133	0.0209685	0.116039	0.0243942	0.0206038	0.126465	0.0983696	0.0520753	0.0829746	0.0997863	0.0273259	0.0303909	0.0253473	0.106015	0.0168244	0.0422219	0.0193603	0.181031	0.0197064	0.0918581	0.0201162	0.566807	0.00811454	0.0949542	0.10058	0.0907976	0.142836	0.0924509	0.0114635	0.0108686	0.0250048	0.0522999	0.101939	0.451305	0.773279	1.08441	1.69101	3	2.585602
19000	-197.3944	-231.1756	33.78122	10	2.149367	0.0571796	0.0456434	0.0171467	0.0503243	0.00274434	0.0327669	0.11409	0.100649	0.0124397	0.0591228	0.0639434	0.00654475	0.0143827	0.0721618	0.0454936	0.0304394	0.0203431	0.167468	0.0344945	0.220081	0.000517561	0.0258758	0.0889046	0.148914	0.0791	0.0759949	0.0443216	0.0233961	0.090093	0.167121	0.163281	0.131659	0.210944	0.310476	0.670012	1.07331	1.9462	5	2.417582
20000	-203.632	-228.4053	24.77329	2	1.384888	0.139858	0.0155478	0.0507901	0.0324689	0.0167656	0.237258	0.0247551	0.175019	0.0747395	0.0121025	0.104381	0.00903581	0.0941221	0.0451783	0.029658	0.0280294	0.0286616	0.0686005	0.233012	0.0241419	0.13707	0.0205225	0.142462	0.0607891	0.0224681	0.13135	0.154898	0.0757585	0.0273622	0.0234624	0.0188559	0.0620265	0.00384146	0.20698	0.568203	1.04288	2.18194	4	2.324991
