Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-386.3855	-405.3565	18.97106	10	0.5552748	0.286051	0.0313547	0.308978	0.00212335	0.0236982	0.0588369	0.0868061	0.032846	0.0747841	0.0876067	0.00262301	0.0659849	0.0484393	0.0212695	0.00452355	0.00944607	0.127194	0.00140641	0.0110071	0.0401729	0.00325298	0.24988	0.0583275	0.0254794	0.051674	0.221304	0.31146	0.719816	0.0420017	0.357157	0.237547	0.022503	0.104281	0.0233511	0.0295056	0.0366763	0.0291743	0.155821	0.505806	0.191587	0.0320421	0.0130254	0.0504243	0.0942723	0.0132709	0.0114503	0.0368435	0.0440352	0.286478	0.856666	2.81282	5	4.953086
11000	-369.9012	-401.7512	31.85002	10	2.880815	0.0923442	0.00211645	0.0398208	0.0381454	0.0171371	0.19496	0.0623297	0.0418844	0.21063	0.0366281	0.13447	0.116762	0.0201794	0.0509875	0.0308953	0.0391939	0.0452274	0.018253	0.0958174	0.0472405	0.00250097	0.0201087	0.0111568	0.0236553	0.0269662	0.0390877	0.482699	0.221863	0.063435	0.13555	0.035857	0.0393156	0.0591477	0.0353586	0.0293761	0.181507	0.0696083	0.0400163	0.0528892	0.0575541	0.0973365	0.0582347	0.107003	0.0545543	0.118729	0.069302	0.0171544	0.379826	0.724708	1.08186	1.81361	5	3.484989
12000	-378.8824	-401.2351	22.35266	10	2.341252	0.187385	0.0331776	0.0695002	0.0021397	0.0169834	0.0566584	0.146316	0.0055343	0.106466	0.123815	0.153079	0.184687	0.0147349	0.0544294	0.0133861	0.0353769	0.0430717	0.0279165	0.0095077	0.123664	0.024166	0.0130087	0.154234	0.0453265	0.0239419	0.0291087	0.0168866	0.0205707	0.00809506	0.0335683	0.106944	0.0341556	0.0814341	0.109136	0.452503	0.0326967	0.476303	0.0859726	0.321978	0.310841	0.133427	0.00906553	0.0258656	0.0361736	0.0737957	0.0196074	0.107269	0.33087	0.687003	1.07658	1.90555	5	4.193903
13000	-383.9802	-413.8613	29.88113	10	1.453165	0.110319	0.0857532	0.0355643	0.0516115	0.0409232	0.134592	0.136006	0.00654652	0.0752922	0.00632095	0.25915	0.0526023	0.107805	0.0370701	0.0485773	0.0397465	0.0468006	0.0937723	0.0160871	0.091466	0.000826204	0.00272852	0.0304497	0.0789967	0.00902509	0.0033971	0.127863	0.10504	0.0215533	0.0748425	0.0421957	0.0975347	0.0769314	0.185679	0.326523	0.0163152	0.0139683	0.0827063	0.120398	0.0146204	0.172434	0.103613	0.00318542	0.356619	0.008093	0.0278174	0.00310959	0.217996	0.58057	1.04755	2.15389	5	3.582472
14000	-385.6642	-405.5893	19.92512	10	0.7589634	0.0825435	0.0287266	0.0464651	0.0184909	0.0999008	0.0574758	0.0567826	0.0053158	0.203648	0.035364	0.0346056	0.0144523	0.0138754	0.101129	0.0861869	0.118413	0.0819901	0.152848	0.0628149	0.00332684	0.0150082	0.00247654	0.0701174	0.0484777	0.00713405	0.533195	0.0493689	0.0441847	0.0435451	0.0367884	0.167889	0.0115929	0.397475	0.0870842	0.521308	0.0530212	0.0839091	0.0857355	0.0670931	0.0871576	0.21042	0.0106054	0.040613	0.79248	0.197363	0.000445576	0.0229513	0.0868019	0.390072	0.944902	2.57822	5	4.991794
15000	-380.6197	-408.8714	28.25163	10	3.00685	0.162526	0.00244079	0.00885045	0.0233272	0.0610414	0.113987	0.0870342	0.0509675	0.158592	0.0295924	0.111676	0.0764031	0.0896635	0.0180489	0.0756998	0.0616574	0.0289622	0.0585199	0.0248449	0.054312	0.002454	0.00229811	0.0920833	0.0594894	0.0210766	0.211598	0.0111551	0.01081	0.0121377	0.0640768	0.0848695	0.0106059	0.012126	0.00580627	0.495044	0.0031621	0.228512	0.0682934	0.315081	0.147468	0.00246337	0.091268	0.125499	0.0243783	0.0852597	0.0350935	0.158327	0.389791	0.731907	1.08255	1.79575	5	3.678584
16000	-381.5693	-404.8079	23.23854	10	0.5737499	0.404129	0.0405737	0.231007	0.0150546	0.0688883	0.158742	0.0173733	0.0145384	0.079539	0.0258719	0.000331894	0.0626542	0.00671654	0.00700653	0.0155178	0.0753287	0.0130347	0.0289864	0.0757602	0.0073284	0.00621236	0.10715	0.0242841	0.0295064	0.0597359	0.263048	0.17704	0.367697	0.0551614	0.0658617	0.00885988	0.00860702	0.280673	0.188721	0.0876918	0.022808	0.0494356	0.178317	0.0265381	0.0401032	0.0173989	0.488254	0.140509	0.0727434	0.046718	0.103334	0.0673846	0.0477431	0.297362	0.867312	2.78758	5	4.332177
17000	-375.8559	-407.348	31.49205	10	0.7449164	0.178144	0.0501155	0.162075	0.0227221	0.0624903	0.17024	0.0378387	0.0199428	0.293149	0.00591076	0.18299	0.0314594	0.0361124	0.0163614	0.0180626	0.106857	0.095496	0.000600864	0.0497995	0.0258023	0.00608673	0.0121746	0.0342624	0.0341801	0.031344	0.00925757	0.329888	0.0790945	0.0686339	0.157941	0.0269816	0.0464703	0.104242	0.187354	0.0880196	0.00631757	0.0169335	0.0509914	0.00624686	0.0643728	0.111337	0.156976	0.0395727	0.0444987	0.02787	0.158879	0.155269	0.0837967	0.383974	0.94044	2.59179	5	3.621366
18000	-390.9618	-412.5018	21.53999	10	2.580437	0.126585	0.0107072	0.123826	0.0148649	0.0493683	0.218517	0.076628	0.0592187	0.0383545	0.0161845	0.151686	0.112775	0.000174065	0.0860605	0.0460844	0.103778	0.00960053	0.0542427	0.0513637	0.0213185	0.0438127	0.0769056	0.0243152	0.0225287	0.0335663	0.0211207	0.085963	0.286635	0.0498585	0.0857845	0.101018	0.0446329	0.19799	0.00831511	0.0830948	0.0388173	0.0416447	0.362458	0.127821	0.0803942	0.0577821	0.0710019	0.0508585	0.584506	0.0296996	0.0528325	0.00878072	0.353952	0.705289	1.07949	1.86127	5	4.043476
19000	-391.2874	-411.7682	20.48081	10	0.9451812	0.16219	0.0412467	0.0232543	0.0389242	0.0239535	0.00884275	0.0341856	0.0205174	0.0737667	0.0428199	0.191593	0.010473	0.104196	0.0435497	0.0174341	0.00522314	0.0993744	0.0742267	0.0232658	0.00683261	0.0496014	8.00414e-05	0.0393161	0.065809	0.00707039	0.0303725	0.171612	0.451713	0.0177546	0.063958	0.0617803	0.00530344	0.238473	0.0513189	0.00196334	0.0589035	0.353146	0.150247	0.0503781	0.0639549	0.113639	0.00631483	0.0557742	0.829418	0.0144359	0.287187	0.139023	0.12589	0.459631	0.990288	2.42419	5	4.424417
20000	-370.6993	-396.1546	25.45534	10	2.712766	0.0724353	0.00579452	0.0269868	0.00809428	0.0479919	0.0687835	0.0295269	0.0068056	0.0193072	0.112054	0.189129	0.219308	0.0912111	0.0144742	0.00880541	0.0544411	0.0414484	0.0436305	0.0182243	0.0209855	0.00792618	0.00491218	0.0751122	0.0262166	0.00165405	0.411205	0.0260959	0.061962	0.177619	0.167755	0.0584678	0.0589166	0.0255882	0.263295	0.118881	0.0110859	0.0198224	0.0472924	0.0472574	0.156016	0.265311	0.0554206	0.0382761	0.272886	0.0543797	0.00764444	0.364018	0.365743	0.714273	1.08068	1.83931	5	3.924455
21000	-387.576	-412.6021	25.02613	10	3.044606	0.212636	0.0104752	0.064555	0.0290038	0.0569015	0.163317	0.0368588	0.0158608	0.1707	0.00720146	0.0372604	0.021793	0.0447005	0.187322	0.0175221	0.0749548	0.00713212	0.0935174	0.0213742	0.0284331	0.0323678	0.0185692	0.0199465	0.0947475	0.0371177	0.171251	0.000686068	0.015245	0.107729	0.0381223	0.0354234	0.0306677	0.420136	0.133179	0.0848401	0.0109085	0.0500838	0.0665287	0.130318	0.0517207	0.0262336	0.0432349	0.444151	0.0248468	0.0737106	0.0164269	0.0416357	0.392683	0.733968	1.08273	1.79062	5	3.521346
22000	-383.6843	-414.6497	30.96545	10	0.7565668	0.0850553	0.122665	0.0675167	0.0589317	0.0362066	0.0186591	0.0365767	0.0109855	0.0694765	0.0434984	0.142133	0.00807346	0.0447839	0.00512546	0.0184343	0.0488665	0.086301	0.0385183	0.081515	0.000658425	0.025678	0.0171909	0.0281202	0.0540685	0.013783	0.25437	0.130798	0.0744152	0.0170583	0.107502	0.00994846	0.0331981	0.0614944	0.0854506	0.0617895	0.0364361	0.486415	0.0171108	0.107354	0.0889924	0.0859013	0.0163654	0.00993738	0.0549801	0.209031	0.689462	0.00523784	0.0862893	0.389041	0.944153	2.58052	5	3.806069
23000	-364.7744	-393.8511	29.0767	10	1.127636	0.0298894	0.00317275	0.0196087	0.0341926	0.0455859	0.143861	0.155731	0.0120237	0.042446	0.0111198	0.070549	0.0304522	0.0063286	0.00175677	0.000150092	0.0276701	0.00108894	0.0351033	0.00943663	0.0112805	0.0286733	0.0625636	0.0923538	0.0192845	0.0787593	0.485491	0.127105	0.00204139	0.0415492	0.222563	0.0814401	0.172065	0.0417606	0.113229	0.0121772	0.263444	0.494279	0.25559	0.0275801	0.0193968	0.103767	0.00250956	0.0753988	0.0312178	0.0253628	0.0699268	0.0262252	0.161694	0.512019	1.0183	2.30798	5	3.667201
