Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
19000	-197.7597	-253.591	55.83127	10	0.0320881	0.423443	0.654468	0.0714872	0.00806812	0.0213964	0.030577	0.15741	0.00797314	0.112505	0.0793696	0.0045684	0.0215843	0.0427083	0.187607	0.019078	0.00786133	0.0260651	9.64203e-20	4.64043e-10	0.000213997	3.99979	5	1.87617
20000	-197.7202	-252.1914	54.47115	10	0.01453921	0.692132	0.327401	0.0447547	0.00317389	0.0406746	0.0047657	0.0397153	0.17699	0.0466862	0.010938	0.0684364	0.0857358	0.039002	0.00258944	0.00335504	0.0130666	0.0522957	2.1817e-42	2.21071e-21	4.28646e-09	4	5	1.651712
21000	-192.0649	-249.7369	57.67196	10	0.05235542	0.428384	0.339297	0.139424	0.0695127	0.0298444	0.00231389	0.0796901	0.0994163	0.0767129	0.0213011	0.379593	0.0324343	0.0836572	0.00149438	0.0887635	0.0322986	0.0611121	1.76164e-12	1.9801e-06	0.00686348	3.99313	5	1.96525
22000	-199.2462	-254.7187	55.4725	10	0.0001999149	0.494158	0.281422	0.0197633	0.0751287	0.0397271	0.00676609	0.0900718	0.0833858	0.0426153	0.0321098	0.0511786	0.200696	0.0461836	0.049313	0.00708616	0.127852	0.121679	0	0	0	4	5	1.769137
23000	-197.2398	-253.5351	56.29522	10	0.01136758	0.241229	0.124102	0.0253061	0.0730805	0.0802717	0.00903968	0.0731654	0.128576	0.0678285	0.0389587	0.0410933	0.00637823	0.047481	0.189791	0.147692	0.123334	0.099398	6.10306e-54	3.69852e-27	1.71701e-11	4	5	1.516725
24000	-203.3307	-255.543	52.21225	10	0.03105237	0.204835	0.270043	0.0715566	0.0421428	0.0355199	0.0394569	0.0896747	0.225975	0.789246	0.0638467	0.0141987	0.150697	0.064463	0.00615112	0.18347	0.00920118	0.00819904	2.2826e-20	2.25802e-10	0.000158713	3.99984	5	2.268677
25000	-195.9544	-252.0412	56.08687	10	0.003759416	0.200872	0.237965	0.0663527	0.0608508	0.0950565	0.0147036	0.0765383	0.229192	0.0603446	0.00576227	0.0367492	0.0611725	0.0375509	0.0332914	0.0553291	0.278765	0.176407	3.99765e-161	9.47212e-81	9.83102e-34	4	5	1.726903
26000	-197.3534	-252.9276	55.57427	10	0.0511934	0.0607141	0.14774	0.0596832	0.106711	0.00149016	0.0101215	0.263676	0.169522	0.0662116	0.0152694	0.238469	0.0464155	0.267014	0.0203957	0.00658427	0.00972905	0.0274097	9.66008e-13	1.46643e-06	0.0060593	3.99394	5	1.517157
27000	-209.3077	-254.5359	45.22817	10	0.04024051	0.56567	0.27845	0.179155	0.0606006	0.0826843	0.0146919	0.266741	0.143617	0.128687	0.0903806	0.185347	0.231438	0.0112921	0.029337	0.0201068	0.0179334	0.00521413	6.09179e-16	3.68591e-08	0.00131429	3.99869	5	2.311346
28000	-193.9692	-251.197	57.22779	10	0.03173934	0.216601	0.0543087	0.0366233	0.0612472	0.0471751	0.0158675	0.0958353	0.227742	0.20594	0.00909197	0.0202079	0.0368417	0.317967	0.0457456	0.0054773	0.125323	0.0861313	5.99824e-20	3.66015e-10	0.000193931	3.99981	5	1.608127
29000	-194.8895	-255.2236	60.33407	10	0.06161249	0.415501	0.0180291	0.0809015	0.018079	0.00819418	0.0522427	0.0791251	0.171018	0.129383	0.0316673	0.367791	0.0580812	0.0123891	0.13964	0.051679	0.0291865	0.082672	9.39735e-11	1.44509e-05	0.0156603	3.98433	5	1.74558
30000	-193.8171	-252.4728	58.65563	10	0.0537434	0.376603	0.402723	0.0423228	0.00472986	0.0141713	0.0119198	0.115154	0.0978468	0.0627678	0.00846307	0.0215736	0.11604	0.133658	0.00495762	0.0925367	0.0877172	0.0130146	3.48983e-12	2.78663e-06	0.00790905	3.99209	5	1.6062
31000	-196.171	-247.7694	51.59835	10	0.02560321	0.164916	0.204768	0.098118	0.0770996	0.0460233	0.00432369	0.113282	0.606927	0.00308839	0.0581546	0.0718104	0.0276161	0.0844926	0.0845129	0.355847	0.0843895	0.014962	1.70748e-24	1.95386e-12	2.21151e-05	3.99998	5	2.100332
32000	-203.9399	-254.9665	51.02661	10	0.007190235	0.402939	0.255756	0.0798727	0.104368	0.244087	0.00639164	0.0754606	0.11951	0.0653503	0.0979914	0.0577665	0.174419	0.0079229	0.10283	0.00282579	0.00757846	0.0744076	1.03696e-84	1.52508e-42	7.07488e-18	4	5	1.879477
33000	-193.4993	-254.6327	61.13341	10	0.007550121	0.512248	0.342692	0.0318628	0.0630779	0.115831	0.00532727	0.0215552	0.38079	0.0749541	0.0458437	0.0463459	0.0209755	0.0096996	0.0159611	0.00944566	0.0294474	0.0328471	1.01617e-80	1.50967e-40	4.76373e-17	4	5	1.758905
34000	-189.0764	-251.8872	62.81079	10	0.04210219	0.180419	0.0245451	0.0584733	0.092993	0.00347571	0.0111783	0.0732785	0.131084	0.0816425	0.0558762	0.0253387	0.116468	0.242632	0.000868484	0.0242818	0.0361715	0.0650356	2.79369e-15	7.89209e-08	0.00180248	3.9982	5	1.223763
35000	-200.9831	-256.3243	55.34117	10	0.01709928	0.522862	0.305044	0.0717047	0.00454495	0.0987413	0.00470888	0.0536642	0.44017	0.167477	0.0132292	0.01051	0.0712802	0.0054002	0.0317944	0.0241052	0.0736732	0.0270146	3.45409e-36	2.78101e-18	8.28829e-08	4	5	1.925924
36000	-205.171	-251.5859	46.41495	10	0.0437947	0.544688	0.707885	0.0964669	0.0384456	0.107535	0.00121661	0.254053	0.121135	0.1836	0.0272947	0.0346476	0.0359261	0.0143242	0.0750254	0.0529776	0.0377195	0.0628494	9.97003e-15	1.4907e-07	0.00234672	3.99765	5	2.395789
37000	-194.1921	-249.0514	54.85932	10	0.06946728	0.851552	0.116912	0.0360726	0.0660872	0.0370608	0.00552128	0.208774	0.0940758	0.23386	0.0964435	0.342638	0.0197042	0.00249594	0.0251287	0.0195919	0.00956007	0.0261996	1.19494e-09	5.14968e-05	0.0265403	3.97341	5	2.191677
