Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
12000	-97.62018	-172.6155	74.99534	10	0.5737943	0.0173339	0.0552799	0.0651114	0.0953574	0.180222	0.0263012	0.0151537	0.0016067	0.0011298	0.00259206	0.0373636	0.0362502	0.148987	0.0724547	0.0209575	0.0789493	0.0840776	0.0078164	0.116337	0.336142	0.0386908	0.134094	0.196514	0.0512463	0.0608773	0.22156	0.0214358	0.0606638	0.0280925	0.0493244	0.278132	0.15229	0.132858	0.0477521	0.297388	0.867337	2.78752	5	2.825203
13000	-116.6256	-188.7822	72.15655	10	0.5064607	0.0342901	0.0528017	0.10537	0.0253515	0.0497984	0.141906	0.0883333	0.0504106	0.0495617	0.0152921	0.161252	0.259723	0.106853	0.002531	0.168007	0.201452	0.0611643	0.0579026	0.00886801	0.382893	0.082154	0.203767	0.229331	0.108934	0.0330952	0.09322	0.0148868	0.0658819	0.0173016	0.24963	0.0738893	0.0312592	0.00637854	0.0345914	0.256113	0.824913	2.88438	5	3.23349
14000	-107.1767	-178.3752	71.19843	10	1.681613	0.0748657	0.000223328	0.0238523	0.177891	0.0866622	0.0257023	0.024125	0.00510151	0.16985	0.00512872	0.049446	0.0596886	0.145353	0.0506527	0.123041	0.0971617	0.0886001	0.152766	0.0351103	0.080571	0.208349	0.0203828	0.0549273	0.347915	0.022338	0.0244688	0.061723	0.0551599	0.0513533	0.056588	0.192064	0.0219939	0.060824	0.252064	0.616237	1.05952	2.07218	5	2.653879
15000	-103.7351	-176.6253	72.89017	10	0.7694887	0.00101113	0.00683349	0.189251	0.0863049	0.100992	0.0699614	0.0410935	0.0396765	0.178484	0.0953122	0.134657	0.0246709	0.155197	0.0285863	0.103946	0.325603	0.151396	0.113396	0.0543463	0.223814	0.157936	0.143196	0.0490172	0.120027	0.00694277	0.0246165	0.269799	0.0622053	0.333813	0.00165776	0.046925	0.00854808	0.0119392	0.0890517	0.394554	0.948128	2.56827	5	3.361157
16000	-104.2712	-175.3073	71.03615	10	0.7222199	0.0545284	0.0297185	0.0253663	0.0795054	0.152254	0.00580844	0.0738389	0.0173741	0.109583	0.0155992	0.143383	0.0186829	0.074772	0.0312674	0.0367887	0.019051	0.165307	0.231605	0.115954	0.165777	0.0503935	0.0658398	0.0301923	0.0680868	0.148042	0.0326155	0.0844616	0.0187044	0.0921128	0.42137	0.153246	0.0816221	0.147712	0.0789394	0.373828	0.932832	2.6144	5	2.960564
17000	-124.7143	-188.615	63.90072	10	0.2656121	0.0444224	0.0182575	0.0869555	0.0034191	0.124765	0.0232423	0.29124	0.0343366	0.0938616	0.139571	0.000536244	0.0641401	0.343845	0.0257863	0.0760863	0.182914	0.184543	0.0983362	0.0803148	0.293764	0.0155686	0.148967	0.00728836	0.0704482	0.0179806	0.64489	0.102644	0.0982712	0.100352	0.0317581	0.0176782	0.124177	0.0459938	0.00292058	0.078174	0.533274	3.38563	5	3.636355
18000	-99.39762	-181.6907	82.29308	10	0.8699132	0.0524908	0.0169564	0.0271288	0.0492131	0.0730665	0.0343616	0.130892	0.0523374	0.0119875	0.0851516	0.152534	0.0323509	0.0198741	0.000291134	0.0919173	0.0418704	0.0407034	0.0384395	0.439798	0.0519039	0.036033	0.0588865	0.0459406	0.105646	0.134775	0.0445982	0.330393	0.00430592	0.101747	0.0551872	0.165092	0.130065	0.0126909	0.110325	0.43383	0.974592	2.48125	5	2.66863
19000	-111.3684	-178.0119	66.64348	10	0.8729368	0.0243245	0.0373954	0.253917	0.0459616	0.150962	0.099971	0.00832576	0.0219154	0.064213	0.0228449	0.113956	0.0973817	0.0882593	0.0238348	0.0271355	0.123477	0.05824	0.0942866	0.12619	0.0191476	0.756505	0.00215929	0.0997515	0.0216686	0.103201	0.124479	0.0415608	0.026299	0.00934341	0.634225	0.150723	0.00364402	0.0644757	0.110958	0.434922	0.975283	2.47884	5	3.539774
20000	-121.4492	-183.5475	62.09829	10	2.354287	0.224073	0.04099	0.0356781	0.192991	0.20614	0.0135354	0.0330159	0.0368747	0.0697981	0.0726094	0.0673604	0.0430181	0.240961	0.0316719	0.0265534	0.111906	0.235669	0.0659573	0.0903801	0.0674847	0.171449	0.0359487	0.021886	0.355276	0.00550972	0.1012	0.122484	0.0298463	0.00675302	0.631395	0.376694	0.13077	0.107044	0.332192	0.688076	1.07677	1.90297	5	4.002925
21000	-108.6558	-187.9759	79.32009	10	0.1734476	0.051029	0.0683495	0.101627	0.31847	0.0529202	0.122577	0.090901	0.148753	0.0226232	0.0439713	0.00637399	0.0139466	0.0578368	0.0623963	0.00406989	0.0258334	0.075022	0.0276038	0.0363832	0.00753059	0.0665815	0.0727895	0.153365	0.112595	0.0367914	0.269035	0.311901	0.068586	0.053006	0.195165	0.0419284	0.0130083	0.143584	0.000184512	0.0199966	0.310927	3.66889	5	2.876553
