Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
13000	-185.1221	-226.6111	41.48902	10	0.5668763	0.495235	0.0373137	0.00348571	0.00616982	0.00699289	0.0659631	0.0163689	0.00244992	5.86409e-05	0.00209966	0.00778276	0.00268054	0.00703866	0.00392609	0.00231969	0.00193028	0.0061336	0.000739076	0.0100583	0.459542	0.00396877	0.0285153	0.0412039	0.017406	0.180789	0.00871271	0.068662	0.0463564	0.293351	0.863431	2.79686	5	1.487546
14000	-214.9005	-243.4809	28.58033	1	1.949777	0.142119	0.02563	0.0180864	0.00661103	0.0195419	0.106618	0.032876	0.0467097	0.00985499	0.00979293	0.0114336	0.00317111	0.0109145	0.00264968	0.0139104	0.0101094	0.00942033	0.015264	0.240092	0.0180888	0.487426	0.014838	0.0491541	0.00308798	0.00212065	0.00155513	0.00792703	0.287205	0.649564	1.06868	1.99455	3	1.319003
15000	-196.3827	-228.2511	31.86841	2	2.020146	0.207926	0.0190658	0.00196049	0.00481499	0.0155927	0.0293667	0.0108773	0.0146204	0.00409641	0.0049533	0.00306749	0.00240573	0.00181378	0.00173196	0.0321323	0.0524362	0.00384077	0.0495991	0.220657	0.0123992	0.575934	0.0266182	0.0551105	0.0341792	0.0815709	0.00720626	0.0390829	0.295668	0.657139	1.07049	1.97671	4	1.51306
16000	-196.5835	-235.6278	39.04434	10	3.210972	0.535724	0.149529	0.000862521	0.00245064	0.0121796	0.000437744	0.0151486	0.0277682	0.0279069	0.00577874	0.00929477	0.0342305	9.54051e-05	0.00366635	0.00791172	0.0425732	0.0136737	0.0275605	0.0543008	0.163181	0.246544	0.0184673	0.00343663	0.00272434	0.0784183	0.0702292	0.001137	0.404952	0.742578	1.08338	1.76909	5	1.555231
17000	-204.0434	-235.1889	31.14547	2	2.599862	0.159755	0.0983967	0.0241566	0.0205693	0.0042326	0.00496092	0.0205653	0.00191858	0.00631184	0.0125356	0.00855827	0.00348669	0.00450372	0.0140901	0.0152465	0.0407302	0.00170685	0.048762	0.413822	0.01732	0.0212555	0.0210688	0.00906918	0.0632128	0.188784	0.00145547	0.0099141	0.355724	0.706654	1.07968	1.85795	4	1.236389
18000	-198.854	-235.038	36.18403	10	2.629696	0.157697	0.164828	0.00439606	0.00891542	0.0263186	0.0279846	0.00439158	0.0322746	0.0114926	0.000377725	0.00606446	0.00653422	0.00167164	0.0250286	0.0471017	0.000626482	0.766779	0.296415	0.082343	0.00587354	0.0260104	0.0250657	0.00028369	0.0629712	0.0520769	0.0173991	0.00729944	0.358418	0.708719	1.07996	1.8529	5	1.868221
19000	-205.1967	-233.9312	28.73445	10	5.208296	0.188863	0.0714769	0.000459197	0.0105001	0.00115902	0.0365256	0.00812323	0.00688791	0.006915	0.0167219	0.0176595	0.0152912	0.00889895	0.0301426	0.0277829	0.0493051	0.083341	0.0192036	0.0543902	0.0937745	0.0150874	0.250712	1.01121	0.00423289	0.0364154	0.0106766	0.0293002	0.510505	0.808786	1.08292	1.59779	5	2.105054
20000	-200.0274	-241.9145	41.88707	10	2.438178	0.100153	0.0106562	0.000818251	0.00447073	0.00134162	0.0352905	0.0078817	0.0112936	0.0016904	0.0018537	0.00130016	0.00691372	0.00108813	0.075442	0.0176732	0.0356017	0.0180292	0.457556	0.0467523	0.00504353	0.00073489	0.0780193	0.0289216	0.185838	0.163569	0.0104951	0.00690355	0.340516	0.694761	1.07789	1.88683	5	1.315331
21000	-187.8357	-231.7422	43.90651	10	1.52574	0.298282	0.0187881	0.00984848	0.00115235	0.0115786	0.0238162	0.0116061	0.0290816	0.00545247	0.00383588	0.0171255	0.000799261	0.00198625	0.00234509	0.0272349	0.0578608	0.00678589	0.373681	0.0244422	0.000787059	0.0157353	0.0502593	0.0595532	0.0271918	0.0236547	0.158809	0.00149319	0.229272	0.592786	1.0519	2.12604	5	1.263185
22000	-214.7918	-240.3442	25.55242	2	4.683648	0.764196	0.0425584	0.0029205	0.000392366	0.0105612	0.00866233	0.0346041	0.00697559	0.0118772	0.00964407	0.017654	0.00151018	0.00768637	0.00191024	0.0258629	0.0139946	0.00667083	0.229456	0.0998573	0.0471132	0.0550238	0.0817644	0.0253839	0.0306191	0.0441853	0.0530317	0.00418517	0.488383	0.795963	1.08381	1.63185	4	1.638301
23000	-197.5516	-232.2502	34.6986	2	1.639851	0.333718	0.0291623	0.000504325	0.000171634	0.000499563	0.00481233	0.0141945	0.00943054	0.00833148	0.0126941	0.00445315	0.00556004	0.0062215	0.00802444	0.00709832	0.0012128	0.0471645	0.207316	0.0342884	0.0103156	0.00537639	0.00127978	0.00559127	0.115061	0.0871151	0.0104553	0.0104293	0.246141	0.610292	1.05768	2.08589	4	0.9804811
24000	-199.2096	-241.8687	42.65913	10	1.925149	0.27339	0.0460411	0.00683186	0.0103887	0.00522475	0.0674666	0.0180705	0.0168334	0.0050069	0.00702751	0.00397855	0.000970512	0.0345823	0.000125868	0.0171166	0.198294	0.00540387	0.0659173	0.101009	0.00972561	0.0199761	0.0773686	0.0143898	0.103842	0.421954	0.0202301	0.00953671	0.284173	0.646811	1.068	2.00102	5	1.560702
