Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
12000	-491.8659	-565.1905	73.32452	10	5.239512	0.215775	0.0301184	0.0856362	0.0189177	0.0747733	0.00143364	0.10962	0.263988	0.189751	0.0599816	0.00349105	0.00974282	0.0044441	0.0291331	0.0925195	0.106913	0.114487	0.0387059	0.0512633	0.18349	0.0467582	0.297271	0.337999	0.108851	0.0346489	0.135752	0.203695	0.0639261	0.0893229	0.124989	0.157068	0.0647664	0.0138945	0.511731	0.809481	1.08286	1.59593	5	3.363127
13000	-496.9107	-575.9096	78.99887	10	1.465791	0.319227	0.0738068	0.0522952	0.00748073	0.198692	0.0322007	0.158996	0.161777	0.19605	0.0416452	0.102392	0.0388085	0.0158561	0.029906	0.0873958	0.0697262	0.191707	0.0896954	0.0282604	0.302067	0.00565294	0.134213	0.508316	0.0447323	0.0458715	0.183683	0.0345158	0.225839	0.0291367	0.175705	0.172271	0.0146879	0.223646	0.219989	0.582761	1.04835	2.1489	5	3.996256
14000	-494.072	-579.9469	85.87488	10	1.548164	0.318342	0.0026972	0.171113	0.013949	0.190755	0.0384268	0.0993376	0.18561	0.0932512	0.00419985	0.0460198	0.0384146	0.0262241	0.0579507	0.0517126	0.0587012	0.0508105	0.193271	0.179455	0.0316775	0.0646596	0.165083	0.267079	0.023861	0.0730183	0.106174	0.168956	0.159492	0.0740233	0.00103593	0.0290893	0.0481795	0.0721946	0.232668	0.596382	1.05313	2.11782	5	3.104766
15000	-492.5732	-574.332	81.7588	10	0.6839282	0.330571	0.0385103	0.096798	0.0578129	0.02978	0.0449291	0.10736	0.130225	0.103658	0.106807	0.0168957	0.0643905	0.00128143	0.013175	0.0295847	0.0473798	0.232524	0.0724462	0.0647259	0.262309	0.130772	0.029046	0.214956	0.0208139	0.0518057	0.0900866	0.175754	0.017016	0.0636613	0.153221	0.278032	0.000861676	0.0782226	0.0707591	0.355847	0.918764	2.65463	5	3.155413
16000	-477.7938	-582.7731	104.9792	10	1.335927	0.102662	0.0131414	0.0648289	0.0568114	0.235759	0.0300002	0.0623883	0.099302	0.0393831	0.0118053	0.0447252	0.0164523	0.0799694	0.01108	0.0633675	0.0625191	0.10106	0.0198081	0.0103358	0.0802127	0.0771678	0.00153722	0.193751	0.0130511	0.12959	0.0528196	0.00716707	0.0748044	0.0165068	0.0757701	0.0764383	0.0707053	0.0655903	0.198828	0.558755	1.03913	2.20328	5	2.060511
17000	-495.5017	-575.9189	80.41721	10	1.899906	0.436023	0.0700924	0.0969219	0.00965992	0.0944276	0.111496	0.154231	0.151933	0.136676	0.0198824	0.127266	0.0345168	0.0203588	0.00742575	0.205456	0.0385158	0.165988	0.113489	0.0220297	0.190417	0.00987169	0.0318239	0.276332	0.0836132	0.0101974	0.169504	0.243461	0.0810087	0.00433701	0.00796172	0.053146	0.183298	0.116438	0.281026	0.64393	1.06727	2.00777	5	3.477798
18000	-497.0768	-574.8535	77.77675	10	3.953971	0.189744	0.0370323	0.073535	0.0733022	0.0123456	0.0450148	0.067334	0.201137	0.0737225	0.0278108	0.0155844	0.0267291	0.00788148	0.0698324	0.00110181	0.135346	0.36837	0.0383727	0.143317	0.0820348	0.156882	0.0838418	0.412964	0.163201	0.0737484	0.146585	0.263691	0.0754685	0.193453	0.045713	0.101973	0.00136593	0.213666	0.451816	0.773602	1.08441	1.69018	5	3.622101
19000	-494.7402	-578.6342	83.89396	10	0.8736936	0.432735	0.000386539	0.130691	0.0358356	0.0646783	0.0524014	0.231585	0.0798674	0.179525	0.106453	0.159791	0.00623933	0.0782063	0.00869713	0.0355336	0.0631585	0.127331	0.092592	0.00555951	0.103552	0.202085	0.0833257	0.194821	0.0519839	0.521615	0.0136361	0.283817	0.310039	0.0248069	0.138851	0.0590712	0.0240536	0.127688	0.111116	0.435194	0.975455	2.47823	5	4.030612
20000	-492.7583	-571.7634	79.00503	10	1.734013	0.485259	0.0156113	0.0593248	0.0264988	0.123974	0.0114007	0.0554726	0.0881795	0.15155	0.175544	0.0625347	0.00208453	0.0414478	0.00513422	0.0160592	0.0517081	0.2868	0.143431	0.0136899	0.0482987	0.0779746	0.0179988	0.415248	0.0577779	0.219895	0.0678243	0.140198	0.0755628	0.0466946	0.0992768	0.0620001	0.123123	0.232618	0.259316	0.623379	1.06165	2.05566	5	3.500193
21000	-492.6025	-575.0015	82.39895	10	2.419866	0.0863989	0.0318594	0.0841825	0.0310445	0.129644	0.0342601	0.139452	0.155155	0.066762	0.14548	0.0143947	0.0107018	0.0605958	0.0174092	0.0664115	0.0576718	0.17068	0.0161598	0.0489183	0.0303754	0.0492609	0.284029	0.147542	0.0459349	0.122346	0.175974	0.198668	0.518453	0.270714	0.00389084	0.30427	0.0788814	0.109795	0.338725	0.693333	1.07766	1.89028	5	3.707316
22000	-483.4513	-576.9919	93.54057	10	1.670782	0.105532	0.0386492	0.0664919	0.00415075	0.0515118	0.0495991	0.08161	0.0612012	0.0854953	0.133019	0.0189128	0.0268608	0.001355	0.0731768	0.0299689	0.111312	0.224679	0.033057	0.0392811	0.0192404	0.0281108	0.163269	0.0865852	0.407187	0.00799398	0.0109686	0.108316	0.175002	0.26517	0.0660732	0.145193	0.0208445	0.113666	0.25054	0.614717	1.05905	2.07569	5	2.853483
23000	-501.8595	-577.9785	76.11907	10	1.124843	0.15896	0.0447614	0.140019	0.0690487	0.0558797	0.00609404	0.182762	0.291981	0.207143	0.17248	0.0116227	0.0225747	0.0223389	0.022566	0.0927903	0.243141	0.0235379	0.0344235	0.328519	0.0248036	0.125907	0.0406019	0.272555	0.094628	0.128196	0.0450452	0.204975	0.764285	0.0531921	0.0617029	0.0685297	0.195402	0.160342	0.161169	0.511309	1.01796	2.30957	5	4.370808
24000	-485.3324	-572.4518	87.11938	10	1.013683	0.195841	0.0388543	0.0680413	0.014511	0.146377	0.0224274	0.0849862	0.190692	0.160483	0.129797	0.0274506	0.0350127	0.0159451	0.0100291	0.0839138	0.0576222	0.175209	0.0630376	0.129767	0.0265208	0.0455353	0.0294972	0.175606	0.149299	0.110334	0.0646317	0.0277636	0.194309	0.107815	0.0727748	0.0645008	0.130961	0.235199	0.139676	0.480826	1.00223	2.37727	5	3.084743
25000	-507.4725	-580.0784	72.60598	10	2.180289	0.191728	0.00827558	0.0836343	0.0122118	0.263434	0.123422	0.101239	0.470908	0.0973247	0.0385289	0.0515173	0.0285847	0.00754906	0.0252795	0.107341	0.0951173	0.318396	0.107532	0.0128709	0.0212399	0.024229	0.109874	0.0356879	0.0230212	0.159352	0.0707039	0.185299	0.346703	0.237429	0.0996298	0.135841	0.199534	0.565199	0.313886	0.672911	1.07391	1.93929	5	4.358637
