Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-326.0339	-375.066	49.0321	10	0.5867651	0.043793	0.013598	0.0459943	0.022528	0.0220669	0.0195547	0.239337	0.00337343	0.0353864	0.120028	0.0967062	0.0912164	0.00746689	0.0144329	0.0874653	0.0532668	0.0198094	0.0275564	0.02058	0.0236288	0.100163	0.605635	0.00180369	0.265118	0.212114	0.174791	0.105306	0.00665781	0.111287	0.178194	0.0445984	0.0936399	0.108441	0.322903	0.0380234	0.045825	0.0554756	0.0503903	0.304835	0.874414	2.77036	5	3.477767
11000	-327.3199	-375.8348	48.51489	10	1.78536	0.0321931	0.0144696	0.214559	0.029038	0.107426	0.0181329	0.203341	0.0492105	0.0255563	0.0315387	0.0899127	0.137959	0.0303203	0.0289751	0.290457	0.0766082	0.0186198	0.0215071	0.00709265	0.0176493	0.396503	0.24697	0.0269947	0.0928412	0.249251	0.056111	0.0447004	0.178001	0.0538929	0.0772006	0.0958954	0.0690068	0.274094	0.381194	0.299149	0.0183659	0.0340603	0.266234	0.630059	1.06356	2.04015	5	4.038797
12000	-331.8411	-378.5656	46.72455	10	0.5664853	0.0515839	0.0719844	0.0558416	0.0494723	0.110833	0.0226149	0.075676	0.00185412	0.0542258	0.163885	0.185866	0.113002	0.0104602	0.0557266	0.284493	0.113473	0.00608628	0.0162521	0.0298731	0.0665654	0.0822179	0.256152	0.00125308	0.122865	0.155579	0.153899	0.047063	0.072105	0.0747893	0.182592	0.0808255	0.0180505	0.101329	0.520042	0.134911	0.242432	0.0316856	0.0462777	0.293121	0.863208	2.79739	5	3.81756
13000	-337.2223	-378.5639	41.34165	10	1.724404	0.0161268	0.0719212	0.00535024	0.0123994	0.0349087	0.00216535	0.0470466	0.0105943	0.012087	0.121907	0.24212	0.243876	0.0552241	0.0699195	0.191243	0.0278428	0.02259	0.0680905	0.0102183	0.0535397	0.13408	0.375217	0.00382379	0.0210117	0.0605734	0.118562	0.124026	0.0320059	0.0122451	0.144479	0.0067488	0.129082	0.181096	0.565777	0.0852193	0.285225	0.197655	0.258001	0.622095	1.06127	2.05863	5	3.795998
14000	-328.6303	-381.5081	52.87784	10	1.799612	0.219267	0.00787137	0.000122174	0.0264802	0.0827935	0.0564112	0.0364865	0.00186307	0.0134012	0.129892	0.143833	0.0749464	0.00779415	0.0192887	0.178602	0.14616	0.0345531	0.0399519	0.000253238	0.010641	0.124691	0.0201771	0.0895666	0.0547513	0.142622	0.00040557	0.089866	0.0693193	0.0134207	0.0368705	0.0207612	0.0031583	0.101936	0.297055	0.167384	0.117805	0.0650114	0.268121	0.63186	1.06406	2.03596	5	2.645414
15000	-318.784	-375.3789	56.59487	10	0.3456571	0.0415768	0.112285	0.148287	0.00106549	0.0501561	0.0293711	0.124494	0.00348935	0.0214752	0.119986	0.0468087	0.0907628	0.0127534	0.0545918	0.114491	0.0407102	0.000660739	0.0086805	0.0304652	0.0399659	0.112084	0.039557	0.00527671	0.122368	0.280409	0.0917358	0.0543753	0.135691	0.093621	0.00267415	0.000479891	0.0752952	0.0923322	0.404106	0.172107	0.00711709	0.32741	0.00971731	0.140175	0.665086	3.18502	5	3.108716
16000	-326.1822	-377.5201	51.33795	10	0.8506991	0.108003	0.0770191	0.0777726	0.0254222	0.00530706	0.026675	0.201267	0.0109015	0.00733043	0.0452586	0.211403	0.0973591	0.00131134	0.032437	0.28231	0.0977997	0.0173774	0.00117631	0.0195438	0.0391949	0.179399	0.0525297	0.113277	0.0386554	0.0116748	0.161428	0.0354002	0.161934	0.0727088	0.22016	0.0666841	0.122258	0.395391	0.0844896	0.0786491	0.0812162	0.145413	0.106292	0.426772	0.97007	2.49687	5	3.406137
17000	-333.511	-378.7921	45.28104	10	3.366853	0.0427509	0.00273269	0.0794245	0.00264305	0.0317893	0.00788032	0.0686698	0.0327108	0.024385	0.13108	0.220357	0.141823	0.00455694	0.0144583	0.270098	0.259723	0.0310868	0.0165377	0.00676874	0.151123	0.0872194	0.0508246	0.0337282	0.153667	0.231463	0.071334	0.0815129	0.18428	0.00932863	0.0129076	0.2193	0.0293524	0.137087	0.0261747	0.221552	0.124521	0.240053	0.415791	0.75001	1.08381	1.75039	5	3.454903
18000	-351.5456	-381.022	29.47647	1	0.8263474	0.0818461	0.020374	0.118049	0.0318169	0.0203625	0.0669247	0.152596	0.118544	0.0286599	0.0588454	0.131918	0.16623	0.0182724	0.0487623	0.235728	0.0308974	0.045146	0.0135563	0.00540346	0.0225029	0.189572	0.253868	0.00773055	0.0184753	0.0509327	0.111495	0.0173034	0.108541	0.0434049	0.142421	0.0323052	0.0548667	0.422214	0.033833	0.157488	0.0053812	0.110483	0.101152	0.417529	0.963996	2.51732	3	3.176751
19000	-331.862	-377.1958	45.33382	10	0.8415283	0.110828	0.0358501	0.0233352	0.0312801	0.162205	0.0179027	0.254957	0.12545	0.0411377	0.213083	0.0709532	0.0518131	0.0104948	0.00972123	0.307454	0.098937	0.00853402	0.00249098	0.0062705	0.00235524	0.169657	0.335889	0.0170656	0.135082	0.00533236	0.0117933	0.334697	0.031047	0.0469403	0.327038	0.0232676	0.0194329	0.33408	0.0442812	0.146896	0.0289591	0.056614	0.10436	0.423331	0.967829	2.50448	5	3.653127
